"Geographic Area Name","Units Built (2024)","MoE"
"Wilmington city, Delaware","35,325","± 3,024"
"Washington city, District of Columbia","368,700","± 86"
"Alafaya CDP, Florida","35,789","± 3,330"
"Boca Raton city, Florida","48,859","± 2,601"
"Boynton Beach city, Florida","41,454","± 3,127"
"Brandon CDP, Florida","49,690","± 4,262"
"Cape Coral city, Florida","110,587","± 4,119"
"Clearwater city, Florida","62,989","± 3,489"
"Coral Springs city, Florida","47,327","± 2,855"
"Davie town, Florida","44,743","± 2,883"
"Daytona Beach city, Florida","46,414","± 2,779"
"Deerfield Beach city, Florida","48,717","± 3,541"
"Delray Beach city, Florida","42,298","± 2,808"
"Deltona city, Florida","36,400","± 2,492"
"Doral city, Florida","32,737","± 1,958"
"Fort Lauderdale city, Florida","98,308","± 4,813"
"Fort Myers city, Florida","49,423","± 3,409"
"Four Corners CDP, Florida","40,999","± 4,008"
"Gainesville city, Florida","66,610","± 2,908"
"Hialeah city, Florida","81,348","± 2,815"
"Hollywood city, Florida","69,850","± 3,477"
"Homestead city, Florida","30,815","± 2,189"
"Jacksonville city, Florida","449,941","± 1,719"
"Kendall CDP, Florida","33,016","± 2,990"
"Kissimmee city, Florida","32,268","± 2,706"
"Lakeland city, Florida","54,975","± 3,180"
"Largo city, Florida","50,411","± 3,083"
"Lauderhill city, Florida","34,015","± 2,702"
"Lehigh Acres CDP, Florida","48,207","± 3,366"
"Melbourne city, Florida","41,188","± 2,530"
"Miami city, Florida","229,852","± 5,760"
"Miami Beach city, Florida","60,552","± 3,531"
"Miami Gardens city, Florida","37,106","± 1,969"
"Miramar city, Florida","47,628","± 2,533"
"North Port city, Florida","43,919","± 2,589"
"Ocala city, Florida","32,268","± 2,275"
"Orlando city, Florida","151,487","± 6,394"
"Palm Bay city, Florida","52,978","± 3,306"
"Palm Coast city, Florida","49,308","± 1,767"
"Pembroke Pines city, Florida","66,797","± 2,913"
"Pine Hills CDP, Florida","25,783","± 2,792"
"Plantation city, Florida","42,120","± 2,718"
"Poinciana CDP, Florida","33,049","± 3,865"
"Pompano Beach city, Florida","64,308","± 4,107"
"Port Charlotte CDP, Florida","34,103","± 2,743"
"Port Orange city, Florida","31,855","± 2,282"
"Port St. Lucie city, Florida","99,750","± 3,223"
"Riverview CDP, Florida","43,689","± 4,399"
"St. Cloud city, Florida","24,743","± 1,887"
"St. Petersburg city, Florida","141,689","± 4,625"
"Sanford city, Florida","28,308","± 1,923"
"Spring Hill CDP, Florida","51,087","± 2,496"
"Sunrise city, Florida","36,612","± 2,920"
"Tallahassee city, Florida","101,562","± 1,980"
"Tamarac city, Florida","32,610","± 2,835"
"Tampa city, Florida","194,129","± 4,656"
"The Villages CDP, Florida","56,567","± 3,202"
"Town 'n' Country CDP, Florida","36,630","± 3,207"
"Wesley Chapel CDP, Florida","31,922","± 2,864"
"West Palm Beach city, Florida","64,847","± 3,611"
"Albany city, Georgia","34,088","± 948"
"Alpharetta city, Georgia","27,878","± 1,886"
"Athens-Clarke County unified government (balance), Georgia","59,137","± 266"
"Atlanta city, Georgia","284,949","± 5,143"
"Augusta-Richmond County consolidated government (balance), Georgia","92,213","± 710"
"Columbus city, Georgia","93,004","± 71"
"Johns Creek city, Georgia","30,077","± 1,390"
"Mableton city, Georgia","31,801","± 2,251"
"Macon-Bibb County, Georgia","71,955","± 78"
"Roswell city, Georgia","36,969","± 2,041"
"Sandy Springs city, Georgia","52,460","± 2,593"
"Savannah city, Georgia","67,733","± 2,499"
"South Fulton city, Georgia","45,673","± 3,008"
"Warner Robins city, Georgia","37,268","± 1,525"
"Urban Honolulu CDP, Hawaii","160,881","± 3,617"
"Boise City city, Idaho","111,396","± 2,341"
"Caldwell city, Idaho","25,205","± 1,320"
"Idaho Falls city, Idaho","28,021","± 1,216"
"Meridian city, Idaho","54,567","± 2,149"
"Nampa city, Idaho","44,004","± 1,618"
"Arlington Heights village, Illinois","32,515","± 2,577"
"Aurora city, Illinois","65,480","± 2,708"
"Bloomington city, Illinois","37,624","± 1,528"
"Bolingbrook village, Illinois","25,621","± 1,601"
"Champaign city, Illinois","40,828","± 2,284"
"Chicago city, Illinois","1,282,248","± 9,537"
"Cicero town, Illinois","24,754","± 1,956"
"Decatur city, Illinois","34,868","± 1,268"
"Elgin city, Illinois","40,561","± 2,340"
"Evanston city, Illinois","33,934","± 2,033"
"Joliet city, Illinois","51,786","± 1,980"
"Naperville city, Illinois","58,188","± 2,204"
"Palatine village, Illinois","30,398","± 1,904"
"Peoria city, Illinois","54,176","± 2,187"
"Rockford city, Illinois","64,380","± 1,994"
"Schaumburg village, Illinois","32,794","± 2,196"
"Skokie village, Illinois","24,623","± 1,888"
"Springfield city, Illinois","57,799","± 1,568"
"Waukegan city, Illinois","34,440","± 2,392"
"Bloomington city, Indiana","37,696","± 1,930"
"Carmel city, Indiana","43,665","± 2,205"
"Evansville city, Indiana","59,237","± 1,781"
"Fishers city, Indiana","40,343","± 1,948"
"Fort Wayne city, Indiana","120,521","± 2,456"
"Gary city, Indiana","37,594","± 2,532"
"Greenwood city, Indiana","29,039","± 1,746"
"Hammond city, Indiana","33,623","± 2,293"
"Indianapolis city (balance), Indiana","405,450","± 3,436"
"Lafayette city, Indiana","35,100","± 1,865"
"Muncie city, Indiana","31,454","± 1,242"
"Noblesville city, Indiana","29,064","± 2,268"
"South Bend city, Indiana","49,377","± 1,884"
"Ames city, Iowa","28,700","± 888"
"Ankeny city, Iowa","31,328","± 2,268"
"Cedar Rapids city, Iowa","64,678","± 1,888"
"Davenport city, Iowa","45,814","± 1,432"
"Des Moines city, Iowa","95,681","± 3,359"
"Iowa City city, Iowa","34,468","± 1,407"
"Sioux City city, Iowa","34,965","± 1,120"
"Waterloo city, Iowa","32,083","± 1,454"
"West Des Moines city, Iowa","36,235","± 2,234"
"Kansas City city, Kansas","63,903","± 1,217"
"Lawrence city, Kansas","43,511","± 1,027"
"Olathe city, Kansas","56,011","± 2,116"
"Overland Park city, Kansas","89,184","± 2,364"
"Shawnee city, Kansas","30,142","± 1,773"
"Topeka city, Kansas","60,213","± 1,439"
"Wichita city, Kansas","178,820","± 2,597"
"Bowling Green city, Kentucky","35,972","± 1,528"
"Lexington-Fayette urban county, Kentucky","151,485","± 180"
"Louisville/Jefferson County metro government (balance), Kentucky","295,381","± 2,259"
"Baton Rouge city, Louisiana","108,987","± 3,899"
"Kenner city, Louisiana","28,663","± 2,305"
"Lafayette city, Louisiana","61,395","± 1,981"
"Lake Charles city, Louisiana","42,813","± 2,527"
"Metairie CDP, Louisiana","66,195","± 3,388"
"New Orleans city, Louisiana","196,906","± 187"
"Shreveport city, Louisiana","89,174","± 2,393"
"Portland city, Maine","39,175","± 1,950"
"Baltimore city, Maryland","297,571","± 95"
"Bethesda CDP, Maryland","30,878","± 2,129"
"Columbia CDP, Maryland","42,337","± 2,800"
"Ellicott City CDP, Maryland","28,472","± 2,284"
"Frederick city, Maryland","36,720","± 1,911"
"Gaithersburg city, Maryland","28,620","± 2,734"
"Germantown CDP, Maryland","33,630","± 2,817"
"Glen Burnie CDP, Maryland","33,655","± 2,422"
"Rockville city, Maryland","27,944","± 1,704"
"Silver Spring CDP, Maryland","34,614","± 2,997"
"Waldorf CDP, Maryland","31,655","± 1,956"
"Boston city, Massachusetts","318,010","± 2,440"
"Brockton city, Massachusetts","37,692","± 1,939"
"Cambridge city, Massachusetts","57,127","± 2,490"
