"Geographic Area Name","50 or more (2021)","MoE"
"Fort Myers city, Florida","5,662","± 1,619"
"Gainesville city, Florida","4,584","± 1,349"
"Hialeah city, Florida","11,767","± 2,079"
"Hollywood city, Florida","14,240","± 1,994"
"Homestead city, Florida","631","± 429"
"Jacksonville city, Florida","22,419","± 3,272"
"Kendall CDP, Florida","6,366","± 1,447"
"Kissimmee city, Florida","898","± 673"
"Lakeland city, Florida","2,617","± 1,004"
"Largo city, Florida","2,970","± 1,110"
"Lauderhill city, Florida","7,181","± 1,825"
"Lehigh Acres CDP, Florida","177","± 171"
"Melbourne city, Florida","1,734","± 561"
"Miami city, Florida","86,184","± 5,699"
"Miami Beach city, Florida","31,225","± 2,635"
"Miami Gardens city, Florida","3,335","± 936"
"Miramar city, Florida","1,796","± 916"
"Orlando city, Florida","18,137","± 3,013"
"Palm Bay city, Florida","850","± 734"
"Palm Coast city, Florida","457","± 444"
"Pembroke Pines city, Florida","6,483","± 1,570"
"Pine Hills CDP, Florida","750","± 578"
"Plantation city, Florida","5,743","± 1,768"
"Pompano Beach city, Florida","18,561","± 2,171"
"Port Charlotte CDP, Florida","1,034","± 590"
"Port St. Lucie city, Florida","799","± 751"
"Riverview CDP, Florida","619","± 436"
"St. Petersburg city, Florida","15,399","± 1,978"
"Spring Hill CDP, Florida","570","± 322"
"Sunrise city, Florida","3,496","± 1,342"
"Tallahassee city, Florida","16,157","± 2,223"
"Tamarac city, Florida","4,403","± 1,368"
"Tampa city, Florida","26,045","± 2,431"
"Town 'n' Country CDP, Florida","1,616","± 883"
"Wesley Chapel CDP, Florida","550","± 458"
"Weston city, Florida","2,752","± 993"
"West Palm Beach city, Florida","11,949","± 1,640"
"Albany city, Georgia","815","± 609"
"Alpharetta city, Georgia","2,623","± 977"
"Athens-Clarke County unified government (balance), Georgia","3,670","± 1,498"
"Atlanta city, Georgia","77,809","± 4,615"
"Augusta-Richmond County consolidated government (balance), Georgia","2,262","± 657"
"Columbus city, Georgia","5,495","± 1,443"
"Johns Creek city, Georgia","516","± 537"
"Macon-Bibb County, Georgia","4,133","± 1,163"
"Roswell city, Georgia","2,737","± 1,308"
"Sandy Springs city, Georgia","7,716","± 1,682"
"Savannah city, Georgia","2,830","± 833"
"South Fulton city, Georgia","926","± 884"
"Warner Robins city, Georgia","300","± 348"
"Urban Honolulu CDP, Hawaii","59,850","± 3,229"
"Boise City city, Idaho","3,812","± 1,060"
"Idaho Falls city, Idaho","775","± 432"
"Meridian city, Idaho","336","± 363"
"Nampa city, Idaho","1,343","± 558"
"Arlington Heights village, Illinois","3,069","± 947"
"Aurora city, Illinois","3,115","± 1,091"
"Bloomington city, Illinois","955","± 539"
"Bolingbrook village, Illinois","249","± 187"
"Champaign city, Illinois","3,191","± 1,130"
"Chicago city, Illinois","261,506","± 8,781"
"Cicero town, Illinois","103","± 121"
"Decatur city, Illinois","1,418","± 593"
"Elgin city, Illinois","1,036","± 538"
"Evanston city, Illinois","6,688","± 1,440"
"Joliet city, Illinois","2,035","± 735"
"Naperville city, Illinois","2,395","± 825"
