"Geographic Area Name","20 to 49 (2021)","MoE"
"Nampa city, Idaho","439","± 380"
"Arlington Heights village, Illinois","2,964","± 1,142"
"Aurora city, Illinois","1,417","± 446"
"Bloomington city, Illinois","1,495","± 662"
"Bolingbrook village, Illinois","249","± 211"
"Champaign city, Illinois","3,801","± 1,279"
"Chicago city, Illinois","82,410","± 5,736"
"Cicero town, Illinois","599","± 400"
"Decatur city, Illinois","929","± 572"
"Elgin city, Illinois","667","± 345"
"Evanston city, Illinois","4,145","± 1,043"
"Joliet city, Illinois","432","± 300"
"Naperville city, Illinois","1,698","± 731"
"Palatine village, Illinois","1,622","± 657"
"Peoria city, Illinois","1,661","± 747"
"Rockford city, Illinois","1,141","± 507"
"Schaumburg village, Illinois","1,549","± 794"
"Skokie village, Illinois","1,892","± 628"
"Springfield city, Illinois","1,033","± 610"
"Waukegan city, Illinois","1,527","± 644"
"Bloomington city, Indiana","2,275","± 833"
"Carmel city, Indiana","1,465","± 801"
"Evansville city, Indiana","1,407","± 565"
"Fort Wayne city, Indiana","3,287","± 1,084"
"Hammond city, Indiana","624","± 288"
"Indianapolis city (balance), Indiana","12,592","± 2,012"
"Lafayette city, Indiana","1,160","± 740"
"Noblesville city, Indiana","943","± 887"
"South Bend city, Indiana","1,684","± 723"
"Ames city, Iowa","4,432","± 1,358"
"Ankeny city, Iowa","2,000","± 938"
"Cedar Rapids city, Iowa","3,547","± 967"
"Davenport city, Iowa","3,029","± 863"
"Des Moines city, Iowa","7,671","± 1,515"
"Iowa City city, Iowa","3,485","± 917"
"Sioux City city, Iowa","727","± 448"
"Waterloo city, Iowa","32","± 58"
"West Des Moines city, Iowa","5,564","± 1,550"
"Kansas City city, Kansas","2,063","± 868"
"Lawrence city, Kansas","4,815","± 1,754"
"Olathe city, Kansas","1,736","± 823"
"Overland Park city, Kansas","2,251","± 992"
"Shawnee city, Kansas","552","± 555"
"Topeka city, Kansas","2,835","± 890"
"Wichita city, Kansas","7,537","± 1,334"
"Bowling Green city, Kentucky","1,380","± 755"
"Lexington-Fayette urban county, Kentucky","6,277","± 1,532"
"Louisville/Jefferson County metro government (balance), Kentucky","8,802","± 1,725"
"Baton Rouge city, Louisiana","7,444","± 1,910"
"Kenner city, Louisiana","1,775","± 842"
"Lafayette city, Louisiana","2,721","± 1,245"
"Lake Charles city, Louisiana","3,079","± 1,283"
"Metairie CDP, Louisiana","4,024","± 1,159"
"New Orleans city, Louisiana","7,560","± 1,332"
"Shreveport city, Louisiana","2,624","± 1,004"
"Portland city, Maine","1,906","± 626"
"Baltimore city, Maryland","8,114","± 1,437"
"Bethesda CDP, Maryland","1,217","± 530"
"Columbia CDP, Maryland","339","± 285"
"Ellicott City CDP, Maryland","1,213","± 674"
"Frederick city, Maryland","948","± 539"
"Gaithersburg city, Maryland","2,013","± 853"
"Germantown CDP, Maryland","662","± 479"
"Glen Burnie CDP, Maryland","118","± 138"
"Rockville city, Maryland","2,248","± 834"
"Silver Spring CDP, Maryland","1,321","± 701"
"Waldorf CDP, Maryland","548","± 339"
"Boston city, Massachusetts","24,650","± 2,658"
"Brockton city, Massachusetts","551","± 293"
"Cambridge city, Massachusetts","5,525","± 996"
"Fall River city, Massachusetts","1,837","± 681"
"Framingham city, Massachusetts","2,126","± 963"
"Haverhill city, Massachusetts","896","± 378"
"Lawrence city, Massachusetts","2,181","± 808"
"Lowell city, Massachusetts","3,896","± 1,199"
"Lynn city, Massachusetts","3,522","± 1,134"
"Malden city, Massachusetts","2,149","± 1,109"
"New Bedford city, Massachusetts","797","± 422"
"Newton city, Massachusetts","880","± 445"
"Quincy city, Massachusetts","2,994","± 797"
"Somerville city, Massachusetts","2,198","± 566"
"Springfield city, Massachusetts","2,511","± 825"
"Worcester city, Massachusetts","3,637","± 1,018"
"Ann Arbor city, Michigan","3,257","± 1,155"
"Dearborn city, Michigan","500","± 413"
"Detroit city, Michigan","12,594","± 1,667"
"Farmington Hills city, Michigan","1,654","± 901"
"Flint city, Michigan","654","± 455"
"Grand Rapids city, Michigan","2,934","± 991"
"Kalamazoo city, Michigan","3,698","± 1,349"
"Lansing city, Michigan","1,420","± 689"
"Livonia city, Michigan","345","± 320"
"Novi city, Michigan","1,650","± 871"
"Rochester Hills city, Michigan","134","± 219"
"Southfield city, Michigan","2,051","± 895"
"Sterling Heights city, Michigan","167","± 161"
"Troy city, Michigan","821","± 421"
"Warren city, Michigan","784","± 653"
"Westland city, Michigan","1,496","± 681"
"Wyoming city, Michigan","2,080","± 1,036"
"Blaine city, Minnesota","367","± 324"
"Bloomington city, Minnesota","4,212","± 1,179"
"Brooklyn Park city, Minnesota","1,364","± 868"
"Duluth city, Minnesota","2,472","± 753"
"Eagan city, Minnesota","1,103","± 482"
"Minneapolis city, Minnesota","19,951","± 2,534"
"Plymouth city, Minnesota","1,299","± 601"
"Rochester city, Minnesota","3,454","± 1,156"
"St. Cloud city, Minnesota","2,865","± 1,036"
"St. Paul city, Minnesota","9,904","± 1,696"
"Woodbury city, Minnesota","453","± 391"
"Gulfport city, Mississippi","1,520","± 760"
"Jackson city, Mississippi","2,575","± 842"
"Columbia city, Missouri","1,892","± 998"
"Independence city, Missouri","937","± 720"
"Kansas City city, Missouri","14,220","± 2,075"
"Lee's Summit city, Missouri","1,223","± 616"
"O'Fallon city, Missouri","327","± 238"
"St. Charles city, Missouri","825","± 519"
"St. Joseph city, Missouri","624","± 370"
"St. Louis city, Missouri","6,610","± 1,199"
"Springfield city, Missouri","8,381","± 1,622"
"Billings city, Montana","988","± 607"
"Missoula city, Montana","2,239","± 912"
"Lincoln city, Nebraska","9,571","± 1,872"
"Omaha city, Nebraska","11,377","± 1,634"
"Enterprise CDP, Nevada","944","± 511"
"Henderson city, Nevada","2,521","± 1,064"
"Las Vegas city, Nevada","7,529","± 1,233"
"North Las Vegas city, Nevada","2,097","± 875"
"Paradise CDP, Nevada","6,880","± 1,441"
