"Geographic Area Name","1, detached (2021)","MoE"
"Appleton city, Wisconsin","20,225","± 1,306"
"Eau Claire city, Wisconsin","15,834","± 1,356"
"Green Bay city, Wisconsin","28,275","± 2,096"
"Janesville city, Wisconsin","19,210","± 1,468"
"Kenosha city, Wisconsin","25,747","± 1,700"
"Madison city, Wisconsin","53,814","± 2,950"
"Milwaukee city, Wisconsin","100,228","± 3,463"
"Oshkosh city, Wisconsin","16,406","± 1,288"
"Racine city, Wisconsin","22,975","± 1,541"
"Waukesha city, Wisconsin","15,289","± 1,292"
"Cheyenne city, Wyoming","18,113","± 1,657"
"Bayamón zona urbana, Puerto Rico","46,749","± 2,179"
"Caguas zona urbana, Puerto Rico","20,134","± 1,767"
"Carolina zona urbana, Puerto Rico","31,086","± 2,036"
"Guaynabo zona urbana, Puerto Rico","16,915","± 1,517"
"Ponce zona urbana, Puerto Rico","39,333","± 2,255"
"San Juan zona urbana, Puerto Rico","67,088","± 3,483"
