"Geographic Area Name","Vacant (2024)","MoE"
"Miami Beach city, Florida","18,856","± 2,361"
"Miami Gardens city, Florida","2,062","± 791"
"Miramar city, Florida","684","± 522"
"North Port city, Florida","3,476","± 1,517"
"Ocala city, Florida","3,119","± 1,264"
"Orlando city, Florida","14,094","± 2,832"
"Palm Bay city, Florida","4,555","± 1,729"
"Palm Coast city, Florida","5,743","± 1,708"
"Pembroke Pines city, Florida","2,809","± 1,404"
"Pine Hills CDP, Florida","1,630","± 966"
"Plantation city, Florida","4,345","± 1,515"
"Poinciana CDP, Florida","3,875","± 1,308"
"Pompano Beach city, Florida","18,462","± 2,502"
"Port Charlotte CDP, Florida","7,059","± 2,004"
"Port Orange city, Florida","3,499","± 1,359"
"Port St. Lucie city, Florida","5,426","± 2,232"
"Riverview CDP, Florida","4,566","± 1,983"
"St. Cloud city, Florida","1,651","± 978"
"St. Petersburg city, Florida","17,955","± 2,723"
"Sanford city, Florida","2,602","± 1,139"
"Spring Hill CDP, Florida","2,866","± 1,492"
"Sunrise city, Florida","2,692","± 1,151"
"Tallahassee city, Florida","12,345","± 2,254"
"Tamarac city, Florida","1,927","± 905"
"Tampa city, Florida","18,125","± 2,693"
"The Villages CDP, Florida","8,194","± 2,940"
"Town 'n' Country CDP, Florida","2,707","± 1,351"
"Wesley Chapel CDP, Florida","3,955","± 1,667"
"Weston city, Florida","1,133","± 656"
"West Palm Beach city, Florida","8,979","± 1,914"
"Albany city, Georgia","7,108","± 1,702"
"Alpharetta city, Georgia","1,912","± 908"
"Athens-Clarke County unified government (balance), Georgia","4,981","± 1,490"
"Atlanta city, Georgia","40,467","± 4,199"
"Augusta-Richmond County consolidated government (balance), Georgia","12,579","± 2,208"
"Columbus city, Georgia","11,626","± 2,082"
"Johns Creek city, Georgia","1,401","± 651"
"Mableton city, Georgia","1,521","± 683"
"Macon-Bibb County, Georgia","11,569","± 1,903"
"Roswell city, Georgia","1,528","± 819"
"Sandy Springs city, Georgia","4,135","± 1,350"
"Savannah city, Georgia","12,993","± 2,049"
"South Fulton city, Georgia","5,199","± 1,489"
"Warner Robins city, Georgia","3,629","± 1,363"
"Urban Honolulu CDP, Hawaii","23,973","± 2,813"
"Boise City city, Idaho","5,351","± 1,598"
"Caldwell city, Idaho","1,015","± 707"
"Idaho Falls city, Idaho","2,647","± 1,181"
"Meridian city, Idaho","1,758","± 950"
"Nampa city, Idaho","2,139","± 986"
"Arlington Heights village, Illinois","798","± 696"
"Aurora city, Illinois","1,149","± 675"
"Bloomington city, Illinois","1,179","± 608"
"Bolingbrook village, Illinois","391","± 360"
"Champaign city, Illinois","2,730","± 1,136"
"Chicago city, Illinois","109,793","± 6,708"
"Cicero town, Illinois","2,529","± 785"
"Decatur city, Illinois","4,660","± 1,147"
"Elgin city, Illinois","1,332","± 853"
"Evanston city, Illinois","1,622","± 963"
"Joliet city, Illinois","2,551","± 950"
"Naperville city, Illinois","2,018","± 1,071"
"Palatine village, Illinois","615","± 463"
"Peoria city, Illinois","4,165","± 1,346"
"Rockford city, Illinois","4,266","± 1,134"
"Schaumburg village, Illinois","1,519","± 876"
