"Geographic Area Name","50 or more (2024)","MoE"
"Murrieta city, California","575","± 561"
"Napa city, California","1,155","± 605"
"Newport Beach city, California","7,289","± 1,653"
"Norwalk city, California","1,696","± 688"
"Oakland city, California","28,625","± 2,770"
"Oceanside city, California","3,336","± 932"
"Ontario city, California","6,390","± 1,623"
"Orange city, California","4,621","± 1,176"
"Oxnard city, California","5,253","± 1,388"
"Palmdale city, California","2,090","± 872"
"Palo Alto city, California","2,444","± 696"
"Pasadena city, California","8,949","± 1,785"
"Perris city, California","987","± 695"
"Pittsburg city, California","1,960","± 723"
"Pleasanton city, California","2,145","± 816"
"Pomona city, California","2,210","± 681"
"Rancho Cordova city, California","1,856","± 825"
"Rancho Cucamonga city, California","9,740","± 1,836"
"Redding city, California","1,890","± 745"
"Redlands city, California","2,895","± 1,231"
"Redondo Beach city, California","1,822","± 623"
"Redwood City city, California","3,923","± 1,051"
"Rialto city, California","1,410","± 635"
"Richmond city, California","1,324","± 733"
"Riverside city, California","9,447","± 1,763"
"Rocklin city, California","2,011","± 670"
"Roseville city, California","3,310","± 1,140"
"Sacramento city, California","18,317","± 2,510"
"Salinas city, California","4,303","± 1,118"
"San Bernardino city, California","7,339","± 1,809"
"San Buenaventura (Ventura) city, California","2,055","± 655"
"San Diego city, California","91,975","± 5,184"
"San Francisco city, California","85,907","± 5,073"
"San Jose city, California","50,083","± 3,764"
"San Leandro city, California","2,303","± 941"
"San Marcos city, California","1,366","± 846"
"San Mateo city, California","6,373","± 1,464"
"San Ramon city, California","1,253","± 706"
"Santa Ana city, California","11,499","± 1,750"
"Santa Barbara city, California","1,153","± 579"
"Santa Clara city, California","12,546","± 1,891"
"Santa Clarita city, California","5,035","± 1,080"
"Santa Maria city, California","1,989","± 884"
"Santa Monica city, California","6,336","± 1,647"
"Santa Rosa city, California","5,258","± 1,332"
"Simi Valley city, California","1,252","± 476"
"South Gate city, California","1,002","± 533"
"Stockton city, California","10,732","± 1,662"
"Sunnyvale city, California","11,996","± 1,983"
"Temecula city, California","1,991","± 1,058"
"Thousand Oaks city, California","2,317","± 1,109"
"Torrance city, California","7,019","± 1,344"
"Tracy city, California","669","± 519"
"Tulare city, California","586","± 494"
"Turlock city, California","924","± 431"
"Tustin city, California","4,732","± 1,521"
"Union City city, California","1,806","± 679"
"Upland city, California","2,318","± 870"
"Vacaville city, California","1,110","± 622"
"Vallejo city, California","3,655","± 1,249"
"Victorville city, California","903","± 565"
"Visalia city, California","908","± 440"
"Vista city, California","1,913","± 721"
"Walnut Creek city, California","6,292","± 1,632"
"West Covina city, California","5,897","± 1,545"
"Westminster city, California","2,572","± 835"
"Whittier city, California","1,033","± 624"
"Yorba Linda city, California","706","± 439"
"Yuba City city, California","954","± 411"
"Arvada city, Colorado","2,225","± 672"
"Aurora city, Colorado","10,910","± 1,997"
"Boulder city, Colorado","7,909","± 1,693"
"Broomfield city, Colorado","5,672","± 1,052"
"Castle Rock town, Colorado","1,120","± 748"
"Centennial city, Colorado","2,830","± 1,008"
"Colorado Springs city, Colorado","13,636","± 2,320"
"Commerce City city, Colorado","736","± 662"
"Denver city, Colorado","90,173","± 4,681"
"Fort Collins city, Colorado","5,250","± 1,259"
"Grand Junction city, Colorado","2,001","± 732"
"Greeley city, Colorado","2,747","± 1,322"
"Highlands Ranch CDP, Colorado","2,530","± 942"
"Lakewood city, Colorado","7,320","± 1,423"
"Longmont city, Colorado","3,069","± 1,281"
"Loveland city, Colorado","2,288","± 805"
"Parker town, Colorado","959","± 629"
"Pueblo city, Colorado","1,747","± 752"
"Thornton city, Colorado","2,078","± 906"
"Westminster city, Colorado","4,171","± 1,179"
"Bridgeport city, Connecticut","7,076","± 1,359"
"Danbury city, Connecticut","3,767","± 1,322"
"Hartford city, Connecticut","10,249","± 2,148"
"New Britain city, Connecticut","3,422","± 1,205"
"New Haven city, Connecticut","10,800","± 2,097"
"Norwalk city, Connecticut","4,732","± 1,315"
"Stamford city, Connecticut","16,562","± 2,068"
"Waterbury city, Connecticut","4,007","± 1,749"
"Wilmington city, Delaware","5,377","± 1,625"
"Washington city, District of Columbia","132,243","± 4,994"
"Alafaya CDP, Florida","1,288","± 812"
"Boca Raton city, Florida","11,715","± 1,649"
"Boynton Beach city, Florida","3,426","± 1,163"
"Brandon CDP, Florida","5,432","± 1,780"
"Cape Coral city, Florida","1,410","± 643"
"Clearwater city, Florida","11,854","± 2,042"
"Coral Springs city, Florida","2,895","± 1,089"
"Davie town, Florida","2,938","± 1,235"
"Daytona Beach city, Florida","5,348","± 1,398"
"Deerfield Beach city, Florida","8,900","± 2,125"
"Delray Beach city, Florida","5,574","± 1,539"
"Doral city, Florida","7,468","± 1,538"
"Fort Lauderdale city, Florida","29,635","± 3,123"
"Fort Myers city, Florida","6,569","± 1,541"
"Four Corners CDP, Florida","2,135","± 1,121"
"Gainesville city, Florida","8,095","± 2,235"
"Hialeah city, Florida","12,322","± 1,941"
"Hollywood city, Florida","11,996","± 1,926"
"Homestead city, Florida","1,332","± 711"
"Jacksonville city, Florida","40,432","± 5,028"
"Kendall CDP, Florida","7,887","± 1,867"
"Kissimmee city, Florida","1,807","± 1,356"
"Lakeland city, Florida","3,186","± 1,101"
"Largo city, Florida","5,420","± 1,776"
"Lauderhill city, Florida","6,778","± 1,651"
"Lehigh Acres CDP, Florida","1,114","± 818"
"Melbourne city, Florida","2,650","± 850"
"Miami city, Florida","99,923","± 4,666"
"Miami Beach city, Florida","30,162","± 2,877"
"Miami Gardens city, Florida","3,133","± 982"
"Miramar city, Florida","3,269","± 1,511"
"North Port city, Florida","254","± 251"
"Ocala city, Florida","1,007","± 640"
"Orlando city, Florida","22,615","± 3,538"
"Palm Bay city, Florida","505","± 366"
"Palm Coast city, Florida","1,097","± 629"
"Pembroke Pines city, Florida","9,477","± 1,950"
"Pine Hills CDP, Florida","845","± 729"
"Plantation city, Florida","7,473","± 1,636"
"Pompano Beach city, Florida","20,346","± 3,029"
"Port Orange city, Florida","558","± 448"
"Port St. Lucie city, Florida","511","± 330"
"Riverview CDP, Florida","1,054","± 614"
"St. Petersburg city, Florida","18,816","± 3,061"
"Sanford city, Florida","1,871","± 919"
"Spring Hill CDP, Florida","1,256","± 694"
"Sunrise city, Florida","7,599","± 1,922"
"Tallahassee city, Florida","11,706","± 1,772"
"Tamarac city, Florida","4,016","± 1,146"
"Tampa city, Florida","32,030","± 3,466"
"Town 'n' Country CDP, Florida","916","± 556"
"Wesley Chapel CDP, Florida","925","± 764"
"Weston city, Florida","907","± 461"
"West Palm Beach city, Florida","15,499","± 2,579"
"Albany city, Georgia","514","± 444"
"Alpharetta city, Georgia","3,646","± 1,255"
"Athens-Clarke County unified government (balance), Georgia","4,582","± 1,362"
"Atlanta city, Georgia","103,713","± 6,087"
"Augusta-Richmond County consolidated government (balance), Georgia","3,108","± 1,034"
"Columbus city, Georgia","4,336","± 1,092"
"Johns Creek city, Georgia","1,485","± 697"
"Mableton city, Georgia","941","± 722"
"Macon-Bibb County, Georgia","2,657","± 770"
"Roswell city, Georgia","2,593","± 927"
"Sandy Springs city, Georgia","11,227","± 2,183"
"Savannah city, Georgia","3,657","± 946"
"South Fulton city, Georgia","720","± 540"
"Warner Robins city, Georgia","290","± 321"
"Urban Honolulu CDP, Hawaii","62,746","± 3,638"
"Boise City city, Idaho","5,853","± 1,256"
"Caldwell city, Idaho","184","± 160"
"Idaho Falls city, Idaho","591","± 372"
"Meridian city, Idaho","2,002","± 640"
"Nampa city, Idaho","335","± 292"
"Arlington Heights village, Illinois","4,245","± 1,336"
"Aurora city, Illinois","3,568","± 1,153"
"Bloomington city, Illinois","715","± 390"
"Bolingbrook village, Illinois","606","± 424"
"Champaign city, Illinois","5,529","± 1,764"
"Chicago city, Illinois","276,794","± 12,372"
"Cicero town, Illinois","74","± 131"
"Decatur city, Illinois","2,690","± 973"
"Elgin city, Illinois","1,439","± 743"
"Evanston city, Illinois","6,607","± 1,551"
"Joliet city, Illinois","2,372","± 759"
"Naperville city, Illinois","2,588","± 742"
"Palatine village, Illinois","1,307","± 649"
"Peoria city, Illinois","2,482","± 736"
"Rockford city, Illinois","3,418","± 919"
"Schaumburg village, Illinois","2,854","± 1,014"
"Skokie village, Illinois","2,108","± 843"
"Springfield city, Illinois","3,326","± 987"
"Waukegan city, Illinois","1,655","± 967"
"Bloomington city, Indiana","3,686","± 1,267"
"Carmel city, Indiana","3,517","± 1,174"
"Evansville city, Indiana","2,797","± 828"
"Fishers city, Indiana","2,567","± 1,077"
"Fort Wayne city, Indiana","6,242","± 1,808"
"Gary city, Indiana","999","± 435"
"Greenwood city, Indiana","903","± 592"
"Hammond city, Indiana","909","± 431"
"Indianapolis city (balance), Indiana","25,682","± 3,351"
"Lafayette city, Indiana","2,088","± 791"
"Muncie city, Indiana","975","± 459"
"Noblesville city, Indiana","136","± 167"
"South Bend city, Indiana","2,830","± 858"
"Ames city, Iowa","1,694","± 645"
"Ankeny city, Iowa","1,225","± 700"
"Cedar Rapids city, Iowa","3,371","± 1,002"
"Davenport city, Iowa","2,034","± 754"
"Des Moines city, Iowa","7,767","± 1,655"
"Iowa City city, Iowa","3,138","± 1,041"
"Sioux City city, Iowa","1,327","± 526"
"Waterloo city, Iowa","1,930","± 754"
"West Des Moines city, Iowa","2,467","± 938"
"Kansas City city, Kansas","1,186","± 618"
"Lawrence city, Kansas","1,903","± 861"
"Olathe city, Kansas","1,652","± 661"
"Overland Park city, Kansas","6,847","± 1,336"
"Shawnee city, Kansas","1,452","± 728"
"Topeka city, Kansas","2,980","± 859"
"Wichita city, Kansas","8,508","± 1,732"
"Bowling Green city, Kentucky","1,940","± 855"
"Lexington-Fayette urban county, Kentucky","8,478","± 1,958"
"Louisville/Jefferson County metro government (balance), Kentucky","17,589","± 2,551"
"Baton Rouge city, Louisiana","9,294","± 2,067"
"Kenner city, Louisiana","1,255","± 861"
"Lafayette city, Louisiana","2,640","± 1,035"
"Lake Charles city, Louisiana","2,357","± 1,068"
"Metairie CDP, Louisiana","6,275","± 1,857"
"New Orleans city, Louisiana","17,081","± 2,299"
"Shreveport city, Louisiana","4,138","± 1,243"
"Portland city, Maine","3,215","± 956"
"Baltimore city, Maryland","39,692","± 3,916"
"Bethesda CDP, Maryland","11,668","± 1,980"
"Columbia CDP, Maryland","4,930","± 1,220"
"Ellicott City CDP, Maryland","1,490","± 650"
"Frederick city, Maryland","2,234","± 687"
"Gaithersburg city, Maryland","5,405","± 1,650"
"Germantown CDP, Maryland","1,522","± 686"
"Glen Burnie CDP, Maryland","912","± 418"
"Rockville city, Maryland","8,216","± 1,346"
"Silver Spring CDP, Maryland","12,939","± 2,110"
"Waldorf CDP, Maryland","1,409","± 763"
"Boston city, Massachusetts","66,158","± 4,173"
"Brockton city, Massachusetts","3,462","± 1,026"
"Cambridge city, Massachusetts","16,984","± 2,230"
"Fall River city, Massachusetts","3,045","± 914"
"Framingham city, Massachusetts","5,117","± 1,342"
"Haverhill city, Massachusetts","1,925","± 861"
"Lawrence city, Massachusetts","3,141","± 1,010"
"Lowell city, Massachusetts","4,613","± 1,105"
"Lynn city, Massachusetts","4,799","± 1,458"
"Malden city, Massachusetts","5,193","± 1,485"
"New Bedford city, Massachusetts","3,467","± 737"
"Newton city, Massachusetts","3,410","± 1,006"
"Quincy city, Massachusetts","10,341","± 1,762"
"Somerville city, Massachusetts","3,631","± 991"
"Springfield city, Massachusetts","4,610","± 1,232"
"Waltham city, Massachusetts","2,740","± 955"
"Worcester city, Massachusetts","11,212","± 2,402"
"Ann Arbor city, Michigan","5,696","± 1,434"
"Dearborn city, Michigan","2,334","± 875"
"Detroit city, Michigan","31,032","± 3,628"
"Farmington Hills city, Michigan","1,305","± 615"
"Flint city, Michigan","1,660","± 656"
"Grand Rapids city, Michigan","8,090","± 1,556"
"Kalamazoo city, Michigan","1,795","± 629"
"Lansing city, Michigan","4,782","± 1,427"
"Livonia city, Michigan","1,083","± 523"
"Novi city, Michigan","2,499","± 762"
"Rochester Hills city, Michigan","1,223","± 705"
"Southfield city, Michigan","6,478","± 1,523"
"Sterling Heights city, Michigan","2,773","± 865"
"Troy city, Michigan","1,614","± 623"
"Warren city, Michigan","1,764","± 879"
"Westland city, Michigan","2,695","± 1,218"
"Wyoming city, Michigan","443","± 468"
"Blaine city, Minnesota","2,109","± 826"
"Bloomington city, Minnesota","8,537","± 1,770"
"Brooklyn Park city, Minnesota","3,564","± 1,246"
"Duluth city, Minnesota","3,652","± 1,059"
"Eagan city, Minnesota","5,116","± 1,118"
"Lakeville city, Minnesota","1,497","± 580"
"Maple Grove city, Minnesota","2,536","± 695"
"Minneapolis city, Minnesota","57,955","± 4,106"
"Plymouth city, Minnesota","6,658","± 1,514"
"Rochester city, Minnesota","7,763","± 1,208"
"St. Cloud city, Minnesota","3,302","± 1,196"
"St. Paul city, Minnesota","25,267","± 3,120"
"Woodbury city, Minnesota","2,730","± 965"
"Gulfport city, Mississippi","537","± 293"
"Jackson city, Mississippi","4,294","± 1,393"
"Columbia city, Missouri","4,944","± 1,513"
"Independence city, Missouri","2,397","± 938"
"Kansas City city, Missouri","24,793","± 2,973"
"Lee's Summit city, Missouri","2,041","± 747"
"O'Fallon city, Missouri","613","± 354"
"St. Charles city, Missouri","1,599","± 560"
"St. Joseph city, Missouri","1,285","± 597"
"St. Louis city, Missouri","25,427","± 2,885"
"Springfield city, Missouri","8,309","± 1,647"
"Billings city, Montana","2,846","± 1,107"
"Missoula city, Montana","1,573","± 686"
"Lincoln city, Nebraska","11,420","± 1,905"
"Omaha city, Nebraska","22,713","± 2,704"
"Enterprise CDP, Nevada","9,277","± 2,084"
"Henderson city, Nevada","7,433","± 2,102"
"Las Vegas city, Nevada","20,096","± 2,750"
"North Las Vegas city, Nevada","3,523","± 1,262"
"Paradise CDP, Nevada","19,950","± 2,391"
"Reno city, Nevada","18,517","± 2,086"
"Sparks city, Nevada","3,838","± 1,214"
"Spring Valley CDP, Nevada","15,710","± 3,181"
"Sunrise Manor CDP, Nevada","3,950","± 1,166"
"Manchester city, New Hampshire","3,686","± 1,011"
"Nashua city, New Hampshire","2,810","± 1,139"
"Bayonne city, New Jersey","4,729","± 1,284"
"Camden city, New Jersey","2,448","± 794"
"Clifton city, New Jersey","2,297","± 877"
"East Orange city, New Jersey","8,917","± 2,504"
"Elizabeth city, New Jersey","5,112","± 1,375"
"Jersey City city, New Jersey","44,899","± 3,458"
"Lakewood CDP, New Jersey","901","± 469"
"Newark city, New Jersey","17,005","± 2,306"
"Passaic city, New Jersey","2,327","± 746"
"Paterson city, New Jersey","5,291","± 1,232"
"Toms River CDP, New Jersey","930","± 705"
"Trenton city, New Jersey","4,608","± 1,382"
"Union City city, New Jersey","3,115","± 761"
"Albuquerque city, New Mexico","17,669","± 2,575"
"Las Cruces city, New Mexico","1,847","± 902"
"Rio Rancho city, New Mexico","1,454","± 674"
"Santa Fe city, New Mexico","2,420","± 897"
"Albany city, New York","5,548","± 1,478"
"Buffalo city, New York","9,451","± 1,821"
"Cheektowaga CDP, New York","506","± 317"
"Mount Vernon city, New York","5,016","± 1,266"
"New Rochelle city, New York","9,777","± 2,054"
"New York city, New York","1,233,995","± 16,865"
"Rochester city, New York","13,661","± 2,155"
"Schenectady city, New York","2,276","± 896"
"Syracuse city, New York","9,195","± 1,656"
"Yonkers city, New York","22,119","± 2,681"
"Apex town, North Carolina","1,101","± 583"
"Asheville city, North Carolina","3,748","± 1,079"
"Cary town, North Carolina","3,956","± 1,110"
"Charlotte city, North Carolina","57,140","± 3,577"
"Concord city, North Carolina","1,609","± 775"
"Durham city, North Carolina","12,118","± 2,526"
"Fayetteville city, North Carolina","1,673","± 662"
"Gastonia city, North Carolina","848","± 552"
"Greensboro city, North Carolina","5,616","± 1,543"
"Greenville city, North Carolina","3,397","± 1,091"
"High Point city, North Carolina","1,609","± 833"
"Huntersville town, North Carolina","1,155","± 688"
"Jacksonville city, North Carolina","576","± 531"
"Raleigh city, North Carolina","29,590","± 2,889"
"Wilmington city, North Carolina","5,733","± 1,191"
"Winston-Salem city, North Carolina","6,079","± 1,598"
"Bismarck city, North Dakota","3,043","± 1,103"
"Fargo city, North Dakota","10,151","± 1,850"
"Akron city, Ohio","6,711","± 1,504"
"Canton city, Ohio","1,684","± 642"
"Cincinnati city, Ohio","21,810","± 2,978"
"Cleveland city, Ohio","26,072","± 2,671"
"Columbus city, Ohio","36,060","± 3,409"
"Dayton city, Ohio","3,292","± 1,465"
"Lorain city, Ohio","1,164","± 708"
"Parma city, Ohio","2,349","± 981"
"Toledo city, Ohio","8,707","± 1,212"
"Broken Arrow city, Oklahoma","1,066","± 343"
"Edmond city, Oklahoma","1,741","± 955"
"Lawton city, Oklahoma","692","± 316"
"Norman city, Oklahoma","3,542","± 963"
"Oklahoma City city, Oklahoma","17,645","± 2,231"
"Tulsa city, Oklahoma","12,611","± 1,372"
"Beaverton city, Oregon","4,798","± 1,160"
"Bend city, Oregon","2,694","± 1,386"
"Eugene city, Oregon","8,202","± 1,635"
"Gresham city, Oregon","2,418","± 928"
"Hillsboro city, Oregon","4,293","± 1,090"
"Medford city, Oregon","2,931","± 979"
"Portland city, Oregon","58,922","± 4,279"
"Salem city, Oregon","5,260","± 1,514"
"Allentown city, Pennsylvania","3,384","± 925"
"Bethlehem city, Pennsylvania","2,494","± 813"
"Erie city, Pennsylvania","1,824","± 661"
"Philadelphia city, Pennsylvania","91,508","± 6,443"
"Pittsburgh city, Pennsylvania","21,220","± 2,625"
"Reading city, Pennsylvania","2,390","± 938"
"Scranton city, Pennsylvania","2,281","± 689"
"Cranston city, Rhode Island","1,986","± 1,067"
"Pawtucket city, Rhode Island","2,658","± 961"
"Providence city, Rhode Island","10,946","± 2,035"
"Warwick city, Rhode Island","2,963","± 1,078"
"Charleston city, South Carolina","12,265","± 2,881"
"Columbia city, South Carolina","9,090","± 2,119"
"Greenville city, South Carolina","6,099","± 1,524"
"Mount Pleasant town, South Carolina","2,865","± 928"
"North Charleston city, South Carolina","2,150","± 933"
"Rock Hill city, South Carolina","1,738","± 729"
"Rapid City city, South Dakota","1,538","± 677"
"Sioux Falls city, South Dakota","8,798","± 1,669"
"Chattanooga city, Tennessee","9,424","± 2,108"
"Clarksville city, Tennessee","1,519","± 880"
"Franklin city, Tennessee","1,636","± 911"
"Jackson city, Tennessee","758","± 531"
"Johnson City city, Tennessee","1,100","± 481"
"Knoxville city, Tennessee","9,219","± 1,920"
"Memphis city, Tennessee","21,946","± 2,507"
"Murfreesboro city, Tennessee","4,888","± 1,807"
"Nashville-Davidson metropolitan government (balance), Tennessee","57,634","± 4,225"
"Abilene city, Texas","2,281","± 654"
"Allen city, Texas","5,176","± 1,597"
"Amarillo city, Texas","4,441","± 1,113"
"Arlington city, Texas","9,905","± 1,854"
"Austin city, Texas","102,430","± 7,186"
"Baytown city, Texas","3,510","± 1,288"
"Beaumont city, Texas","3,234","± 1,061"
"Brownsville city, Texas","5,011","± 1,591"
"Bryan city, Texas","3,868","± 1,127"
"Carrollton city, Texas","6,677","± 1,576"
"Cedar Park city, Texas","3,162","± 1,045"
"College Station city, Texas","5,598","± 1,088"
"Conroe city, Texas","2,985","± 959"
"Corpus Christi city, Texas","7,403","± 1,817"
"Dallas city, Texas","142,319","± 7,583"
"Denton city, Texas","5,922","± 1,389"
"Edinburg city, Texas","1,196","± 799"
"El Paso city, Texas","12,360","± 2,158"
"Flower Mound town, Texas","2,074","± 940"
"Fort Worth city, Texas","35,197","± 4,125"
"Frisco city, Texas","18,018","± 2,448"
"Garland city, Texas","5,215","± 1,417"
"Georgetown city, Texas","4,012","± 1,283"
"Grand Prairie city, Texas","4,816","± 1,204"
"Harlingen city, Texas","2,682","± 904"
"Houston city, Texas","236,338","± 10,144"
"Irving city, Texas","16,498","± 2,556"
"Killeen city, Texas","3,801","± 1,405"
"Laredo city, Texas","3,958","± 1,505"
"League City city, Texas","4,497","± 1,269"
"Leander city, Texas","569","± 505"
"Lewisville city, Texas","7,597","± 1,782"
"Longview city, Texas","1,089","± 655"
"Lubbock city, Texas","7,225","± 1,552"
"McAllen city, Texas","1,530","± 594"
"McKinney city, Texas","10,645","± 2,519"
"Mansfield city, Texas","2,033","± 1,056"
"Mesquite city, Texas","3,669","± 1,741"
"Midland city, Texas","3,415","± 1,217"
"Mission city, Texas","1,655","± 725"
"New Braunfels city, Texas","4,672","± 1,723"
"North Richland Hills city, Texas","2,077","± 731"
"Odessa city, Texas","3,157","± 1,711"
"Pasadena city, Texas","5,160","± 1,096"
"Pearland city, Texas","1,767","± 793"
"Pharr city, Texas","369","± 434"
"Plano city, Texas","16,857","± 2,471"
"Richardson city, Texas","8,771","± 1,704"
"Round Rock city, Texas","4,720","± 1,542"
"San Angelo city, Texas","2,830","± 1,121"
"San Antonio city, Texas","50,306","± 4,979"
"San Marcos city, Texas","4,585","± 1,230"
"Temple city, Texas","2,815","± 1,133"
"The Woodlands CDP, Texas","4,612","± 1,454"
"Tyler city, Texas","4,298","± 1,187"
"Victoria city, Texas","1,827","± 981"
"Waco city, Texas","4,722","± 1,353"
"Wichita Falls city, Texas","3,049","± 848"
"Layton city, Utah","2,183","± 1,025"
"Lehi city, Utah","236","± 193"
"Ogden city, Utah","2,249","± 618"
"Orem city, Utah","3,020","± 1,061"
"Provo city, Utah","2,463","± 1,008"
"St. George city, Utah","2,197","± 861"
"Salt Lake City city, Utah","26,782","± 3,436"
"Sandy city, Utah","2,533","± 1,030"
"South Jordan city, Utah","2,068","± 995"
"West Jordan city, Utah","2,317","± 1,033"
"West Valley City city, Utah","1,571","± 759"
"Alexandria city, Virginia","29,580","± 2,315"
"Arlington CDP, Virginia","57,540","± 2,453"
"Centreville CDP, Virginia","773","± 533"
"Chesapeake city, Virginia","2,997","± 1,065"
"Hampton city, Virginia","1,832","± 754"
"Lynchburg city, Virginia","2,107","± 709"
"Newport News city, Virginia","4,096","± 1,230"
"Norfolk city, Virginia","11,172","± 2,188"
"Portsmouth city, Virginia","2,172","± 905"
"Reston CDP, Virginia","7,902","± 1,560"
"Richmond city, Virginia","18,641","± 2,421"
"Roanoke city, Virginia","2,425","± 1,263"
"Suffolk city, Virginia","2,177","± 799"
"Virginia Beach city, Virginia","11,919","± 1,690"
"Auburn city, Washington","3,060","± 1,126"
"Bellevue city, Washington","14,569","± 2,373"
"Bellingham city, Washington","3,937","± 1,096"
"Everett city, Washington","4,968","± 1,246"
"Federal Way city, Washington","3,008","± 1,021"
"Kennewick city, Washington","2,368","± 1,094"
"Kent city, Washington","6,352","± 1,684"
"Kirkland city, Washington","6,121","± 1,490"
"Marysville city, Washington","359","± 307"
"Pasco city, Washington","293","± 287"
"Redmond city, Washington","11,892","± 1,952"
"Renton city, Washington","6,277","± 1,466"
"Sammamish city, Washington","569","± 323"
"Seattle city, Washington","115,785","± 6,742"
"Shoreline city, Washington","4,166","± 1,486"
"South Hill CDP, Washington","917","± 720"
"Spokane city, Washington","6,783","± 1,385"
"Spokane Valley city, Washington","2,869","± 837"
"Tacoma city, Washington","10,243","± 1,888"
"Vancouver city, Washington","14,468","± 2,159"
"Yakima city, Washington","1,365","± 592"
"Appleton city, Wisconsin","940","± 429"
"Eau Claire city, Wisconsin","1,105","± 514"
"Green Bay city, Wisconsin","2,076","± 747"
"Janesville city, Wisconsin","591","± 332"
"Kenosha city, Wisconsin","1,571","± 653"
