"Geographic Area Name","Owner-occupied housing units (2021)","MoE"
"Bellflower city, California","8,958","± 1,052"
"Berkeley city, California","20,207","± 1,900"
"Buena Park city, California","14,260","± 1,552"
"Burbank city, California","19,869","± 1,751"
"Camarillo city, California","18,218","± 1,600"
"Carlsbad city, California","29,623","± 2,113"
"Carmichael CDP, California","16,613","± 1,596"
"Carson city, California","18,898","± 2,469"
"Castro Valley CDP, California","16,968","± 1,607"
"Chico city, California","18,155","± 1,533"
"Chino city, California","17,433","± 1,436"
"Chino Hills city, California","19,216","± 1,098"
"Chula Vista city, California","48,589","± 3,171"
"Citrus Heights city, California","19,866","± 1,599"
"Clovis city, California","26,752","± 1,688"
"Compton city, California","18,076","± 2,065"
"Concord city, California","26,282","± 2,443"
"Corona city, California","30,461","± 1,990"
"Costa Mesa city, California","17,501","± 2,014"
"Daly City city, California","19,328","± 1,880"
"Davis city, California","11,110","± 1,049"
"Downey city, California","18,808","± 1,611"
"Dublin city, California","16,823","± 1,430"
"East Los Angeles CDP, California","9,953","± 1,399"
"Eastvale city, California","14,514","± 2,031"
"El Cajon city, California","14,682","± 1,954"
"Elk Grove city, California","39,576","± 2,333"
"El Monte city, California","10,998","± 1,222"
"Escondido city, California","27,597","± 2,176"
"Fairfield city, California","22,271","± 2,002"
"Folsom city, California","19,994","± 2,165"
"Fontana city, California","39,490","± 2,324"
"Fremont city, California","46,436","± 2,372"
"Fresno city, California","91,233","± 3,202"
"Fullerton city, California","23,525","± 1,980"
"Garden Grove city, California","26,624","± 2,079"
"Glendale city, California","25,211","± 1,826"
"Hawthorne city, California","8,287","± 1,202"
"Hayward city, California","26,763","± 2,133"
"Hemet city, California","19,983","± 2,273"
"Hesperia city, California","19,187","± 2,063"
"Huntington Beach city, California","45,454","± 2,520"
"Indio city, California","22,265","± 2,004"
"Inglewood city, California","14,241","± 1,615"
"Irvine city, California","49,861","± 3,642"
"Jurupa Valley city, California","18,466","± 1,679"
"Lake Elsinore city, California","14,738","± 1,480"
"Lake Forest city, California","21,968","± 1,750"
"Lakewood city, California","19,374","± 1,779"
"Lancaster city, California","29,878","± 2,275"
"Livermore city, California","21,925","± 1,886"
"Lodi city, California","13,455","± 1,366"
"Long Beach city, California","69,470","± 3,159"
"Los Angeles city, California","521,485","± 8,336"
"Lynwood city, California","7,968","± 998"
"Madera city, California","8,852","± 1,471"
"Manteca city, California","19,842","± 1,734"
"Menifee city, California","27,879","± 2,626"
"Merced city, California","11,501","± 1,534"
"Milpitas city, California","14,299","± 1,259"
"Mission Viejo city, California","26,639","± 1,874"
"Modesto city, California","42,340","± 2,466"
"Moreno Valley city, California","33,152","± 2,250"
"Mountain View city, California","13,060","± 1,567"
"Murrieta city, California","25,860","± 1,925"
"Napa city, California","18,944","± 1,287"
"Newport Beach city, California","21,469","± 1,804"
"Norwalk city, California","18,333","± 1,528"
"Oakland city, California","72,661","± 3,159"
"Oceanside city, California","33,164","± 2,297"
"Ontario city, California","32,424","± 1,909"
"Orange city, California","24,222","± 1,884"
"Oxnard city, California","28,798","± 2,099"
"Palmdale city, California","31,401","± 2,034"
"Palo Alto city, California","13,122","± 1,368"
"Pasadena city, California","24,481","± 1,975"
"Perris city, California","13,101","± 1,507"
"Pittsburg city, California","12,939","± 1,579"
"Pleasanton city, California","19,339","± 1,794"
"Pomona city, California","20,591","± 1,792"
"Rancho Cordova city, California","16,825","± 1,375"
"Rancho Cucamonga city, California","33,694","± 2,411"
"Redding city, California","18,438","± 1,724"
"Redlands city, California","13,896","± 2,111"
"Redondo Beach city, California","14,869","± 2,100"
"Redwood City city, California","16,075","± 1,610"
"Rialto city, California","17,989","± 1,645"
"Richmond city, California","21,432","± 1,832"
"Riverside city, California","51,211","± 2,744"
"Rocklin city, California","17,025","± 1,461"
"Roseville city, California","39,453","± 2,311"
"Sacramento city, California","103,994","± 4,057"
"Salinas city, California","17,086","± 1,647"
"San Bernardino city, California","32,391","± 2,610"
"San Buenaventura (Ventura) city, California","25,572","± 1,917"
"San Diego city, California","251,507","± 6,439"
"San Francisco city, California","140,809","± 5,219"
"San Jose city, California","179,797","± 4,467"
"San Leandro city, California","18,647","± 1,950"
"San Marcos city, California","21,988","± 2,186"
"San Mateo city, California","20,909","± 1,762"
"San Ramon city, California","20,716","± 1,588"
"Santa Ana city, California","35,317","± 2,341"
"Santa Barbara city, California","13,275","± 1,395"
"Santa Clara city, California","21,129","± 1,872"
"Santa Clarita city, California","53,424","± 2,527"
"Santa Maria city, California","15,080","± 1,592"
"Santa Monica city, California","14,319","± 1,763"
"Santa Rosa city, California","37,315","± 2,837"
"Simi Valley city, California","32,907","± 2,322"
"South Gate city, California","12,191","± 1,299"
"Stockton city, California","53,081","± 2,891"
"Sunnyvale city, California","27,299","± 2,048"
"Temecula city, California","23,633","± 2,037"
"Thousand Oaks city, California","31,902","± 2,191"
"Torrance city, California","32,109","± 2,297"
"Tracy city, California","17,999","± 2,107"
"Tulare city, California","13,252","± 1,667"
"Turlock city, California","13,784","± 2,005"
"Tustin city, California","13,530","± 1,789"
"Union City city, California","14,374","± 1,270"
"Upland city, California","14,029","± 1,276"
"Vacaville city, California","21,792","± 2,190"
"Vallejo city, California","25,911","± 2,153"
"Victorville city, California","23,477","± 2,235"
"Visalia city, California","25,784","± 2,583"
"Vista city, California","14,381","± 1,782"
"Walnut Creek city, California","20,349","± 1,699"
"West Covina city, California","19,752","± 1,463"
"Westminster city, California","13,512","± 1,597"
"Whittier city, California","16,521","± 1,409"
"Yorba Linda city, California","19,302","± 1,402"
"Yuba City city, California","13,479","± 1,621"
"Arvada city, Colorado","38,303","± 2,009"
"Aurora city, Colorado","89,615","± 3,753"
"Boulder city, Colorado","19,576","± 1,581"
"Broomfield city, Colorado","20,238","± 1,098"
"Castle Rock town, Colorado","21,546","± 1,673"
"Centennial city, Colorado","31,356","± 1,650"
"Colorado Springs city, Colorado","123,398","± 4,068"
"Denver city, Colorado","164,429","± 4,583"
"Fort Collins city, Colorado","37,255","± 2,210"
"Grand Junction city, Colorado","16,594","± 1,631"
"Greeley city, Colorado","23,777","± 1,766"
"Highlands Ranch CDP, Colorado","30,949","± 1,809"
"Lakewood city, Colorado","42,066","± 2,390"
"Longmont city, Colorado","27,720","± 1,694"
"Loveland city, Colorado","22,504","± 2,141"
"Pueblo city, Colorado","29,171","± 1,901"
"Thornton city, Colorado","36,980","± 2,231"
"Westminster city, Colorado","30,424","± 1,679"
"Bridgeport city, Connecticut","24,938","± 2,623"
"Danbury city, Connecticut","20,185","± 1,903"
"Hartford city, Connecticut","13,034","± 1,630"
"New Britain city, Connecticut","12,840","± 1,659"
"New Haven city, Connecticut","14,413","± 1,990"
"Norwalk city, Connecticut","21,196","± 1,676"
"Stamford city, Connecticut","25,833","± 2,199"
"Waterbury city, Connecticut","20,478","± 2,142"
"Wilmington city, Delaware","16,579","± 1,735"
"Washington city, District of Columbia","132,936","± 4,071"
"Alafaya CDP, Florida","20,104","± 3,058"
"Boca Raton city, Florida","27,835","± 2,160"
"Boynton Beach city, Florida","20,730","± 2,355"
"Brandon CDP, Florida","24,495","± 2,052"
"Cape Coral city, Florida","61,776","± 3,645"
"Clearwater city, Florida","29,530","± 2,087"
"Coral Springs city, Florida","26,450","± 2,089"
"Davie town, Florida","25,849","± 1,892"
"Daytona Beach city, Florida","18,023","± 1,881"
"Deerfield Beach city, Florida","25,052","± 2,481"
"Delray Beach city, Florida","19,949","± 2,006"
"Deltona city, Florida","27,954","± 2,206"
"Doral city, Florida","11,324","± 1,542"
"Fort Lauderdale city, Florida","45,636","± 2,906"
"Fort Myers city, Florida","17,570","± 2,186"
"Gainesville city, Florida","23,345","± 2,521"
"Hialeah city, Florida","35,676","± 2,254"
"Hollywood city, Florida","36,410","± 2,933"
"Homestead city, Florida","14,924","± 2,293"
"Horizon West CDP, Florida","15,618","± 3,087"
"Jacksonville city, Florida","226,429","± 5,690"
"Kendall CDP, Florida","21,626","± 2,200"
"Kissimmee city, Florida","11,911","± 1,812"
"Lakeland city, Florida","25,966","± 2,280"
"Largo city, Florida","22,053","± 2,157"
"Lauderhill city, Florida","13,868","± 1,694"
"Lehigh Acres CDP, Florida","29,441","± 2,185"
"Melbourne city, Florida","23,745","± 2,167"
"Miami city, Florida","58,463","± 3,832"
"Miami Beach city, Florida","14,462","± 1,733"
"Miami Gardens city, Florida","23,159","± 2,387"
"Miramar city, Florida","31,043","± 2,295"
"North Port city, Florida","23,601","± 3,159"
"Orlando city, Florida","49,048","± 3,336"
"Palm Bay city, Florida","34,798","± 3,287"
"Palm Coast city, Florida","30,396","± 2,049"
"Pembroke Pines city, Florida","44,517","± 2,756"
"Pine Hills CDP, Florida","13,169","± 1,646"
"Plantation city, Florida","24,029","± 2,072"
"Poinciana CDP, Florida","16,412","± 2,938"
"Pompano Beach city, Florida","27,170","± 2,912"
"Port Charlotte CDP, Florida","23,660","± 2,109"
"Port St. Lucie city, Florida","64,490","± 4,016"
"Riverview CDP, Florida","28,742","± 2,793"
"St. Petersburg city, Florida","70,149","± 3,162"
"Spring Hill CDP, Florida","37,177","± 2,002"
"Sunrise city, Florida","23,247","± 2,587"
"Tallahassee city, Florida","35,632","± 2,561"
"Tamarac city, Florida","20,752","± 2,023"
"Tampa city, Florida","84,660","± 3,667"
"The Villages CDP, Florida","44,404","± 2,611"
"Town 'n' Country CDP, Florida","20,766","± 2,373"
"Wesley Chapel CDP, Florida","17,380","± 1,732"
"Weston city, Florida","14,914","± 1,379"
"West Palm Beach city, Florida","25,421","± 2,695"
"Albany city, Georgia","11,091","± 1,244"
"Alpharetta city, Georgia","16,311","± 1,354"
"Athens-Clarke County unified government (balance), Georgia","21,354","± 1,790"
"Atlanta city, Georgia","113,092","± 5,588"
"Augusta-Richmond County consolidated government (balance), Georgia","37,458","± 2,835"
"Columbus city, Georgia","39,383","± 2,656"
"Johns Creek city, Georgia","22,634","± 2,376"
"Macon-Bibb County, Georgia","32,179","± 2,216"
"Roswell city, Georgia","25,681","± 2,595"
"Sandy Springs city, Georgia","26,977","± 2,025"
"Savannah city, Georgia","28,083","± 2,487"
"South Fulton city, Georgia","27,767","± 3,140"
"Warner Robins city, Georgia","16,030","± 1,887"
"Urban Honolulu CDP, Hawaii","68,458","± 3,395"
"Boise City city, Idaho","62,684","± 2,808"
"Idaho Falls city, Idaho","16,317","± 1,174"
"Meridian city, Idaho","36,929","± 3,179"
"Nampa city, Idaho","26,593","± 1,898"
"Arlington Heights village, Illinois","23,138","± 1,634"
"Aurora city, Illinois","43,361","± 2,699"
"Bloomington city, Illinois","20,370","± 1,456"
"Bolingbrook village, Illinois","19,355","± 1,541"
"Champaign city, Illinois","17,362","± 1,788"
"Chicago city, Illinois","530,977","± 11,139"
"Cicero town, Illinois","13,719","± 1,590"
"Decatur city, Illinois","19,784","± 1,107"
"Elgin city, Illinois","28,944","± 2,324"
"Evanston city, Illinois","17,816","± 1,804"
"Joliet city, Illinois","38,308","± 2,492"
"Naperville city, Illinois","40,971","± 1,779"
"Palatine village, Illinois","18,032","± 2,023"
"Peoria city, Illinois","30,386","± 1,891"
"Rockford city, Illinois","31,284","± 2,053"
"Schaumburg village, Illinois","19,903","± 1,763"
"Skokie village, Illinois","16,573","± 1,479"
"Springfield city, Illinois","33,394","± 2,034"
"Waukegan city, Illinois","15,438","± 1,549"
"Bloomington city, Indiana","12,039","± 1,306"
"Carmel city, Indiana","28,830","± 1,992"
"Evansville city, Indiana","29,130","± 1,922"
"Fishers city, Indiana","27,512","± 2,139"
"Fort Wayne city, Indiana","68,004","± 2,805"
"Hammond city, Indiana","17,877","± 1,751"
"Indianapolis city (balance), Indiana","201,149","± 5,186"
"Lafayette city, Indiana","15,768","± 1,700"
"Noblesville city, Indiana","17,451","± 2,158"
"South Bend city, Indiana","25,976","± 2,044"
"Ames city, Iowa","11,138","± 1,038"
"Ankeny city, Iowa","18,862","± 1,985"
"Cedar Rapids city, Iowa","42,205","± 1,968"
"Davenport city, Iowa","29,408","± 1,663"
"Des Moines city, Iowa","57,606","± 2,549"
"Iowa City city, Iowa","14,802","± 1,480"
"Sioux City city, Iowa","23,780","± 1,308"
"Waterloo city, Iowa","18,803","± 1,210"
"West Des Moines city, Iowa","18,808","± 2,005"
"Kansas City city, Kansas","34,631","± 1,824"
"Lawrence city, Kansas","17,610","± 1,744"
"Olathe city, Kansas","40,494","± 2,246"
"Overland Park city, Kansas","50,359","± 2,164"
"Shawnee city, Kansas","19,611","± 1,708"
"Topeka city, Kansas","32,592","± 1,943"
"Wichita city, Kansas","91,527","± 3,461"
"Bowling Green city, Kentucky","10,347","± 1,401"
"Lexington-Fayette urban county, Kentucky","75,129","± 2,457"
"Louisville/Jefferson County metro government (balance), Kentucky","161,709","± 4,076"
"Baton Rouge city, Louisiana","41,267","± 3,251"
"Kenner city, Louisiana","15,833","± 2,077"
"Lafayette city, Louisiana","27,542","± 2,183"
"Lake Charles city, Louisiana","17,981","± 2,304"
"Metairie CDP, Louisiana","41,034","± 2,530"
"New Orleans city, Louisiana","83,516","± 2,852"
"Shreveport city, Louisiana","40,664","± 2,604"
"Portland city, Maine","15,631","± 1,436"
"Baltimore city, Maryland","123,249","± 4,168"
"Bethesda CDP, Maryland","18,220","± 1,502"
"Columbia CDP, Maryland","27,629","± 1,842"
"Ellicott City CDP, Maryland","20,779","± 1,435"
"Frederick city, Maryland","20,226","± 2,006"
"Gaithersburg city, Maryland","12,715","± 1,454"
"Germantown CDP, Maryland","20,251","± 1,924"
"Glen Burnie CDP, Maryland","18,169","± 2,196"
"Rockville city, Maryland","14,315","± 1,339"
"Silver Spring CDP, Maryland","13,362","± 1,381"
"Waldorf CDP, Maryland","20,884","± 1,856"
"Boston city, Massachusetts","94,497","± 3,897"
"Brockton city, Massachusetts","22,265","± 2,102"
"Cambridge city, Massachusetts","15,825","± 1,624"
"Fall River city, Massachusetts","14,424","± 1,685"
"Framingham city, Massachusetts","14,452","± 1,516"
"Haverhill city, Massachusetts","15,244","± 1,262"
"Lawrence city, Massachusetts","8,775","± 1,340"
"Lowell city, Massachusetts","19,774","± 2,061"
"Lynn city, Massachusetts","19,807","± 2,044"
"Malden city, Massachusetts","11,467","± 1,558"
"New Bedford city, Massachusetts","16,974","± 1,646"
"Newton city, Massachusetts","21,966","± 1,182"
"Quincy city, Massachusetts","19,903","± 1,686"
"Somerville city, Massachusetts","13,487","± 1,687"
"Springfield city, Massachusetts","28,013","± 2,283"
"Worcester city, Massachusetts","32,714","± 2,897"
"Ann Arbor city, Michigan","23,474","± 1,567"
"Dearborn city, Michigan","24,777","± 1,709"
"Detroit city, Michigan","129,084","± 4,131"
"Farmington Hills city, Michigan","22,429","± 1,714"
"Flint city, Michigan","18,337","± 1,975"
"Grand Rapids city, Michigan","44,840","± 2,441"
"Kalamazoo city, Michigan","13,196","± 1,696"
"Lansing city, Michigan","28,084","± 1,947"
"Livonia city, Michigan","33,409","± 2,117"
"Novi city, Michigan","18,798","± 1,397"
"Rochester Hills city, Michigan","21,367","± 1,235"
"Southfield city, Michigan","19,567","± 1,571"
"Sterling Heights city, Michigan","39,904","± 2,169"
"Troy city, Michigan","25,017","± 1,359"
"Warren city, Michigan","40,699","± 2,484"
"Westland city, Michigan","23,179","± 2,056"
"Wyoming city, Michigan","17,907","± 1,826"
"Blaine city, Minnesota","21,808","± 1,644"
"Bloomington city, Minnesota","25,588","± 1,677"
"Brooklyn Park city, Minnesota","22,771","± 1,788"
"Duluth city, Minnesota","21,949","± 1,513"
"Eagan city, Minnesota","20,075","± 1,555"
"Lakeville city, Minnesota","21,609","± 1,345"
"Maple Grove city, Minnesota","23,783","± 1,510"
"Minneapolis city, Minnesota","93,981","± 4,072"
"Plymouth city, Minnesota","23,814","± 1,806"
"Rochester city, Minnesota","32,949","± 1,614"
"St. Cloud city, Minnesota","14,728","± 1,740"
"St. Paul city, Minnesota","67,642","± 2,759"
"Woodbury city, Minnesota","21,783","± 1,397"
"Gulfport city, Mississippi","14,362","± 1,632"
"Jackson city, Mississippi","28,891","± 1,954"
"Columbia city, Missouri","25,189","± 1,802"
"Independence city, Missouri","33,922","± 2,327"
"Kansas City city, Missouri","118,384","± 4,060"
"Lee's Summit city, Missouri","28,529","± 1,669"
"O'Fallon city, Missouri","27,577","± 1,874"
"St. Charles city, Missouri","20,081","± 1,250"
"St. Joseph city, Missouri","17,413","± 1,515"
"St. Louis city, Missouri","63,653","± 2,695"
"Springfield city, Missouri","35,203","± 2,154"
"Billings city, Montana","33,559","± 1,806"
"Missoula city, Montana","15,207","± 1,500"
"Lincoln city, Nebraska","70,003","± 2,503"
"Omaha city, Nebraska","117,404","± 3,271"
"Enterprise CDP, Nevada","53,020","± 2,900"
"Henderson city, Nevada","80,562","± 3,463"
"Las Vegas city, Nevada","138,677","± 4,855"
"North Las Vegas city, Nevada","51,443","± 3,103"
"Paradise CDP, Nevada","33,900","± 2,687"
"Reno city, Nevada","54,158","± 2,733"
"Sparks city, Nevada","27,168","± 2,353"
"Spring Valley CDP, Nevada","40,227","± 2,859"
"Sunrise Manor CDP, Nevada","34,333","± 2,399"
"Manchester city, New Hampshire","23,884","± 1,913"
"Nashua city, New Hampshire","20,206","± 1,819"
"Bayonne city, New Jersey","9,807","± 1,336"
"Camden city, New Jersey","8,557","± 1,489"
"Clifton city, New Jersey","19,414","± 1,892"
"East Orange city, New Jersey","9,207","± 1,419"
"Elizabeth city, New Jersey","11,319","± 1,692"
"Jersey City city, New Jersey","34,358","± 2,755"
"Lakewood CDP, New Jersey","5,634","± 1,640"
"Newark city, New Jersey","24,002","± 2,604"
"Passaic city, New Jersey","4,640","± 967"
"Paterson city, New Jersey","12,739","± 1,846"
"Toms River CDP, New Jersey","27,960","± 2,182"
"Trenton city, New Jersey","13,827","± 2,337"
"Union City city, New Jersey","4,900","± 1,086"
"Albuquerque city, New Mexico","147,964","± 3,964"
"Las Cruces city, New Mexico","24,866","± 2,200"
"Rio Rancho city, New Mexico","32,422","± 1,776"
"Santa Fe city, New Mexico","27,861","± 1,746"
"Albany city, New York","17,296","± 2,447"
"Buffalo city, New York","54,108","± 3,119"
"Cheektowaga CDP, New York","23,806","± 1,732"
"Mount Vernon city, New York","12,980","± 1,562"
"New Rochelle city, New York","17,578","± 2,037"
"New York city, New York","1,085,936","± 14,558"
"Rochester city, New York","38,125","± 2,570"
"Schenectady city, New York","13,589","± 1,849"
"Syracuse city, New York","27,039","± 1,780"
"Yonkers city, New York","40,385","± 3,292"
"Asheville city, North Carolina","20,896","± 2,059"
"Cary town, North Carolina","44,779","± 2,559"
"Charlotte city, North Carolina","193,930","± 5,065"
"Concord city, North Carolina","24,616","± 2,151"
"Durham city, North Carolina","62,550","± 3,439"
"Fayetteville city, North Carolina","38,079","± 1,693"
"Gastonia city, North Carolina","17,830","± 1,786"
"Greensboro city, North Carolina","69,834","± 3,593"
"Greenville city, North Carolina","12,529","± 1,524"
"High Point city, North Carolina","24,359","± 2,188"
"Jacksonville city, North Carolina","7,704","± 1,661"
"Raleigh city, North Carolina","103,367","± 4,422"
"Wilmington city, North Carolina","27,455","± 1,867"
"Winston-Salem city, North Carolina","56,834","± 2,429"
"Bismarck city, North Dakota","20,389","± 1,286"
"Fargo city, North Dakota","25,536","± 2,716"
"Akron city, Ohio","42,714","± 2,296"
"Canton city, Ohio","16,922","± 2,190"
"Cincinnati city, Ohio","55,411","± 3,248"
"Cleveland city, Ohio","67,039","± 3,634"
"Columbus city, Ohio","175,427","± 4,952"
"Dayton city, Ohio","27,278","± 2,550"
"Lorain city, Ohio","15,723","± 1,414"
"Parma city, Ohio","24,934","± 2,009"
"Toledo city, Ohio","67,831","± 3,175"
"Broken Arrow city, Oklahoma","32,859","± 1,468"
"Edmond city, Oklahoma","26,293","± 1,621"
"Lawton city, Oklahoma","14,221","± 1,417"
"Norman city, Oklahoma","27,203","± 1,901"
"Oklahoma City city, Oklahoma","164,470","± 4,767"
"Tulsa city, Oklahoma","89,307","± 2,311"
"Beaverton city, Oregon","19,674","± 2,160"
"Bend city, Oregon","30,412","± 2,542"
"Eugene city, Oregon","38,201","± 2,353"
"Gresham city, Oregon","25,532","± 2,259"
"Hillsboro city, Oregon","20,442","± 1,938"
"Medford city, Oregon","22,221","± 1,487"
"Portland city, Oregon","153,121","± 3,285"
"Salem city, Oregon","36,174","± 2,249"
"Allentown city, Pennsylvania","19,662","± 2,317"
"Bethlehem city, Pennsylvania","15,875","± 1,501"
"Erie city, Pennsylvania","21,061","± 1,793"
"Philadelphia city, Pennsylvania","348,935","± 7,172"
"Pittsburgh city, Pennsylvania","66,729","± 3,046"
"Reading city, Pennsylvania","12,833","± 1,671"
"Scranton city, Pennsylvania","16,172","± 1,372"
"Cranston city, Rhode Island","23,083","± 2,189"
"Pawtucket city, Rhode Island","14,803","± 1,626"
"Providence city, Rhode Island","27,713","± 2,736"
"Warwick city, Rhode Island","26,983","± 1,953"
"Charleston city, South Carolina","36,857","± 2,815"
"Columbia city, South Carolina","23,564","± 2,165"
"Greenville city, South Carolina","13,514","± 1,366"
"Mount Pleasant town, South Carolina","28,130","± 2,318"
"North Charleston city, South Carolina","25,582","± 2,793"
"Rock Hill city, South Carolina","16,120","± 1,848"
"Rapid City city, South Dakota","21,223","± 1,632"
"Sioux Falls city, South Dakota","51,017","± 2,406"
"Chattanooga city, Tennessee","41,455","± 2,586"
"Clarksville city, Tennessee","34,601","± 2,961"
"Franklin city, Tennessee","22,105","± 1,577"
"Jackson city, Tennessee","13,878","± 1,330"
"Johnson City city, Tennessee","15,041","± 1,690"
"Knoxville city, Tennessee","40,535","± 2,777"
"Memphis city, Tennessee","119,622","± 4,608"
"Murfreesboro city, Tennessee","35,354","± 2,880"
"Nashville-Davidson metropolitan government (balance), Tennessee","162,426","± 4,073"
"Abilene city, Texas","27,148","± 2,186"
"Allen city, Texas","26,252","± 2,391"
"Amarillo city, Texas","48,900","± 2,664"
"Arlington city, Texas","78,883","± 4,029"
"Atascocita CDP, Texas","24,796","± 4,468"
"Austin city, Texas","196,458","± 7,220"
"Baytown city, Texas","14,353","± 1,930"
"Beaumont city, Texas","24,674","± 1,818"
"Brownsville city, Texas","34,440","± 2,442"
"Bryan city, Texas","14,206","± 1,918"
"Carrollton city, Texas","28,355","± 2,390"
"Cedar Park city, Texas","19,960","± 2,096"
"College Station city, Texas","16,867","± 1,518"
"Conroe city, Texas","21,695","± 2,494"
"Corpus Christi city, Texas","67,874","± 3,440"
"Dallas city, Texas","229,518","± 6,529"
"Denton city, Texas","27,294","± 2,349"
"Edinburg city, Texas","18,418","± 2,037"
"El Paso city, Texas","147,788","± 4,560"
"Flower Mound town, Texas","22,860","± 1,314"
"Fort Worth city, Texas","185,197","± 6,665"
"Frisco city, Texas","46,921","± 2,563"
"Garland city, Texas","46,943","± 3,379"
"Georgetown city, Texas","21,162","± 1,918"
"Grand Prairie city, Texas","36,706","± 2,433"
"Harlingen city, Texas","16,053","± 1,728"
"Houston city, Texas","390,226","± 9,351"
"Irving city, Texas","34,544","± 2,143"
"Killeen city, Texas","27,360","± 2,740"
"Laredo city, Texas","48,145","± 2,449"
"League City city, Texas","33,163","± 2,135"
"Leander city, Texas","18,282","± 2,203"
"Lewisville city, Texas","21,108","± 1,993"
"Longview city, Texas","16,342","± 1,650"
"Lubbock city, Texas","53,722","± 2,492"
"McAllen city, Texas","28,632","± 2,877"
"McKinney city, Texas","47,064","± 3,074"
"Mansfield city, Texas","17,817","± 1,934"
"Mesquite city, Texas","33,675","± 2,452"
"Midland city, Texas","35,209","± 2,813"
"Mission city, Texas","18,452","± 2,132"
"Missouri City city, Texas","22,759","± 2,271"
"New Braunfels city, Texas","23,189","± 2,600"
"North Richland Hills city, Texas","16,495","± 1,678"
"Odessa city, Texas","29,380","± 2,485"
"Pasadena city, Texas","28,954","± 2,851"
"Pearland city, Texas","31,827","± 2,831"
"Pflugerville city, Texas","17,412","± 2,226"
"Pharr city, Texas","14,397","± 2,410"
"Plano city, Texas","60,883","± 3,058"
"Richardson city, Texas","25,448","± 1,879"
"Round Rock city, Texas","26,607","± 2,482"
"San Angelo city, Texas","25,065","± 1,726"
"San Antonio city, Texas","290,123","± 6,616"
"San Marcos city, Texas","6,999","± 1,509"
"Spring CDP, Texas","17,372","± 2,865"
"Sugar Land city, Texas","30,156","± 2,199"
"Temple city, Texas","18,005","± 1,920"
"The Woodlands CDP, Texas","33,234","± 3,797"
"Tyler city, Texas","19,913","± 1,879"
"Victoria city, Texas","13,992","± 1,617"
"Waco city, Texas","26,055","± 2,114"
"Wichita Falls city, Texas","21,943","± 1,463"
"Layton city, Utah","18,996","± 1,556"
"Lehi city, Utah","17,065","± 1,588"
"Ogden city, Utah","20,013","± 1,594"
"Orem city, Utah","19,808","± 1,520"
"Provo city, Utah","12,193","± 1,076"
"St. George city, Utah","22,579","± 2,437"
"Salt Lake City city, Utah","42,681","± 2,766"
"Sandy city, Utah","25,988","± 1,694"
"South Jordan city, Utah","20,911","± 1,643"
"West Jordan city, Utah","27,491","± 2,005"
"West Valley City city, Utah","29,620","± 1,830"
"Alexandria city, Virginia","31,137","± 2,219"
"Arlington CDP, Virginia","47,577","± 2,397"
"Centreville CDP, Virginia","18,513","± 1,542"
"Chesapeake city, Virginia","69,186","± 2,785"
"Dale City CDP, Virginia","18,463","± 1,599"
"Hampton city, Virginia","31,662","± 1,797"
"Lynchburg city, Virginia","14,756","± 1,546"
"Newport News city, Virginia","36,527","± 2,665"
"Norfolk city, Virginia","44,867","± 2,162"
"Portsmouth city, Virginia","22,918","± 1,573"
"Richmond city, Virginia","44,985","± 2,308"
"Roanoke city, Virginia","21,998","± 1,731"
"Suffolk city, Virginia","26,651","± 1,643"
