"Geographic Area Name","Total Units (2021)","MoE"
"Idaho Falls city, Idaho","25,993","± 1,405"
"Meridian city, Idaho","48,218","± 2,919"
"Nampa city, Idaho","38,826","± 1,828"
"Arlington Heights village, Illinois","33,260","± 1,984"
"Aurora city, Illinois","64,677","± 2,763"
"Bloomington city, Illinois","36,236","± 1,319"
"Bolingbrook village, Illinois","25,524","± 1,646"
"Champaign city, Illinois","41,755","± 2,147"
"Chicago city, Illinois","1,272,191","± 10,075"
"Cicero town, Illinois","25,983","± 2,075"
"Decatur city, Illinois","36,518","± 1,264"
"Elgin city, Illinois","41,458","± 1,964"
"Evanston city, Illinois","34,093","± 2,228"
"Joliet city, Illinois","53,989","± 2,317"
"Naperville city, Illinois","56,443","± 2,334"
"Palatine village, Illinois","28,010","± 1,973"
"Peoria city, Illinois","53,890","± 1,728"
"Rockford city, Illinois","66,905","± 2,322"
"Schaumburg village, Illinois","32,977","± 2,015"
"Skokie village, Illinois","24,783","± 1,873"
"Springfield city, Illinois","57,997","± 1,883"
"Waukegan city, Illinois","31,673","± 1,945"
"Bloomington city, Indiana","35,873","± 2,044"
"Carmel city, Indiana","42,773","± 2,060"
"Evansville city, Indiana","58,844","± 1,788"
"Fishers city, Indiana","37,546","± 2,305"
"Fort Wayne city, Indiana","117,245","± 2,357"
"Hammond city, Indiana","33,703","± 1,983"
"Indianapolis city (balance), Indiana","399,820","± 2,480"
"Lafayette city, Indiana","32,933","± 2,062"
"Noblesville city, Indiana","25,883","± 2,203"
"South Bend city, Indiana","49,249","± 2,328"
"Ames city, Iowa","27,954","± 1,107"
"Ankeny city, Iowa","28,444","± 1,940"
"Cedar Rapids city, Iowa","64,442","± 1,925"
"Davenport city, Iowa","49,139","± 1,558"
"Des Moines city, Iowa","97,957","± 3,101"
"Iowa City city, Iowa","33,875","± 1,928"
"Sioux City city, Iowa","35,109","± 926"
"Waterloo city, Iowa","33,190","± 1,143"
"West Des Moines city, Iowa","37,031","± 2,316"
"Kansas City city, Kansas","63,738","± 967"
"Lawrence city, Kansas","44,551","± 1,077"
"Olathe city, Kansas","54,720","± 2,203"
"Overland Park city, Kansas","85,708","± 2,046"
"Shawnee city, Kansas","28,651","± 1,876"
"Topeka city, Kansas","61,068","± 1,353"
"Wichita city, Kansas","176,357","± 2,140"
"Bowling Green city, Kentucky","32,531","± 1,672"
