"Geographic Area Name","10 to 19 (2021)","MoE"
"Long Beach city, California","19,386","± 2,806"
"Los Angeles city, California","146,180","± 6,923"
"Lynwood city, California","1,334","± 615"
"Madera city, California","233","± 263"
"Manteca city, California","974","± 672"
"Merced city, California","755","± 534"
"Milpitas city, California","1,097","± 532"
"Mission Viejo city, California","1,333","± 594"
"Modesto city, California","1,561","± 780"
"Moreno Valley city, California","1,503","± 847"
"Mountain View city, California","3,606","± 974"
"Murrieta city, California","1,518","± 903"
"Napa city, California","1,008","± 583"
"Newport Beach city, California","1,028","± 527"
"Norwalk city, California","296","± 255"
"Oakland city, California","12,848","± 1,832"
"Oceanside city, California","4,157","± 1,335"
"Ontario city, California","1,649","± 798"
"Orange city, California","957","± 532"
"Oxnard city, California","4,290","± 1,136"
"Palmdale city, California","1,298","± 713"
"Palo Alto city, California","641","± 343"
"Pasadena city, California","5,783","± 1,183"
"Pittsburg city, California","1,355","± 748"
"Pleasanton city, California","513","± 353"
"Pomona city, California","1,878","± 830"
"Rancho Cordova city, California","1,576","± 813"
"Rancho Cucamonga city, California","955","± 565"
"Redding city, California","524","± 493"
"Redlands city, California","899","± 630"
"Redondo Beach city, California","1,881","± 885"
"Redwood City city, California","2,594","± 1,044"
"Rialto city, California","210","± 227"
"Richmond city, California","1,938","± 976"
"Riverside city, California","6,556","± 1,666"
"Rocklin city, California","862","± 514"
"Roseville city, California","1,689","± 670"
"Sacramento city, California","10,426","± 2,024"
"Salinas city, California","4,119","± 1,025"
"San Bernardino city, California","2,976","± 972"
"San Buenaventura (Ventura) city, California","2,878","± 998"
"San Diego city, California","41,283","± 4,297"
"San Francisco city, California","38,452","± 3,847"
"San Jose city, California","15,454","± 2,079"
"San Leandro city, California","1,146","± 592"
"San Marcos city, California","1,014","± 604"
"San Mateo city, California","2,098","± 832"
"San Ramon city, California","957","± 505"
"Santa Ana city, California","7,126","± 1,199"
"Santa Barbara city, California","3,620","± 1,060"
"Santa Clara city, California","3,365","± 1,166"
"Santa Clarita city, California","3,277","± 998"
"Santa Maria city, California","1,992","± 713"
"Santa Monica city, California","9,809","± 1,849"
"Santa Rosa city, California","3,246","± 1,096"
"Simi Valley city, California","1,024","± 624"
"South Gate city, California","1,153","± 496"
"Stockton city, California","4,443","± 1,029"
"Sunnyvale city, California","3,035","± 773"
"Temecula city, California","1,592","± 864"
"Thousand Oaks city, California","1,295","± 614"
"Torrance city, California","2,914","± 923"
"Tracy city, California","222","± 175"
"Tulare city, California","131","± 156"
"Turlock city, California","826","± 554"
"Tustin city, California","1,682","± 735"
"Union City city, California","486","± 341"
"Upland city, California","1,345","± 643"
"Vacaville city, California","1,171","± 929"
"Vallejo city, California","1,341","± 726"
"Victorville city, California","1,010","± 679"
"Visalia city, California","468","± 403"
"Vista city, California","4,455","± 1,394"
"Walnut Creek city, California","1,164","± 435"
"West Covina city, California","1,371","± 558"
"Westminster city, California","878","± 459"
"Whittier city, California","1,540","± 546"
"Yorba Linda city, California","408","± 294"
"Yuba City city, California","859","± 632"
"Arvada city, Colorado","2,582","± 751"
"Aurora city, Colorado","16,484","± 2,174"
"Boulder city, Colorado","5,048","± 1,066"
"Broomfield city, Colorado","1,782","± 603"
"Castle Rock town, Colorado","1,313","± 629"
"Centennial city, Colorado","470","± 286"
"Colorado Springs city, Colorado","13,684","± 2,420"
"Denver city, Colorado","24,665","± 3,153"
"Fort Collins city, Colorado","5,741","± 1,546"
"Grand Junction city, Colorado","795","± 447"
"Greeley city, Colorado","2,555","± 765"
"Highlands Ranch CDP, Colorado","1,286","± 576"
"Lakewood city, Colorado","6,925","± 1,238"
"Longmont city, Colorado","3,614","± 1,153"
"Loveland city, Colorado","1,299","± 535"
"Pueblo city, Colorado","1,868","± 745"
"Thornton city, Colorado","3,906","± 1,155"
"Westminster city, Colorado","4,954","± 1,242"
"Bridgeport city, Connecticut","4,070","± 1,112"
"Danbury city, Connecticut","864","± 450"
"Hartford city, Connecticut","4,427","± 1,172"
"New Britain city, Connecticut","1,226","± 582"
"New Haven city, Connecticut","3,960","± 1,162"
"Norwalk city, Connecticut","2,794","± 872"
"Stamford city, Connecticut","2,371","± 1,293"
"Waterbury city, Connecticut","3,871","± 1,129"
"Wilmington city, Delaware","371","± 345"
"Washington city, District of Columbia","30,257","± 3,282"
"Alafaya CDP, Florida","3,859","± 1,760"
"Boca Raton city, Florida","1,481","± 590"
"Boynton Beach city, Florida","2,472","± 799"
"Brandon CDP, Florida","6,588","± 1,602"
"Cape Coral city, Florida","2,987","± 987"
"Clearwater city, Florida","6,730","± 1,333"
"Coral Springs city, Florida","4,911","± 1,302"
"Davie town, Florida","2,698","± 929"
"Daytona Beach city, Florida","2,775","± 1,118"
"Deerfield Beach city, Florida","5,699","± 1,666"
"Delray Beach city, Florida","2,426","± 865"
"Doral city, Florida","1,052","± 483"
"Fort Lauderdale city, Florida","5,935","± 1,331"
"Fort Myers city, Florida","5,983","± 1,650"
"Gainesville city, Florida","9,156","± 2,160"
"Hialeah city, Florida","4,452","± 1,145"
"Hollywood city, Florida","5,380","± 1,371"
"Homestead city, Florida","4,022","± 1,483"
"Jacksonville city, Florida","33,553","± 4,311"
"Kendall CDP, Florida","3,051","± 1,271"
"Kissimmee city, Florida","3,729","± 1,295"
"Lakeland city, Florida","4,186","± 1,395"
"Largo city, Florida","4,758","± 1,431"
"Lauderhill city, Florida","2,040","± 882"
"Lehigh Acres CDP, Florida","111","± 94"
"Melbourne city, Florida","2,681","± 827"
"Miami city, Florida","15,183","± 2,326"
"Miami Beach city, Florida","7,442","± 1,679"
"Miami Gardens city, Florida","788","± 472"
"Miramar city, Florida","4,629","± 1,848"
"Orlando city, Florida","21,621","± 3,363"
"Palm Bay city, Florida","1,143","± 777"
"Palm Coast city, Florida","247","± 258"
"Pembroke Pines city, Florida","4,018","± 1,377"
"Pine Hills CDP, Florida","2,153","± 815"
"Plantation city, Florida","3,091","± 1,125"
"Pompano Beach city, Florida","5,260","± 1,346"
"Port Charlotte CDP, Florida","1,273","± 741"
"Port St. Lucie city, Florida","1,499","± 785"
"Riverview CDP, Florida","2,446","± 1,121"
"St. Petersburg city, Florida","10,375","± 1,741"
"Spring Hill CDP, Florida","383","± 313"
"Sunrise city, Florida","4,263","± 1,394"
"Tallahassee city, Florida","6,551","± 1,843"
"Tamarac city, Florida","2,300","± 998"
"Tampa city, Florida","9,530","± 1,842"
"Town 'n' Country CDP, Florida","2,489","± 1,094"
"Wesley Chapel CDP, Florida","991","± 625"
"Weston city, Florida","686","± 445"
"West Palm Beach city, Florida","5,594","± 1,323"
"Albany city, Georgia","1,526","± 667"
"Alpharetta city, Georgia","2,370","± 881"
"Athens-Clarke County unified government (balance), Georgia","5,399","± 1,973"
"Atlanta city, Georgia","14,481","± 2,868"
"Augusta-Richmond County consolidated government (balance), Georgia","4,215","± 1,266"
"Columbus city, Georgia","4,827","± 1,719"
"Johns Creek city, Georgia","1,286","± 1,148"
"Macon-Bibb County, Georgia","3,059","± 1,200"
"Roswell city, Georgia","4,371","± 1,687"
"Sandy Springs city, Georgia","8,113","± 1,936"
"Savannah city, Georgia","2,639","± 867"
"South Fulton city, Georgia","1,022","± 642"
"Warner Robins city, Georgia","1,009","± 777"
"Urban Honolulu CDP, Hawaii","9,737","± 1,714"
"Boise City city, Idaho","5,658","± 1,542"
"Idaho Falls city, Idaho","981","± 514"
"Meridian city, Idaho","1,845","± 1,292"
"Nampa city, Idaho","958","± 702"
"Arlington Heights village, Illinois","1,420","± 791"
"Aurora city, Illinois","3,900","± 1,297"
"Bloomington city, Illinois","2,690","± 768"
"Bolingbrook village, Illinois","1,182","± 632"
"Champaign city, Illinois","6,943","± 1,616"
"Chicago city, Illinois","58,048","± 4,749"
"Cicero town, Illinois","670","± 423"
"Decatur city, Illinois","1,715","± 641"
"Elgin city, Illinois","1,908","± 763"
"Evanston city, Illinois","1,975","± 735"
"Joliet city, Illinois","1,769","± 631"
"Naperville city, Illinois","2,588","± 895"
"Palatine village, Illinois","1,835","± 725"
"Peoria city, Illinois","3,225","± 920"
"Rockford city, Illinois","2,961","± 878"
"Schaumburg village, Illinois","1,952","± 850"
"Skokie village, Illinois","1,204","± 626"
"Springfield city, Illinois","2,996","± 865"
"Waukegan city, Illinois","2,726","± 1,036"
"Bloomington city, Indiana","4,677","± 1,099"
"Carmel city, Indiana","3,057","± 1,184"
"Evansville city, Indiana","2,266","± 817"
"Fort Wayne city, Indiana","6,622","± 1,453"
"Hammond city, Indiana","2,004","± 633"
"Indianapolis city (balance), Indiana","25,013","± 3,348"
"Lafayette city, Indiana","2,599","± 1,005"
"Noblesville city, Indiana","981","± 728"
"South Bend city, Indiana","2,409","± 1,002"
"Ames city, Iowa","4,402","± 1,187"
"Ankeny city, Iowa","1,117","± 617"
"Cedar Rapids city, Iowa","5,832","± 1,569"
"Davenport city, Iowa","3,336","± 1,189"
"Des Moines city, Iowa","3,767","± 1,041"
"Iowa City city, Iowa","4,272","± 1,205"
"Sioux City city, Iowa","802","± 420"
"Waterloo city, Iowa","1,254","± 511"
"West Des Moines city, Iowa","5,090","± 1,633"
"Kansas City city, Kansas","3,546","± 916"
"Lawrence city, Kansas","4,185","± 1,530"
"Olathe city, Kansas","2,200","± 957"
"Overland Park city, Kansas","4,903","± 1,221"
"Shawnee city, Kansas","2,159","± 965"
"Topeka city, Kansas","3,240","± 1,108"
"Wichita city, Kansas","9,428","± 1,712"
"Bowling Green city, Kentucky","1,892","± 746"
"Lexington-Fayette urban county, Kentucky","12,328","± 1,774"
"Louisville/Jefferson County metro government (balance), Kentucky","13,700","± 2,025"
"Baton Rouge city, Louisiana","10,058","± 2,499"
"Kenner city, Louisiana","1,174","± 699"
"Lafayette city, Louisiana","4,244","± 1,230"
"Lake Charles city, Louisiana","2,066","± 1,077"
"Metairie CDP, Louisiana","3,254","± 1,067"
"New Orleans city, Louisiana","7,367","± 1,177"
"Shreveport city, Louisiana","3,801","± 1,339"
"Portland city, Maine","2,655","± 771"
"Baltimore city, Maryland","14,038","± 2,299"
"Bethesda CDP, Maryland","654","± 335"
"Columbia CDP, Maryland","5,039","± 1,145"
"Ellicott City CDP, Maryland","1,733","± 604"
"Frederick city, Maryland","5,889","± 1,285"
"Gaithersburg city, Maryland","4,609","± 1,127"
"Germantown CDP, Maryland","5,583","± 1,332"
"Glen Burnie CDP, Maryland","4,756","± 1,204"
"Rockville city, Maryland","1,435","± 617"
"Silver Spring CDP, Maryland","1,996","± 833"
"Waldorf CDP, Maryland","1,694","± 803"
"Boston city, Massachusetts","22,082","± 2,365"
"Brockton city, Massachusetts","2,372","± 763"
"Cambridge city, Massachusetts","3,068","± 843"
"Fall River city, Massachusetts","1,789","± 654"
"Framingham city, Massachusetts","2,597","± 945"
"Haverhill city, Massachusetts","759","± 408"
"Lawrence city, Massachusetts","1,577","± 593"
"Lowell city, Massachusetts","4,352","± 1,396"
"Lynn city, Massachusetts","2,049","± 1,178"
"Malden city, Massachusetts","1,464","± 752"
"New Bedford city, Massachusetts","1,636","± 657"
"Newton city, Massachusetts","428","± 200"
"Quincy city, Massachusetts","2,640","± 1,088"
"Somerville city, Massachusetts","1,366","± 448"
"Springfield city, Massachusetts","766","± 555"
"Worcester city, Massachusetts","4,479","± 1,300"
"Ann Arbor city, Michigan","4,383","± 1,092"
"Dearborn city, Michigan","883","± 502"
"Detroit city, Michigan","8,825","± 1,229"
"Farmington Hills city, Michigan","4,262","± 1,289"
"Flint city, Michigan","711","± 540"
"Grand Rapids city, Michigan","4,076","± 1,112"
"Kalamazoo city, Michigan","3,681","± 1,512"
"Lansing city, Michigan","4,819","± 1,403"
"Livonia city, Michigan","701","± 390"
"Novi city, Michigan","1,188","± 573"
"Rochester Hills city, Michigan","1,324","± 635"
"Southfield city, Michigan","1,974","± 774"
"Sterling Heights city, Michigan","2,179","± 949"
"Troy city, Michigan","792","± 441"
"Warren city, Michigan","1,238","± 672"
"Westland city, Michigan","4,371","± 1,123"
"Wyoming city, Michigan","1,597","± 819"
"Blaine city, Minnesota","328","± 388"
"Bloomington city, Minnesota","2,376","± 609"
"Brooklyn Park city, Minnesota","933","± 731"
"Duluth city, Minnesota","1,168","± 413"
"Eagan city, Minnesota","920","± 419"
"Minneapolis city, Minnesota","12,636","± 2,240"
"Plymouth city, Minnesota","418","± 381"
"Rochester city, Minnesota","1,872","± 714"
"St. Cloud city, Minnesota","3,814","± 1,188"
"St. Paul city, Minnesota","7,918","± 1,380"
"Woodbury city, Minnesota","452","± 272"
"Gulfport city, Mississippi","1,915","± 901"
"Jackson city, Mississippi","3,581","± 1,087"
"Columbia city, Missouri","4,527","± 1,103"
"Independence city, Missouri","2,776","± 1,346"
"Kansas City city, Missouri","15,242","± 1,964"
"Lee's Summit city, Missouri","1,819","± 806"
"O'Fallon city, Missouri","1,417","± 610"
"St. Charles city, Missouri","2,130","± 749"
"St. Joseph city, Missouri","1,399","± 564"
"St. Louis city, Missouri","3,883","± 1,183"
"Springfield city, Missouri","6,480","± 1,890"
"Billings city, Montana","2,016","± 1,054"
"Missoula city, Montana","2,942","± 1,047"
"Lincoln city, Nebraska","9,298","± 1,791"
"Omaha city, Nebraska","17,636","± 2,009"
"Enterprise CDP, Nevada","2,124","± 1,023"
"Henderson city, Nevada","6,758","± 1,963"
"Las Vegas city, Nevada","12,850","± 2,012"
"North Las Vegas city, Nevada","2,740","± 1,082"
"Paradise CDP, Nevada","9,848","± 1,827"
"Reno city, Nevada","10,755","± 2,000"
"Sparks city, Nevada","2,768","± 955"
"Spring Valley CDP, Nevada","5,485","± 1,768"
"Sunrise Manor CDP, Nevada","3,729","± 1,142"
"Manchester city, New Hampshire","2,543","± 1,078"
"Nashua city, New Hampshire","2,459","± 770"
"Bayonne city, New Jersey","2,688","± 1,013"
"Camden city, New Jersey","1,438","± 632"
"Clifton city, New Jersey","591","± 370"
"East Orange city, New Jersey","1,756","± 997"
"Elizabeth city, New Jersey","3,900","± 1,145"
"Jersey City city, New Jersey","7,650","± 1,381"
"Lakewood CDP, New Jersey","867","± 618"
"Newark city, New Jersey","7,286","± 1,823"
"Passaic city, New Jersey","2,114","± 874"
"Paterson city, New Jersey","3,007","± 990"
"Toms River CDP, New Jersey","907","± 568"
"Trenton city, New Jersey","255","± 258"
"Union City city, New Jersey","4,247","± 1,222"
"Albuquerque city, New Mexico","12,186","± 2,184"
"Las Cruces city, New Mexico","2,609","± 1,230"
"Rio Rancho city, New Mexico","938","± 757"
"Santa Fe city, New Mexico","1,902","± 958"
"Albany city, New York","2,505","± 1,004"
"Buffalo city, New York","3,530","± 1,026"
"Cheektowaga CDP, New York","833","± 390"
"Mount Vernon city, New York","2,446","± 844"
"New Rochelle city, New York","1,215","± 615"
"New York city, New York","234,613","± 9,258"
"Rochester city, New York","2,841","± 956"
"Schenectady city, New York","308","± 328"
"Syracuse city, New York","2,993","± 1,016"
"Yonkers city, New York","5,119","± 1,493"
"Asheville city, North Carolina","3,669","± 1,250"
"Cary town, North Carolina","5,003","± 1,290"
"Charlotte city, North Carolina","37,582","± 3,653"
"Concord city, North Carolina","2,406","± 1,030"
"Durham city, North Carolina","14,592","± 2,455"
"Fayetteville city, North Carolina","7,694","± 917"
"Gastonia city, North Carolina","1,813","± 791"
"Greensboro city, North Carolina","12,005","± 2,180"
"Greenville city, North Carolina","5,497","± 1,650"
"High Point city, North Carolina","2,534","± 744"
"Jacksonville city, North Carolina","1,582","± 1,331"
"Raleigh city, North Carolina","26,983","± 3,966"
"Wilmington city, North Carolina","6,209","± 1,796"
"Winston-Salem city, North Carolina","8,105","± 1,903"
"Bismarck city, North Dakota","1,489","± 794"
"Fargo city, North Dakota","5,559","± 1,634"
"Akron city, Ohio","3,649","± 1,054"
"Canton city, Ohio","1,226","± 760"
"Cincinnati city, Ohio","16,085","± 2,657"
"Cleveland city, Ohio","7,697","± 1,475"
"Columbus city, Ohio","36,511","± 3,714"
"Dayton city, Ohio","2,864","± 826"
"Lorain city, Ohio","1,980","± 818"
"Parma city, Ohio","1,695","± 672"
"Toledo city, Ohio","6,503","± 1,841"
"Broken Arrow city, Oklahoma","2,550","± 563"
"Edmond city, Oklahoma","986","± 546"
"Lawton city, Oklahoma","2,491","± 757"
"Norman city, Oklahoma","4,850","± 1,411"
"Oklahoma City city, Oklahoma","16,984","± 2,744"
"Tulsa city, Oklahoma","17,805","± 1,465"
"Beaverton city, Oregon","3,466","± 1,044"
"Bend city, Oregon","1,099","± 668"
"Eugene city, Oregon","4,450","± 1,177"
"Gresham city, Oregon","2,767","± 1,016"
"Hillsboro city, Oregon","2,865","± 844"
"Medford city, Oregon","682","± 592"
"Portland city, Oregon","14,350","± 2,063"
"Salem city, Oregon","3,826","± 1,235"
"Allentown city, Pennsylvania","3,307","± 1,301"
"Bethlehem city, Pennsylvania","2,139","± 820"
"Erie city, Pennsylvania","1,042","± 557"
"Philadelphia city, Pennsylvania","18,448","± 2,931"
"Pittsburgh city, Pennsylvania","6,905","± 1,336"
"Reading city, Pennsylvania","1,399","± 743"
"Scranton city, Pennsylvania","682","± 387"
"Cranston city, Rhode Island","1,263","± 652"
"Pawtucket city, Rhode Island","1,620","± 699"
"Providence city, Rhode Island","1,556","± 690"
"Warwick city, Rhode Island","1,423","± 738"
"Charleston city, South Carolina","7,078","± 1,652"
"Columbia city, South Carolina","5,586","± 1,539"
"Greenville city, South Carolina","3,592","± 1,206"
"Mount Pleasant town, South Carolina","813","± 718"
"North Charleston city, South Carolina","4,638","± 1,369"
"Rock Hill city, South Carolina","1,705","± 905"
"Rapid City city, South Dakota","1,978","± 778"
"Sioux Falls city, South Dakota","5,722","± 1,567"
"Chattanooga city, Tennessee","4,178","± 1,124"
"Clarksville city, Tennessee","1,614","± 769"
"Franklin city, Tennessee","1,706","± 677"
"Jackson city, Tennessee","1,411","± 923"
"Johnson City city, Tennessee","3,040","± 972"
"Knoxville city, Tennessee","8,651","± 1,689"
"Memphis city, Tennessee","16,284","± 2,845"
"Murfreesboro city, Tennessee","4,979","± 1,618"
"Nashville-Davidson metropolitan government (balance), Tennessee","28,794","± 3,362"
"Abilene city, Texas","2,182","± 1,023"
"Allen city, Texas","2,144","± 1,576"
"Amarillo city, Texas","3,832","± 1,342"
"Arlington city, Texas","11,985","± 2,089"
"Austin city, Texas","51,562","± 5,136"
"Baytown city, Texas","2,106","± 876"
"Beaumont city, Texas","3,435","± 1,259"
"Brownsville city, Texas","1,488","± 636"
"Bryan city, Texas","2,388","± 885"
"Carrollton city, Texas","4,412","± 1,350"
"Cedar Park city, Texas","1,915","± 911"
"College Station city, Texas","3,152","± 1,365"
"Conroe city, Texas","4,568","± 1,885"
"Corpus Christi city, Texas","7,800","± 1,693"
"Dallas city, Texas","71,373","± 5,075"
"Denton city, Texas","5,625","± 1,669"
"Edinburg city, Texas","847","± 783"
"El Paso city, Texas","15,191","± 2,392"
"Fort Worth city, Texas","23,442","± 3,123"
"Frisco city, Texas","3,039","± 1,410"
"Garland city, Texas","9,652","± 2,043"
"Georgetown city, Texas","1,342","± 792"
"Grand Prairie city, Texas","3,659","± 1,613"
"Harlingen city, Texas","1,324","± 707"
"Houston city, Texas","112,057","± 7,300"
"Irving city, Texas","15,336","± 2,491"
"Killeen city, Texas","6,464","± 1,583"
"Laredo city, Texas","2,146","± 820"
"League City city, Texas","2,077","± 1,145"
"Leander city, Texas","630","± 619"
"Lewisville city, Texas","5,868","± 1,373"
"Longview city, Texas","2,765","± 1,204"
"Lubbock city, Texas","6,167","± 1,755"
"McAllen city, Texas","1,314","± 814"
"McKinney city, Texas","3,371","± 1,638"
"Mansfield city, Texas","612","± 503"
"Mesquite city, Texas","2,829","± 1,295"
"Midland city, Texas","3,658","± 2,022"
"Mission city, Texas","948","± 643"
"New Braunfels city, Texas","2,301","± 1,269"
"North Richland Hills city, Texas","1,462","± 991"
"Odessa city, Texas","3,511","± 2,047"
"Pasadena city, Texas","3,771","± 1,220"
"Pearland city, Texas","3,139","± 2,050"
"Pflugerville city, Texas","758","± 588"
"Pharr city, Texas","455","± 484"
"Plano city, Texas","10,398","± 2,118"
"Richardson city, Texas","2,063","± 813"
"Round Rock city, Texas","4,066","± 1,702"
"San Angelo city, Texas","1,146","± 743"
"San Antonio city, Texas","51,492","± 4,021"
"San Marcos city, Texas","3,675","± 1,688"
"Sugar Land city, Texas","1,399","± 742"
"Temple city, Texas","2,271","± 1,015"
"The Woodlands CDP, Texas","4,204","± 1,673"
"Tyler city, Texas","3,485","± 1,094"
"Victoria city, Texas","927","± 610"
"Waco city, Texas","6,233","± 1,559"
"Wichita Falls city, Texas","1,792","± 821"
"Layton city, Utah","1,993","± 884"
"Lehi city, Utah","753","± 552"
"Ogden city, Utah","1,521","± 637"
"Orem city, Utah","1,612","± 600"
"Provo city, Utah","4,138","± 841"
"St. George city, Utah","1,459","± 937"
"Salt Lake City city, Utah","5,907","± 1,470"
"Sandy city, Utah","788","± 428"
"West Jordan city, Utah","1,801","± 867"
"West Valley City city, Utah","648","± 473"
"Alexandria city, Virginia","10,890","± 1,642"
"Arlington CDP, Virginia","5,971","± 1,162"
"Centreville CDP, Virginia","1,890","± 656"
"Chesapeake city, Virginia","3,504","± 1,427"
"Hampton city, Virginia","4,823","± 1,651"
"Lynchburg city, Virginia","3,648","± 1,126"
"Newport News city, Virginia","8,575","± 1,850"
"Norfolk city, Virginia","6,112","± 1,283"
"Portsmouth city, Virginia","1,281","± 615"
"Richmond city, Virginia","7,050","± 1,470"
"Roanoke city, Virginia","5,056","± 1,419"
"Suffolk city, Virginia","1,893","± 728"
"Virginia Beach city, Virginia","8,522","± 2,265"
"Auburn city, Washington","1,603","± 744"
"Bellevue city, Washington","3,823","± 1,027"
"Bellingham city, Washington","4,176","± 1,397"
"Everett city, Washington","4,524","± 1,240"
"Federal Way city, Washington","3,223","± 1,286"
"Kennewick city, Washington","2,040","± 826"
"Kent city, Washington","5,858","± 1,405"
"Kirkland city, Washington","2,850","± 894"
"Marysville city, Washington","863","± 475"
"Pasco city, Washington","140","± 171"
"Redmond city, Washington","867","± 535"
"Renton city, Washington","3,186","± 912"
"Sammamish city, Washington","625","± 383"
"Seattle city, Washington","26,934","± 3,440"
"South Hill CDP, Washington","657","± 571"
"Spokane city, Washington","6,410","± 1,369"
"Spokane Valley city, Washington","3,744","± 1,397"
"Tacoma city, Washington","4,171","± 1,176"
"Vancouver city, Washington","2,812","± 889"
"Yakima city, Washington","932","± 584"
"Appleton city, Wisconsin","1,325","± 523"
"Eau Claire city, Wisconsin","289","± 219"
"Green Bay city, Wisconsin","1,873","± 803"
"Janesville city, Wisconsin","845","± 495"
"Kenosha city, Wisconsin","1,664","± 692"
"Madison city, Wisconsin","6,736","± 1,673"
"Milwaukee city, Wisconsin","10,529","± 2,184"
"Oshkosh city, Wisconsin","2,506","± 982"
"Racine city, Wisconsin","1,034","± 576"
"Waukesha city, Wisconsin","2,218","± 945"
"Cheyenne city, Wyoming","605","± 360"
"Bayamón zona urbana, Puerto Rico","2,893","± 1,081"
"Caguas zona urbana, Puerto Rico","1,808","± 839"
"Carolina zona urbana, Puerto Rico","5,042","± 1,505"
"Guaynabo zona urbana, Puerto Rico","2,064","± 1,041"
"Ponce zona urbana, Puerto Rico","3,520","± 994"
"San Juan zona urbana, Puerto Rico","17,005","± 1,732"
