"Geographic Area Name","1, detached (2024)","MoE"
"Pompano Beach city, Florida","15,719","± 2,140"
"Port Orange city, Florida","18,581","± 2,156"
"Port St. Lucie city, Florida","86,291","± 3,055"
"Riverview CDP, Florida","31,981","± 4,170"
"St. Petersburg city, Florida","76,612","± 3,988"
"Sanford city, Florida","14,429","± 1,604"
"Spring Hill CDP, Florida","45,219","± 2,714"
"Sunrise city, Florida","14,326","± 1,671"
"Tallahassee city, Florida","41,688","± 2,489"
"Tamarac city, Florida","10,773","± 1,597"
"Tampa city, Florida","96,696","± 3,994"
"Town 'n' Country CDP, Florida","18,842","± 2,610"
"Wesley Chapel CDP, Florida","21,176","± 2,568"
"Weston city, Florida","15,209","± 1,423"
"West Palm Beach city, Florida","22,025","± 2,576"
"Albany city, Georgia","18,947","± 1,458"
"Alpharetta city, Georgia","14,499","± 1,378"
"Athens-Clarke County unified government (balance), Georgia","27,315","± 2,419"
"Atlanta city, Georgia","97,091","± 3,846"
"Augusta-Richmond County consolidated government (balance), Georgia","55,137","± 2,376"
"Columbus city, Georgia","61,634","± 2,696"
"Johns Creek city, Georgia","23,452","± 1,523"
"Mableton city, Georgia","19,866","± 2,156"
"Macon-Bibb County, Georgia","47,315","± 2,385"
"Roswell city, Georgia","22,341","± 1,661"
"Sandy Springs city, Georgia","16,856","± 1,467"
"Savannah city, Georgia","38,715","± 2,434"
"South Fulton city, Georgia","36,086","± 2,992"
"Warner Robins city, Georgia","25,383","± 1,916"
"Urban Honolulu CDP, Hawaii","42,239","± 2,660"
"Boise City city, Idaho","68,905","± 2,524"
"Caldwell city, Idaho","20,023","± 1,449"
"Idaho Falls city, Idaho","17,901","± 1,333"
"Meridian city, Idaho","43,918","± 1,976"
"Nampa city, Idaho","33,797","± 1,817"
"Arlington Heights village, Illinois","17,107","± 1,598"
"Aurora city, Illinois","38,913","± 2,290"
"Bloomington city, Illinois","21,649","± 1,791"
"Bolingbrook village, Illinois","18,056","± 1,585"
"Champaign city, Illinois","18,518","± 1,519"
"Chicago city, Illinois","326,271","± 9,151"
"Cicero town, Illinois","10,751","± 1,691"
"Decatur city, Illinois","26,485","± 1,711"
"Elgin city, Illinois","26,144","± 2,037"
"Evanston city, Illinois","11,650","± 1,305"
"Joliet city, Illinois","36,710","± 2,019"
"Naperville city, Illinois","36,265","± 1,842"
"Palatine village, Illinois","13,526","± 1,390"
"Peoria city, Illinois","35,461","± 2,638"
"Rockford city, Illinois","40,398","± 2,420"
"Schaumburg village, Illinois","13,559","± 1,488"
"Skokie village, Illinois","13,150","± 1,532"
"Springfield city, Illinois","36,302","± 2,107"
"Waukegan city, Illinois","17,652","± 2,023"
"Bloomington city, Indiana","12,788","± 1,490"
"Carmel city, Indiana","29,383","± 1,870"
"Evansville city, Indiana","38,022","± 2,502"
"Fishers city, Indiana","30,136","± 1,991"
"Fort Wayne city, Indiana","81,242","± 3,232"
"Gary city, Indiana","26,179","± 2,274"
"Greenwood city, Indiana","18,678","± 1,719"
"Hammond city, Indiana","24,690","± 1,978"
"Indianapolis city (balance), Indiana","241,910","± 5,527"
"Lafayette city, Indiana","19,283","± 1,526"
"Muncie city, Indiana","18,309","± 1,758"
"Noblesville city, Indiana","21,068","± 2,091"
"South Bend city, Indiana","35,133","± 2,083"
"Ames city, Iowa","9,967","± 1,021"
"Ankeny city, Iowa","17,795","± 1,953"
"Cedar Rapids city, Iowa","38,942","± 2,096"
"Davenport city, Iowa","29,366","± 1,908"
"Des Moines city, Iowa","57,042","± 3,056"
"Iowa City city, Iowa","13,108","± 1,375"
"Sioux City city, Iowa","23,720","± 1,593"
"Waterloo city, Iowa","21,394","± 1,591"
"West Des Moines city, Iowa","17,105","± 1,743"
"Kansas City city, Kansas","44,157","± 2,012"
"Lawrence city, Kansas","18,581","± 1,792"
"Olathe city, Kansas","40,413","± 2,120"
"Overland Park city, Kansas","50,276","± 2,327"
"Shawnee city, Kansas","19,921","± 1,477"
"Topeka city, Kansas","38,408","± 2,044"
"Wichita city, Kansas","115,072","± 4,014"
"Bowling Green city, Kentucky","15,795","± 1,900"
"Lexington-Fayette urban county, Kentucky","89,564","± 3,436"
