City,Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024
"Gilbert town, Arizona","95,508","104,289","93,472","97,717","2,036","6,572","69,983","71,878","23,489","25,839","95,508","104,289","95,508","104,289","78,781","86,057","3,260","2,676","1,532","1,355","5,105","6,613"
"Glendale city, Arizona","95,584","98,383","90,604","94,483","4,980","3,900","52,463","54,370","38,141","40,113","95,584","98,383","95,584","98,383","58,573","58,762","5,968","7,201","3,473","4,099","7,177","8,634"
"Goodyear city, Arizona","35,841","48,640","33,130","42,713","2,711","5,927","25,725","32,344","7,405","10,369","35,841","48,640","35,841","48,640","31,644","40,519",816,174,199,372,"1,180","5,979"
"Mesa city, Arizona","221,995","223,662","199,112","199,972","22,883","23,690","126,146","129,818","72,966","70,154","221,995","223,662","221,995","223,662","123,997","124,712","11,053","11,119","6,173","6,224","11,844","14,298"
"Peoria city, Arizona","78,694","80,681","75,479","75,481","3,215","5,200","58,326","57,887","17,153","17,594","78,694","80,681","78,694","80,681","60,986","63,478","1,273","1,269","1,184","1,075","4,325","4,462"
"Phoenix city, Arizona","644,625","678,852","602,039","631,270","42,586","47,582","354,237","363,791","247,802","267,479","644,625","678,852","644,625","678,852","388,485","401,557","34,469","42,392","26,726","27,932","72,619","82,267"
"Queen Creek town, Arizona","21,886","29,564","20,981","27,129",905,"2,435","18,559","23,876","2,422","3,253","21,886",,,,,,,,,,,
"San Tan Valley CDP, Arizona","35,927","39,491","31,781","36,668","4,146","2,823","26,584","29,899","5,197","6,769","35,927","39,491",,,,,,,,,,
"Scottsdale city, Arizona","138,984","139,766","119,122","121,398","19,862","18,368","80,132","78,697","38,990","42,701","138,984","139,766","138,984","139,766","73,772","69,606","7,752","8,692","5,203","4,785","18,569","22,068"
"Surprise city, Arizona","62,261","69,450","55,339","64,551","6,922","4,899","43,073","53,522","12,266","11,029","62,261","69,450","62,261","69,450","51,401","60,985","1,483",536,726,"1,766","2,469","2,545"
"Tempe city, Arizona","83,172","91,442","77,306","81,327","5,866","10,115","32,131","33,176","45,175","48,151","83,172","91,442","83,172","91,442","32,237","32,688","7,663","10,357","5,344","3,696","14,864","18,070"
