City,Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024
"San Buenaventura (Ventura) city, California","46,360","46,276","42,288","43,259","4,072","3,017","25,572","22,869","16,716","20,390","46,360","46,276","46,360","46,276","26,461","24,490","2,878","2,519","1,705","2,547","2,479","2,055"
"San Diego city, California","555,456","588,866","521,000","542,590","34,456","46,276","251,507","252,195","269,493","290,395","555,456","588,866","555,456","588,866","240,967","250,408","41,283","37,876","35,186","37,161","81,170","91,975"
"San Francisco city, California","412,269","420,054","350,796","371,841","61,473","48,213","140,809","136,566","209,987","235,275","412,269","420,054","412,269","420,054","78,770","73,949","38,452","37,498","46,616","40,815","76,941","85,907"
"San Jose city, California","340,561","345,884","322,881","331,653","17,680","14,231","179,797","184,111","143,084","147,542","340,561","345,884","340,561","345,884","173,419","179,228","15,454","15,068","15,339","13,410","48,386","50,083"
"San Leandro city, California","32,100","32,204","30,977","30,386","1,123","1,818","18,647","17,777","12,330","12,609","32,100","32,204","32,100","32,204","18,103","18,534","1,146","1,103","1,875","2,758","4,381","2,303"
"San Marcos city, California","35,300","31,911","34,037","30,992","1,263",919,"21,988","20,778","12,049","10,214","35,300","31,911","35,300","31,911","16,725","17,609","1,014","2,525","1,545",794,"3,281","1,366"
"San Mateo city, California","41,607","42,391","39,340","39,544","2,267","2,847","20,909","19,892","18,431","19,652","41,607","42,391","41,607","42,391","17,937","18,725","2,098","3,010","3,927","4,551","7,932","6,373"
"San Ramon city, California","30,255","30,102","29,662","29,693",593,409,"20,716","22,323","8,946","7,370","30,255","30,102","30,255","30,102","21,133","20,450",957,"2,339","1,189",779,"1,850","1,253"
"Santa Ana city, California","80,604","87,405","78,674","84,625","1,930","2,780","35,317","36,583","43,357","48,042","80,604","87,405","80,604","87,405","37,386","37,747","7,126","6,246","5,115","4,467","8,887","11,499"
"Santa Barbara city, California","37,875","41,372","35,676","36,779","2,199","4,593","13,275","15,221","22,401","21,558","37,875","41,372","37,875","41,372","17,294","18,749","3,620","4,485","2,021","3,439","1,940","1,153"
"Santa Clara city, California","52,276","56,625","49,011","54,135","3,265","2,490","21,129","21,337","27,882","32,798","52,276","56,625","52,276","56,625","19,756","21,691","3,365","3,617","3,799","4,719","10,836","12,546"
"Santa Clarita city, California","74,788","76,758","73,509","75,706","1,279","1,052","53,424","54,167","20,085","21,539","74,788","76,758","74,788","76,758","46,005","46,985","3,277","3,002","2,015","1,346","4,566","5,035"
"Santa Maria city, California","30,476","31,801","30,316","30,465",160,"1,336","15,080","14,525","15,236","15,940","30,476","31,801","30,476","31,801","18,866","19,895","1,992","2,566",734,689,"2,030","1,989"
"Santa Monica city, California","52,958","54,322","45,541","49,229","7,417","5,093","14,319","12,503","31,222","36,726","52,958","54,322","52,958","54,322","9,736","11,242","9,809","9,754","8,644","7,596","6,116","6,336"
"Santa Rosa city, California","71,553","72,855","68,686","67,895","2,867","4,960","37,315","39,252","31,371","28,643","71,553","72,855","71,553","72,855","41,631","44,140","3,246","2,186","2,341","2,748","5,068","5,258"
"Simi Valley city, California","46,277","45,201","45,308","44,500",969,701,"32,907","32,939","12,401","11,561","46,277","45,201","46,277","45,201","31,165","33,431","1,024","1,929","1,274","1,377","1,698","1,252"
"South Gate city, California","25,375","27,556","24,891","27,192",484,364,"12,191","13,007","12,700","14,185","25,375","27,556","25,375","27,556","14,713","15,195","1,153",343,558,"1,126",871,"1,002"
"Stockton city, California","102,642","104,027","97,447","98,473","5,195","5,554","53,081","52,891","44,366","45,582","102,642","104,027","102,642","104,027","69,805","66,678","4,443","3,186","3,342","2,161","4,673","10,732"
"Sunnyvale city, California","63,065","65,453","59,567","63,113","3,498","2,340","27,299","27,428","32,268","35,685","63,065","65,453","63,065","65,453","22,442","22,011","3,035","5,234","5,209","3,864","9,488","11,996"
"Temecula city, California","36,588","39,835","34,958","38,887","1,630",948,"23,633","24,550","11,325","14,337","36,588","39,835","36,588","39,835","27,071","28,662","1,592","1,834",932,730,"1,524","1,991"
"Thousand Oaks city, California","46,350","46,439","45,081","45,369","1,269","1,070","31,902","34,372","13,179","10,997","46,350","46,439","46,350","46,439","32,200","31,121","1,295","1,508","1,651",646,"2,035","2,317"
"Torrance city, California","60,220","56,540","57,584","52,611","2,636","3,929","32,109","30,011","25,475","22,600","60,220","56,540","60,220","56,540","31,621","31,435","2,914","2,711","6,059","5,516","7,433","7,019"
"Tracy city, California","29,262","33,844","28,353","32,024",909,"1,820","17,999","21,248","10,354","10,776","29,262","33,844","29,262","33,844","24,712","27,605",222,830,"1,179",484,494,669
"Tulare city, California","21,637","22,847","20,974","21,941",663,906,"13,252","12,295","7,722","9,646","21,637","22,847","21,637","22,847","16,820","17,608",131,116,142,196,440,586
"Turlock city, California","26,321","25,965","24,885","25,451","1,436",514,"13,784","14,984","11,101","10,467","26,321","25,965","26,321","25,965","17,450","18,087",826,440,933,618,951,924
"Tustin city, California","27,550","30,118","26,762","29,115",788,"1,003","13,530","12,994","13,232","16,121","27,550","30,118","27,550","30,118","10,070","9,657","1,682","2,140","2,117","1,652","4,035","4,732"
"Union City city, California","22,527","20,505","21,637","19,779",890,726,"14,374","12,196","7,263","7,583","22,527","20,505","22,527","20,505","14,119","11,949",486,577,85,632,"2,446","1,806"
"Upland city, California","26,423","28,366","26,052","27,421",371,945,"14,029","15,266","12,023","12,155","26,423","28,366","26,423","28,366","14,385","15,469","1,345","1,610","1,001",382,"2,861","2,318"
"Vacaville city, California","35,398","35,389","33,777","34,171","1,621","1,218","21,792","22,411","11,985","11,760","35,398","35,389","35,398","35,389","25,445","24,570","1,171","1,160",512,362,"1,421","1,110"
"Vallejo city, California","45,319","49,478","43,906","47,104","1,413","2,374","25,911","24,489","17,995","22,615","45,319","49,478","45,319","49,478","31,320","33,474","1,341",911,439,609,"3,299","3,655"
"Victorville city, California","39,786","43,797","38,400","40,464","1,386","3,333","23,477","26,251","14,923","14,213","39,786","43,797","39,786","43,797","30,679","33,996","1,010","1,279",81,121,"1,055",903
"Visalia city, California","49,257","51,136","47,660","49,287","1,597","1,849","25,784","30,970","21,876","18,317","49,257","51,136","49,257","51,136","35,930","40,577",468,522,555,163,897,908
"Vista city, California","31,525","36,136","30,614","35,467",911,669,"14,381","19,387","16,233","16,080","31,525","36,136","31,525","36,136","15,584","18,294","4,455","3,706","1,992","2,099","1,600","1,913"
"Walnut Creek city, California","32,398","36,018","31,035","34,456","1,363","1,562","20,349","22,721","10,686","11,735","32,398","36,018","32,398","36,018","13,030","12,987","1,164","2,560","2,735","2,687","5,930","6,292"
"West Covina city, California","33,792","36,078","32,012","34,652","1,780","1,426","19,752","20,563","12,260","14,089","33,792","36,078","33,792","36,078","21,221","22,036","1,371",981,744,818,"3,726","5,897"
"Westminster city, California","29,012","28,953","27,935","28,615","1,077",338,"13,512","15,519","14,423","13,096","29,012","28,953","29,012","28,953","15,945","15,513",878,"1,245","1,140",606,"2,194","2,572"
"Whittier city, California","28,607","31,200","27,773","29,446",834,"1,754","16,521","17,330","11,252","12,116","28,607","31,200","28,607","31,200","18,644","19,609","1,540","1,736","1,241","1,186",598,"1,033"
"Yorba Linda city, California","24,897","22,701","24,098","22,701",799,0,"19,302","19,567","4,796","3,134","24,897","22,701","24,897","22,701","18,327","17,095",408,95,559,0,"1,205",706
"Yuba City city, California","24,529","24,528","24,176","22,950",353,"1,578","13,479","13,618","10,697","9,332","24,529","24,528","24,529","24,528","15,731","15,372",859,"1,009",915,"1,285","1,422",954
"Arvada city, Colorado","51,928","52,952","50,678","49,671","1,250","3,281","38,303","36,994","12,375","12,677","51,928","52,952","51,928","52,952","37,385","36,518","2,582","3,442","2,310","2,374","2,178","2,225"
"Aurora city, Colorado","149,636","160,276","140,003","153,310","9,633","6,966","89,615","94,167","50,388","59,143","149,636","160,276","149,636","160,276","78,676","82,602","16,484","15,958","8,303","8,798","8,567","10,910"
"Boulder city, Colorado","44,793","49,329","42,376","45,900","2,417","3,429","19,576","19,311","22,800","26,589","44,793","49,329","44,793","49,329","16,652","18,112","5,048","4,162","3,520","5,682","6,284","7,909"
"Broomfield city, Colorado","31,800","35,497","30,161","33,695","1,639","1,802","20,238","20,177","9,923","13,518","31,800","35,497","31,800","35,497","20,470","19,629","1,782","2,832","1,531","1,908","3,529","5,672"
"Castle Rock town, Colorado","28,082","31,105","27,249","30,018",833,"1,087","21,546","24,613","5,703","5,405","28,082","31,105","28,082","31,105","21,500","23,229","1,313",729,719,"1,301","1,121","1,120"
"Centennial city, Colorado","41,114","42,799","39,660","41,282","1,454","1,517","31,356","32,980","8,304","8,302","41,114","42,799","41,114","42,799","30,375","31,536",470,"1,773","1,075","1,204","2,164","2,830"
"Colorado Springs city, Colorado","205,380","218,794","197,542","209,874","7,838","8,920","123,398","119,989","74,144","89,885","205,380","218,794","205,380","218,794","127,851","129,519","13,684","14,844","12,587","14,458","8,130","13,636"
"Denver city, Colorado","351,829","372,123","326,634","349,785","25,195","22,338","164,429","168,087","162,205","181,698","351,829","372,123","351,829","372,123","150,994","148,082","24,665","33,822","36,731","31,831","77,551","90,173"
"Fort Collins city, Colorado","73,397","77,858","70,686","74,814","2,711","3,044","37,255","38,160","33,431","36,654","73,397","77,858","73,397","77,858","38,516","39,455","5,741","7,698","5,139","3,998","3,971","5,250"
"Grand Junction city, Colorado","30,264","32,332","28,352","31,264","1,912","1,068","16,594","20,531","11,758","10,733","30,264","32,332","30,264","32,332","18,290","21,559",795,"1,030","2,010","2,278","1,280","2,001"
"Greeley city, Colorado","40,510","44,668","38,381","42,292","2,129","2,376","23,777","25,700","14,604","16,592","40,510","44,668","40,510","44,668","23,595","26,000","2,555","2,554","1,903","1,903","1,902","2,747"
"Highlands Ranch CDP, Colorado","38,952","39,385","38,117","38,831",835,554,"30,949","29,661","7,168","9,170","38,952","39,385","38,952","39,385","30,511","28,684","1,286",840,275,733,"1,705","2,530"
"Lakewood city, Colorado","75,300","75,083","70,751","72,181","4,549","2,902","42,066","41,387","28,685","30,794","75,300","75,083","75,300","75,083","35,528","34,649","6,925","7,558","5,221","7,490","5,837","7,320"
"Longmont city, Colorado","44,891","45,434","43,519","44,198","1,372","1,236","27,720","26,376","15,799","17,822","44,891","45,434","44,891","45,434","28,154","24,949","3,614","3,256","1,585","3,888","2,431","3,069"
"Loveland city, Colorado","36,659","34,956","35,803","34,651",856,305,"22,504","22,309","13,299","12,342","36,659","34,956","36,659","34,956","24,033","22,142","1,299","2,533",468,345,"1,689","2,288"
"Pueblo city, Colorado","50,106","50,089","47,901","47,003","2,205","3,086","29,171","29,990","18,730","17,013","50,106","50,089","50,106","50,089","35,950","36,139","1,868","2,452","1,652","1,764","2,594","1,747"
"Thornton city, Colorado","48,948","56,586","48,263","54,284",685,"2,302","36,980","37,067","11,283","17,217","48,948","56,586","48,948","56,586","32,328","36,211","3,906","2,777","1,543","3,646",857,"2,078"
"Westminster city, Colorado","51,037","50,516","47,797","48,225","3,240","2,291","30,424","29,052","17,373","19,173","51,037","50,516","51,037","50,516","28,269","28,908","4,954","4,363","3,975","4,249","4,071","4,171"
"Bridgeport city, Connecticut","61,494","59,815","57,732","56,754","3,762","3,061","24,938","24,522","32,794","32,232","61,494","59,815","61,494","59,815","16,777","16,010","4,070","3,318","3,658","3,946","6,740","7,076"
"Danbury city, Connecticut","35,346","37,066","33,024","34,989","2,322","2,077","20,185","19,927","12,839","15,062","35,346","37,066","35,346","37,066","15,510","15,175",864,"1,943","1,682","2,166","3,526","3,767"
"Hartford city, Connecticut","55,111","57,239","45,491","49,316","9,620","7,923","13,034","12,893","32,457","36,423","55,111","57,239","55,111","57,239","9,653","10,471","4,427","4,081","5,069","4,997","8,489","10,249"
"New Britain city, Connecticut","30,456","32,173","28,450","29,451","2,006","2,722","12,840","13,762","15,610","15,689","30,456","32,173","30,456","32,173","10,473","10,827","1,226","1,727","1,017","1,683","1,672","3,422"
"New Haven city, Connecticut","61,547","61,203","56,373","56,564","5,174","4,639","14,413","17,179","41,960","39,385","61,547","61,203","61,547","61,203","10,760","12,471","3,960","1,860","3,699","6,247","9,311","10,800"
"Norwalk city, Connecticut","39,560","37,003","36,847","35,364","2,713","1,639","21,196","19,162","15,651","16,202","39,560","37,003","39,560","37,003","18,193","15,513","2,794","3,081","2,143","2,903","4,514","4,732"
"Stamford city, Connecticut","57,380","58,207","52,816","55,352","4,564","2,855","25,833","27,928","26,983","27,424","57,380","58,207","57,380","58,207","19,948","20,065","2,371","2,380","2,387","3,874","16,119","16,562"
"Waterbury city, Connecticut","48,607","48,823","45,008","44,141","3,599","4,682","20,478","20,518","24,530","23,623","48,607","48,823","48,607","48,823","22,282","18,298","3,871","2,628","2,033","2,258","2,398","4,007"
"Wilmington city, Delaware","37,153","35,325","32,049","31,587","5,104","3,738","16,579","14,835","15,470","16,752","37,153","35,325","37,153","35,325","3,762","3,097",371,"1,226","1,977","1,768","5,218","5,377"
"Washington city, District of Columbia","357,482","368,700","319,565","329,687","37,917","39,013","132,936","134,836","186,629","194,851","357,482","368,700","357,482","368,700","39,867","39,380","30,257","29,764","27,183","30,516","120,090","132,243"
"Alafaya CDP, Florida","34,561","35,789","32,823","34,686","1,738","1,103","20,104","20,528","12,719","14,158",,"35,789","34,561","35,789","22,755","22,427","3,859","3,143","3,167","1,824","1,082","1,288"
"Boca Raton city, Florida","48,657","48,859","41,318","40,701","7,339","8,158","27,835","27,495","13,483","13,206","48,657","48,859","48,657","48,859","19,743","21,152","1,481","2,734","6,092","4,930","13,323","11,715"
"Boynton Beach city, Florida","39,736","41,454","33,201","33,513","6,535","7,941","20,730","22,372","12,471","11,141","39,736","41,454","39,736","41,454","15,819","17,460","2,472","4,321","4,929","4,270","5,080","3,426"
"Brandon CDP, Florida","50,086","49,690","46,925","47,577","3,161","2,113","24,495","27,101","22,430","20,476","50,086","49,690","50,086","49,690","25,667","25,055","6,588","5,158","2,777","2,179","2,337","5,432"
"Cape Coral city, Florida","94,442","110,587","79,845","87,681","14,597","22,906","61,776","69,402","18,069","18,279","94,442","110,587","94,442","110,587","74,389","88,866","2,987","4,701","1,558","1,827","1,277","1,410"
"Clearwater city, Florida","60,153","62,989","49,486","51,699","10,667","11,290","29,530","29,326","19,956","22,373","60,153","62,989","60,153","62,989","23,448","23,369","6,730","4,487","6,645","7,956","9,346","11,854"
"Coral Springs city, Florida","46,687","47,327","44,417","45,245","2,270","2,082","26,450","28,261","17,967","16,984","46,687","47,327","46,687","47,327","23,588","25,027","4,911","3,929","3,985","2,457","2,352","2,895"
"Davie town, Florida","41,953","44,743","39,061","39,385","2,892","5,358","25,849","27,428","13,212","11,957","41,953","44,743","41,953","44,743","17,900","18,147","2,698","2,500","4,112","5,853","3,025","2,938"
"Daytona Beach city, Florida","40,465","46,414","34,721","38,264","5,744","8,150","18,023","19,199","16,698","19,065","40,465","46,414","40,465","46,414","17,865","19,201","2,775","5,522","4,279","4,289","4,246","5,348"
"Deerfield Beach city, Florida","50,429","48,717","39,934","39,279","10,495","9,438","25,052","24,220","14,882","15,059","50,429","48,717","50,429","48,717","13,488","12,693","5,699","5,122","7,661","7,835","9,876","8,900"
"Delray Beach city, Florida","38,037","42,298","30,472","34,476","7,565","7,822","19,949","20,076","10,523","14,400","38,037","42,298","38,037","42,298","12,454","16,004","2,426","4,395","3,137","2,614","5,232","5,574"
"Deltona city, Florida","36,713","36,400","35,384","33,764","1,329","2,636","27,954","26,691","7,430","7,073","36,713","36,400",,,,,,,,,,
"Doral city, Florida","27,139","32,737","25,419","29,396","1,720","3,341","11,324","13,260","14,095","16,136","27,139","32,737","27,139","32,737","5,993","6,609","1,052","4,180","1,468","3,438","7,164","7,468"
"Fort Lauderdale city, Florida","102,567","98,308","83,021","77,763","19,546","20,545","45,636","42,423","37,385","35,340","102,567","98,308","102,567","98,308","34,038","32,375","5,935","4,263","9,403","9,846","31,044","29,635"
"Fort Myers city, Florida","48,488","49,423","37,323","40,374","11,165","9,049","17,570","20,744","19,753","19,630","48,488","49,423","48,488","49,423","18,778","18,430","5,983","5,938","4,353","5,239","5,662","6,569"
"Gainesville city, Florida","66,685","66,610","56,513","63,795","10,172","2,815","23,345","20,692","33,168","43,103","66,685","66,610","66,685","66,610","26,393","21,504","9,156","7,797","5,203","6,788","4,584","8,095"
"Hialeah city, Florida","78,076","81,348","75,692","79,149","2,384","2,199","35,676","33,872","40,016","45,277","78,076","81,348","78,076","81,348","30,708","29,718","4,452","7,310","11,235","9,360","11,767","12,322"
"Hollywood city, Florida","74,324","69,850","61,598","60,640","12,726","9,210","36,410","33,146","25,188","27,494","74,324","69,850","74,324","69,850","33,506","31,384","5,380","6,256","9,090","7,457","14,240","11,996"
"Homestead city, Florida","29,482","30,815","27,094","28,425","2,388","2,390","14,924","15,487","12,170","12,938","29,482","30,815","29,482","30,815","12,139","11,396","4,022","2,216","1,740","2,485",631,"1,332"
"Horizon West CDP, Florida","21,837","25,239","21,444","23,451",393,"1,788","15,618","14,020","5,826","9,431",,,,,,,,,,,,
"Jacksonville city, Florida","422,315","449,941","386,283","413,620","36,032","36,321","226,429","240,209","159,854","173,411","422,315","449,941","422,315","449,941","250,660","264,174","33,553","34,964","20,752","20,515","22,419","40,432"
"Kendall CDP, Florida","33,932","33,016","33,184","30,338",748,"2,678","21,626","18,122","11,558","12,216","33,932","33,016","33,932","33,016","13,656","13,474","3,051","1,052","2,904","3,539","6,366","7,887"
"Kissimmee city, Florida","29,099","32,268","25,999","28,822","3,100","3,446","11,911","10,692","14,088","18,130","29,099","32,268","29,099","32,268","13,491","15,303","3,729","2,673",522,"2,815",898,"1,807"
"Lakeland city, Florida","52,994","54,975","45,548","48,654","7,446","6,321","25,966","27,943","19,582","20,711","52,994","54,975","52,994","54,975","28,242","27,304","4,186","3,624","1,905","1,423","2,617","3,186"
"Largo city, Florida","46,495","50,411","36,493","38,619","10,002","11,792","22,053","24,415","14,440","14,204","46,495","50,411","46,495","50,411","14,259","13,942","4,758","4,167","2,581","1,752","2,970","5,420"
"Lauderhill city, Florida","30,956","34,015","26,555","30,633","4,401","3,382","13,868","18,792","12,687","11,841","30,956","34,015","30,956","34,015","9,934","10,753","2,040","3,329","4,974","4,900","7,181","6,778"
"Lehigh Acres CDP, Florida","42,566","48,207","40,295","44,622","2,271","3,585","29,441","31,303","10,854","13,319","42,566","48,207","42,566","48,207","35,691","39,182",111,0,360,246,177,"1,114"
"Melbourne city, Florida","40,160","41,188","36,651","37,625","3,509","3,563","23,745","22,001","12,906","15,624","40,160","41,188","40,160","41,188","24,771","21,782","2,681","3,758","1,363","2,191","1,734","2,650"
"Miami city, Florida","219,775","229,852","192,219","202,757","27,556","27,095","58,463","66,206","133,756","136,551","219,775","229,852","219,775","229,852","49,627","49,360","15,183","15,735","18,249","19,758","86,184","99,923"
"Miami Beach city, Florida","60,872","60,552","40,788","41,696","20,084","18,856","14,462","18,081","26,326","23,615","60,872","60,552","60,872","60,552","6,827","5,591","7,442","7,138","8,219","10,359","31,225","30,162"
"Miami Gardens city, Florida","36,204","37,106","34,332","35,044","1,872","2,062","23,159","23,593","11,173","11,451","36,204","37,106","36,204","37,106","25,923","24,416",788,"1,494","2,045","2,158","3,335","3,133"
"Miramar city, Florida","44,987","47,628","42,707","46,944","2,280",684,"31,043","31,218","11,664","15,726","44,987","47,628","44,987","47,628","29,419","25,783","4,629","1,963","1,506","4,079","1,796","3,269"
"North Port city, Florida","35,149","43,919","30,622","40,443","4,527","3,476","23,601","35,100","7,021","5,343","35,149","43,919",,"43,919",,"37,141",,214,,568,,254
"Orlando city, Florida","149,940","151,487","130,037","137,393","19,903","14,094","49,048","51,045","80,989","86,348","149,940","151,487","149,940","151,487","46,591","48,699","21,621","21,694","18,713","15,174","18,137","22,615"
"Palm Bay city, Florida","50,159","52,978","45,145","48,423","5,014","4,555","34,798","38,884","10,347","9,539","50,159","52,978","50,159","52,978","41,583","44,208","1,143","1,163","1,044",531,850,505
"Palm Coast city, Florida","43,228","49,308","36,896","43,565","6,332","5,743","30,396","37,116","6,500","6,449","43,228","49,308","43,228","49,308","38,269","42,427",247,353,445,156,457,"1,097"
"Pembroke Pines city, Florida","67,317","66,797","64,378","63,988","2,939","2,809","44,517","41,642","19,861","22,346","67,317","66,797","67,317","66,797","32,723","31,078","4,018","3,454","8,437","6,205","6,483","9,477"
"Pine Hills CDP, Florida","26,423","25,783","25,752","24,153",671,"1,630","13,169","13,073","12,583","11,080","26,423","25,783","26,423","25,783","18,284","16,240","2,153","3,817",374,515,750,845
"Plantation city, Florida","38,622","42,120","36,564","37,775","2,058","4,345","24,029","25,467","12,535","12,308","38,622","42,120","38,622","42,120","18,180","20,323","3,091","2,560","2,986","3,426","5,743","7,473"
"Poinciana CDP, Florida","25,796","33,049","21,402","29,174","4,394","3,875","16,412","21,717","4,990","7,457",,"33,049",,,,,,,,,,
"Pompano Beach city, Florida","61,793","64,308","48,363","45,846","13,430","18,462","27,170","27,263","21,193","18,583","61,793","64,308","61,793","64,308","20,327","15,719","5,260","3,766","6,950","9,223","18,561","20,346"
"Port Charlotte CDP, Florida","33,195","34,103","29,120","27,044","4,075","7,059","23,660","22,684","5,460","4,360","33,195","34,103","33,195",,"28,124",,"1,273",,564,,"1,034",
"Port St. Lucie city, Florida","84,820","99,750","77,190","94,324","7,630","5,426","64,490","77,663","12,700","16,661","84,820","99,750","84,820","99,750","74,502","86,291","1,499","3,148","1,122",963,799,511
"Riverview CDP, Florida","42,959","43,689","40,114","39,123","2,845","4,566","28,742","30,955","11,372","8,168","42,959","43,689","42,959","43,689","30,740","31,981","2,446","1,964",500,954,619,"1,054"
"St. Petersburg city, Florida","137,046","141,689","111,349","123,734","25,697","17,955","70,149","76,831","41,200","46,903","137,046","141,689","137,046","141,689","76,385","76,612","10,375","11,805","9,538","8,036","15,399","18,816"
"Spring Hill CDP, Florida","48,653","51,087","46,360","48,221","2,293","2,866","37,177","39,444","9,183","8,777","48,653","51,087","48,653","51,087","43,061","45,219",383,457,133,286,570,"1,256"
"Sunrise city, Florida","40,831","36,612","35,166","33,920","5,665","2,692","23,247","23,386","11,919","10,534","40,831","36,612","40,831","36,612","16,255","14,326","4,263","1,892","9,337","5,284","3,496","7,599"
"Tallahassee city, Florida","95,467","101,562","84,920","89,217","10,547","12,345","35,632","39,706","49,288","49,511","95,467","101,562","95,467","101,562","41,265","41,688","6,551","10,785","2,903","6,861","16,157","11,706"
"Tamarac city, Florida","32,750","32,610","29,065","30,683","3,685","1,927","20,752","22,937","8,313","7,746","32,750","32,610","32,750","32,610","12,789","10,773","2,300","2,045","6,186","5,157","4,403","4,016"
"Tampa city, Florida","172,886","194,129","159,925","176,004","12,961","18,125","84,660","88,014","75,265","87,990","172,886","194,129","172,886","194,129","93,959","96,696","9,530","14,039","9,591","10,969","26,045","32,030"
"The Villages CDP, Florida","54,256","56,567","47,527","48,373","6,729","8,194","44,404","43,571","3,123","4,802",,"56,567",,,,,,,,,,
"Town 'n' Country CDP, Florida","37,239","36,630","35,155","33,923","2,084","2,707","20,766","18,571","14,389","15,352","37,239","36,630","37,239","36,630","19,966","18,842","2,489","3,582","1,746","1,832","1,616",916
"Wesley Chapel CDP, Florida","24,706","31,922","23,868","27,967",838,"3,955","17,380","21,121","6,488","6,846","24,706","31,922","24,706","31,922","16,545","21,176",991,"1,600",300,719,550,925
"Weston city, Florida","22,530","22,504","20,227","21,371","2,303","1,133","14,914","16,178","5,313","5,193","22,530",,"22,530","22,504","13,092","15,209",686,366,952,"1,143","2,752",907
"West Palm Beach city, Florida","60,001","64,847","50,409","55,868","9,592","8,979","25,421","28,288","24,988","27,580","60,001","64,847","60,001","64,847","22,585","22,025","5,594","5,477","4,801","5,594","11,949","15,499"
"Albany city, Georgia","32,318","34,088","27,357","26,980","4,961","7,108","11,091","9,279","16,266","17,701","32,318","34,088","32,318","34,088","19,058","18,947","1,526",880,564,241,815,514
"Alpharetta city, Georgia","26,292","27,878","25,457","25,966",835,"1,912","16,311","16,165","9,146","9,801","26,292","27,878","26,292","27,878","14,912","14,499","2,370","1,962",755,"1,632","2,623","3,646"
"Athens-Clarke County unified government (balance), Georgia","55,757","59,137","54,438","54,156","1,319","4,981","21,354","21,333","33,084","32,823","55,757","59,137","55,757","59,137","26,710","27,315","5,399","5,991","3,099","3,196","3,670","4,582"
"Atlanta city, Georgia","253,355","284,949","232,720","244,482","20,635","40,467","113,092","116,558","119,628","127,924","253,355","284,949","253,355","284,949","94,921","97,091","14,481","19,793","17,131","15,383","77,809","103,713"
"Augusta-Richmond County consolidated government (balance), Georgia","90,645","92,213","72,760","79,634","17,885","12,579","37,458","39,610","35,302","40,024","90,645","92,213","90,645","92,213","52,504","55,137","4,215","3,927","1,998","3,100","2,262","3,108"
"Columbus city, Georgia","91,621","93,004","82,663","81,378","8,958","11,626","39,383","43,119","43,280","38,259","91,621","93,004","91,621","93,004","59,066","61,634","4,827","5,947","2,121","3,003","5,495","4,336"
"Johns Creek city, Georgia","29,983","30,077","29,256","28,676",727,"1,401","22,634","23,312","6,622","5,364","29,983","30,077","29,983","30,077","23,369","23,452","1,286",601,334,"1,570",516,"1,485"
"Macon-Bibb County, Georgia","71,906","71,955","57,677","60,386","14,229","11,569","32,179","31,952","25,498","28,434","71,906","71,955","71,906","71,955","46,646","47,315","3,059","2,338","2,269","2,844","4,133","2,657"
"Roswell city, Georgia","38,653","36,969","37,044","35,441","1,609","1,528","25,681","24,854","11,363","10,587","38,653","36,969","38,653","36,969","21,527","22,341","4,371","3,667",904,"2,083","2,737","2,593"
"Sandy Springs city, Georgia","54,061","52,460","52,487","48,325","1,574","4,135","26,977","23,370","25,510","24,955","54,061","52,460","54,061","52,460","20,719","16,856","8,113","5,610","2,144","4,517","7,716","11,227"
"Savannah city, Georgia","68,618","67,733","59,612","54,740","9,006","12,993","28,083","26,099","31,529","28,641","68,618","67,733","68,618","67,733","40,271","38,715","2,639","3,231","2,240","2,898","2,830","3,657"
"South Fulton city, Georgia","44,910","45,673","41,405","40,474","3,505","5,199","27,767","30,279","13,638","10,195","44,910","45,673","44,910","45,673","35,116","36,086","1,022","1,780","1,195",513,926,720
"Warner Robins city, Georgia","35,983","37,268","30,701","33,639","5,282","3,629","16,030","18,436","14,671","15,203","35,983","37,268","35,983","37,268","24,531","25,383","1,009","1,732","1,119",0,300,290
"Urban Honolulu CDP, Hawaii","157,427","160,881","138,398","136,908","19,029","23,973","68,458","65,869","69,940","71,039","157,427","160,881","157,427","160,881","41,307","42,239","9,737","10,865","17,943","18,309","59,850","62,746"
"Boise City city, Idaho","104,110","111,396","99,250","106,045","4,860","5,351","62,684","65,605","36,566","40,440","104,110","111,396","104,110","111,396","66,399","68,905","5,658","5,570","3,879","4,368","3,812","5,853"
"Idaho Falls city, Idaho","25,993","28,021","24,257","25,374","1,736","2,647","16,317","16,986","7,940","8,388","25,993","28,021","25,993","28,021","16,342","17,901",981,737,532,989,775,591
"Meridian city, Idaho","48,218","54,567","47,825","52,809",393,"1,758","36,929","38,029","10,896","14,780","48,218","54,567","48,218","54,567","39,521","43,918","1,845","1,140",0,571,336,"2,002"
"Nampa city, Idaho","38,826","44,004","37,666","41,865","1,160","2,139","26,593","28,854","11,073","13,011","38,826","44,004","38,826","44,004","28,246","33,797",958,"1,002",439,556,"1,343",335
