City,Pct_30_35_2021,Pct_30_35_2024,Pct_35_40_2021,Pct_35_40_2024,Pct_40_50_2021,Pct_40_50_2024,Pct_50plus_2021,Pct_50plus_2024,Total_Burdened_2021,Total_Burdened_2024
"Vacaville city, California",917,"3,166","2,132",785,828,"1,289","2,738","2,507","11,760","11,985"
"Vallejo city, California","1,601","2,423","1,836","1,499","1,137","2,779","6,107","8,657","22,615","17,995"
"Victorville city, California","1,101",524,523,"1,045","1,883","1,767","4,802","5,877","14,213","14,923"
"Visalia city, California","3,364","1,811",940,887,"1,982","1,621","4,955","4,580","18,317","21,876"
"Vista city, California","1,535","1,916","1,273",896,"1,738","1,369","4,241","5,161","16,080","16,233"
"Walnut Creek city, California","1,031","1,022",533,375,"1,714","1,408","1,660","3,673","11,735","10,686"
"West Covina city, California","1,496","1,759",880,823,"1,271","1,096","2,532","4,619","14,089","12,260"
"Westminster city, California","1,503","1,848",516,"1,124","1,268",794,"5,951","4,339","13,096","14,423"
"Whittier city, California","1,518","1,344",880,"1,871","1,577","1,722","2,932","2,815","12,116","11,252"
"Yorba Linda city, California",200,222,110,312,322,284,"1,580",613,"3,134","4,796"
"Yuba City city, California","1,166",397,626,747,"2,182",465,"2,236","1,895","9,332","10,697"
"Arvada city, Colorado","1,143","1,231",712,"1,041",918,"1,114","3,821","2,609","12,677","12,375"
"Aurora city, Colorado","4,584","4,390","4,533","4,578","5,532","7,212","16,765","15,381","59,143","50,388"
"Boulder city, Colorado","1,243","2,271","1,352","1,358","1,236","2,070","9,567","9,978","26,589","22,800"
"Broomfield city, Colorado","1,126",982,217,"1,326",431,933,"2,603","2,263","13,518","9,923"
"Castle Rock town, Colorado",272,746,824,405,451,727,"1,801",941,"5,405","5,703"
"Centennial city, Colorado",300,743,703,422,"1,142",478,"1,693","1,851","8,302","8,304"
"Colorado Springs city, Colorado","8,740","9,209","4,499","6,000","7,380","13,095","17,667","19,153","89,885","74,144"
"Denver city, Colorado","14,910","18,058","11,720","10,591","13,355","18,004","34,041","40,197","181,698","162,205"
"Fort Collins city, Colorado","4,105","5,469","1,673","2,482","4,233","3,750","9,003","9,316","36,654","33,431"
"Grand Junction city, Colorado","1,049",573,607,391,"1,582",248,"2,451","3,216","10,733","11,758"
"Greeley city, Colorado","1,628","1,066",996,"1,555",862,"1,663","4,467","4,608","16,592","14,604"
"Highlands Ranch CDP, Colorado",656,"1,327",724,270,405,"1,375","2,277","1,816","9,170","7,168"
"Lakewood city, Colorado","2,805","3,268","1,444","3,184","2,414","2,706","9,569","7,089","30,794","28,685"
"Longmont city, Colorado","2,146","3,014","1,840","1,640","1,450","1,142","3,730","4,024","17,822","15,799"
"Loveland city, Colorado","1,542","1,668","1,302","1,246","1,316",685,"2,654","3,744","12,342","13,299"
"Parker town, Colorado",,620,,181,,765,,"2,202","5,816",
"Pueblo city, Colorado","1,115","1,110","1,062","1,555","1,314","1,184","5,690","4,638","17,013","18,730"
"Thornton city, Colorado",566,"2,751","1,000",958,558,"1,855","4,000","5,754","17,217","11,283"
"Westminster city, Colorado","1,597","1,839","1,801",821,"1,726","1,893","4,285","3,919","19,173","17,373"
"Bridgeport city, Connecticut","2,855","4,114","2,328","2,152","3,837","3,491","10,406","10,248","32,232","32,794"
"Danbury city, Connecticut","2,211",783,211,"1,119",946,"1,052","2,976","4,127","15,062","12,839"
"Hartford city, Connecticut","2,754","2,293","3,171","2,414","3,219","3,082","10,003","10,976","36,423","32,457"
"New Britain city, Connecticut","1,782","1,685",502,806,988,"1,543","3,866","3,648","15,689","15,610"
"New Haven city, Connecticut","2,707","4,619","4,176","2,778","3,526","3,089","10,673","11,233","39,385","41,960"
"Norwalk city, Connecticut","1,675","1,837",899,831,"1,302","1,283","4,200","3,932","16,202","15,651"
"Stamford city, Connecticut","2,252","2,152","1,416","2,021","2,864","2,107","5,987","9,211","27,424","26,983"
"Waterbury city, Connecticut","1,957","2,532","1,540","1,610","2,468","2,517","6,045","8,544","23,623","24,530"
"Wilmington city, Delaware",670,"1,623","1,097",418,"1,344","1,585","4,192","3,671","16,752","15,470"
"Washington city, District of Columbia","16,123","16,392","11,779","12,897","14,864","12,843","41,482","46,467","194,851","186,629"
"Alafaya CDP, Florida","1,373","1,584","1,835",898,"1,960",911,"1,755","3,818","14,158","12,719"
"Boca Raton city, Florida",852,"1,023","1,060",483,978,"1,778","4,959","4,883","13,206","13,483"
"Boynton Beach city, Florida",799,"1,151","1,565",363,"1,306",870,"4,211","4,011","11,141","12,471"
"Brandon CDP, Florida","1,307","3,422","2,556","1,635","1,990","1,128","6,646","6,335","20,476","22,430"
"Cape Coral city, Florida","1,205","1,791","1,990","1,750","2,141","1,085","4,329","5,550","18,279","18,069"
"Clearwater city, Florida","2,649","1,481","1,276","1,177","1,887","3,584","4,658","7,017","22,373","19,956"
"Coral Springs city, Florida","2,578","1,366","1,415","1,180","2,336","1,670","4,587","5,952","16,984","17,967"
"Davie town, Florida",333,729,"1,501","1,340","1,959","1,292","3,432","3,487","11,957","13,212"
"Daytona Beach city, Florida","1,599","1,765",953,"2,001",829,"3,100","5,405","4,523","19,065","16,698"
"Deerfield Beach city, Florida",893,"1,772",982,"1,500","1,512","1,845","4,914","5,382","15,059","14,882"
"Delray Beach city, Florida",980,"1,638",584,"1,081","1,269","1,807","2,939","3,077","14,400","10,523"
"Deltona city, Florida",319,211,751,0,760,473,"1,999","2,631","7,073","7,430"
"Doral city, Florida","1,020","1,296",910,"1,096","2,734","1,624","4,183","6,570","16,136","14,095"
"Fort Lauderdale city, Florida","3,195","3,872","2,784","2,460","4,435","3,868","12,223","10,463","35,340","37,385"
"Fort Myers city, Florida",896,"3,063","1,009","1,110","1,791","2,249","5,760","6,932","19,630","19,753"
"Four Corners CDP, Florida",,"1,007",,"2,205",,"1,516",,"3,845","14,948",
"Gainesville city, Florida","1,815","2,441","1,661","1,473","3,809","4,165","11,147","20,448","43,103","33,168"
"Hialeah city, Florida","3,671","4,321","2,588","2,786","5,031","5,493","12,935","15,798","45,277","40,016"
"Hollywood city, Florida","1,974","2,994","1,136","2,510","3,742","4,595","7,876","8,330","27,494","25,188"
"Homestead city, Florida",595,812,"1,515",308,457,"1,255","4,486","6,522","12,938","12,170"
"Horizon West CDP, Florida",,361,,"1,995",,669,,"3,212","9,431",
"Jacksonville city, Florida","16,092","20,679","9,555","10,991","15,347","19,769","45,275","46,260","173,411","159,854"
"Kendall CDP, Florida",953,"2,927",867,616,"1,107","2,345","3,813","2,225","12,216","11,558"
"Kissimmee city, Florida","1,420","1,207",410,728,"1,442","1,734","6,083","6,429","18,130","14,088"
"Lakeland city, Florida","2,016","1,109",897,"1,890","1,466","1,752","5,424","5,426","20,711","19,582"
"Largo city, Florida","2,107","1,111","1,296","1,296","1,069","1,522","3,891","4,547","14,204","14,440"
"Lauderhill city, Florida",942,825,876,"1,786","1,012",500,"5,250","5,789","11,841","12,687"
"Lehigh Acres CDP, Florida",689,235,583,"1,790",929,724,"3,819","4,274","13,319","10,854"
"Melbourne city, Florida","1,138","1,619","1,413",819,591,"2,412","3,574","5,117","15,624","12,906"
"Miami city, Florida","13,871","12,356","10,888","10,547","14,294","13,353","43,290","49,787","136,551","133,756"
"Miami Beach city, Florida","2,794","2,909","1,483","1,253","2,406","3,457","8,891","5,514","23,615","26,326"
"Miami Gardens city, Florida",747,"1,352","1,512","1,009","1,592",832,"3,134","4,902","11,451","11,173"
"Miramar city, Florida","1,673","1,316",777,992,"1,992","2,263","1,566","5,271","15,726","11,664"
"North Port city, Florida",,403,,"1,329",,984,,"1,165","5,343",
"Ocala city, Florida",,882,,"1,030",,"1,276",,"4,584","13,471",
"Orlando city, Florida","8,424","8,347","5,676","4,965","8,703","10,202","22,311","24,157","86,348","80,989"
"Palm Bay city, Florida",516,637,188,909,986,865,"3,896","3,602","9,539","10,347"
"Palm Coast city, Florida",397,347,331,365,563,374,"2,387","2,237","6,449","6,500"
"Pembroke Pines city, Florida","2,765","1,607","1,547","2,642","2,820","3,018","5,527","5,750","22,346","19,861"
"Pine Hills CDP, Florida","1,389",770,"1,154","1,101","2,068","1,270","3,466","4,788","11,080","12,583"
"Plantation city, Florida",866,"2,259","2,208",616,"1,868","1,229","2,769","3,256","12,308","12,535"
"Poinciana CDP, Florida",,585,,538,,"1,238",,"2,674","7,457",
"Pompano Beach city, Florida","2,056",954,"1,247","1,505","2,498","2,751","6,727","5,279","18,583","21,193"
"Port Orange city, Florida",,865,,362,,658,,"1,652","5,773",
"Port St. Lucie city, Florida","1,201","2,203","1,050",555,"1,471","2,876","3,792","3,301","16,661","12,700"
"Riverview CDP, Florida","1,380",981,"1,437",252,"1,163","1,201","1,786","2,255","8,168","11,372"
"St. Petersburg city, Florida","4,456","4,680","3,254","5,380","4,425","6,864","9,957","11,215","46,903","41,200"
"Sanford city, Florida",,"2,047",,825,,"1,605",,"2,809","11,516",
"Spring Hill CDP, Florida",405,"1,314",558,301,729,898,"2,844","2,228","8,777","9,183"
"Sunrise city, Florida",877,"1,079","1,679",463,491,"1,638","3,639","3,013","10,534","11,919"
"Tallahassee city, Florida","3,868","4,017","3,230","2,496","5,117","3,741","16,577","18,928","49,511","49,288"
"Tamarac city, Florida",338,"1,126",833,125,905,"1,120","2,585","2,930","7,746","8,313"
"Tampa city, Florida","8,427","8,746","3,567","6,399","6,457","11,195","21,025","22,943","87,990","75,265"
"Town 'n' Country CDP, Florida","1,879","2,029",477,689,752,"1,500","5,161","4,548","15,352","14,389"
"Wesley Chapel CDP, Florida",422,646,611,301,427,576,950,"2,266","6,846","6,488"
"Weston city, Florida","1,189",857,478,173,361,"1,002","1,210","1,469","5,193","5,313"
"West Palm Beach city, Florida","2,618","2,249","1,131","1,848","2,984","1,989","8,371","7,768","27,580","24,988"
"Albany city, Georgia","1,449","1,673","1,133",586,"1,267","1,155","4,426","5,059","17,701","16,266"
"Alpharetta city, Georgia",597,641,349,578,"1,025",369,"2,004","1,643","9,801","9,146"
"Athens-Clarke County unified government (balance), Georgia","3,754","3,342","1,396","2,290","2,588","3,004","10,212","9,880","32,823","33,084"
"Atlanta city, Georgia","9,155","12,792","7,132","7,234","9,780","10,109","32,275","33,040","127,924","119,628"
"Augusta-Richmond County consolidated government (balance), Georgia","3,116","3,866","2,555","3,780","2,932","2,936","7,819","9,333","40,024","35,302"
"Columbus city, Georgia","3,141","3,472","2,997","1,931","3,614","3,358","10,656","9,866","38,259","43,280"
"Johns Creek city, Georgia",,593,,595,,281,,908,"5,364",
"Mableton city, Georgia",,"1,071",,468,,"1,309",,"2,606","10,293",
"Macon-Bibb County, Georgia","2,240","2,222","2,235","1,314","2,191","2,405","6,925","8,314","28,434","25,498"
"Roswell city, Georgia",821,"1,897",460,756,"2,132",463,"2,576","2,244","10,587","11,363"
"Sandy Springs city, Georgia","1,966","3,545","2,648","1,122",628,"1,685","4,511","5,729","24,955","25,510"
"Savannah city, Georgia","1,601","1,904","1,310","2,214","2,868","2,429","9,517","9,231","28,641","31,529"
"South Fulton city, Georgia",,712,,"1,888",,"2,051",,"2,692","10,195",
"Warner Robins city, Georgia",402,775,"1,329",628,"2,586","1,172","2,108","3,560","15,203","14,671"
"Urban Honolulu CDP, Hawaii","7,179","5,670","3,869","4,030","6,421","7,333","18,313","17,663","71,039","69,940"
"Boise City city, Idaho","3,232","3,860","2,853","3,117","3,154","2,448","7,978","12,125","40,440","36,566"
