City,Pct_30_35_2021,Pct_30_35_2024,Pct_35_40_2021,Pct_35_40_2024,Pct_40_50_2021,Pct_40_50_2024,Pct_50plus_2021,Pct_50plus_2024,Total_Burdened_2021,Total_Burdened_2024
"Longview city, Texas",943,"1,451","1,093","1,294","1,061","1,234","3,613","3,880","14,015","14,730"
"Lubbock city, Texas","3,464","4,558","2,139","2,041","2,545","5,236","15,389","16,430","53,270","50,704"
"McAllen city, Texas","1,927","1,519",971,682,"1,304","1,969","4,737","5,241","18,481","19,806"
"McKinney city, Texas","2,791","3,108","1,129","1,268","2,533","2,437","6,462","5,601","31,298","26,293"
"Mansfield city, Texas","1,447",262,"1,149",598,381,205,"1,538","2,792","8,526","7,510"
"Mesquite city, Texas",946,"2,407","1,267",394,"1,944","2,057","7,065","7,484","19,668","18,348"
"Midland city, Texas","2,125","2,526",294,"1,947","1,266","1,335","3,684","5,834","19,245","17,689"
"Mission city, Texas",392,"1,397",0,805,89,317,"2,476","2,946","8,643","9,676"
"Missouri City city, Texas",,306,,436,,393,,923,"4,270",
"New Braunfels city, Texas","1,098","1,578",724,"2,072","1,085",836,"2,359","4,767","16,929","14,626"
"North Richland Hills city, Texas",634,"1,457","1,073","1,292",861,"1,584","2,297","2,332","12,930","10,442"
"Odessa city, Texas","1,257","1,892","1,080","2,242","1,938","1,073","4,085","4,674","20,645","19,150"
"Pasadena city, Texas","1,047","1,601","2,171","1,732","2,279","3,264","4,978","5,978","22,241","21,644"
"Pearland city, Texas","1,173",687,534,777,545,"1,153","2,298","1,973","11,720","11,185"
"Pflugerville city, Texas",,"1,094",,861,,35,,"1,956","6,987",
"Pharr city, Texas",805,967,441,285,373,579,"2,815","2,271","10,773","10,400"
"Plano city, Texas","4,739","4,901","2,984","3,210","2,453","4,124","9,558","9,811","49,815","47,589"
"Richardson city, Texas","1,837","2,600",969,"1,498","1,108","2,096","4,233","4,732","22,403","19,700"
"Round Rock city, Texas","2,049","2,702",264,587,"3,634","1,948","6,654","4,503","22,120","23,133"
"Rowlett city, Texas",,242,,"1,093",,"1,723",,"1,813","7,803",
"San Angelo city, Texas",326,"2,353",885,810,839,"1,334","3,413","3,121","19,128","14,000"
"San Antonio city, Texas","22,899","23,102","16,959","20,742","23,083","27,792","64,806","71,442","273,449","259,122"
"San Marcos city, Texas","1,427","1,326","1,466","1,590","2,091","3,249","8,326","6,303","19,458","20,016"
"Spring CDP, Texas",,575,,174,,855,,"1,734","8,031",
"Sugar Land city, Texas",283,432,345,873,838,525,"1,037","2,404","7,996","6,852"
"Temple city, Texas","1,763","1,285","1,376","1,182","1,490","1,836","3,349","3,599","15,581","16,366"
"The Woodlands CDP, Texas","1,276","1,891",827,154,914,"1,284","1,610","3,091","16,988","10,758"
"Tyler city, Texas","1,572","1,240",756,"1,411","1,565","1,545","2,934","5,587","19,489","16,256"
"Victoria city, Texas","1,339","1,554",868,609,996,871,"2,357","2,772","13,446","11,418"
"Waco city, Texas","2,419","2,562","2,058","2,154","2,663","4,341","8,526","7,216","29,570","27,231"
"Wichita Falls city, Texas","1,231","1,365",943,902,"1,751","1,545","2,151","3,072","16,674","16,108"
"Layton city, Utah",103,220,899,606,862,508,"1,927","1,241","7,024","8,180"
"Lehi city, Utah",213,636,458,336,572,65,384,"1,071","6,458","5,002"
"Ogden city, Utah","1,352","1,416",936,"1,582","1,078",955,"2,296","2,556","12,820","12,618"
"Orem city, Utah","1,194","1,499",636,"1,012","1,258",519,"2,370","2,297","12,642","12,590"
"Provo city, Utah","1,901","1,294","1,735","1,609","1,667","1,778","4,931","5,639","21,824","20,325"
"St. George city, Utah","1,220","1,515","1,871",968,927,"2,316","3,326","2,715","13,654","13,077"
"Salt Lake City city, Utah","5,505","6,081","2,388","3,609","4,972","4,949","10,732","13,846","55,293","47,158"
"Sandy city, Utah","1,244","1,053",521,196,468,463,"1,558","2,444","8,594","7,599"
"South Jordan city, Utah",167,485,778,117,154,468,359,"1,045","5,565","4,591"
"West Jordan city, Utah",721,"1,037",304,208,"1,324",642,"1,512","1,895","9,406","8,818"
"West Valley City city, Utah","1,358",951,"1,692",595,918,"2,046","1,890","1,861","10,668","12,383"
"Alexandria city, Virginia","4,307","4,851","2,195","3,520","3,678","4,054","9,772","6,763","44,829","40,887"
"Arlington CDP, Virginia","3,755","6,519","2,977","4,696","4,108","3,678","12,288","10,980","69,505","60,819"
"Centreville CDP, Virginia",682,814,618,325,421,278,"1,860","1,437","7,536","6,444"
"Chesapeake city, Virginia","1,907","2,724","1,367","1,431","3,185","2,281","7,597","8,307","26,496","24,663"
"Hampton city, Virginia","2,679","3,438","1,821","1,189","2,759","2,712","7,116","6,923","25,020","26,519"
"Lynchburg city, Virginia",845,"1,346",977,811,"1,165","1,267","3,540","4,068","14,419","13,590"
"Newport News city, Virginia","4,537","3,723","4,485","2,166","3,921","3,164","8,176","10,324","38,378","40,962"
"Norfolk city, Virginia","5,586","5,735","3,806","3,870","4,335","6,134","13,091","13,165","53,013","52,729"
"Portsmouth city, Virginia","1,594","1,960","1,529",831,"1,368","2,998","4,960","2,982","14,656","17,909"
"Reston CDP, Virginia",,"1,065",,699,,552,,"1,612","12,825",
"Richmond city, Virginia","4,795","5,254","3,174","5,166","4,965","4,902","15,740","15,581","62,906","54,944"
"Roanoke city, Virginia","1,045","1,320",472,889,"1,890","1,761","4,849","4,053","20,895","20,457"
"Suffolk city, Virginia","1,209",984,"1,083",818,"1,200",747,"3,059","2,977","10,352","10,732"
"Virginia Beach city, Virginia","5,681","7,818","4,128","4,488","6,997","7,347","16,167","15,746","66,408","63,631"
"Auburn city, Washington","1,203","1,650",772,756,"1,393",983,"3,929","3,744","12,945","13,041"
"Bellevue city, Washington","1,039","3,366","1,348",874,"1,103","1,579","5,444","6,845","32,987","29,144"
"Bellingham city, Washington","2,209","2,965",854,"2,126","4,186","1,762","6,959","6,435","22,834","24,053"
"Everett city, Washington","2,447","3,875","3,138",817,"1,708","2,958","6,157","5,159","24,675","23,721"
"Federal Way city, Washington","2,490","2,057","1,130","1,330","1,125","1,886","4,227","4,399","16,574","15,394"
"Kennewick city, Washington","2,064","1,161",703,393,"1,478","1,406","3,474","3,796","14,179","13,475"
"Kent city, Washington","2,276","1,312","1,434","1,456","2,469","1,771","4,459","5,498","19,186","19,892"
"Kirkland city, Washington",881,"1,096","1,407","1,262",464,"1,581","2,539","3,511","17,003","14,898"
"Marysville city, Washington",775,537,496,829,561,"1,070","1,393","1,848","8,086","7,036"
"Pasco city, Washington",793,532,279,602,59,345,843,"1,910","8,553","6,454"
"Redmond city, Washington","1,153","2,129",724,"1,678",466,"1,799","3,796","3,241","21,443","18,286"
"Renton city, Washington","2,759","1,747","1,223","1,317","2,212","1,665","6,132","3,893","17,587","20,437"
"Sammamish city, Washington",319,300,217,155,228,387,758,585,"4,151","3,699"
"Seattle city, Washington","13,962","22,671","10,435","13,976","15,712","16,242","45,338","41,794","222,838","190,063"
"Shoreline city, Washington",,"1,264",,"1,138",,581,,"2,673","10,632",
"South Hill CDP, Washington",279,"1,052",459,84,321,"1,241","1,670","1,664","8,752","4,631"
"Spokane city, Washington","3,780","2,404","3,462","2,987","2,973","3,340","10,090","9,188","40,044","40,249"
"Spokane Valley city, Washington","1,740","1,557","1,500",973,"2,195","1,650","4,024","4,761","16,945","18,580"
"Tacoma city, Washington","3,767","3,904","2,530","3,276","3,018","5,347","6,812","11,698","43,503","37,663"
"Vancouver city, Washington","3,220","4,369","3,139","3,922","4,779","3,347","10,407","8,270","40,626","40,330"
"Yakima city, Washington","1,033",473,"1,083","1,653","1,077","2,157","3,247","3,760","18,850","16,713"
"Appleton city, Wisconsin",821,866,766,515,664,824,"2,159","1,907","9,514","9,737"
"Eau Claire city, Wisconsin",762,"1,987",688,862,721,512,"2,638","4,683","16,558","12,259"
"Green Bay city, Wisconsin","2,097","1,737","1,134",943,"1,035","1,306","4,455","3,319","15,473","19,700"
"Janesville city, Wisconsin",939,54,755,"1,001",620,584,"1,210","1,818","9,192","9,313"
"Kenosha city, Wisconsin","1,663","2,229",480,522,"1,080","1,345","3,978","3,628","17,345","15,814"
"Madison city, Wisconsin","5,971","7,165","4,023","5,048","3,227","7,848","17,052","17,498","74,964","63,695"
"Milwaukee city, Wisconsin","11,497","11,046","6,522","8,499","10,327","10,886","35,701","34,624","133,112","136,318"
"Oshkosh city, Wisconsin",864,"1,177","1,064",745,371,572,"2,345","2,951","12,399","13,393"
"Racine city, Wisconsin","1,387","1,402",843,613,927,"2,872","4,292","3,831","13,069","14,570"
"Waukesha city, Wisconsin","1,144","1,354",346,581,"1,147",849,"2,488","2,709","12,427","12,650"
"Cheyenne city, Wyoming","1,503","1,081",760,573,"1,194","1,238","1,797","2,326","11,577","10,819"
"Bayamón zona urbana, Puerto Rico","1,473",476,"1,019",675,"1,122",932,"4,573","2,989","19,746","19,047"
"Caguas zona urbana, Puerto Rico",822,903,113,264,"1,253",226,"2,680","1,186","11,010","12,005"
"Carolina zona urbana, Puerto Rico",327,"1,908","1,010",906,746,793,"3,930","2,421","19,929","18,628"
"Guaynabo zona urbana, Puerto Rico",747,141,0,258,64,235,"1,546","1,208","5,599","6,698"
"Ponce zona urbana, Puerto Rico","1,268","1,450",446,673,476,"1,226","2,772","1,778","16,000","13,276"
"San Juan zona urbana, Puerto Rico","3,144","3,937","3,347","3,306","3,318","3,569","14,042","10,956","63,130","63,065"
