"Region","Doctorate degree","MoE"
"Little Rock-North Little Rock-Conway, AR Metro Area","7,177","± 808"
"Logan, UT-ID Metro Area","1,784","± 216"
"Longview, TX Metro Area","877","± 201"
"Longview-Kelso, WA Metro Area","378","± 150"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","143,872","± 3,199"
"Louisville/Jefferson County, KY-IN Metro Area","12,245","± 897"
"Lubbock, TX Metro Area","4,675","± 601"
"Lynchburg, VA Metro Area","2,521","± 294"
"Macon-Bibb County, GA Metro Area","2,063","± 374"
"Madison, WI Metro Area","17,444","± 1,242"
"Manchester-Nashua, NH Metro Area","4,451","± 577"
"Manhattan, KS Metro Area","2,744","± 360"
"Mankato, MN Metro Area","1,509","± 270"
"Mansfield, OH Metro Area","495","± 190"
"Mayagüez, PR Metro Area","2,064","± 387"
"McAllen-Edinburg-Mission, TX Metro Area","3,173","± 436"
"Medford, OR Metro Area","1,810","± 311"
"Memphis, TN-MS-AR Metro Area","12,142","± 822"
"Merced, CA Metro Area","811","± 208"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","62,396","± 2,386"
"Michigan City-La Porte, IN Metro Area","513","± 121"
"Midland, MI Metro Area","1,335","± 260"
"Midland, TX Metro Area","876","± 293"
"Milwaukee-Waukesha, WI Metro Area","16,548","± 1,032"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","46,937","± 1,829"
"Minot, ND Metro Area","382","± 151"
"Missoula, MT Metro Area","2,169","± 371"
"Mobile, AL Metro Area","2,407","± 387"
"Modesto, CA Metro Area","2,009","± 370"
"Monroe, LA Metro Area","1,198","± 274"
"Monroe, MI Metro Area","754","± 238"
"Montgomery, AL Metro Area","3,461","± 518"
"Morgantown, WV Metro Area","3,775","± 485"
"Morristown, TN Metro Area","845","± 224"
"Mount Vernon-Anacortes, WA Metro Area","863","± 116"
"Muncie, IN Metro Area","1,182","± 243"
"Muskegon-Norton Shores, MI Metro Area","684","± 173"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","3,106","± 417"
"Napa, CA Metro Area","1,394","± 237"
"Naples-Marco Island, FL Metro Area","5,087","± 756"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","25,891","± 1,326"
"New Haven, CT Metro Area","11,687","± 953"
"New Orleans-Metairie, LA Metro Area","11,402","± 780"
"New York-Newark-Jersey City, NY-NJ Metro Area","249,280","± 5,007"
"Niles, MI Metro Area","1,577","± 249"
"North Port-Bradenton-Sarasota, FL Metro Area","11,852","± 922"
"Norwich-New London-Willimantic, CT Metro Area","2,901","± 401"
"Ocala, FL Metro Area","2,124","± 370"
