"Region","Educational services, and health care and social assistance:"
"Santa Cruz-Watsonville, CA Metro Area","22,679"
"Santa Fe, NM Metro Area","11,483"
"Santa Maria-Santa Barbara, CA Metro Area","32,587"
"Santa Rosa-Petaluma, CA Metro Area","40,802"
"Savannah, GA Metro Area","33,945"
"Scranton--Wilkes-Barre, PA Metro Area","50,379"
"Seattle-Tacoma-Bellevue, WA Metro Area","315,167"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","10,919"
"Sebring, FL Metro Area","7,070"
"Sheboygan, WI Metro Area","9,015"
"Sherman-Denison, TX Metro Area","10,022"
"Shreveport-Bossier City, LA Metro Area","33,195"
"Sierra Vista-Douglas, AZ Metro Area","7,141"
"Sioux City, IA-NE-SD Metro Area","12,593"
"Sioux Falls, SD-MN Metro Area","31,456"
"Slidell-Mandeville-Covington, LA Metro Area","22,753"
"South Bend-Mishawaka, IN-MI Metro Area","30,235"
"Spartanburg, SC Metro Area","28,948"
"Spokane-Spokane Valley, WA Metro Area","51,022"
"Springfield, IL Metro Area","19,620"
"Springfield, MA Metro Area","49,298"
"Springfield, MO Metro Area","43,079"
"Springfield, OH Metro Area","10,839"
"State College, PA Metro Area","17,012"
"Staunton-Stuarts Draft, VA Metro Area","11,448"
"Stockton-Lodi, CA Metro Area","52,670"
"Sumter, SC Metro Area","8,278"
"Syracuse, NY Metro Area","69,311"
"Tallahassee, FL Metro Area","33,591"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","248,175"
"Terre Haute, IN Metro Area","14,588"
"Texarkana, TX-AR Metro Area","12,144"
"Toledo, OH Metro Area","54,849"
"Topeka, KS Metro Area","21,746"
"Traverse City, MI Metro Area","13,616"
"Trenton-Princeton, NJ Metro Area","33,634"
"Tucson, AZ Metro Area","86,125"
"Tulsa, OK Metro Area","78,987"
"Tuscaloosa, AL Metro Area","27,168"
"Twin Falls, ID Metro Area","8,255"
"Tyler, TX Metro Area","21,912"
"Urban Honolulu, HI Metro Area","74,994"
"Utica-Rome, NY Metro Area","25,944"
"Valdosta, GA Metro Area","11,643"
"Vallejo, CA Metro Area","34,384"
"Victoria, TX Metro Area","8,125"
"Vineland, NJ Metro Area","13,145"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","150,927"
"Visalia, CA Metro Area","31,772"
"Waco, TX Metro Area","25,616"
"Walla Walla, WA Metro Area","5,163"
