"Region","Professional school degree","MoE"
"Laredo, TX Metro Area","1,503","± 331"
"Las Cruces, NM Metro Area","2,407","± 496"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","27,441","± 1,411"
"Lawrence, KS Metro Area","2,498","± 545"
"Lawton, OK Metro Area","1,025","± 235"
"Lebanon, PA Metro Area","1,151","± 262"
"Lewiston, ID-WA Metro Area","781","± 239"
"Lewiston-Auburn, ME Metro Area","793","± 226"
"Lexington-Fayette, KY Metro Area","11,912","± 854"
"Lexington Park, MD Metro Area","1,890","± 337"
"Lima, OH Metro Area","859","± 195"
"Lincoln, NE Metro Area","4,603","± 564"
"Little Rock-North Little Rock-Conway, AR Metro Area","12,208","± 876"
"Logan, UT-ID Metro Area","1,172","± 231"
"Longview, TX Metro Area","1,738","± 406"
"Longview-Kelso, WA Metro Area","544","± 192"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","254,722","± 4,490"
"Louisville/Jefferson County, KY-IN Metro Area","20,402","± 1,069"
"Lubbock, TX Metro Area","3,815","± 712"
"Lynchburg, VA Metro Area","2,444","± 344"
"Macon-Bibb County, GA Metro Area","4,258","± 462"
"Madison, WI Metro Area","13,383","± 803"
"Manchester-Nashua, NH Metro Area","5,027","± 445"
"Manhattan, KS Metro Area","1,332","± 261"
"Mankato, MN Metro Area","1,121","± 196"
"Mansfield, OH Metro Area","886","± 240"
"Mayagüez, PR Metro Area","1,444","± 323"
"McAllen-Edinburg-Mission, TX Metro Area","5,036","± 622"
"Medford, OR Metro Area","4,312","± 529"
"Memphis, TN-MS-AR Metro Area","17,367","± 1,211"
"Merced, CA Metro Area","1,397","± 279"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","148,439","± 3,767"
"Michigan City-La Porte, IN Metro Area","922","± 211"
"Midland, MI Metro Area","860","± 165"
"Midland, TX Metro Area","1,595","± 427"
"Milwaukee-Waukesha, WI Metro Area","23,914","± 1,290"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","67,813","± 1,816"
"Minot, ND Metro Area","571","± 201"
"Missoula, MT Metro Area","3,174","± 528"
"Mobile, AL Metro Area","4,204","± 584"
"Modesto, CA Metro Area","4,831","± 653"
"Monroe, LA Metro Area","2,374","± 397"
"Monroe, MI Metro Area","1,166","± 238"
"Montgomery, AL Metro Area","4,793","± 532"
"Morgantown, WV Metro Area","2,934","± 397"
"Morristown, TN Metro Area","1,341","± 304"
"Mount Vernon-Anacortes, WA Metro Area","1,906","± 231"
"Muncie, IN Metro Area","762","± 171"
"Muskegon-Norton Shores, MI Metro Area","1,302","± 241"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","3,842","± 609"
"Napa, CA Metro Area","3,399","± 389"
