"Region","Public administration"
"Lake Havasu City-Kingman, AZ Metro Area","1,789"
"Lakeland-Winter Haven, FL Metro Area","6,429"
"Lancaster, PA Metro Area","2,564"
"Lansing-East Lansing, MI Metro Area","10,416"
"Laredo, TX Metro Area","2,067"
"Las Cruces, NM Metro Area","2,869"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","15,819"
"Lawrence, KS Metro Area","1,424"
"Lawton, OK Metro Area","1,865"
"Lebanon, PA Metro Area","1,331"
"Lewiston, ID-WA Metro Area","1,023"
"Lewiston-Auburn, ME Metro Area","1,102"
"Lexington-Fayette, KY Metro Area","4,441"
"Lexington Park, MD Metro Area","7,471"
"Lima, OH Metro Area","534"
"Lincoln, NE Metro Area","5,778"
"Little Rock-North Little Rock-Conway, AR Metro Area","10,671"
"Logan, UT-ID Metro Area","1,070"
"Longview, TX Metro Area","2,311"
"Longview-Kelso, WA Metro Area","1,216"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","116,232"
"Louisville/Jefferson County, KY-IN Metro Area","10,286"
"Lubbock, TX Metro Area","3,045"
"Lynchburg, VA Metro Area","2,154"
"Macon-Bibb County, GA Metro Area","3,115"
"Madison, WI Metro Area","9,116"
"Manchester-Nashua, NH Metro Area","2,951"
"Manhattan, KS Metro Area","1,427"
"Mankato, MN Metro Area","678"
"Mansfield, OH Metro Area","799"
"Mayagüez, PR Metro Area","2,252"
"McAllen-Edinburg-Mission, TX Metro Area","5,781"
"Medford, OR Metro Area","2,080"
"Memphis, TN-MS-AR Metro Area","16,132"
"Merced, CA Metro Area","2,249"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","49,921"
"Michigan City-La Porte, IN Metro Area","1,054"
"Midland, MI Metro Area","521"
"Midland, TX Metro Area","1,330"
"Milwaukee-Waukesha, WI Metro Area","10,092"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","36,788"
"Minot, ND Metro Area","937"
"Missoula, MT Metro Area","1,255"
"Mobile, AL Metro Area","2,940"
"Modesto, CA Metro Area","4,972"
"Monroe, LA Metro Area","2,404"
"Monroe, MI Metro Area","1,116"
"Montgomery, AL Metro Area","9,563"
"Morgantown, WV Metro Area","1,383"
"Morristown, TN Metro Area","747"
"Mount Vernon-Anacortes, WA Metro Area","1,147"
"Muncie, IN Metro Area","664"
"Muskegon-Norton Shores, MI Metro Area","1,370"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","2,295"
"Napa, CA Metro Area","1,581"
"Naples-Marco Island, FL Metro Area","2,027"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","20,007"
"New Haven, CT Metro Area","4,684"
"New Orleans-Metairie, LA Metro Area","11,942"
"New York-Newark-Jersey City, NY-NJ Metro Area","165,527"
"Niles, MI Metro Area","1,106"
"North Port-Bradenton-Sarasota, FL Metro Area","5,644"
"Norwich-New London-Willimantic, CT Metro Area","2,378"
"Ocala, FL Metro Area","3,298"
"Odessa, TX Metro Area","791"
"Ogden, UT Metro Area","10,723"
"Oklahoma City, OK Metro Area","18,911"
"Olympia-Lacey-Tumwater, WA Metro Area","11,872"
"Omaha, NE-IA Metro Area","7,439"
"Orlando-Kissimmee-Sanford, FL Metro Area","21,981"
"Oshkosh-Neenah, WI Metro Area","1,565"
"Owensboro, KY Metro Area","735"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","8,886"
"Paducah, KY-IL Metro Area","1,167"
"Palm Bay-Melbourne-Titusville, FL Metro Area","5,890"
"Panama City-Panama City Beach, FL Metro Area","3,527"
"Parkersburg-Vienna, WV Metro Area","1,551"
"Pensacola-Ferry Pass-Brent, FL Metro Area","5,139"
"Peoria, IL Metro Area","2,476"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","61,339"
"Phoenix-Mesa-Chandler, AZ Metro Area","43,914"
"Pinehurst-Southern Pines, NC Metro Area","1,285"
"Pittsburgh, PA Metro Area","16,070"
"Pittsfield, MA Metro Area","946"
"Pocatello, ID Metro Area","924"
"Ponce, PR Metro Area","2,990"
"Portland-South Portland, ME Metro Area","3,852"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","24,936"
"Port St. Lucie, FL Metro Area","3,397"
"Prescott Valley-Prescott, AZ Metro Area","1,846"
"Providence-Warwick, RI-MA Metro Area","13,912"
"Provo-Orem-Lehi, UT Metro Area","3,694"
"Pueblo, CO Metro Area","2,171"
"Punta Gorda, FL Metro Area","1,264"
"Racine-Mount Pleasant, WI Metro Area","1,490"
"Raleigh-Cary, NC Metro Area","17,787"
"Rapid City, SD Metro Area","1,356"
"Reading, PA Metro Area","2,443"
"Redding, CA Metro Area","2,539"
"Reno, NV Metro Area","5,553"
"Richmond, VA Metro Area","23,285"
"Riverside-San Bernardino-Ontario, CA Metro Area","51,256"
"Roanoke, VA Metro Area","3,080"
"Rochester, MN Metro Area","1,645"
"Rochester, NY Metro Area","8,866"
"Rockford, IL Metro Area","2,054"
"Rocky Mount, NC Metro Area","1,498"
"Rome, GA Metro Area","749"
"Sacramento-Roseville-Folsom, CA Metro Area","56,757"
"Saginaw, MI Metro Area","1,460"
"St. Cloud, MN Metro Area","1,340"
"St. George, UT Metro Area","1,244"
"St. Joseph, MO-KS Metro Area","1,158"
"St. Louis, MO-IL Metro Area","23,809"
"Salem, OR Metro Area","9,344"
"Salinas, CA Metro Area","4,636"
"Salisbury, MD Metro Area","1,813"
"Salt Lake City-Murray, UT Metro Area","11,270"
"San Angelo, TX Metro Area","1,465"
"San Antonio-New Braunfels, TX Metro Area","25,639"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","32,487"
"Sandusky, OH Metro Area","914"
"San Francisco-Oakland-Fremont, CA Metro Area","46,826"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","14,392"
"San Juan-Bayamón-Caguas, PR Metro Area","29,162"
"San Luis Obispo-Paso Robles, CA Metro Area","3,041"
"Santa Cruz-Watsonville, CA Metro Area","2,362"
"Santa Fe, NM Metro Area","3,428"
"Santa Maria-Santa Barbara, CA Metro Area","4,650"
"Santa Rosa-Petaluma, CA Metro Area","5,000"
"Savannah, GA Metro Area","3,920"
"Scranton--Wilkes-Barre, PA Metro Area","4,718"
"Seattle-Tacoma-Bellevue, WA Metro Area","36,496"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","1,041"
"Sebring, FL Metro Area","961"
"Sheboygan, WI Metro Area","766"
"Sherman-Denison, TX Metro Area","850"
"Shreveport-Bossier City, LA Metro Area","4,014"
"Sierra Vista-Douglas, AZ Metro Area","1,894"
"Sioux City, IA-NE-SD Metro Area","1,189"
"Sioux Falls, SD-MN Metro Area","1,961"
"Slidell-Mandeville-Covington, LA Metro Area","2,472"
"South Bend-Mishawaka, IN-MI Metro Area","2,212"
"Spartanburg, SC Metro Area","1,691"
"Spokane-Spokane Valley, WA Metro Area","5,314"
"Springfield, IL Metro Area","6,327"
"Springfield, MA Metro Area","4,428"
"Springfield, MO Metro Area","3,544"
"Springfield, OH Metro Area","1,077"
"State College, PA Metro Area","940"
"Staunton-Stuarts Draft, VA Metro Area","1,209"
"Stockton-Lodi, CA Metro Area","8,835"
"Sumter, SC Metro Area","1,323"
"Syracuse, NY Metro Area","5,469"
"Tallahassee, FL Metro Area","14,866"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","23,177"
"Terre Haute, IN Metro Area","2,063"
"Texarkana, TX-AR Metro Area","2,169"
"Toledo, OH Metro Area","4,171"
"Topeka, KS Metro Area","5,251"
"Traverse City, MI Metro Area","959"
"Trenton-Princeton, NJ Metro Area","6,298"
"Tucson, AZ Metro Area","10,206"
"Tulsa, OK Metro Area","8,693"
"Tuscaloosa, AL Metro Area","2,008"
"Twin Falls, ID Metro Area","990"
"Tyler, TX Metro Area","1,407"
"Urban Honolulu, HI Metro Area","17,566"
"Utica-Rome, NY Metro Area","3,677"
"Valdosta, GA Metro Area","2,005"
"Vallejo, CA Metro Area","7,702"
"Victoria, TX Metro Area","636"
"Vineland, NJ Metro Area","1,839"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","26,584"
"Visalia, CA Metro Area","5,362"
"Waco, TX Metro Area","3,015"
"Walla Walla, WA Metro Area","605"
"Warner Robins, GA Metro Area","4,637"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","203,947"
"Waterbury-Shelton, CT Metro Area","4,851"
"Waterloo-Cedar Falls, IA Metro Area","875"
"Watertown-Fort Drum, NY Metro Area","1,401"
"Wausau, WI Metro Area","650"
"Weirton-Steubenville, WV-OH Metro Area","883"
"Wenatchee-East Wenatchee, WA Metro Area","859"
"Wheeling, WV-OH Metro Area","1,054"
"Wichita, KS Metro Area","5,276"
"Wichita Falls, TX Metro Area","1,588"
"Wildwood-The Villages, FL Metro Area","573"
"Williamsport, PA Metro Area","886"
"Wilmington, NC Metro Area","3,344"
"Winchester, VA-WV Metro Area","1,899"
"Winston-Salem, NC Metro Area","4,365"
"Worcester, MA Metro Area","6,765"
"Yakima, WA Metro Area","2,816"
"York-Hanover, PA Metro Area","4,231"
"Youngstown-Warren, OH Metro Area","2,880"
"Yuba City, CA Metro Area","2,575"
"Yuma, AZ Metro Area","2,459"
