"Region","Public transportation (excluding taxicab):","MoE"
"Norwich-New London-Willimantic, CT Metro Area","1,793","± 482"
"Ocala, FL Metro Area","199","± 128"
"Odessa, TX Metro Area","156","± 97"
"Ogden, UT Metro Area","3,937","± 535"
"Oklahoma City, OK Metro Area","2,105","± 358"
"Olympia-Lacey-Tumwater, WA Metro Area","1,880","± 384"
"Omaha, NE-IA Metro Area","3,418","± 539"
"Orlando-Kissimmee-Sanford, FL Metro Area","14,267","± 1,308"
"Oshkosh-Neenah, WI Metro Area","520","± 249"
"Owensboro, KY Metro Area","124","± 59"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","2,910","± 371"
"Paducah, KY-IL Metro Area","272","± 123"
"Palm Bay-Melbourne-Titusville, FL Metro Area","1,744","± 644"
"Panama City-Panama City Beach, FL Metro Area","493","± 220"
"Parkersburg-Vienna, WV Metro Area","230","± 102"
"Pensacola-Ferry Pass-Brent, FL Metro Area","1,216","± 442"
"Peoria, IL Metro Area","1,207","± 273"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","200,411","± 4,462"
"Phoenix-Mesa-Chandler, AZ Metro Area","27,924","± 2,026"
"Pinehurst-Southern Pines, NC Metro Area","94","± 85"
"Pittsburgh, PA Metro Area","43,101","± 1,756"
"Pittsfield, MA Metro Area","876","± 258"
"Pocatello, ID Metro Area","465","± 126"
"Ponce, PR Metro Area","251","± 120"
"Portland-South Portland, ME Metro Area","2,338","± 319"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","46,616","± 1,674"
"Port St. Lucie, FL Metro Area","516","± 223"
"Prescott Valley-Prescott, AZ Metro Area","229","± 114"
"Providence-Warwick, RI-MA Metro Area","15,323","± 1,139"
"Provo-Orem-Lehi, UT Metro Area","6,261","± 567"
"Pueblo, CO Metro Area","415","± 143"
"Punta Gorda, FL Metro Area","150","± 87"
"Racine-Mount Pleasant, WI Metro Area","873","± 237"
"Raleigh-Cary, NC Metro Area","4,106","± 669"
"Rapid City, SD Metro Area","253","± 137"
"Reading, PA Metro Area","2,086","± 383"
"Redding, CA Metro Area","385","± 158"
"Reno, NV Metro Area","4,910","± 703"
"Richmond, VA Metro Area","7,653","± 816"
"Riverside-San Bernardino-Ontario, CA Metro Area","16,402","± 1,242"
"Roanoke, VA Metro Area","1,323","± 374"
"Rochester, MN Metro Area","2,926","± 376"
"Rochester, NY Metro Area","6,973","± 630"
"Rockford, IL Metro Area","828","± 208"
"Rocky Mount, NC Metro Area","251","± 213"
"Rome, GA Metro Area","24","± 28"
"Sacramento-Roseville-Folsom, CA Metro Area","14,928","± 1,102"
"Saginaw, MI Metro Area","291","± 120"
"St. Cloud, MN Metro Area","1,287","± 344"
"St. George, UT Metro Area","358","± 227"
"St. Joseph, MO-KS Metro Area","132","± 56"
"St. Louis, MO-IL Metro Area","18,788","± 1,350"
"Salem, OR Metro Area","2,263","± 504"
"Salinas, CA Metro Area","2,443","± 408"
"Salisbury, MD Metro Area","218","± 127"
"Salt Lake City-Murray, UT Metro Area","14,890","± 1,232"
"San Angelo, TX Metro Area","214","± 124"
"San Antonio-New Braunfels, TX Metro Area","16,180","± 1,345"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","35,317","± 1,428"
"Sandusky, OH Metro Area","408","± 180"
"San Francisco-Oakland-Fremont, CA Metro Area","245,060","± 4,519"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","26,443","± 1,292"
"San Juan-Bayamón-Caguas, PR Metro Area","8,793","± 750"
"San Luis Obispo-Paso Robles, CA Metro Area","1,070","± 345"
"Santa Cruz-Watsonville, CA Metro Area","2,440","± 388"
"Santa Fe, NM Metro Area","626","± 182"
"Santa Maria-Santa Barbara, CA Metro Area","4,604","± 569"
"Santa Rosa-Petaluma, CA Metro Area","2,420","± 431"
"Savannah, GA Metro Area","2,141","± 539"
"Scranton--Wilkes-Barre, PA Metro Area","1,880","± 354"
"Seattle-Tacoma-Bellevue, WA Metro Area","121,444","± 2,927"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","405","± 209"
"Sebring, FL Metro Area","54","± 56"
"Sheboygan, WI Metro Area","164","± 72"
"Sherman-Denison, TX Metro Area","318","± 212"
"Shreveport-Bossier City, LA Metro Area","1,513","± 394"
"Sierra Vista-Douglas, AZ Metro Area","46","± 40"
"Sioux City, IA-NE-SD Metro Area","658","± 226"
"Sioux Falls, SD-MN Metro Area","843","± 305"
"Slidell-Mandeville-Covington, LA Metro Area","150","± 99"
"South Bend-Mishawaka, IN-MI Metro Area","1,499","± 296"
"Spartanburg, SC Metro Area","219","± 103"
"Spokane-Spokane Valley, WA Metro Area","4,878","± 605"
"Springfield, IL Metro Area","961","± 256"
"Springfield, MA Metro Area","3,852","± 620"
"Springfield, MO Metro Area","1,443","± 344"
"Springfield, OH Metro Area","250","± 103"
"State College, PA Metro Area","2,601","± 438"
"Staunton-Stuarts Draft, VA Metro Area","146","± 80"
"Stockton-Lodi, CA Metro Area","3,738","± 509"
"Sumter, SC Metro Area","80","± 62"
"Syracuse, NY Metro Area","5,239","± 621"
"Tallahassee, FL Metro Area","2,435","± 513"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","12,485","± 1,248"
"Terre Haute, IN Metro Area","490","± 226"
"Texarkana, TX-AR Metro Area","65","± 53"
"Toledo, OH Metro Area","2,039","± 338"
"Topeka, KS Metro Area","568","± 263"
"Traverse City, MI Metro Area","493","± 195"
"Trenton-Princeton, NJ Metro Area","9,338","± 865"
"Tucson, AZ Metro Area","7,284","± 768"
"Tulsa, OK Metro Area","1,402","± 214"
"Tuscaloosa, AL Metro Area","985","± 559"
"Twin Falls, ID Metro Area","58","± 47"
"Tyler, TX Metro Area","371","± 255"
"Urban Honolulu, HI Metro Area","26,205","± 1,137"
"Utica-Rome, NY Metro Area","1,114","± 295"
"Valdosta, GA Metro Area","178","± 100"
