"Region","Professional, scientific, and technical services"
"Reno, NV Metro Area","10,339"
"Richmond, VA Metro Area","25,381"
"Riverside-San Bernardino-Ontario, CA Metro Area","45,619"
"Roanoke, VA Metro Area","3,720"
"Rochester, MN Metro Area","2,494"
"Rochester, NY Metro Area","18,660"
"Rockford, IL Metro Area","3,053"
"Rocky Mount, NC Metro Area","942"
"Rome, GA Metro Area","804"
"Sacramento-Roseville-Folsom, CA Metro Area","42,076"
"Saginaw, MI Metro Area","1,657"
"St. Cloud, MN Metro Area","2,000"
"St. George, UT Metro Area","2,041"
"St. Joseph, MO-KS Metro Area","789"
"St. Louis, MO-IL Metro Area","47,353"
"Salem, OR Metro Area","4,151"
"Salinas, CA Metro Area","4,789"
"Salisbury, MD Metro Area","1,103"
"Salt Lake City-Murray, UT Metro Area","25,437"
"San Angelo, TX Metro Area","980"
"San Antonio-New Braunfels, TX Metro Area","38,413"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","79,537"
"Sandusky, OH Metro Area","1,124"
"San Francisco-Oakland-Fremont, CA Metro Area","175,032"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","70,783"
"San Juan-Bayamón-Caguas, PR Metro Area","18,914"
"San Luis Obispo-Paso Robles, CA Metro Area","4,868"
"Santa Cruz-Watsonville, CA Metro Area","5,778"
"Santa Fe, NM Metro Area","3,796"
"Santa Maria-Santa Barbara, CA Metro Area","6,947"
"Santa Rosa-Petaluma, CA Metro Area","10,232"
"Savannah, GA Metro Area","6,214"
"Scranton--Wilkes-Barre, PA Metro Area","5,420"
"Seattle-Tacoma-Bellevue, WA Metro Area","115,962"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","2,947"
"Sebring, FL Metro Area","746"
"Sheboygan, WI Metro Area","925"
"Sherman-Denison, TX Metro Area","1,576"
"Shreveport-Bossier City, LA Metro Area","3,807"
"Sierra Vista-Douglas, AZ Metro Area","1,269"
"Sioux City, IA-NE-SD Metro Area","1,173"
"Sioux Falls, SD-MN Metro Area","3,718"
"Slidell-Mandeville-Covington, LA Metro Area","4,605"
"South Bend-Mishawaka, IN-MI Metro Area","3,484"
"Spartanburg, SC Metro Area","2,840"
"Spokane-Spokane Valley, WA Metro Area","8,060"
"Springfield, IL Metro Area","3,023"
