"Region","Professional, scientific, and technical services","MoE"
"Huntington-Ashland, WV-KY-OH Metro Area","3,153","± 433"
"Huntsville, AL Metro Area","22,707","± 1,164"
"Idaho Falls, ID Metro Area","4,632","± 488"
"Indianapolis-Carmel-Greenwood, IN Metro Area","47,346","± 1,981"
"Iowa City, IA Metro Area","2,635","± 391"
"Ithaca, NY Metro Area","2,515","± 419"
"Jackson, MI Metro Area","1,233","± 250"
"Jackson, MS Metro Area","6,204","± 567"
"Jackson, TN Metro Area","1,365","± 322"
"Jacksonville, FL Metro Area","35,976","± 1,960"
"Jacksonville, NC Metro Area","1,801","± 340"
"Janesville-Beloit, WI Metro Area","1,609","± 264"
"Jefferson City, MO Metro Area","1,474","± 288"
"Johnson City, TN Metro Area","2,653","± 479"
"Johnstown, PA Metro Area","1,450","± 222"
"Jonesboro, AR Metro Area","1,207","± 304"
"Joplin, MO-KS Metro Area","1,936","± 384"
"Kahului-Wailuku, HI Metro Area","1,843","± 295"
"Kalamazoo-Portage, MI Metro Area","3,970","± 542"
"Kankakee, IL Metro Area","994","± 248"
"Kansas City, MO-KS Metro Area","62,088","± 2,012"
"Kennewick-Richland, WA Metro Area","7,719","± 834"
"Kenosha, WI Metro Area","2,462","± 386"
"Killeen-Temple, TX Metro Area","5,508","± 670"
"Kingsport-Bristol, TN-VA Metro Area","2,764","± 410"
"Kingston, NY Metro Area","3,316","± 434"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","14,088","± 843"
"Knoxville, TN Metro Area","18,096","± 815"
"Kokomo, IN Metro Area","700","± 245"
"La Crosse-Onalaska, WI-MN Metro Area","1,717","± 286"
"Lafayette, LA Metro Area","6,371","± 766"
"Lafayette-West Lafayette, IN Metro Area","3,408","± 514"
"Lake Charles, LA Metro Area","2,993","± 449"
"Lake Havasu City-Kingman, AZ Metro Area","1,629","± 323"
"Lakeland-Winter Haven, FL Metro Area","9,409","± 868"
"Lancaster, PA Metro Area","9,478","± 749"
"Lansing-East Lansing, MI Metro Area","7,373","± 704"
"Laredo, TX Metro Area","2,471","± 492"
"Las Cruces, NM Metro Area","3,153","± 554"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","39,494","± 1,639"
"Lawrence, KS Metro Area","3,172","± 509"
"Lawton, OK Metro Area","940","± 208"
"Lebanon, PA Metro Area","1,637","± 271"
"Lewiston, ID-WA Metro Area","627","± 153"
"Lewiston-Auburn, ME Metro Area","1,694","± 340"
"Lexington-Fayette, KY Metro Area","10,399","± 756"
"Lexington Park, MD Metro Area","7,397","± 762"
"Lima, OH Metro Area","780","± 216"
"Lincoln, NE Metro Area","6,502","± 567"
"Little Rock-North Little Rock-Conway, AR Metro Area","10,916","± 770"
"Logan, UT-ID Metro Area","3,755","± 373"
"Longview, TX Metro Area","2,814","± 497"
"Longview-Kelso, WA Metro Area","1,236","± 330"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","329,647","± 4,519"
"Louisville/Jefferson County, KY-IN Metro Area","20,774","± 1,241"
"Lubbock, TX Metro Area","4,586","± 566"
"Lynchburg, VA Metro Area","3,566","± 465"
"Macon-Bibb County, GA Metro Area","2,640","± 405"
"Madison, WI Metro Area","26,645","± 1,170"
"Manchester-Nashua, NH Metro Area","14,466","± 890"
"Manhattan, KS Metro Area","2,199","± 376"
"Mankato, MN Metro Area","1,211","± 207"
"Mansfield, OH Metro Area","936","± 224"
"Mayagüez, PR Metro Area","801","± 213"
"McAllen-Edinburg-Mission, TX Metro Area","6,048","± 762"
"Medford, OR Metro Area","2,602","± 457"
"Memphis, TN-MS-AR Metro Area","16,467","± 1,296"
"Merced, CA Metro Area","1,429","± 304"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","136,073","± 3,300"
"Michigan City-La Porte, IN Metro Area","847","± 205"
"Midland, MI Metro Area","1,272","± 207"
"Midland, TX Metro Area","2,444","± 472"
"Milwaukee-Waukesha, WI Metro Area","30,964","± 1,283"
