"Region","Educational services, and health care and social assistance:","MoE"
"Olympia-Lacey-Tumwater, WA Metro Area","8,169","± 741"
"Omaha, NE-IA Metro Area","29,389","± 1,250"
"Orlando-Kissimmee-Sanford, FL Metro Area","71,028","± 2,905"
"Oshkosh-Neenah, WI Metro Area","4,000","± 392"
"Owensboro, KY Metro Area","2,620","± 368"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","24,656","± 1,165"
"Paducah, KY-IL Metro Area","2,368","± 307"
"Palm Bay-Melbourne-Titusville, FL Metro Area","13,938","± 1,247"
"Panama City-Panama City Beach, FL Metro Area","3,893","± 590"
"Parkersburg-Vienna, WV Metro Area","2,349","± 315"
"Pensacola-Ferry Pass-Brent, FL Metro Area","12,191","± 904"
"Peoria, IL Metro Area","10,817","± 696"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","231,222","± 3,879"
"Phoenix-Mesa-Chandler, AZ Metro Area","139,305","± 3,012"
"Pinehurst-Southern Pines, NC Metro Area","2,428","± 391"
"Pittsburgh, PA Metro Area","88,905","± 2,064"
"Pittsfield, MA Metro Area","6,022","± 594"
"Pocatello, ID Metro Area","3,713","± 376"
"Ponce, PR Metro Area","5,479","± 587"
"Portland-South Portland, ME Metro Area","20,617","± 1,017"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","77,076","± 2,239"
"Port St. Lucie, FL Metro Area","12,696","± 1,357"
"Prescott Valley-Prescott, AZ Metro Area","5,845","± 597"
"Providence-Warwick, RI-MA Metro Area","56,793","± 2,074"
"Provo-Orem-Lehi, UT Metro Area","29,483","± 1,226"
"Pueblo, CO Metro Area","5,792","± 621"
"Punta Gorda, FL Metro Area","3,226","± 430"
"Racine-Mount Pleasant, WI Metro Area","4,716","± 601"
"Raleigh-Cary, NC Metro Area","40,158","± 1,983"
"Rapid City, SD Metro Area","4,910","± 487"
"Reading, PA Metro Area","11,963","± 885"
"Redding, CA Metro Area","5,450","± 553"
"Reno, NV Metro Area","14,546","± 917"
"Richmond, VA Metro Area","38,678","± 1,565"
"Riverside-San Bernardino-Ontario, CA Metro Area","121,724","± 3,001"
"Roanoke, VA Metro Area","9,766","± 807"
"Rochester, MN Metro Area","16,920","± 855"
"Rochester, NY Metro Area","44,762","± 1,540"
"Rockford, IL Metro Area","6,959","± 618"
"Rocky Mount, NC Metro Area","2,692","± 469"
"Rome, GA Metro Area","2,716","± 389"
"Sacramento-Roseville-Folsom, CA Metro Area","76,566","± 2,044"
"Saginaw, MI Metro Area","4,739","± 497"
"St. Cloud, MN Metro Area","8,286","± 645"
"St. George, UT Metro Area","6,644","± 751"
"St. Joseph, MO-KS Metro Area","2,956","± 367"
"St. Louis, MO-IL Metro Area","82,674","± 2,402"
"Salem, OR Metro Area","12,663","± 937"
"Salinas, CA Metro Area","11,023","± 779"
"Salisbury, MD Metro Area","4,772","± 537"
"Salt Lake City-Murray, UT Metro Area","43,123","± 1,486"
"San Angelo, TX Metro Area","3,208","± 452"
"San Antonio-New Braunfels, TX Metro Area","77,509","± 2,866"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","101,580","± 2,513"
"Sandusky, OH Metro Area","2,795","± 397"
"San Francisco-Oakland-Fremont, CA Metro Area","162,805","± 3,279"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","58,589","± 1,640"
"San Juan-Bayamón-Caguas, PR Metro Area","40,951","± 1,687"
"San Luis Obispo-Paso Robles, CA Metro Area","8,881","± 788"
"Santa Cruz-Watsonville, CA Metro Area","10,727","± 950"
"Santa Fe, NM Metro Area","4,972","± 464"
"Santa Maria-Santa Barbara, CA Metro Area","15,085","± 1,069"
"Santa Rosa-Petaluma, CA Metro Area","14,472","± 894"
"Savannah, GA Metro Area","8,772","± 799"
"Scranton--Wilkes-Barre, PA Metro Area","17,663","± 1,081"
"Seattle-Tacoma-Bellevue, WA Metro Area","116,223","± 2,592"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","3,065","± 483"
"Sebring, FL Metro Area","2,355","± 422"
"Sheboygan, WI Metro Area","2,211","± 318"
"Sherman-Denison, TX Metro Area","2,751","± 424"
"Shreveport-Bossier City, LA Metro Area","9,796","± 981"
"Sierra Vista-Douglas, AZ Metro Area","2,551","± 376"
"Sioux City, IA-NE-SD Metro Area","3,148","± 375"
"Sioux Falls, SD-MN Metro Area","9,888","± 754"
"Slidell-Mandeville-Covington, LA Metro Area","7,916","± 799"
"South Bend-Mishawaka, IN-MI Metro Area","12,412","± 829"
"Spartanburg, SC Metro Area","6,995","± 796"
"Spokane-Spokane Valley, WA Metro Area","18,941","± 1,091"
"Springfield, IL Metro Area","7,696","± 644"
"Springfield, MA Metro Area","17,499","± 1,092"
"Springfield, MO Metro Area","15,575","± 966"
"Springfield, OH Metro Area","2,873","± 337"
"State College, PA Metro Area","13,030","± 810"
"Staunton-Stuarts Draft, VA Metro Area","3,570","± 532"
"Stockton-Lodi, CA Metro Area","18,367","± 1,266"
"Sumter, SC Metro Area","1,977","± 464"
"Syracuse, NY Metro Area","27,864","± 1,274"
"Tallahassee, FL Metro Area","15,788","± 1,032"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","88,418","± 2,882"
"Terre Haute, IN Metro Area","4,944","± 491"
"Texarkana, TX-AR Metro Area","2,635","± 447"
"Toledo, OH Metro Area","17,343","± 768"
"Topeka, KS Metro Area","6,543","± 595"
"Traverse City, MI Metro Area","4,911","± 593"
"Trenton-Princeton, NJ Metro Area","16,087","± 1,211"
"Tucson, AZ Metro Area","36,129","± 1,583"
"Tulsa, OK Metro Area","26,904","± 1,023"
"Tuscaloosa, AL Metro Area","9,289","± 809"
"Twin Falls, ID Metro Area","2,909","± 444"
"Tyler, TX Metro Area","6,857","± 701"
"Urban Honolulu, HI Metro Area","33,307","± 1,348"
"Utica-Rome, NY Metro Area","10,791","± 777"
"Valdosta, GA Metro Area","3,361","± 480"
"Vallejo, CA Metro Area","13,066","± 967"
"Victoria, TX Metro Area","2,174","± 343"
"Vineland, NJ Metro Area","3,717","± 470"
