"Region","Public administration","MoE"
"Indianapolis-Carmel-Greenwood, IN Metro Area","23,956","± 1,234"
"Iowa City, IA Metro Area","1,423","± 256"
"Ithaca, NY Metro Area","694","± 176"
"Jackson, MI Metro Area","1,692","± 271"
"Jackson, MS Metro Area","9,342","± 1,029"
"Jackson, TN Metro Area","1,457","± 286"
"Jacksonville, FL Metro Area","19,638","± 1,341"
"Jacksonville, NC Metro Area","3,712","± 518"
"Janesville-Beloit, WI Metro Area","1,547","± 238"
"Jefferson City, MO Metro Area","4,416","± 452"
"Johnson City, TN Metro Area","1,609","± 324"
"Johnstown, PA Metro Area","1,898","± 270"
"Jonesboro, AR Metro Area","1,252","± 311"
"Joplin, MO-KS Metro Area","1,178","± 244"
"Kahului-Wailuku, HI Metro Area","2,423","± 313"
"Kalamazoo-Portage, MI Metro Area","2,066","± 412"
"Kankakee, IL Metro Area","1,070","± 259"
"Kansas City, MO-KS Metro Area","28,996","± 1,270"
"Kennewick-Richland, WA Metro Area","3,969","± 480"
"Kenosha, WI Metro Area","1,842","± 270"
"Killeen-Temple, TX Metro Area","8,137","± 943"
"Kingsport-Bristol, TN-VA Metro Area","2,680","± 418"
"Kingston, NY Metro Area","2,967","± 455"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","11,839","± 1,028"
"Knoxville, TN Metro Area","9,915","± 925"
"Kokomo, IN Metro Area","599","± 178"
"La Crosse-Onalaska, WI-MN Metro Area","1,484","± 280"
"Lafayette, LA Metro Area","3,913","± 453"
"Lafayette-West Lafayette, IN Metro Area","1,426","± 246"
"Lake Charles, LA Metro Area","3,091","± 752"
"Lake Havasu City-Kingman, AZ Metro Area","2,531","± 454"
"Lakeland-Winter Haven, FL Metro Area","6,423","± 636"
"Lancaster, PA Metro Area","3,699","± 492"
"Lansing-East Lansing, MI Metro Area","8,429","± 536"
"Laredo, TX Metro Area","5,375","± 691"
"Las Cruces, NM Metro Area","4,608","± 596"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","22,519","± 1,408"
"Lawrence, KS Metro Area","1,255","± 277"
"Lawton, OK Metro Area","2,486","± 299"
"Lebanon, PA Metro Area","1,589","± 336"
"Lewiston, ID-WA Metro Area","745","± 184"
"Lewiston-Auburn, ME Metro Area","1,345","± 377"
"Lexington-Fayette, KY Metro Area","5,198","± 528"
"Lexington Park, MD Metro Area","11,305","± 821"
"Lima, OH Metro Area","840","± 201"
"Lincoln, NE Metro Area","5,639","± 457"
"Little Rock-North Little Rock-Conway, AR Metro Area","11,191","± 871"
"Logan, UT-ID Metro Area","1,425","± 244"
"Longview, TX Metro Area","2,574","± 425"
"Longview-Kelso, WA Metro Area","1,314","± 265"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","111,504","± 2,759"
"Louisville/Jefferson County, KY-IN Metro Area","13,257","± 1,025"
"Lubbock, TX Metro Area","4,387","± 568"
"Lynchburg, VA Metro Area","2,683","± 487"
"Macon-Bibb County, GA Metro Area","3,933","± 552"
"Madison, WI Metro Area","9,439","± 727"
"Manchester-Nashua, NH Metro Area","4,005","± 451"
"Manhattan, KS Metro Area","2,246","± 423"
