"Region","90 or more minutes","MoE"
"Lexington Park, MD Metro Area","7,518","± 741"
"Lima, OH Metro Area","411","± 109"
"Lincoln, NE Metro Area","1,596","± 327"
"Little Rock-North Little Rock-Conway, AR Metro Area","4,745","± 723"
"Logan, UT-ID Metro Area","1,054","± 225"
"Longview, TX Metro Area","3,353","± 529"
"Longview-Kelso, WA Metro Area","1,530","± 300"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","173,616","± 3,578"
"Louisville/Jefferson County, KY-IN Metro Area","9,043","± 753"
"Lubbock, TX Metro Area","2,844","± 391"
"Lynchburg, VA Metro Area","2,076","± 328"
"Macon-Bibb County, GA Metro Area","2,037","± 404"
"Madison, WI Metro Area","3,433","± 386"
"Manchester-Nashua, NH Metro Area","5,594","± 630"
"Manhattan, KS Metro Area","1,164","± 376"
"Mankato, MN Metro Area","704","± 183"
"Mansfield, OH Metro Area","1,348","± 353"
"Mayagüez, PR Metro Area","1,639","± 366"
"McAllen-Edinburg-Mission, TX Metro Area","6,632","± 819"
"Medford, OR Metro Area","1,150","± 313"
"Memphis, TN-MS-AR Metro Area","7,873","± 879"
"Merced, CA Metro Area","9,900","± 887"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","67,698","± 2,675"
"Michigan City-La Porte, IN Metro Area","1,322","± 313"
"Midland, MI Metro Area","1,290","± 220"
"Midland, TX Metro Area","2,183","± 517"
"Milwaukee-Waukesha, WI Metro Area","9,388","± 771"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","21,623","± 1,120"
"Minot, ND Metro Area","1,349","± 287"
"Missoula, MT Metro Area","947","± 247"
"Mobile, AL Metro Area","3,542","± 578"
"Modesto, CA Metro Area","18,622","± 1,322"
"Monroe, LA Metro Area","2,405","± 399"
"Monroe, MI Metro Area","1,024","± 208"
"Montgomery, AL Metro Area","3,127","± 639"
"Morgantown, WV Metro Area","1,379","± 290"
"Morristown, TN Metro Area","975","± 302"
"Mount Vernon-Anacortes, WA Metro Area","1,750","± 299"
"Muncie, IN Metro Area","1,224","± 303"
"Muskegon-Norton Shores, MI Metro Area","1,043","± 212"
