"Region","Unemployed","MoE"
"Lawrence, KS Metro Area","3,261","± 524"
"Lawton, OK Metro Area","3,408","± 424"
"Lebanon, PA Metro Area","2,969","± 576"
"Lewiston, ID-WA Metro Area","1,193","± 280"
"Lewiston-Auburn, ME Metro Area","2,493","± 446"
"Lexington-Fayette, KY Metro Area","12,697","± 1,036"
"Lexington Park, MD Metro Area","3,725","± 589"
"Lima, OH Metro Area","2,865","± 470"
"Lincoln, NE Metro Area","5,862","± 675"
"Little Rock-North Little Rock-Conway, AR Metro Area","16,127","± 1,226"
"Logan, UT-ID Metro Area","1,805","± 321"
"Longview, TX Metro Area","5,859","± 684"
"Longview-Kelso, WA Metro Area","2,538","± 482"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","455,764","± 5,646"
"Louisville/Jefferson County, KY-IN Metro Area","30,657","± 1,512"
"Lubbock, TX Metro Area","8,569","± 780"
"Lynchburg, VA Metro Area","5,384","± 701"
"Macon-Bibb County, GA Metro Area","6,631","± 847"
"Madison, WI Metro Area","10,022","± 772"
"Manchester-Nashua, NH Metro Area","8,238","± 767"
"Manhattan, KS Metro Area","2,764","± 421"
"Mankato, MN Metro Area","1,976","± 340"
"Mansfield, OH Metro Area","2,727","± 454"
"Mayagüez, PR Metro Area","12,894","± 959"
"McAllen-Edinburg-Mission, TX Metro Area","28,197","± 1,871"
"Medford, OR Metro Area","5,673","± 644"
"Memphis, TN-MS-AR Metro Area","43,477","± 2,133"
"Merced, CA Metro Area","13,441","± 930"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","160,940","± 4,305"
"Michigan City-La Porte, IN Metro Area","2,301","± 355"
"Midland, MI Metro Area","1,931","± 325"
"Midland, TX Metro Area","3,449","± 771"
"Milwaukee-Waukesha, WI Metro Area","31,097","± 1,574"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","80,314","± 2,459"
"Minot, ND Metro Area","1,335","± 260"
"Missoula, MT Metro Area","3,187","± 577"
"Mobile, AL Metro Area","10,044","± 835"
"Modesto, CA Metro Area","20,229","± 1,384"
"Monroe, LA Metro Area","7,037","± 930"
"Monroe, MI Metro Area","3,786","± 576"
"Montgomery, AL Metro Area","8,843","± 898"
"Morgantown, WV Metro Area","3,756","± 630"
"Morristown, TN Metro Area","3,316","± 660"
"Mount Vernon-Anacortes, WA Metro Area","2,972","± 416"
"Muncie, IN Metro Area","3,465","± 511"
