"Region","Master's degree","MoE"
"Norwich-New London-Willimantic, CT Metro Area","23,458","± 1,125"
"Ocala, FL Metro Area","16,993","± 1,255"
"Odessa, TX Metro Area","3,989","± 620"
"Ogden, UT Metro Area","34,336","± 1,458"
"Oklahoma City, OK Metro Area","79,389","± 2,086"
"Olympia-Lacey-Tumwater, WA Metro Area","22,162","± 1,153"
"Omaha, NE-IA Metro Area","65,286","± 1,950"
"Orlando-Kissimmee-Sanford, FL Metro Area","174,211","± 4,042"
"Oshkosh-Neenah, WI Metro Area","8,419","± 728"
"Owensboro, KY Metro Area","5,667","± 525"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","53,080","± 1,722"
"Paducah, KY-IL Metro Area","4,805","± 452"
"Palm Bay-Melbourne-Titusville, FL Metro Area","47,341","± 1,975"
"Panama City-Panama City Beach, FL Metro Area","10,756","± 787"
"Parkersburg-Vienna, WV Metro Area","4,093","± 482"
"Pensacola-Ferry Pass-Brent, FL Metro Area","28,316","± 1,446"
"Peoria, IL Metro Area","21,639","± 1,178"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","531,709","± 6,206"
"Phoenix-Mesa-Chandler, AZ Metro Area","318,023","± 4,505"
"Pinehurst-Southern Pines, NC Metro Area","8,972","± 715"
"Pittsburgh, PA Metro Area","188,891","± 3,686"
"Pittsfield, MA Metro Area","12,416","± 674"
"Pocatello, ID Metro Area","3,821","± 384"
"Ponce, PR Metro Area","10,851","± 955"
"Portland-South Portland, ME Metro Area","50,557","± 1,731"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","199,047","± 3,974"
"Port St. Lucie, FL Metro Area","27,552","± 1,718"
"Prescott Valley-Prescott, AZ Metro Area","16,676","± 1,041"
"Providence-Warwick, RI-MA Metro Area","117,651","± 2,858"
"Provo-Orem-Lehi, UT Metro Area","35,229","± 1,400"
"Pueblo, CO Metro Area","8,054","± 597"
"Punta Gorda, FL Metro Area","11,278","± 936"
"Racine-Mount Pleasant, WI Metro Area","10,043","± 819"
"Raleigh-Cary, NC Metro Area","141,968","± 3,828"
"Rapid City, SD Metro Area","7,699","± 649"
"Reading, PA Metro Area","21,726","± 1,176"
"Redding, CA Metro Area","6,528","± 565"
"Reno, NV Metro Area","33,074","± 1,316"
"Richmond, VA Metro Area","107,910","± 2,772"
"Riverside-San Bernardino-Ontario, CA Metro Area","190,250","± 3,872"
"Roanoke, VA Metro Area","17,283","± 967"
"Rochester, MN Metro Area","16,750","± 823"
"Rochester, NY Metro Area","92,156","± 2,187"
