"Geographic Area Name","Median value (2024)","MoE"
"Palm Bay city, Florida","334,400","± 9,582"
"Palm Coast city, Florida","379,800","± 11,253"
"Pembroke Pines city, Florida","517,000","± 27,487"
"Pine Hills CDP, Florida","293,800","± 17,479"
"Plantation city, Florida","608,900","± 29,614"
"Poinciana CDP, Florida","320,100","± 13,429"
"Pompano Beach city, Florida","361,400","± 22,473"
"Port Charlotte CDP, Florida","289,000","± 13,409"
"Port Orange city, Florida","321,200","± 20,293"
"Port St. Lucie city, Florida","420,600","± 8,886"
"Riverview CDP, Florida","427,100","± 19,534"
"St. Cloud city, Florida","413,700","± 18,996"
"St. Petersburg city, Florida","436,200","± 16,492"
"Sanford city, Florida","333,000","± 18,189"
"Spring Hill CDP, Florida","329,700","± 8,397"
"Sunrise city, Florida","394,400","± 31,863"
"Tallahassee city, Florida","294,500","± 17,127"
"Tamarac city, Florida","329,500","± 19,945"
"Tampa city, Florida","494,400","± 22,067"
"The Villages CDP, Florida","410,900","± 20,289"
"Town 'n' Country CDP, Florida","392,200","± 24,232"
"Wesley Chapel CDP, Florida","454,400","± 21,507"
"Weston city, Florida","850,600","± 50,792"
"West Palm Beach city, Florida","480,700","± 37,976"
"Albany city, Georgia","136,600","± 19,520"
"Alpharetta city, Georgia","737,000","± 46,051"
"Athens-Clarke County unified government (balance), Georgia","347,100","± 17,973"
"Atlanta city, Georgia","462,200","± 18,823"
"Augusta-Richmond County consolidated government (balance), Georgia","203,100","± 12,254"
"Columbus city, Georgia","219,700","± 14,711"
"Johns Creek city, Georgia","679,200","± 20,850"
"Mableton city, Georgia","336,500","± 16,527"
"Macon-Bibb County, Georgia","207,100","± 14,312"
"Roswell city, Georgia","677,700","± 28,820"
"Sandy Springs city, Georgia","732,100","± 75,087"
"Savannah city, Georgia","302,200","± 21,772"
"South Fulton city, Georgia","342,300","± 11,960"
"Warner Robins city, Georgia","226,000","± 28,284"
"Urban Honolulu CDP, Hawaii","850,100","± 40,453"
"Boise City city, Idaho","498,500","± 17,793"
"Caldwell city, Idaho","386,700","± 18,389"
"Idaho Falls city, Idaho","356,600","± 17,003"
"Meridian city, Idaho","557,400","± 23,517"
"Nampa city, Idaho","382,700","± 10,763"
"Arlington Heights village, Illinois","441,400","± 16,937"
"Aurora city, Illinois","289,100","± 12,064"
"Bloomington city, Illinois","225,300","± 12,952"
