"Geographic Area Name","Median value (2021)","MoE"
"Rialto city, California","431,500","± 13,437"
"Richmond city, California","641,500","± 23,541"
"Riverside city, California","483,300","± 9,903"
"Rocklin city, California","622,100","± 20,306"
"Roseville city, California","605,300","± 12,413"
"Sacramento city, California","449,600","± 8,157"
"Salinas city, California","585,100","± 17,384"
"San Bernardino city, California","350,000","± 9,186"
"San Buenaventura (Ventura) city, California","702,500","± 32,399"
"San Diego city, California","768,800","± 14,589"
"San Francisco city, California","1,306,400","± 54,457"
"San Jose city, California","1,119,500","± 15,513"
"San Leandro city, California","775,000","± 33,014"
"San Marcos city, California","710,500","± 40,216"
"San Mateo city, California","1,518,800","± 99,225"
"San Ramon city, California","1,233,100","± 61,909"
"Santa Ana city, California","623,000","± 11,222"
"Santa Barbara city, California","1,476,800","± 134,753"
"Santa Clara city, California","1,382,300","± 66,311"
"Santa Clarita city, California","656,000","± 15,610"
"Santa Maria city, California","426,100","± 15,809"
"Santa Monica city, California","1,582,300","± 231,221"
"Santa Rosa city, California","638,500","± 15,897"
"Simi Valley city, California","685,500","± 16,669"
"South Gate city, California","559,900","± 22,202"
"Stockton city, California","382,900","± 10,026"
"Sunnyvale city, California","1,575,200","± 83,639"
"Temecula city, California","613,300","± 18,168"
"Thousand Oaks city, California","858,200","± 17,826"
"Torrance city, California","930,500","± 23,977"
"Tracy city, California","643,700","± 28,234"
"Tulare city, California","280,200","± 16,036"
"Turlock city, California","401,900","± 33,082"
"Tustin city, California","727,000","± 61,533"
"Union City city, California","995,200","± 59,838"
"Upland city, California","621,700","± 17,857"
"Vacaville city, California","566,300","± 22,182"
"Vallejo city, California","505,400","± 26,736"
"Victorville city, California","323,400","± 13,214"
"Visalia city, California","315,100","± 20,708"
"Vista city, California","634,600","± 23,181"
"Walnut Creek city, California","1,004,800","± 56,867"
"West Covina city, California","636,300","± 14,250"
"Westminster city, California","762,300","± 42,316"
"Whittier city, California","718,300","± 27,749"
"Yorba Linda city, California","1,012,900","± 53,052"
"Yuba City city, California","355,200","± 11,199"
"Arvada city, Colorado","537,900","± 17,364"
"Aurora city, Colorado","411,400","± 8,238"
"Boulder city, Colorado","941,100","± 43,772"
"Broomfield city, Colorado","576,200","± 22,334"
"Castle Rock town, Colorado","577,700","± 21,964"
"Centennial city, Colorado","578,200","± 14,678"
"Colorado Springs city, Colorado","390,500","± 7,176"
"Denver city, Colorado","541,500","± 16,675"
"Fort Collins city, Colorado","485,500","± 12,409"
"Grand Junction city, Colorado","339,800","± 21,170"
"Greeley city, Colorado","347,100","± 9,865"
"Highlands Ranch CDP, Colorado","629,200","± 11,494"
"Lakewood city, Colorado","483,300","± 15,934"
"Longmont city, Colorado","465,500","± 13,953"
"Loveland city, Colorado","412,300","± 21,120"
"Pueblo city, Colorado","214,500","± 12,003"
"Thornton city, Colorado","449,200","± 15,096"
"Westminster city, Colorado","457,500","± 12,128"
"Bridgeport city, Connecticut","222,800","± 19,679"
"Danbury city, Connecticut","352,700","± 15,460"
"Hartford city, Connecticut","174,100","± 35,630"
"New Britain city, Connecticut","183,300","± 9,785"
"New Haven city, Connecticut","205,500","± 34,215"
"Norwalk city, Connecticut","478,100","± 22,527"
"Stamford city, Connecticut","576,000","± 33,370"
"Waterbury city, Connecticut","184,300","± 7,572"
"Wilmington city, Delaware","200,900","± 28,747"
"Washington city, District of Columbia","669,900","± 18,113"
"Alafaya CDP, Florida","346,300","± 23,293"
"Boca Raton city, Florida","518,200","± 38,157"
"Boynton Beach city, Florida","284,200","± 17,245"
"Brandon CDP, Florida","276,300","± 14,625"
"Cape Coral city, Florida","291,600","± 10,438"
"Clearwater city, Florida","298,000","± 14,666"
"Coral Springs city, Florida","455,000","± 22,118"
"Davie town, Florida","421,300","± 29,109"
"Daytona Beach city, Florida","218,600","± 13,278"
"Deerfield Beach city, Florida","233,400","± 22,542"
"Delray Beach city, Florida","368,900","± 23,496"
"Deltona city, Florida","229,700","± 9,108"
"Doral city, Florida","462,200","± 29,957"
"Fort Lauderdale city, Florida","395,500","± 20,258"
"Fort Myers city, Florida","334,800","± 29,305"
"Gainesville city, Florida","195,300","± 13,673"
"Hialeah city, Florida","324,000","± 12,319"
"Hollywood city, Florida","322,400","± 17,516"
"Homestead city, Florida","275,200","± 61,569"
"Horizon West CDP, Florida","478,100","± 36,390"
"Jacksonville city, Florida","239,400","± 6,755"
"Kendall CDP, Florida","423,700","± 39,635"
"Kissimmee city, Florida","258,900","± 19,918"
"Lakeland city, Florida","186,700","± 11,052"
"Largo city, Florida","201,700","± 25,506"
"Lauderhill city, Florida","251,700","± 35,736"
"Lehigh Acres CDP, Florida","235,300","± 7,000"
"Melbourne city, Florida","234,400","± 12,473"
"Miami city, Florida","411,300","± 18,182"
"Miami Beach city, Florida","581,200","± 112,387"
"Miami Gardens city, Florida","320,600","± 11,877"
"Miramar city, Florida","374,600","± 22,548"
"North Port city, Florida","277,100","± 19,174"
"Orlando city, Florida","319,800","± 21,771"
"Palm Bay city, Florida","228,400","± 9,019"
"Palm Coast city, Florida","274,000","± 9,064"
"Pembroke Pines city, Florida","368,400","± 17,229"
"Pine Hills CDP, Florida","205,900","± 13,454"
"Plantation city, Florida","409,400","± 29,770"
"Poinciana CDP, Florida","233,400","± 11,584"
"Pompano Beach city, Florida","304,000","± 23,040"
"Port Charlotte CDP, Florida","234,400","± 16,045"
"Port St. Lucie city, Florida","284,800","± 9,635"
"Riverview CDP, Florida","291,900","± 9,325"
"St. Petersburg city, Florida","315,200","± 13,288"
"Spring Hill CDP, Florida","230,900","± 9,353"
"Sunrise city, Florida","311,500","± 15,511"
"Tallahassee city, Florida","246,100","± 18,682"
"Tamarac city, Florida","264,200","± 18,858"
"Tampa city, Florida","336,200","± 14,313"
"The Villages CDP, Florida","339,700","± 17,921"
"Town 'n' Country CDP, Florida","275,200","± 15,023"
"Wesley Chapel CDP, Florida","335,000","± 21,437"
"Weston city, Florida","568,600","± 31,327"
"West Palm Beach city, Florida","311,000","± 21,705"
"Albany city, Georgia","100,800","± 15,266"
"Alpharetta city, Georgia","538,400","± 34,130"
"Athens-Clarke County unified government (balance), Georgia","237,100","± 10,425"
"Atlanta city, Georgia","375,500","± 16,651"
"Augusta-Richmond County consolidated government (balance), Georgia","131,900","± 11,720"
"Columbus city, Georgia","170,900","± 13,868"
"Johns Creek city, Georgia","506,100","± 33,830"
"Macon-Bibb County, Georgia","155,800","± 9,350"
"Roswell city, Georgia","480,800","± 27,259"
"Sandy Springs city, Georgia","588,300","± 39,195"
"Savannah city, Georgia","196,900","± 19,524"
"South Fulton city, Georgia","252,500","± 23,927"
"Warner Robins city, Georgia","147,900","± 20,605"
"Urban Honolulu CDP, Hawaii","733,000","± 35,042"
"Boise City city, Idaho","460,200","± 13,721"
"Idaho Falls city, Idaho","311,100","± 21,360"
"Meridian city, Idaho","448,100","± 24,244"
"Nampa city, Idaho","350,800","± 14,045"
"Arlington Heights village, Illinois","376,800","± 17,672"
"Aurora city, Illinois","232,400","± 7,532"
"Bloomington city, Illinois","185,400","± 15,196"
"Bolingbrook village, Illinois","263,000","± 11,438"
"Champaign city, Illinois","176,700","± 15,743"
"Chicago city, Illinois","297,300","± 4,027"
"Cicero town, Illinois","220,100","± 12,394"
"Decatur city, Illinois","87,000","± 7,044"
"Elgin city, Illinois","233,200","± 15,489"
"Evanston city, Illinois","440,100","± 33,239"
"Joliet city, Illinois","227,500","± 8,809"
"Naperville city, Illinois","456,400","± 10,871"
"Palatine village, Illinois","319,400","± 17,871"
"Peoria city, Illinois","124,500","± 8,886"
"Rockford city, Illinois","101,700","± 8,105"
"Schaumburg village, Illinois","278,100","± 14,521"
"Skokie village, Illinois","363,500","± 15,165"
"Springfield city, Illinois","140,100","± 7,161"
"Waukegan city, Illinois","166,500","± 7,562"
"Bloomington city, Indiana","249,900","± 28,820"
"Carmel city, Indiana","391,300","± 18,373"
"Evansville city, Indiana","111,800","± 9,441"
"Fishers city, Indiana","333,300","± 18,100"
"Fort Wayne city, Indiana","155,600","± 4,259"
"Hammond city, Indiana","131,700","± 7,920"
"Indianapolis city (balance), Indiana","188,700","± 4,241"
"Lafayette city, Indiana","152,400","± 12,662"
"Noblesville city, Indiana","266,300","± 22,183"
"South Bend city, Indiana","114,100","± 7,235"
"Ames city, Iowa","237,200","± 11,158"
"Ankeny city, Iowa","283,900","± 33,499"
"Cedar Rapids city, Iowa","165,500","± 4,652"
"Davenport city, Iowa","146,000","± 7,661"
"Des Moines city, Iowa","165,100","± 4,249"
"Iowa City city, Iowa","255,000","± 19,416"
"Sioux City city, Iowa","153,800","± 6,447"
"Waterloo city, Iowa","133,700","± 11,136"
"West Des Moines city, Iowa","267,500","± 18,857"
"Kansas City city, Kansas","140,200","± 13,154"
"Lawrence city, Kansas","229,400","± 13,415"
"Olathe city, Kansas","314,300","± 9,878"
"Overland Park city, Kansas","352,000","± 10,746"
"Shawnee city, Kansas","312,800","± 24,090"
"Topeka city, Kansas","123,400","± 11,768"
"Wichita city, Kansas","165,700","± 5,704"
"Bowling Green city, Kentucky","233,500","± 40,581"
"Lexington-Fayette urban county, Kentucky","242,400","± 7,570"
"Louisville/Jefferson County metro government (balance), Kentucky","203,900","± 7,018"
"Baton Rouge city, Louisiana","199,600","± 12,931"
"Kenner city, Louisiana","214,300","± 14,617"
"Lafayette city, Louisiana","214,800","± 24,148"
"Lake Charles city, Louisiana","178,800","± 39,116"
"Metairie CDP, Louisiana","283,200","± 9,854"
"New Orleans city, Louisiana","279,100","± 8,783"
"Shreveport city, Louisiana","161,500","± 12,819"
"Portland city, Maine","443,000","± 25,284"
"Baltimore city, Maryland","193,100","± 7,340"
"Bethesda CDP, Maryland","1,023,800","± 52,863"
"Columbia CDP, Maryland","448,300","± 17,524"
"Ellicott City CDP, Maryland","593,400","± 16,539"
"Frederick city, Maryland","339,200","± 17,812"
"Gaithersburg city, Maryland","418,000","± 26,647"
"Germantown CDP, Maryland","373,500","± 16,128"
"Glen Burnie CDP, Maryland","316,600","± 16,703"
"Rockville city, Maryland","605,600","± 28,406"
"Silver Spring CDP, Maryland","545,500","± 42,783"
"Waldorf CDP, Maryland","354,000","± 10,863"
"Boston city, Massachusetts","659,700","± 18,243"
"Brockton city, Massachusetts","367,500","± 14,037"
"Cambridge city, Massachusetts","1,006,100","± 53,736"
"Fall River city, Massachusetts","347,600","± 17,446"
"Framingham city, Massachusetts","575,400","± 31,085"
"Haverhill city, Massachusetts","420,900","± 16,731"
"Lawrence city, Massachusetts","377,500","± 39,084"
"Lowell city, Massachusetts","380,400","± 22,136"
"Lynn city, Massachusetts","423,800","± 23,569"
"Malden city, Massachusetts","586,200","± 42,556"
"New Bedford city, Massachusetts","305,600","± 14,954"
"Newton city, Massachusetts","1,147,300","± 44,295"
"Quincy city, Massachusetts","563,500","± 30,803"
"Somerville city, Massachusetts","818,100","± 61,998"
"Springfield city, Massachusetts","198,200","± 9,677"
"Worcester city, Massachusetts","317,800","± 10,186"
"Ann Arbor city, Michigan","398,600","± 17,883"
"Dearborn city, Michigan","180,900","± 10,213"
"Detroit city, Michigan","69,300","± 2,831"
"Farmington Hills city, Michigan","301,600","± 16,486"
"Flint city, Michigan","49,300","± 4,651"
"Grand Rapids city, Michigan","206,200","± 7,787"
"Kalamazoo city, Michigan","157,600","± 12,304"
"Lansing city, Michigan","109,900","± 7,297"
"Livonia city, Michigan","251,500","± 6,377"
"Novi city, Michigan","358,400","± 33,663"
"Rochester Hills city, Michigan","354,000","± 14,881"
"Southfield city, Michigan","208,000","± 19,926"
"Sterling Heights city, Michigan","237,300","± 5,358"
"Troy city, Michigan","375,600","± 14,129"
"Warren city, Michigan","170,000","± 5,052"
"Westland city, Michigan","164,700","± 3,695"
"Wyoming city, Michigan","192,400","± 11,638"
"Blaine city, Minnesota","297,300","± 17,593"
"Bloomington city, Minnesota","319,600","± 11,244"
"Brooklyn Park city, Minnesota","297,500","± 16,716"
"Duluth city, Minnesota","211,300","± 13,872"
"Eagan city, Minnesota","345,500","± 13,467"
"Lakeville city, Minnesota","398,700","± 21,275"
"Maple Grove city, Minnesota","373,100","± 14,736"
"Minneapolis city, Minnesota","319,100","± 10,073"
"Plymouth city, Minnesota","439,100","± 21,085"
"Rochester city, Minnesota","273,800","± 11,212"
"St. Cloud city, Minnesota","181,700","± 16,295"
"St. Paul city, Minnesota","267,700","± 6,624"
"Woodbury city, Minnesota","407,000","± 20,589"
"Gulfport city, Mississippi","141,700","± 15,281"
"Jackson city, Mississippi","101,500","± 11,310"
"Columbia city, Missouri","245,800","± 17,872"
"Independence city, Missouri","154,700","± 7,062"
"Kansas City city, Missouri","213,400","± 7,149"
"Lee's Summit city, Missouri","303,700","± 16,947"
"O'Fallon city, Missouri","281,700","± 10,697"
"St. Charles city, Missouri","269,200","± 12,111"
"St. Joseph city, Missouri","132,600","± 13,803"
"St. Louis city, Missouri","170,800","± 6,046"
"Springfield city, Missouri","154,600","± 9,236"
"Billings city, Montana","290,000","± 12,082"
"Missoula city, Montana","406,800","± 37,058"
"Lincoln city, Nebraska","228,000","± 6,880"
"Omaha city, Nebraska","211,900","± 5,032"
"Enterprise CDP, Nevada","401,900","± 14,752"
"Henderson city, Nevada","421,300","± 9,765"
"Las Vegas city, Nevada","362,400","± 6,023"
"North Las Vegas city, Nevada","335,200","± 7,392"
"Paradise CDP, Nevada","334,500","± 10,789"
"Reno city, Nevada","469,100","± 10,462"
"Sparks city, Nevada","423,400","± 16,605"
"Spring Valley CDP, Nevada","382,400","± 14,750"
"Sunrise Manor CDP, Nevada","262,500","± 7,904"
"Manchester city, New Hampshire","321,300","± 12,098"
"Nashua city, New Hampshire","355,000","± 15,731"
"Bayonne city, New Jersey","404,100","± 40,144"
"Camden city, New Jersey","106,000","± 10,296"
"Clifton city, New Jersey","427,100","± 16,807"
"East Orange city, New Jersey","283,800","± 30,012"
"Elizabeth city, New Jersey","405,800","± 28,969"
"Jersey City city, New Jersey","487,400","± 28,169"
"Lakewood CDP, New Jersey","481,300","± 89,045"
"Newark city, New Jersey","323,200","± 22,498"
"Passaic city, New Jersey","350,800","± 48,465"
"Paterson city, New Jersey","311,700","± 23,855"
"Toms River CDP, New Jersey","378,300","± 17,431"
"Trenton city, New Jersey","95,400","± 10,016"
"Union City city, New Jersey","400,700","± 40,089"
"Albuquerque city, New Mexico","251,500","± 6,490"
"Las Cruces city, New Mexico","182,000","± 16,668"
"Rio Rancho city, New Mexico","247,200","± 10,571"
"Santa Fe city, New Mexico","349,900","± 17,778"
"Albany city, New York","206,800","± 12,232"
"Buffalo city, New York","155,200","± 10,627"
"Cheektowaga CDP, New York","162,500","± 4,653"
"Mount Vernon city, New York","439,100","± 43,188"
"New Rochelle city, New York","615,300","± 49,471"
"New York city, New York","685,700","± 6,046"
"Rochester city, New York","109,700","± 8,611"
"Schenectady city, New York","156,800","± 10,037"
"Syracuse city, New York","123,000","± 8,002"
"Yonkers city, New York","424,100","± 32,119"
"Asheville city, North Carolina","363,800","± 22,922"
"Cary town, North Carolina","463,200","± 11,286"
"Charlotte city, North Carolina","321,400","± 8,237"
"Concord city, North Carolina","298,600","± 17,397"
"Durham city, North Carolina","325,000","± 13,225"
"Fayetteville city, North Carolina","150,200","± 5,999"
"Gastonia city, North Carolina","231,300","± 11,601"
"Greensboro city, North Carolina","186,200","± 8,600"
"Greenville city, North Carolina","198,800","± 22,811"
"High Point city, North Carolina","180,300","± 14,943"
"Jacksonville city, North Carolina","175,800","± 15,429"
"Raleigh city, North Carolina","340,200","± 11,465"
"Wilmington city, North Carolina","334,900","± 22,339"
"Winston-Salem city, North Carolina","197,300","± 9,507"
"Bismarck city, North Dakota","254,800","± 12,983"
"Fargo city, North Dakota","238,600","± 12,848"
"Akron city, Ohio","106,300","± 5,731"
"Canton city, Ohio","88,300","± 8,413"
"Cincinnati city, Ohio","190,300","± 17,564"
"Cleveland city, Ohio","83,400","± 3,326"
"Columbus city, Ohio","219,200","± 4,906"
"Dayton city, Ohio","85,000","± 3,669"
"Lorain city, Ohio","113,700","± 12,226"
"Parma city, Ohio","148,000","± 4,907"
"Toledo city, Ohio","100,100","± 5,588"
"Broken Arrow city, Oklahoma","211,600","± 7,360"
"Edmond city, Oklahoma","283,800","± 15,522"
"Lawton city, Oklahoma","129,400","± 12,174"
"Norman city, Oklahoma","228,600","± 17,415"
"Oklahoma City city, Oklahoma","190,900","± 5,682"
"Tulsa city, Oklahoma","172,000","± 4,481"
"Beaverton city, Oregon","490,600","± 24,435"
"Bend city, Oregon","569,200","± 32,573"
"Eugene city, Oregon","394,800","± 13,256"
"Gresham city, Oregon","411,100","± 12,084"
"Hillsboro city, Oregon","432,600","± 16,917"
"Medford city, Oregon","363,800","± 12,609"
"Portland city, Oregon","520,200","± 11,493"
"Salem city, Oregon","351,300","± 9,696"
"Allentown city, Pennsylvania","173,400","± 9,544"
"Bethlehem city, Pennsylvania","214,800","± 9,151"
"Erie city, Pennsylvania","95,900","± 6,085"
"Philadelphia city, Pennsylvania","220,700","± 4,567"
"Pittsburgh city, Pennsylvania","181,100","± 9,340"
"Reading city, Pennsylvania","92,500","± 7,838"
"Scranton city, Pennsylvania","130,600","± 11,264"
"Cranston city, Rhode Island","353,200","± 16,233"
"Pawtucket city, Rhode Island","275,200","± 10,636"
"Providence city, Rhode Island","291,200","± 11,946"
"Warwick city, Rhode Island","293,500","± 13,217"
"Charleston city, South Carolina","420,800","± 25,642"
"Columbia city, South Carolina","218,500","± 16,661"
"Greenville city, South Carolina","389,700","± 24,311"
"Mount Pleasant town, South Carolina","591,900","± 42,316"
"North Charleston city, South Carolina","229,800","± 14,663"
"Rock Hill city, South Carolina","245,000","± 13,035"
"Rapid City city, South Dakota","247,700","± 15,655"
"Sioux Falls city, South Dakota","249,600","± 11,668"
"Chattanooga city, Tennessee","235,900","± 10,214"
"Clarksville city, Tennessee","211,100","± 10,287"
"Franklin city, Tennessee","592,200","± 43,047"
"Jackson city, Tennessee","170,400","± 12,252"
"Johnson City city, Tennessee","216,000","± 27,390"
"Knoxville city, Tennessee","193,600","± 9,064"
"Memphis city, Tennessee","142,800","± 8,337"
"Murfreesboro city, Tennessee","323,600","± 15,881"
"Nashville-Davidson metropolitan government (balance), Tennessee","346,700","± 6,721"
"Abilene city, Texas","157,900","± 9,218"
"Allen city, Texas","392,000","± 19,158"
"Amarillo city, Texas","163,400","± 5,934"
"Arlington city, Texas","254,700","± 5,500"
"Atascocita CDP, Texas","263,000","± 16,168"
"Austin city, Texas","482,900","± 12,330"
"Baytown city, Texas","173,200","± 13,796"
"Beaumont city, Texas","150,100","± 11,398"
"Brownsville city, Texas","104,100","± 9,724"
"Bryan city, Texas","167,500","± 17,468"
"Carrollton city, Texas","302,800","± 14,268"
"Cedar Park city, Texas","448,600","± 30,431"
"College Station city, Texas","291,300","± 18,427"
"Conroe city, Texas","267,100","± 16,202"
"Corpus Christi city, Texas","171,500","± 5,287"
"Dallas city, Texas","267,600","± 11,636"
"Denton city, Texas","288,300","± 9,928"
"Edinburg city, Texas","153,500","± 12,953"
"El Paso city, Texas","152,800","± 4,099"
"Flower Mound town, Texas","475,300","± 20,630"
"Fort Worth city, Texas","249,000","± 5,513"
"Frisco city, Texas","520,200","± 26,957"
"Garland city, Texas","232,300","± 5,726"
"Georgetown city, Texas","351,600","± 21,488"
"Grand Prairie city, Texas","242,200","± 11,514"
"Harlingen city, Texas","106,600","± 18,777"
"Houston city, Texas","236,700","± 5,730"
"Irving city, Texas","274,100","± 12,504"
"Killeen city, Texas","179,900","± 10,616"
"Laredo city, Texas","157,400","± 8,561"
"League City city, Texas","300,000","± 22,307"
"Leander city, Texas","437,600","± 30,563"
"Lewisville city, Texas","308,800","± 17,614"
"Longview city, Texas","164,200","± 14,967"
"Lubbock city, Texas","171,400","± 5,224"
"McAllen city, Texas","164,300","± 10,342"
"McKinney city, Texas","391,200","± 13,698"
"Mansfield city, Texas","345,700","± 15,443"
"Mesquite city, Texas","208,900","± 9,696"
"Midland city, Texas","276,100","± 15,760"
"Mission city, Texas","135,000","± 20,405"
"Missouri City city, Texas","273,300","± 16,427"
"New Braunfels city, Texas","285,600","± 25,455"
"North Richland Hills city, Texas","314,000","± 17,655"
"Odessa city, Texas","196,500","± 14,453"
"Pasadena city, Texas","192,300","± 18,021"
"Pearland city, Texas","307,800","± 14,349"
"Pflugerville city, Texas","341,600","± 30,142"
"Pharr city, Texas","91,200","± 24,130"
"Plano city, Texas","387,200","± 9,166"
"Richardson city, Texas","358,000","± 9,773"
"Round Rock city, Texas","355,600","± 21,517"
"San Angelo city, Texas","158,800","± 8,284"
"San Antonio city, Texas","197,600","± 4,423"
"San Marcos city, Texas","285,300","± 35,074"
"Spring CDP, Texas","188,500","± 7,256"
"Sugar Land city, Texas","369,300","± 17,013"
"Temple city, Texas","202,700","± 14,046"
"The Woodlands CDP, Texas","429,500","± 47,400"
"Tyler city, Texas","195,900","± 24,570"
"Victoria city, Texas","179,400","± 13,250"
"Waco city, Texas","177,300","± 20,413"
"Wichita Falls city, Texas","118,900","± 7,723"
"Layton city, Utah","409,200","± 17,762"
"Lehi city, Utah","536,600","± 40,293"
"Ogden city, Utah","296,500","± 17,771"
"Orem city, Utah","404,200","± 18,551"
"Provo city, Utah","418,800","± 29,161"
"St. George city, Utah","447,900","± 34,409"
"Salt Lake City city, Utah","459,800","± 14,382"
"Sandy city, Utah","516,400","± 28,414"
"South Jordan city, Utah","603,500","± 23,731"
"West Jordan city, Utah","410,600","± 18,616"
"West Valley City city, Utah","343,300","± 8,772"
"Alexandria city, Virginia","630,500","± 34,729"
"Arlington CDP, Virginia","779,400","± 34,807"
"Centreville CDP, Virginia","526,800","± 36,448"
"Chesapeake city, Virginia","320,600","± 13,382"
"Dale City CDP, Virginia","371,800","± 10,705"
"Hampton city, Virginia","211,900","± 8,995"
"Lynchburg city, Virginia","175,600","± 11,536"
"Newport News city, Virginia","227,200","± 6,622"
"Norfolk city, Virginia","250,300","± 10,554"
"Portsmouth city, Virginia","221,500","± 10,222"
"Richmond city, Virginia","311,700","± 19,154"
"Roanoke city, Virginia","160,000","± 7,058"
"Suffolk city, Virginia","302,200","± 15,807"
