"Geographic Area Name","Population","MoE"
"Savannah city, Georgia","148,809","± 32"
"South Fulton city, Georgia","112,003","± 25"
"Warner Robins city, Georgia","85,856","± 310"
"Urban Honolulu CDP, Hawaii","344,977","± 47"
"Boise City city, Idaho","237,959","± 34"
"Caldwell city, Idaho","73,092","± 31"
"Idaho Falls city, Idaho","69,528","± 26"
"Meridian city, Idaho","139,736","± 40"
"Nampa city, Idaho","117,346","± 32"
"Arlington Heights village, Illinois","75,472","± 2,253"
"Aurora city, Illinois","180,791","± 4,403"
"Bloomington city, Illinois","79,239","± 35"
"Bolingbrook village, Illinois","73,856","± 4,164"
"Champaign city, Illinois","91,951","± 39"
"Chicago city, Illinois","2,721,326","± 60"
"Cicero town, Illinois","82,093","± 33"
"Decatur city, Illinois","66,528","± 2,501"
"Elgin city, Illinois","115,541","± 5,251"
"Evanston city, Illinois","75,994","± 50"
"Joliet city, Illinois","151,937","± 4,397"
"Naperville city, Illinois","153,337","± 1,731"
"Palatine village, Illinois","65,890","± 32"
"Peoria city, Illinois","115,996","± 4,370"
"Rockford city, Illinois","144,779","± 1,634"
"Schaumburg village, Illinois","78,223","± 3,106"
"Skokie village, Illinois","65,847","± 28"
"Springfield city, Illinois","112,170","± 618"
"Waukegan city, Illinois","92,114","± 4,146"
"Bloomington city, Indiana","77,725","± 3,110"
"Carmel city, Indiana","103,858","± 791"
"Evansville city, Indiana","114,812","± 3,588"
"Fishers city, Indiana","104,730","± 2,249"
"Fort Wayne city, Indiana","273,425","± 5,352"
"Gary city, Indiana","64,975","± 4,470"
"Greenwood city, Indiana","70,959","± 5,191"
"Hammond city, Indiana","76,035","± 35"
"Indianapolis city (balance), Indiana","890,315","± 6,484"
"Lafayette city, Indiana","73,124","± 3,183"
"Muncie city, Indiana","65,055","± 1,687"
"Noblesville city, Indiana","75,408","± 4,053"
"South Bend city, Indiana","102,944","± 2,936"
"Ames city, Iowa","69,029","± 22"
"Ankeny city, Iowa","76,724","± 25"
"Cedar Rapids city, Iowa","137,917","± 48"
"Davenport city, Iowa","100,948","± 43"
"Des Moines city, Iowa","213,188","± 360"
"Iowa City city, Iowa","76,711","± 25"
"Sioux City city, Iowa","87,526","± 3,006"
"Waterloo city, Iowa","67,471","± 30"
"West Des Moines city, Iowa","73,744","± 525"
"Kansas City city, Kansas","157,450","± 2,231"
"Lawrence city, Kansas","97,265","± 27"
"Olathe city, Kansas","149,027","± 39"
"Overland Park city, Kansas","202,909","± 70"
"Shawnee city, Kansas","69,721","± 29"
"Topeka city, Kansas","125,475","± 35"
"Wichita city, Kansas","400,993","± 40"
"Bowling Green city, Kentucky","79,083","± 31"
"Lexington-Fayette urban county, Kentucky","329,437","*****"
"Louisville/Jefferson County metro government (balance), Kentucky","640,793","± 48"
"Baton Rouge city, Louisiana","220,901","± 49"
"Kenner city, Louisiana","64,651","± 27"
"Lafayette city, Louisiana","122,273","± 42"
"Lake Charles city, Louisiana","81,166","± 38"
"Metairie CDP, Louisiana","145,144","± 9,385"
"New Orleans city, Louisiana","362,701","*****"
"Shreveport city, Louisiana","177,972","± 1,753"
"Portland city, Maine","69,572","± 23"
"Baltimore city, Maryland","568,271","*****"
"Bethesda CDP, Maryland","71,717","± 5,926"
"Columbia CDP, Maryland","101,936","± 8,012"
"Ellicott City CDP, Maryland","77,698","± 6,070"
"Frederick city, Maryland","89,545","± 37"
"Gaithersburg city, Maryland","70,708","± 81"
"Germantown CDP, Maryland","91,497","± 10,951"
"Glen Burnie CDP, Maryland","77,937","± 8,108"
"Rockville city, Maryland","68,417","± 31"
"Silver Spring CDP, Maryland","77,793","± 8,641"
"Waldorf CDP, Maryland","81,672","± 5,978"
"Boston city, Massachusetts","673,822","± 3,086"
"Brockton city, Massachusetts","105,785","± 24"
"Cambridge city, Massachusetts","121,203","± 57"
"Fall River city, Massachusetts","94,687","± 22"
"Framingham city, Massachusetts","73,356","± 33"
"Haverhill city, Massachusetts","68,281","± 39"
"Lawrence city, Massachusetts","89,323","± 37"
"Lowell city, Massachusetts","120,418","± 34"
"Lynn city, Massachusetts","103,510","± 84"
"Malden city, Massachusetts","66,699","± 33"
"New Bedford city, Massachusetts","101,313","± 34"
"Newton city, Massachusetts","90,695","± 28"
"Quincy city, Massachusetts","103,430","± 27"
"Somerville city, Massachusetts","82,144","± 35"
"Springfield city, Massachusetts","154,886","± 32"
"Waltham city, Massachusetts","65,840","± 39"
"Worcester city, Massachusetts","211,289","± 32"
"Ann Arbor city, Michigan","122,914","± 52"
"Dearborn city, Michigan","106,383","± 34"
"Detroit city, Michigan","645,702","± 43"
"Farmington Hills city, Michigan","84,160","± 55"
"Flint city, Michigan","79,727","± 37"
"Grand Rapids city, Michigan","200,131","± 59"
"Kalamazoo city, Michigan","73,280","± 44"
"Lansing city, Michigan","113,466","± 1,227"
"Livonia city, Michigan","93,118","± 31"
"Novi city, Michigan","67,678","± 29"
"Rochester Hills city, Michigan","78,328","± 23"
"Southfield city, Michigan","76,885","± 45"
"Sterling Heights city, Michigan","134,343","± 28"
"Troy city, Michigan","89,205","± 35"
"Warren city, Michigan","137,709","± 80"
"Westland city, Michigan","82,745","± 27"
"Wyoming city, Michigan","78,557","± 27"
"Blaine city, Minnesota","75,170","± 26"
"Bloomington city, Minnesota","88,339","± 34"
"Brooklyn Park city, Minnesota","82,887","± 35"
"Duluth city, Minnesota","87,990","± 25"
"Eagan city, Minnesota","67,238","± 30"
"Lakeville city, Minnesota","77,973","± 29"
"Maple Grove city, Minnesota","72,741","± 25"
"Minneapolis city, Minnesota","428,572","± 46"
"Plymouth city, Minnesota","78,545","± 35"
"Rochester city, Minnesota","123,616","± 41"
"St. Cloud city, Minnesota","69,609","± 2,739"
"St. Paul city, Minnesota","307,484","± 77"
"Woodbury city, Minnesota","80,590","± 32"
"Gulfport city, Mississippi","74,632","± 45"
"Jackson city, Mississippi","141,376","± 31"
"Columbia city, Missouri","130,913","± 52"
"Independence city, Missouri","121,606","± 81"
"Kansas City city, Missouri","516,045","± 88"
"Lee's Summit city, Missouri","106,296","± 901"
"O'Fallon city, Missouri","95,363","± 38"
"St. Charles city, Missouri","72,463","± 27"
"St. Joseph city, Missouri","69,221","± 2,383"
"St. Louis city, Missouri","279,695","*****"
"Springfield city, Missouri","170,572","± 81"
"Billings city, Montana","121,478","± 32"
"Missoula city, Montana","78,213","± 35"
"Lincoln city, Nebraska","300,626","± 34"
"Omaha city, Nebraska","489,263","± 35"
"Enterprise CDP, Nevada","250,461","± 15,836"
"Henderson city, Nevada","350,020","± 83"
"Las Vegas city, Nevada","678,924","± 71"
"North Las Vegas city, Nevada","294,042","± 48"
"Paradise CDP, Nevada","183,959","± 13,770"
"Reno city, Nevada","281,684","± 94"
"Sparks city, Nevada","111,523","± 38"
"Spring Valley CDP, Nevada","221,300","± 14,935"
"Sunrise Manor CDP, Nevada","199,977","± 12,076"
"Manchester city, New Hampshire","116,381","± 28"
"Nashua city, New Hampshire","91,850","± 22"
"Bayonne city, New Jersey","74,526","± 30"
"Camden city, New Jersey","71,761","± 47"
"Clifton city, New Jersey","90,315","± 35"
"East Orange city, New Jersey","71,844","± 30"
"Elizabeth city, New Jersey","140,401","± 47"
"Jersey City city, New Jersey","302,822","± 37"
"Lakewood CDP, New Jersey","70,271","± 8,825"
"Newark city, New Jersey","317,303","± 42"
"Passaic city, New Jersey","70,730","± 41"
"Paterson city, New Jersey","160,446","± 54"
"Toms River CDP, New Jersey","96,868","± 930"
"Trenton city, New Jersey","91,204","± 43"
"Union City city, New Jersey","66,918","± 24"
"Albuquerque city, New Mexico","560,333","± 51"
"Las Cruces city, New Mexico","116,992","± 33"
"Rio Rancho city, New Mexico","112,518","± 27"
"Santa Fe city, New Mexico","90,553","± 28"
"Albany city, New York","101,314","± 29"
"Buffalo city, New York","276,618","± 43"
"Cheektowaga CDP, New York","73,359","± 2,809"
"Mount Vernon city, New York","71,982","± 61"
"New Rochelle city, New York","85,509","± 27"
"New York city, New York","8,478,072","*****"
"Rochester city, New York","207,287","± 37"
"Schenectady city, New York","69,489","± 31"
"Syracuse city, New York","146,091","± 39"
"Yonkers city, New York","211,062","± 91"
"Apex town, North Carolina","75,950","± 34"
"Asheville city, North Carolina","94,983","± 35"
"Cary town, North Carolina","181,838","± 1,007"
"Charlotte city, North Carolina","943,474","± 59"
"Concord city, North Carolina","112,398","± 29"
"Durham city, North Carolina","301,877","± 425"
"Fayetteville city, North Carolina","209,485","± 60"
"Gastonia city, North Carolina","85,528","± 34"
"Greensboro city, North Carolina","307,372","± 52"
"Greenville city, North Carolina","95,144","± 33"
"High Point city, North Carolina","117,109","± 2,371"
"Huntersville town, North Carolina","67,072","± 57"
"Jacksonville city, North Carolina","70,843","± 27"
"Raleigh city, North Carolina","499,637","± 651"
"Wilmington city, North Carolina","125,267","± 63"
"Winston-Salem city, North Carolina","255,782","± 60"
"Bismarck city, North Dakota","77,778","± 25"
"Fargo city, North Dakota","138,059","± 2,878"
"Akron city, Ohio","189,669","± 31"
"Canton city, Ohio","69,209","± 27"
"Cincinnati city, Ohio","314,914","± 39"
"Cleveland city, Ohio","365,391","± 56"
"Columbus city, Ohio","931,551","± 3,936"
"Dayton city, Ohio","136,343","± 27"
"Lorain city, Ohio","65,765","± 54"
"Parma city, Ohio","79,354","± 28"
"Toledo city, Ohio","265,651","± 53"
"Broken Arrow city, Oklahoma","122,131","± 2,313"
"Edmond city, Oklahoma","99,036","± 34"
"Lawton city, Oklahoma","90,039","± 47"
"Norman city, Oklahoma","131,008","± 29"
"Oklahoma City city, Oklahoma","713,014","± 298"
"Tulsa city, Oklahoma","413,652","± 830"
"Beaverton city, Oregon","98,302","± 34"
"Bend city, Oregon","106,925","± 22"
"Eugene city, Oregon","178,789","± 31"
"Gresham city, Oregon","111,500","± 38"
"Hillsboro city, Oregon","110,340","± 41"
"Medford city, Oregon","86,313","± 49"
"Portland city, Oregon","636,958","± 1,441"
"Salem city, Oregon","180,389","± 67"
"Allentown city, Pennsylvania","127,225","± 85"
"Bethlehem city, Pennsylvania","79,959","± 3,497"
"Erie city, Pennsylvania","92,936","± 21"
"Philadelphia city, Pennsylvania","1,573,916","*****"
"Pittsburgh city, Pennsylvania","307,670","± 38"
"Reading city, Pennsylvania","96,008","± 38"
"Scranton city, Pennsylvania","75,915","± 40"
"Cranston city, Rhode Island","84,445","± 28"
"Pawtucket city, Rhode Island","76,996","± 26"
"Providence city, Rhode Island","194,710","± 36"
"Warwick city, Rhode Island","83,554","± 20"
"Charleston city, South Carolina","159,011","± 3,519"
"Columbia city, South Carolina","144,281","± 206"
"Greenville city, South Carolina","74,386","± 55"
"Mount Pleasant town, South Carolina","95,606","± 20"
"North Charleston city, South Carolina","126,015","± 47"
"Rock Hill city, South Carolina","75,787","± 48"
"Rapid City city, South Dakota","79,894","± 23"
"Sioux Falls city, South Dakota","209,297","± 44"
"Chattanooga city, Tennessee","191,495","± 38"
"Clarksville city, Tennessee","185,680","± 37"
"Franklin city, Tennessee","89,150","± 36"
"Jackson city, Tennessee","69,300","± 21"
"Johnson City city, Tennessee","74,879","± 1,487"
"Knoxville city, Tennessee","198,708","± 59"
"Memphis city, Tennessee","610,936","± 64"
"Murfreesboro city, Tennessee","168,382","± 36"
"Nashville-Davidson metropolitan government (balance), Tennessee","704,965","± 24"
"Abilene city, Texas","130,033","± 303"
"Allen city, Texas","113,761","± 57"
"Amarillo city, Texas","197,979","± 3,058"
"Arlington city, Texas","403,657","± 79"
"Atascocita CDP, Texas","103,937","± 13,668"
"Austin city, Texas","993,771","± 945"
"Baytown city, Texas","86,395","± 2,624"
"Beaumont city, Texas","112,888","± 29"
"Brownsville city, Texas","191,968","± 33"
"Bryan city, Texas","91,544","± 32"
"Carrollton city, Texas","135,256","± 505"
"Cedar Park city, Texas","79,218","± 2,033"
"College Station city, Texas","128,017","± 36"
"Conroe city, Texas","114,581","± 34"
"Corpus Christi city, Texas","317,314","± 28"
"Dallas city, Texas","1,326,093","± 76"
"Denton city, Texas","165,986","± 55"
"Edinburg city, Texas","108,746","± 44"
"El Paso city, Texas","681,724","± 47"
"Flower Mound town, Texas","79,435","± 213"
"Fort Worth city, Texas","1,014,376","± 6,611"
"Frisco city, Texas","235,221","± 67"
"Garland city, Texas","250,571","± 325"
"Georgetown city, Texas","101,345","± 32"
"Grand Prairie city, Texas","207,618","± 533"
"Harlingen city, Texas","72,239","± 31"
"Houston city, Texas","2,387,910","± 2,025"
"Irving city, Texas","258,052","± 43"
"Killeen city, Texas","160,618","± 31"
"Kyle city, Texas","65,839","± 28"
"Laredo city, Texas","261,408","± 2,901"
"League City city, Texas","119,398","± 2,220"
"Leander city, Texas","86,168","± 2,811"
"Lewisville city, Texas","135,181","± 397"
"Longview city, Texas","82,941","± 977"
"Lubbock city, Texas","272,085","± 30"
"McAllen city, Texas","148,784","± 33"
"McKinney city, Texas","227,515","± 60"
"Mansfield city, Texas","91,367","± 3,761"
"Mesquite city, Texas","151,379","± 1,518"
"Midland city, Texas","143,637","± 18"
"Mission city, Texas","88,570","± 31"
"Missouri City city, Texas","80,865","± 4,247"
"New Braunfels city, Texas","116,465","± 50"
"North Richland Hills city, Texas","71,428","± 39"
"Odessa city, Texas","123,861","± 2,999"
"Pasadena city, Texas","149,615","± 33"
"Pearland city, Texas","131,626","± 5,227"
"Pflugerville city, Texas","66,624","± 33"
"Pharr city, Texas","81,145","± 21"
"Plano city, Texas","292,615","± 1,029"
"Richardson city, Texas","118,217","± 48"
"Round Rock city, Texas","135,665","± 1,201"
"Rowlett city, Texas","71,228","± 3,597"
"San Angelo city, Texas","99,661","± 3,767"
"San Antonio city, Texas","1,526,621","± 96"
"San Marcos city, Texas","74,319","± 23"
"Spring CDP, Texas","80,983","± 14,254"
"Sugar Land city, Texas","109,853","± 33"
"Temple city, Texas","96,268","± 30"
"The Woodlands CDP, Texas","140,489","± 12,879"
"Tyler city, Texas","112,204","± 59"
"Victoria city, Texas","66,025","± 28"
"Waco city, Texas","146,603","± 38"
"Wichita Falls city, Texas","102,373","± 20"
