"Geographic Area Name","Median household income","MoE"
"St. Petersburg city, Florida","64,141","± 2,375"
"Spring Hill CDP, Florida","59,363","± 5,194"
"Sunrise city, Florida","66,184","± 5,761"
"Tallahassee city, Florida","51,224","± 2,153"
"Tamarac city, Florida","59,885","± 11,182"
"Tampa city, Florida","63,404","± 2,155"
"The Villages CDP, Florida","65,117","± 6,314"
"Town 'n' Country CDP, Florida","58,140","± 7,272"
"Wesley Chapel CDP, Florida","90,878","± 11,259"
"Weston city, Florida","122,774","± 17,231"
"West Palm Beach city, Florida","59,400","± 7,706"
"Albany city, Georgia","38,999","± 5,664"
"Alpharetta city, Georgia","122,326","± 32,198"
"Athens-Clarke County unified government (balance), Georgia","50,299","± 4,779"
"Atlanta city, Georgia","74,107","± 4,474"
"Augusta-Richmond County consolidated government (balance), Georgia","47,921","± 4,708"
"Columbus city, Georgia","52,734","± 4,134"
"Johns Creek city, Georgia","132,870","± 11,773"
"Macon-Bibb County, Georgia","48,176","± 3,589"
"Roswell city, Georgia","104,825","± 15,832"
"Sandy Springs city, Georgia","94,456","± 9,810"
"Savannah city, Georgia","49,612","± 3,850"
"South Fulton city, Georgia","73,958","± 11,421"
"Warner Robins city, Georgia","58,864","± 6,818"
"Urban Honolulu CDP, Hawaii","73,434","± 2,929"
"Boise City city, Idaho","70,217","± 4,372"
"Idaho Falls city, Idaho","61,833","± 7,407"
"Meridian city, Idaho","88,088","± 6,696"
"Nampa city, Idaho","63,471","± 5,810"
"Arlington Heights village, Illinois","102,237","± 6,887"
"Aurora city, Illinois","83,996","± 6,212"
"Bloomington city, Illinois","71,700","± 6,850"
"Bolingbrook village, Illinois","94,040","± 11,799"
"Champaign city, Illinois","53,410","± 4,433"
"Chicago city, Illinois","66,576","± 1,322"
"Cicero town, Illinois","57,495","± 7,186"
"Decatur city, Illinois","40,368","± 2,596"
"Elgin city, Illinois","79,120","± 3,885"
"Evanston city, Illinois","82,154","± 8,714"
"Joliet city, Illinois","76,495","± 5,611"
"Naperville city, Illinois","129,664","± 13,069"
"Palatine village, Illinois","75,479","± 6,450"
"Peoria city, Illinois","47,287","± 4,087"
"Rockford city, Illinois","44,525","± 4,122"
"Schaumburg village, Illinois","79,308","± 6,758"
"Skokie village, Illinois","88,618","± 11,117"
"Springfield city, Illinois","62,505","± 4,126"
"Waukegan city, Illinois","64,178","± 4,290"
"Bloomington city, Indiana","37,734","± 6,030"
"Carmel city, Indiana","106,990","± 7,853"
"Evansville city, Indiana","46,662","± 2,482"
"Fishers city, Indiana","121,501","± 8,795"
"Fort Wayne city, Indiana","54,737","± 2,566"
"Hammond city, Indiana","46,248","± 5,086"
"Indianapolis city (balance), Indiana","58,479","± 2,076"
"Lafayette city, Indiana","47,456","± 3,868"
"Noblesville city, Indiana","81,849","± 6,423"
"South Bend city, Indiana","50,248","± 4,526"
"Ames city, Iowa","52,005","± 7,262"
"Ankeny city, Iowa","94,508","± 8,793"
"Cedar Rapids city, Iowa","60,977","± 4,239"
"Davenport city, Iowa","53,914","± 2,709"
"Des Moines city, Iowa","60,693","± 3,316"
"Iowa City city, Iowa","61,301","± 7,400"
"Sioux City city, Iowa","55,622","± 9,174"
"Waterloo city, Iowa","50,549","± 3,793"
"West Des Moines city, Iowa","62,073","± 10,450"
"Kansas City city, Kansas","53,884","± 2,377"
"Lawrence city, Kansas","52,475","± 3,244"
"Olathe city, Kansas","99,631","± 5,626"
"Overland Park city, Kansas","89,280","± 4,092"
"Shawnee city, Kansas","92,844","± 7,778"
"Topeka city, Kansas","49,040","± 2,499"
"Wichita city, Kansas","56,293","± 2,163"
"Bowling Green city, Kentucky","43,443","± 2,763"
"Lexington-Fayette urban county, Kentucky","60,942","± 2,899"
"Louisville/Jefferson County metro government (balance), Kentucky","57,182","± 2,452"
"Baton Rouge city, Louisiana","41,257","± 3,991"
"Kenner city, Louisiana","55,753","± 9,945"
"Lafayette city, Louisiana","57,953","± 6,091"
"Lake Charles city, Louisiana","45,995","± 9,308"
"Metairie CDP, Louisiana","66,074","± 5,540"
"New Orleans city, Louisiana","46,942","± 2,638"
"Shreveport city, Louisiana","42,034","± 2,550"
"Portland city, Maine","70,244","± 6,288"
"Baltimore city, Maryland","54,652","± 2,233"
"Bethesda CDP, Maryland","167,162","± 16,704"
"Columbia CDP, Maryland","110,002","± 6,945"
"Ellicott City CDP, Maryland","141,110","± 7,971"
"Frederick city, Maryland","81,411","± 9,351"
"Gaithersburg city, Maryland","99,429","± 8,043"
"Germantown CDP, Maryland","91,931","± 6,201"
"Glen Burnie CDP, Maryland","83,577","± 4,028"
"Rockville city, Maryland","118,903","± 12,415"
"Silver Spring CDP, Maryland","84,223","± 9,391"
"Waldorf CDP, Maryland","103,784","± 9,295"
"Boston city, Massachusetts","79,283","± 4,089"
"Brockton city, Massachusetts","68,581","± 2,771"
"Cambridge city, Massachusetts","104,746","± 8,637"
"Fall River city, Massachusetts","46,672","± 6,800"
"Framingham city, Massachusetts","94,023","± 19,094"
"Haverhill city, Massachusetts","80,388","± 13,400"
"Lawrence city, Massachusetts","49,087","± 8,049"
"Lowell city, Massachusetts","64,221","± 6,363"
"Lynn city, Massachusetts","64,986","± 10,053"
"Malden city, Massachusetts","86,410","± 14,047"
"New Bedford city, Massachusetts","49,237","± 5,721"
"Newton city, Massachusetts","183,208","± 12,041"
"Quincy city, Massachusetts","81,748","± 6,296"
"Somerville city, Massachusetts","107,651","± 9,638"
"Springfield city, Massachusetts","42,498","± 3,769"
"Worcester city, Massachusetts","63,194","± 6,342"
"Ann Arbor city, Michigan","68,864","± 5,801"
"Dearborn city, Michigan","61,079","± 6,530"
"Detroit city, Michigan","36,140","± 1,326"
"Farmington Hills city, Michigan","95,960","± 10,205"
"Flint city, Michigan","37,102","± 3,833"
"Grand Rapids city, Michigan","59,596","± 3,230"
"Kalamazoo city, Michigan","40,227","± 6,403"
"Lansing city, Michigan","48,818","± 2,900"
"Livonia city, Michigan","87,332","± 4,531"
"Novi city, Michigan","104,597","± 11,439"
"Rochester Hills city, Michigan","103,023","± 7,762"
"Southfield city, Michigan","55,463","± 5,737"
"Sterling Heights city, Michigan","69,104","± 4,370"
"Troy city, Michigan","98,170","± 9,146"
"Warren city, Michigan","60,042","± 3,537"
"Westland city, Michigan","56,191","± 6,096"
"Wyoming city, Michigan","61,583","± 7,240"
"Blaine city, Minnesota","89,533","± 7,789"
"Bloomington city, Minnesota","80,577","± 5,749"
"Brooklyn Park city, Minnesota","74,807","± 6,081"
"Duluth city, Minnesota","61,944","± 6,497"
"Eagan city, Minnesota","100,490","± 6,352"
"Lakeville city, Minnesota","131,125","± 11,131"
"Maple Grove city, Minnesota","117,442","± 12,341"
"Minneapolis city, Minnesota","69,397","± 2,437"
"Plymouth city, Minnesota","106,962","± 10,955"
"Rochester city, Minnesota","75,902","± 4,372"
"St. Cloud city, Minnesota","53,036","± 6,767"
"St. Paul city, Minnesota","66,098","± 2,605"
"Woodbury city, Minnesota","114,592","± 16,324"
"Gulfport city, Mississippi","43,066","± 6,246"
"Jackson city, Mississippi","35,070","± 2,606"
"Columbia city, Missouri","60,662","± 6,657"
"Independence city, Missouri","52,919","± 4,441"
"Kansas City city, Missouri","63,396","± 1,690"
"Lee's Summit city, Missouri","100,246","± 9,088"
"O'Fallon city, Missouri","97,868","± 8,078"
"St. Charles city, Missouri","76,340","± 5,789"
"St. Joseph city, Missouri","46,089","± 5,999"
"St. Louis city, Missouri","49,965","± 2,575"
"Springfield city, Missouri","41,808","± 1,923"
"Billings city, Montana","65,818","± 4,872"
"Missoula city, Montana","63,270","± 7,318"
"Lincoln city, Nebraska","62,294","± 2,375"
"Omaha city, Nebraska","62,948","± 2,250"
"Enterprise CDP, Nevada","84,902","± 7,164"
"Henderson city, Nevada","77,924","± 3,799"
"Las Vegas city, Nevada","59,746","± 1,799"
"North Las Vegas city, Nevada","67,035","± 2,506"
"Paradise CDP, Nevada","50,096","± 3,117"
"Reno city, Nevada","67,478","± 4,403"
"Sparks city, Nevada","78,778","± 6,793"
"Spring Valley CDP, Nevada","61,179","± 3,724"
"Sunrise Manor CDP, Nevada","51,287","± 3,506"
