"Geographic Area Name","Unemployment Rate"
"Suffolk city, Virginia","5.7%"
"Virginia Beach city, Virginia","4.1%"
"Auburn city, Washington","6.9%"
"Bellevue city, Washington","5.8%"
"Bellingham city, Washington","7.0%"
"Everett city, Washington","4.9%"
"Federal Way city, Washington","7.2%"
"Kennewick city, Washington","4.9%"
"Kent city, Washington","7.6%"
"Kirkland city, Washington","5.5%"
"Marysville city, Washington","4.4%"
"Pasco city, Washington","3.3%"
"Renton city, Washington","6.4%"
"Seattle city, Washington","5.3%"
"South Hill CDP, Washington","4.1%"
"Spokane city, Washington","7.1%"
"Spokane Valley city, Washington","4.9%"
"Tacoma city, Washington","5.3%"
"Vancouver city, Washington","7.6%"
"Yakima city, Washington","13.0%"
"Appleton city, Wisconsin","3.8%"
"Eau Claire city, Wisconsin","3.1%"
"Green Bay city, Wisconsin","5.1%"
"Kenosha city, Wisconsin","5.4%"
"Madison city, Wisconsin","3.2%"
"Milwaukee city, Wisconsin","7.0%"
"Oshkosh city, Wisconsin","2.8%"
"Racine city, Wisconsin","6.4%"
"Cheyenne city, Wyoming","2.0%"
"Bayamón zona urbana, Puerto Rico","9.1%"
"Caguas zona urbana, Puerto Rico","8.6%"
"Carolina zona urbana, Puerto Rico","14.2%"
"Guaynabo zona urbana, Puerto Rico","7.8%"
"Ponce zona urbana, Puerto Rico","15.2%"
"San Juan zona urbana, Puerto Rico","14.8%"
