"Geographic Area Name","Multi-Family, 10+ Units","MoE"
"Rockville city, Maryland","1,111","± 476"
"Silver Spring CDP, Maryland","3,037","± 952"
"Waldorf CDP, Maryland","259","± 292"
"Boston city, Massachusetts","25,269","± 2,400"
"Brockton city, Massachusetts","1,913","± 794"
"Cambridge city, Massachusetts","4,438","± 1,042"
"Fall River city, Massachusetts","2,237","± 1,002"
"Framingham city, Massachusetts","1,629","± 853"
"Haverhill city, Massachusetts","1,117","± 677"
"Lawrence city, Massachusetts","2,685","± 1,085"
"Lowell city, Massachusetts","3,687","± 1,010"
"Lynn city, Massachusetts","1,763","± 873"
"Malden city, Massachusetts","1,011","± 742"
"New Bedford city, Massachusetts","1,518","± 698"
"Newton city, Massachusetts","1,194","± 551"
"Quincy city, Massachusetts","1,992","± 1,063"
"Somerville city, Massachusetts","2,127","± 773"
"Springfield city, Massachusetts","1,462","± 597"
"Waltham city, Massachusetts","1,552","± 759"
"Worcester city, Massachusetts","5,175","± 1,423"
"Ann Arbor city, Michigan","5,579","± 1,318"
"Dearborn city, Michigan","884","± 593"
"Detroit city, Michigan","15,144","± 2,240"
"Farmington Hills city, Michigan","4,328","± 1,342"
"Flint city, Michigan","730","± 427"
"Grand Rapids city, Michigan","2,849","± 822"
"Kalamazoo city, Michigan","2,921","± 1,139"
"Lansing city, Michigan","3,679","± 1,389"
"Livonia city, Michigan","548","± 412"
"Novi city, Michigan","1,261","± 843"
"Rochester Hills city, Michigan","919","± 613"
"Southfield city, Michigan","3,020","± 1,194"
"Sterling Heights city, Michigan","1,213","± 672"
"Troy city, Michigan","1,552","± 920"
"Warren city, Michigan","953","± 742"
"Westland city, Michigan","2,910","± 1,140"
"Wyoming city, Michigan","3,255","± 1,081"
"Blaine city, Minnesota","89","± 151"
"Bloomington city, Minnesota","1,119","± 541"
"Brooklyn Park city, Minnesota","1,175","± 828"
"Duluth city, Minnesota","1,113","± 512"
"Eagan city, Minnesota","634","± 368"
"Lakeville city, Minnesota","71","± 117"
"Maple Grove city, Minnesota","310","± 124"
"Minneapolis city, Minnesota","15,014","± 2,796"
"Plymouth city, Minnesota","660","± 480"
"Rochester city, Minnesota","981","± 539"
"St. Cloud city, Minnesota","2,365","± 1,181"
"St. Paul city, Minnesota","11,328","± 2,014"
"Woodbury city, Minnesota","394","± 321"
"Gulfport city, Mississippi","1,802","± 817"
"Jackson city, Mississippi","3,494","± 1,195"
"Columbia city, Missouri","4,580","± 1,320"
"Independence city, Missouri","2,419","± 1,296"
"Kansas City city, Missouri","13,181","± 2,291"
"Lee's Summit city, Missouri","1,997","± 948"
"O'Fallon city, Missouri","723","± 316"
"St. Charles city, Missouri","2,648","± 912"
"St. Joseph city, Missouri","1,606","± 756"
"St. Louis city, Missouri","6,673","± 1,897"
"Springfield city, Missouri","6,433","± 1,466"
"Billings city, Montana","3,160","± 1,495"
"Missoula city, Montana","2,302","± 818"
"Lincoln city, Nebraska","10,824","± 1,870"
"Omaha city, Nebraska","18,262","± 2,313"
"Enterprise CDP, Nevada","1,316","± 662"
"Henderson city, Nevada","7,346","± 1,988"
"Las Vegas city, Nevada","14,584","± 2,656"
"North Las Vegas city, Nevada","2,131","± 839"
"Paradise CDP, Nevada","6,058","± 1,591"
"Reno city, Nevada","8,530","± 1,656"
"Sparks city, Nevada","2,128","± 897"
"Spring Valley CDP, Nevada","5,120","± 1,628"
"Sunrise Manor CDP, Nevada","3,468","± 1,410"
"Manchester city, New Hampshire","2,933","± 1,173"
"Nashua city, New Hampshire","2,885","± 954"
"Bayonne city, New Jersey","2,824","± 1,156"
"Camden city, New Jersey","983","± 532"
"Clifton city, New Jersey","683","± 351"
"East Orange city, New Jersey","2,579","± 1,181"
"Elizabeth city, New Jersey","2,510","± 876"
"Jersey City city, New Jersey","9,861","± 2,269"
"Lakewood CDP, New Jersey","728","± 482"
"Newark city, New Jersey","9,507","± 2,263"
"Passaic city, New Jersey","2,622","± 851"
"Paterson city, New Jersey","2,045","± 963"
"Toms River CDP, New Jersey","1,273","± 923"
"Trenton city, New Jersey","1,843","± 908"
"Union City city, New Jersey","4,399","± 1,329"
"Albuquerque city, New Mexico","12,686","± 2,316"
"Las Cruces city, New Mexico","1,154","± 737"
"Rio Rancho city, New Mexico","527","± 469"
"Santa Fe city, New Mexico","2,367","± 747"
"Albany city, New York","3,427","± 1,364"
"Buffalo city, New York","3,343","± 1,373"
"Cheektowaga CDP, New York","1,442","± 994"
"Mount Vernon city, New York","2,036","± 1,068"
"New Rochelle city, New York","1,598","± 751"
"New York city, New York","248,273","± 7,820"
"Rochester city, New York","4,072","± 1,408"
"Schenectady city, New York","1,549","± 664"
"Syracuse city, New York","4,262","± 1,391"
"Yonkers city, New York","5,196","± 1,285"
"Apex town, North Carolina","1,486","± 697"
"Asheville city, North Carolina","4,413","± 1,528"
"Cary town, North Carolina","4,880","± 1,744"
"Charlotte city, North Carolina","43,115","± 5,038"
"Concord city, North Carolina","2,803","± 1,269"
"Durham city, North Carolina","16,334","± 3,105"
"Fayetteville city, North Carolina","7,747","± 1,450"
"Gastonia city, North Carolina","2,877","± 1,122"
"Greensboro city, North Carolina","11,586","± 2,365"
"Greenville city, North Carolina","9,295","± 1,940"
"High Point city, North Carolina","6,462","± 2,182"
"Huntersville town, North Carolina","854","± 555"
"Jacksonville city, North Carolina","2,582","± 1,333"
"Raleigh city, North Carolina","20,258","± 3,768"
"Wilmington city, North Carolina","6,077","± 1,687"
"Winston-Salem city, North Carolina","8,832","± 2,304"
"Bismarck city, North Dakota","2,662","± 1,169"
"Fargo city, North Dakota","7,276","± 1,895"
"Akron city, Ohio","4,118","± 1,068"
"Canton city, Ohio","955","± 767"
"Cincinnati city, Ohio","15,925","± 2,569"
"Cleveland city, Ohio","7,764","± 1,969"
"Columbus city, Ohio","38,782","± 5,293"
"Dayton city, Ohio","4,037","± 1,500"
"Lorain city, Ohio","1,657","± 964"
"Parma city, Ohio","669","± 357"
"Toledo city, Ohio","7,842","± 1,621"
"Broken Arrow city, Oklahoma","2,842","± 622"
"Edmond city, Oklahoma","1,915","± 795"
"Lawton city, Oklahoma","2,474","± 583"
"Norman city, Oklahoma","2,713","± 885"
"Oklahoma City city, Oklahoma","14,275","± 3,042"
"Tulsa city, Oklahoma","16,866","± 1,293"
"Beaverton city, Oregon","3,902","± 1,139"
"Bend city, Oregon","1,616","± 918"
"Eugene city, Oregon","3,563","± 1,107"
"Gresham city, Oregon","4,200","± 1,456"
"Hillsboro city, Oregon","4,682","± 1,465"
"Medford city, Oregon","755","± 642"
"Portland city, Oregon","17,591","± 2,452"
"Salem city, Oregon","4,795","± 1,841"
"Allentown city, Pennsylvania","3,073","± 1,147"
"Bethlehem city, Pennsylvania","1,792","± 943"
"Erie city, Pennsylvania","1,237","± 569"
"Philadelphia city, Pennsylvania","17,967","± 3,027"
"Pittsburgh city, Pennsylvania","9,978","± 2,291"
"Reading city, Pennsylvania","1,537","± 846"
"Scranton city, Pennsylvania","1,211","± 510"
"Cranston city, Rhode Island","967","± 561"
"Pawtucket city, Rhode Island","583","± 423"
"Providence city, Rhode Island","3,311","± 1,132"
"Warwick city, Rhode Island","2,340","± 963"
"Charleston city, South Carolina","4,369","± 1,385"
"Columbia city, South Carolina","5,467","± 1,867"
"Greenville city, South Carolina","3,828","± 1,274"
"Mount Pleasant town, South Carolina","1,405","± 614"
"North Charleston city, South Carolina","3,864","± 1,504"
"Rock Hill city, South Carolina","4,121","± 1,400"
"Rapid City city, South Dakota","3,468","± 1,256"
"Sioux Falls city, South Dakota","4,516","± 1,191"
"Chattanooga city, Tennessee","5,155","± 1,632"
