"Geographic Area Name","35.0 to 39.9 percent (2021)","MoE"
"Kissimmee city, Florida","410","± 324"
"Lakeland city, Florida","897","± 501"
"Largo city, Florida","1,296","± 658"
"Lauderhill city, Florida","876","± 601"
"Lehigh Acres CDP, Florida","583","± 495"
"Melbourne city, Florida","1,413","± 739"
"Miami city, Florida","10,888","± 2,137"
"Miami Beach city, Florida","1,483","± 634"
"Miami Gardens city, Florida","1,512","± 1,032"
"Miramar city, Florida","777","± 994"
"Orlando city, Florida","5,676","± 1,703"
"Palm Bay city, Florida","188","± 248"
"Palm Coast city, Florida","331","± 380"
"Pembroke Pines city, Florida","1,547","± 864"
"Pine Hills CDP, Florida","1,154","± 846"
"Plantation city, Florida","2,208","± 1,054"
"Pompano Beach city, Florida","1,247","± 694"
"Port Charlotte CDP, Florida","128","± 164"
"Port St. Lucie city, Florida","1,050","± 806"
"Riverview CDP, Florida","1,437","± 1,085"
"St. Petersburg city, Florida","3,254","± 951"
"Spring Hill CDP, Florida","558","± 393"
"Sunrise city, Florida","1,679","± 915"
"Tallahassee city, Florida","3,230","± 1,042"
"Tamarac city, Florida","833","± 577"
"Tampa city, Florida","3,567","± 1,069"
"Town 'n' Country CDP, Florida","477","± 377"
"Wesley Chapel CDP, Florida","611","± 503"
"Weston city, Florida","478","± 402"
"West Palm Beach city, Florida","1,131","± 515"
"Albany city, Georgia","1,133","± 672"
"Alpharetta city, Georgia","349","± 405"
"Athens-Clarke County unified government (balance), Georgia","1,396","± 821"
"Atlanta city, Georgia","7,132","± 1,921"
"Augusta-Richmond County consolidated government (balance), Georgia","2,555","± 1,027"
"Columbus city, Georgia","2,997","± 1,408"
"Macon-Bibb County, Georgia","2,235","± 1,079"
"Roswell city, Georgia","460","± 303"
"Sandy Springs city, Georgia","2,648","± 1,416"
"Savannah city, Georgia","1,310","± 672"
"Warner Robins city, Georgia","1,329","± 973"
"Urban Honolulu CDP, Hawaii","3,869","± 1,021"
"Boise City city, Idaho","2,853","± 993"
"Idaho Falls city, Idaho","619","± 375"
"Meridian city, Idaho","1,241","± 926"
"Nampa city, Idaho","388","± 424"
"Arlington Heights village, Illinois","792","± 712"
"Aurora city, Illinois","405","± 317"
