"Geographic Area Name","Total Burdened (2021)","MoE"
"Stamford city, Connecticut","27,424","± 2,852"
"Waterbury city, Connecticut","23,623","± 2,743"
"Wilmington city, Delaware","16,752","± 2,098"
"Washington city, District of Columbia","194,851","± 6,181"
"Alafaya CDP, Florida","14,158","± 2,290"
"Boca Raton city, Florida","13,206","± 1,757"
"Boynton Beach city, Florida","11,141","± 1,788"
"Brandon CDP, Florida","20,476","± 3,196"
"Cape Coral city, Florida","18,279","± 2,670"
"Clearwater city, Florida","22,373","± 2,257"
"Coral Springs city, Florida","16,984","± 2,163"
"Davie town, Florida","11,957","± 1,904"
"Daytona Beach city, Florida","19,065","± 1,988"
"Deerfield Beach city, Florida","15,059","± 2,521"
"Delray Beach city, Florida","14,400","± 1,987"
"Deltona city, Florida","7,073","± 1,687"
"Doral city, Florida","16,136","± 2,223"
"Fort Lauderdale city, Florida","35,340","± 3,515"
"Fort Myers city, Florida","19,630","± 2,706"
"Four Corners CDP, Florida","14,948","± 2,580"
"Gainesville city, Florida","43,103","± 3,102"
"Hialeah city, Florida","45,277","± 2,965"
"Hollywood city, Florida","27,494","± 2,766"
"Homestead city, Florida","12,938","± 1,834"
"Horizon West CDP, Florida","9,431","± 2,599"
"Jacksonville city, Florida","173,411","± 7,223"
"Kendall CDP, Florida","12,216","± 2,135"
"Kissimmee city, Florida","18,130","± 2,825"
"Lakeland city, Florida","20,711","± 2,292"
"Largo city, Florida","14,204","± 1,831"
"Lauderhill city, Florida","11,841","± 2,101"
"Lehigh Acres CDP, Florida","13,319","± 2,448"
"Melbourne city, Florida","15,624","± 2,148"
"Miami city, Florida","136,551","± 5,869"
"Miami Beach city, Florida","23,615","± 2,117"
"Miami Gardens city, Florida","11,451","± 1,827"
"Miramar city, Florida","15,726","± 2,637"
"North Port city, Florida","5,343","± 1,452"
"Ocala city, Florida","13,471","± 1,844"
"Orlando city, Florida","86,348","± 5,442"
"Palm Bay city, Florida","9,539","± 1,329"
"Palm Coast city, Florida","6,449","± 1,461"
"Pembroke Pines city, Florida","22,346","± 2,658"
"Pine Hills CDP, Florida","11,080","± 2,339"
"Plantation city, Florida","12,308","± 2,183"
"Poinciana CDP, Florida","7,457","± 2,038"
"Pompano Beach city, Florida","18,583","± 2,012"
"Port Orange city, Florida","5,773","± 1,126"
"Port St. Lucie city, Florida","16,661","± 2,749"
"Riverview CDP, Florida","8,168","± 1,859"
"St. Petersburg city, Florida","46,903","± 3,781"
"Sanford city, Florida","11,516","± 2,045"
"Spring Hill CDP, Florida","8,777","± 1,704"
"Sunrise city, Florida","10,534","± 2,003"
"Tallahassee city, Florida","49,511","± 2,843"
"Tamarac city, Florida","7,746","± 2,034"
"Tampa city, Florida","87,990","± 5,055"
"Town 'n' Country CDP, Florida","15,352","± 2,701"
"Wesley Chapel CDP, Florida","6,846","± 1,746"
"Weston city, Florida","5,193","± 1,177"
"West Palm Beach city, Florida","27,580","± 2,785"
"Albany city, Georgia","17,701","± 1,817"
"Alpharetta city, Georgia","9,801","± 1,627"
"Athens-Clarke County unified government (balance), Georgia","32,823","± 2,049"
"Atlanta city, Georgia","127,924","± 5,126"
"Augusta-Richmond County consolidated government (balance), Georgia","40,024","± 3,036"
"Columbus city, Georgia","38,259","± 2,951"
"Johns Creek city, Georgia","5,364","± 1,160"
"Mableton city, Georgia","10,293","± 1,644"
"Macon-Bibb County, Georgia","28,434","± 2,025"
"Roswell city, Georgia","10,587","± 1,698"
"Sandy Springs city, Georgia","24,955","± 2,535"
"Savannah city, Georgia","28,641","± 2,432"
"South Fulton city, Georgia","10,195","± 2,292"
"Warner Robins city, Georgia","15,203","± 2,026"
"Urban Honolulu CDP, Hawaii","71,039","± 3,012"
"Boise City city, Idaho","40,440","± 2,490"
