"Geographic Area Name","35.0 to 39.9 percent (2024)","MoE"
"Fremont city, California","2,259","± 963"
"Fresno city, California","5,105","± 1,244"
"Fullerton city, California","1,800","± 864"
"Garden Grove city, California","1,654","± 742"
"Glendale city, California","3,548","± 1,201"
"Hawthorne city, California","2,114","± 1,103"
"Hayward city, California","1,314","± 683"
"Hemet city, California","245","± 218"
"Hesperia city, California","606","± 485"
"Huntington Beach city, California","2,808","± 1,221"
"Indio city, California","1,250","± 744"
"Inglewood city, California","2,095","± 1,070"
"Irvine city, California","3,679","± 1,310"
"Jurupa Valley city, California","231","± 191"
"Lake Elsinore city, California","961","± 578"
"Lake Forest city, California","1,128","± 1,163"
"Lakewood city, California","537","± 440"
"Lancaster city, California","667","± 482"
"Livermore city, California","964","± 733"
"Lodi city, California","809","± 508"
"Long Beach city, California","6,477","± 1,742"
"Los Angeles city, California","67,881","± 5,360"
"Lynwood city, California","563","± 423"
"Madera city, California","324","± 255"
"Manteca city, California","232","± 266"
"Menifee city, California","1,324","± 905"
"Merced city, California","704","± 461"
"Milpitas city, California","162","± 184"
"Mission Viejo city, California","672","± 631"
"Modesto city, California","3,025","± 1,117"
"Moreno Valley city, California","1,215","± 655"
"Mountain View city, California","634","± 436"
"Murrieta city, California","998","± 662"
"Napa city, California","424","± 363"
"Newport Beach city, California","1,261","± 1,094"
"Norwalk city, California","894","± 708"
"Oakland city, California","5,037","± 1,761"
"Oceanside city, California","1,609","± 781"
"Ontario city, California","1,999","± 910"
"Orange city, California","1,196","± 733"
"Oxnard city, California","1,978","± 689"
"Palmdale city, California","716","± 551"
"Palo Alto city, California","587","± 344"
"Pasadena city, California","3,897","± 1,411"
"Perris city, California","331","± 327"
"Pittsburg city, California","735","± 491"
"Pleasanton city, California","571","± 473"
"Pomona city, California","1,623","± 711"
"Rancho Cordova city, California","674","± 537"
"Rancho Cucamonga city, California","1,381","± 605"
"Redding city, California","1,580","± 879"
"Redlands city, California","427","± 343"
"Redondo Beach city, California","444","± 290"
"Redwood City city, California","1,124","± 621"
"Rialto city, California","225","± 247"
"Richmond city, California","1,579","± 908"
"Riverside city, California","2,520","± 1,035"
"Rocklin city, California","945","± 428"
"Roseville city, California","1,379","± 674"
"Sacramento city, California","6,179","± 1,552"
"Salinas city, California","1,228","± 733"
"San Bernardino city, California","2,169","± 1,035"
"San Buenaventura (Ventura) city, California","2,683","± 1,023"
"San Diego city, California","21,639","± 2,794"
"San Francisco city, California","12,515","± 1,958"
"San Jose city, California","10,479","± 2,367"
"San Leandro city, California","563","± 397"
"San Marcos city, California","590","± 460"
"San Mateo city, California","801","± 537"
"San Ramon city, California","363","± 303"
"Santa Ana city, California","3,483","± 1,169"
"Santa Barbara city, California","1,755","± 661"
"Santa Clara city, California","1,962","± 1,028"
"Santa Clarita city, California","1,744","± 637"
"Santa Maria city, California","506","± 368"
"Santa Monica city, California","1,440","± 1,071"
"Santa Rosa city, California","1,778","± 989"
"Simi Valley city, California","715","± 442"
"South Gate city, California","1,030","± 694"
"Stockton city, California","2,546","± 1,003"
"Sunnyvale city, California","2,261","± 940"
"Temecula city, California","1,208","± 854"
"Thousand Oaks city, California","781","± 508"
"Torrance city, California","1,496","± 674"
"Tracy city, California","468","± 395"
"Tulare city, California","567","± 406"
"Turlock city, California","544","± 555"
"Tustin city, California","2,079","± 1,107"
"Union City city, California","143","± 193"
"Upland city, California","862","± 713"
"Vacaville city, California","785","± 537"
"Vallejo city, California","1,499","± 941"
"Victorville city, California","1,045","± 672"
"Visalia city, California","887","± 572"
"Vista city, California","896","± 701"
"Walnut Creek city, California","375","± 401"
"West Covina city, California","823","± 594"
"Westminster city, California","1,124","± 659"
"Whittier city, California","1,871","± 843"
"Yorba Linda city, California","312","± 272"
"Yuba City city, California","747","± 524"
"Arvada city, Colorado","1,041","± 575"
"Aurora city, Colorado","4,578","± 1,515"
"Boulder city, Colorado","1,358","± 673"
"Broomfield city, Colorado","1,326","± 634"
"Castle Rock town, Colorado","405","± 447"
"Centennial city, Colorado","422","± 468"
"Colorado Springs city, Colorado","6,000","± 1,680"
"Denver city, Colorado","10,591","± 1,893"
"Fort Collins city, Colorado","2,482","± 918"
"Grand Junction city, Colorado","391","± 317"
"Greeley city, Colorado","1,555","± 832"
"Highlands Ranch CDP, Colorado","270","± 275"
"Lakewood city, Colorado","3,184","± 1,116"
"Longmont city, Colorado","1,640","± 722"
"Loveland city, Colorado","1,246","± 689"
"Parker town, Colorado","181","± 227"
"Pueblo city, Colorado","1,555","± 907"
"Thornton city, Colorado","958","± 540"
"Westminster city, Colorado","821","± 516"
"Bridgeport city, Connecticut","2,152","± 890"
"Danbury city, Connecticut","1,119","± 861"
"Hartford city, Connecticut","2,414","± 928"
"New Britain city, Connecticut","806","± 598"
"New Haven city, Connecticut","2,778","± 1,360"
"Norwalk city, Connecticut","831","± 691"
"Stamford city, Connecticut","2,021","± 812"
"Waterbury city, Connecticut","1,610","± 980"
"Wilmington city, Delaware","418","± 353"
"Washington city, District of Columbia","12,897","± 2,604"
"Alafaya CDP, Florida","898","± 726"
"Boca Raton city, Florida","483","± 385"
"Boynton Beach city, Florida","363","± 372"
"Brandon CDP, Florida","1,635","± 761"
"Cape Coral city, Florida","1,750","± 947"
"Clearwater city, Florida","1,177","± 525"
"Coral Springs city, Florida","1,180","± 672"
"Davie town, Florida","1,340","± 837"
"Daytona Beach city, Florida","2,001","± 974"
"Deerfield Beach city, Florida","1,500","± 1,015"
"Delray Beach city, Florida","1,081","± 887"
"Deltona city, Florida","0","± 247"
"Doral city, Florida","1,096","± 704"
"Fort Lauderdale city, Florida","2,460","± 974"
"Fort Myers city, Florida","1,110","± 583"
"Four Corners CDP, Florida","2,205","± 1,753"
"Gainesville city, Florida","1,473","± 767"
"Hialeah city, Florida","2,786","± 982"
"Hollywood city, Florida","2,510","± 1,103"
"Homestead city, Florida","308","± 374"
"Horizon West CDP, Florida","1,995","± 1,371"
"Jacksonville city, Florida","10,991","± 2,251"
"Kendall CDP, Florida","616","± 645"
"Kissimmee city, Florida","728","± 808"
"Lakeland city, Florida","1,890","± 937"
"Largo city, Florida","1,296","± 936"
"Lauderhill city, Florida","1,786","± 1,101"
"Lehigh Acres CDP, Florida","1,790","± 848"
"Melbourne city, Florida","819","± 438"
"Miami city, Florida","10,547","± 2,494"
"Miami Beach city, Florida","1,253","± 764"
"Miami Gardens city, Florida","1,009","± 700"
"Miramar city, Florida","992","± 660"
"North Port city, Florida","1,329","± 788"
"Ocala city, Florida","1,030","± 786"
"Orlando city, Florida","4,965","± 1,756"
"Palm Bay city, Florida","909","± 508"
"Palm Coast city, Florida","365","± 377"
"Pembroke Pines city, Florida","2,642","± 1,327"
"Pine Hills CDP, Florida","1,101","± 960"
"Plantation city, Florida","616","± 517"
"Poinciana CDP, Florida","538","± 525"
"Pompano Beach city, Florida","1,505","± 850"
"Port Orange city, Florida","362","± 406"
"Port St. Lucie city, Florida","555","± 507"
"Riverview CDP, Florida","252","± 247"
"St. Petersburg city, Florida","5,380","± 1,770"
"Sanford city, Florida","825","± 462"
"Spring Hill CDP, Florida","301","± 307"
"Sunrise city, Florida","463","± 337"
"Tallahassee city, Florida","2,496","± 1,027"
"Tamarac city, Florida","125","± 158"
"Tampa city, Florida","6,399","± 1,798"
"Town 'n' Country CDP, Florida","689","± 630"
"Wesley Chapel CDP, Florida","301","± 266"
"Weston city, Florida","173","± 142"
"West Palm Beach city, Florida","1,848","± 934"
"Albany city, Georgia","586","± 365"
"Alpharetta city, Georgia","578","± 582"
"Athens-Clarke County unified government (balance), Georgia","2,290","± 895"
"Atlanta city, Georgia","7,234","± 2,075"
"Augusta-Richmond County consolidated government (balance), Georgia","3,780","± 1,464"
"Columbus city, Georgia","1,931","± 835"
"Johns Creek city, Georgia","595","± 408"
"Mableton city, Georgia","468","± 359"
"Macon-Bibb County, Georgia","1,314","± 699"
"Roswell city, Georgia","756","± 525"
"Sandy Springs city, Georgia","1,122","± 684"
"Savannah city, Georgia","2,214","± 925"
"South Fulton city, Georgia","1,888","± 1,348"
"Warner Robins city, Georgia","628","± 492"
"Urban Honolulu CDP, Hawaii","4,030","± 1,129"
"Boise City city, Idaho","3,117","± 933"
"Caldwell city, Idaho","367","± 381"
"Idaho Falls city, Idaho","949","± 475"
"Meridian city, Idaho","935","± 480"
"Nampa city, Idaho","1,123","± 479"
"Arlington Heights village, Illinois","110","± 132"
"Aurora city, Illinois","2,255","± 884"
"Bloomington city, Illinois","360","± 319"
"Bolingbrook village, Illinois","393","± 411"
"Champaign city, Illinois","1,127","± 655"
"Chicago city, Illinois","38,796","± 4,994"
"Cicero town, Illinois","875","± 697"
"Decatur city, Illinois","867","± 710"
"Elgin city, Illinois","1,339","± 834"
"Evanston city, Illinois","1,220","± 729"
"Joliet city, Illinois","705","± 560"
"Naperville city, Illinois","1,164","± 761"
"Palatine village, Illinois","822","± 612"
"Peoria city, Illinois","1,119","± 744"
"Rockford city, Illinois","1,499","± 655"
"Schaumburg village, Illinois","488","± 310"
"Skokie village, Illinois","556","± 808"
"Springfield city, Illinois","951","± 484"
"Waukegan city, Illinois","904","± 548"
"Bloomington city, Indiana","1,805","± 979"
"Carmel city, Indiana","876","± 628"
"Evansville city, Indiana","1,500","± 761"
"Fishers city, Indiana","489","± 305"
"Fort Wayne city, Indiana","2,560","± 937"
"Gary city, Indiana","358","± 353"
"Greenwood city, Indiana","1,127","± 490"
"Hammond city, Indiana","579","± 425"
"Indianapolis city (balance), Indiana","9,141","± 2,586"
"Lafayette city, Indiana","1,357","± 822"
"Muncie city, Indiana","930","± 637"
"Noblesville city, Indiana","867","± 476"
"South Bend city, Indiana","993","± 626"
"Ames city, Iowa","1,093","± 643"
"Ankeny city, Iowa","275","± 386"
"Cedar Rapids city, Iowa","969","± 594"
"Davenport city, Iowa","1,139","± 560"
"Des Moines city, Iowa","3,062","± 1,122"
"Iowa City city, Iowa","391","± 480"
"Sioux City city, Iowa","204","± 189"
"Waterloo city, Iowa","379","± 265"
"West Des Moines city, Iowa","978","± 649"
"Kansas City city, Kansas","1,152","± 661"
"Lawrence city, Kansas","854","± 517"
"Olathe city, Kansas","1,047","± 649"
"Overland Park city, Kansas","2,406","± 1,003"
"Shawnee city, Kansas","519","± 438"
"Topeka city, Kansas","1,111","± 482"
"Wichita city, Kansas","3,499","± 1,130"
"Bowling Green city, Kentucky","967","± 700"
"Lexington-Fayette urban county, Kentucky","2,630","± 1,123"
"Louisville/Jefferson County metro government (balance), Kentucky","9,373","± 2,380"
"Baton Rouge city, Louisiana","1,315","± 535"
"Kenner city, Louisiana","1,071","± 817"
"Lafayette city, Louisiana","2,335","± 1,131"
"Lake Charles city, Louisiana","509","± 430"
"Metairie CDP, Louisiana","1,520","± 933"
"New Orleans city, Louisiana","4,435","± 1,119"
"Shreveport city, Louisiana","2,984","± 1,529"
"Portland city, Maine","2,844","± 1,166"
"Baltimore city, Maryland","7,672","± 2,120"
"Bethesda CDP, Maryland","354","± 385"
"Columbia CDP, Maryland","698","± 375"
"Ellicott City CDP, Maryland","782","± 608"
"Frederick city, Maryland","865","± 498"
"Gaithersburg city, Maryland","595","± 608"
"Germantown CDP, Maryland","1,438","± 1,188"
"Glen Burnie CDP, Maryland","699","± 516"
"Rockville city, Maryland","1,165","± 792"
"Silver Spring CDP, Maryland","929","± 794"
"Boston city, Massachusetts","12,834","± 2,401"
"Brockton city, Massachusetts","537","± 349"
"Cambridge city, Massachusetts","1,765","± 712"
"Fall River city, Massachusetts","2,743","± 1,101"
"Framingham city, Massachusetts","529","± 489"
"Haverhill city, Massachusetts","553","± 546"
"Lawrence city, Massachusetts","2,552","± 1,063"
"Lowell city, Massachusetts","1,231","± 619"
"Lynn city, Massachusetts","169","± 182"
"Malden city, Massachusetts","672","± 430"
"New Bedford city, Massachusetts","2,167","± 893"
"Newton city, Massachusetts","361","± 315"
"Quincy city, Massachusetts","838","± 457"
"Somerville city, Massachusetts","782","± 437"
"Springfield city, Massachusetts","1,243","± 675"
"Waltham city, Massachusetts","710","± 549"
"Worcester city, Massachusetts","1,830","± 707"
"Ann Arbor city, Michigan","1,955","± 858"
"Dearborn city, Michigan","702","± 536"
"Detroit city, Michigan","9,547","± 2,312"
"Farmington Hills city, Michigan","757","± 548"
"Flint city, Michigan","844","± 542"
"Grand Rapids city, Michigan","3,494","± 1,286"
"Kalamazoo city, Michigan","1,161","± 796"
"Lansing city, Michigan","1,423","± 614"
"Livonia city, Michigan","298","± 237"
"Novi city, Michigan","1,179","± 901"
"Rochester Hills city, Michigan","99","± 117"
"Southfield city, Michigan","2,402","± 1,144"
"Sterling Heights city, Michigan","719","± 426"
"Troy city, Michigan","175","± 194"
"Warren city, Michigan","765","± 564"
"Westland city, Michigan","947","± 693"
"Wyoming city, Michigan","989","± 705"
"Blaine city, Minnesota","162","± 155"
"Bloomington city, Minnesota","1,127","± 703"
"Brooklyn Park city, Minnesota","118","± 144"
"Duluth city, Minnesota","1,153","± 544"
"Eagan city, Minnesota","445","± 369"
"Maple Grove city, Minnesota","609","± 411"
"Minneapolis city, Minnesota","7,783","± 2,733"
"Plymouth city, Minnesota","522","± 476"
"Rochester city, Minnesota","1,578","± 740"
"St. Cloud city, Minnesota","566","± 531"
"St. Paul city, Minnesota","3,734","± 1,291"
"Woodbury city, Minnesota","308","± 385"
"Gulfport city, Mississippi","1,056","± 756"
"Jackson city, Mississippi","945","± 658"
"Columbia city, Missouri","1,799","± 869"
"Independence city, Missouri","1,560","± 885"
"Kansas City city, Missouri","5,644","± 1,635"
"Lee's Summit city, Missouri","901","± 624"
"O'Fallon city, Missouri","129","± 181"
"St. Charles city, Missouri","609","± 366"
"St. Joseph city, Missouri","690","± 549"
"St. Louis city, Missouri","6,470","± 2,131"
"Springfield city, Missouri","2,625","± 965"
"Billings city, Montana","1,104","± 628"
"Missoula city, Montana","1,510","± 763"
"Lincoln city, Nebraska","4,558","± 1,423"
"Omaha city, Nebraska","4,852","± 1,308"
"Enterprise CDP, Nevada","2,063","± 1,069"
"Henderson city, Nevada","3,274","± 1,150"
"Las Vegas city, Nevada","10,182","± 2,338"
"North Las Vegas city, Nevada","2,935","± 1,132"
"Paradise CDP, Nevada","2,554","± 1,181"
"Reno city, Nevada","5,146","± 1,183"
"Sparks city, Nevada","298","± 266"
"Spring Valley CDP, Nevada","2,866","± 1,170"
"Sunrise Manor CDP, Nevada","1,712","± 844"
"Manchester city, New Hampshire","1,434","± 737"
"Nashua city, New Hampshire","384","± 301"
"Bayonne city, New Jersey","1,941","± 989"
"Camden city, New Jersey","1,106","± 584"
"Clifton city, New Jersey","853","± 509"
"East Orange city, New Jersey","2,988","± 1,402"
"Elizabeth city, New Jersey","2,519","± 1,114"
"Jersey City city, New Jersey","4,230","± 1,353"
"Lakewood CDP, New Jersey","608","± 393"
"Newark city, New Jersey","5,005","± 1,280"
"Passaic city, New Jersey","1,443","± 701"
"Paterson city, New Jersey","2,033","± 1,045"
"Toms River CDP, New Jersey","443","± 394"
"Trenton city, New Jersey","1,583","± 950"
"Union City city, New Jersey","1,536","± 576"
"Albuquerque city, New Mexico","6,564","± 1,795"
"Las Cruces city, New Mexico","1,087","± 730"
"Rio Rancho city, New Mexico","686","± 603"
"Santa Fe city, New Mexico","693","± 442"
"Albany city, New York","1,791","± 1,121"
"Buffalo city, New York","3,536","± 1,512"
"Cheektowaga CDP, New York","479","± 502"
"Mount Vernon city, New York","249","± 263"
"New Rochelle city, New York","1,220","± 724"
"New York city, New York","124,482","± 8,171"
"Rochester city, New York","2,522","± 881"
"Schenectady city, New York","447","± 464"
"Syracuse city, New York","1,615","± 755"
"Yonkers city, New York","2,807","± 1,084"
"Apex town, North Carolina","552","± 369"
"Asheville city, North Carolina","1,332","± 623"
"Cary town, North Carolina","1,443","± 867"
"Charlotte city, North Carolina","11,290","± 2,153"
"Concord city, North Carolina","716","± 554"
"Durham city, North Carolina","5,768","± 1,769"
"Fayetteville city, North Carolina","3,373","± 928"
"Gastonia city, North Carolina","427","± 440"
"Greensboro city, North Carolina","6,123","± 1,842"
"Greenville city, North Carolina","2,223","± 996"
"High Point city, North Carolina","648","± 494"
"Huntersville town, North Carolina","1,341","± 811"
"Jacksonville city, North Carolina","1,775","± 669"
"Raleigh city, North Carolina","7,848","± 2,221"
"Wilmington city, North Carolina","2,406","± 1,116"
"Winston-Salem city, North Carolina","4,173","± 1,780"
"Bismarck city, North Dakota","637","± 511"
"Fargo city, North Dakota","2,297","± 1,000"
"Akron city, Ohio","2,852","± 782"
"Canton city, Ohio","460","± 389"
"Cincinnati city, Ohio","6,103","± 1,987"
"Cleveland city, Ohio","4,346","± 1,239"
"Columbus city, Ohio","13,017","± 2,361"
"Dayton city, Ohio","2,143","± 1,163"
"Lorain city, Ohio","1,238","± 630"
"Parma city, Ohio","196","± 220"
"Toledo city, Ohio","2,035","± 1,020"
"Broken Arrow city, Oklahoma","413","± 262"
"Edmond city, Oklahoma","508","± 397"
"Lawton city, Oklahoma","996","± 398"
"Norman city, Oklahoma","1,306","± 562"
"Oklahoma City city, Oklahoma","7,667","± 1,731"
"Tulsa city, Oklahoma","3,886","± 759"
"Beaverton city, Oregon","1,677","± 796"
"Bend city, Oregon","1,555","± 770"
"Eugene city, Oregon","2,384","± 998"
"Gresham city, Oregon","1,443","± 842"
"Hillsboro city, Oregon","672","± 489"
"Medford city, Oregon","1,718","± 948"
"Portland city, Oregon","7,402","± 1,548"
"Salem city, Oregon","2,219","± 1,189"
"Allentown city, Pennsylvania","1,967","± 1,341"
"Bethlehem city, Pennsylvania","1,532","± 904"
"Erie city, Pennsylvania","971","± 616"
"Philadelphia city, Pennsylvania","18,181","± 4,215"
"Pittsburgh city, Pennsylvania","4,906","± 1,323"
"Reading city, Pennsylvania","1,269","± 557"
"Scranton city, Pennsylvania","678","± 472"
"Cranston city, Rhode Island","1,006","± 861"
"Pawtucket city, Rhode Island","1,185","± 744"
"Providence city, Rhode Island","2,723","± 1,313"
"Warwick city, Rhode Island","427","± 388"
"Charleston city, South Carolina","2,058","± 1,010"
"Columbia city, South Carolina","2,553","± 955"
"Greenville city, South Carolina","1,235","± 628"
"Mount Pleasant town, South Carolina","821","± 757"
"North Charleston city, South Carolina","2,330","± 1,413"
"Rock Hill city, South Carolina","884","± 681"
"Rapid City city, South Dakota","860","± 563"
"Sioux Falls city, South Dakota","2,895","± 1,379"
"Chattanooga city, Tennessee","1,777","± 744"
"Clarksville city, Tennessee","2,549","± 1,163"
"Franklin city, Tennessee","1,266","± 811"
"Jackson city, Tennessee","459","± 473"
"Johnson City city, Tennessee","833","± 640"
"Knoxville city, Tennessee","2,604","± 955"
"Memphis city, Tennessee","9,531","± 2,335"
"Murfreesboro city, Tennessee","2,766","± 1,358"
"Nashville-Davidson metropolitan government (balance), Tennessee","14,831","± 3,459"
"Abilene city, Texas","793","± 454"
"Allen city, Texas","674","± 559"
"Amarillo city, Texas","2,068","± 980"
"Arlington city, Texas","5,973","± 1,601"
"Austin city, Texas","21,495","± 4,310"
"Baytown city, Texas","907","± 544"
"Beaumont city, Texas","1,187","± 708"
"Brownsville city, Texas","1,583","± 818"
"Bryan city, Texas","444","± 310"
"Carrollton city, Texas","1,154","± 693"
"Cedar Park city, Texas","1,018","± 596"
"College Station city, Texas","2,421","± 1,104"
"Conroe city, Texas","1,531","± 904"
"Corpus Christi city, Texas","3,196","± 1,232"
"Dallas city, Texas","21,638","± 3,024"
"Denton city, Texas","1,389","± 671"
"Edinburg city, Texas","774","± 674"
"El Paso city, Texas","8,669","± 1,883"
"Flower Mound town, Texas","328","± 300"
"Fort Worth city, Texas","12,258","± 2,667"
"Frisco city, Texas","3,276","± 1,956"
"Garland city, Texas","1,703","± 973"
"Georgetown city, Texas","1,629","± 1,064"
"Grand Prairie city, Texas","1,504","± 901"
"Harlingen city, Texas","627","± 575"
"Houston city, Texas","39,819","± 4,997"
"Irving city, Texas","4,480","± 1,321"
"Killeen city, Texas","2,910","± 1,188"
"Laredo city, Texas","2,055","± 835"
"League City city, Texas","147","± 145"
"Leander city, Texas","412","± 300"
"Lewisville city, Texas","1,553","± 677"
"Longview city, Texas","1,294","± 689"
"Lubbock city, Texas","2,041","± 757"
"McAllen city, Texas","682","± 440"
"McKinney city, Texas","1,268","± 919"
"Mansfield city, Texas","598","± 382"
"Mesquite city, Texas","394","± 365"
"Midland city, Texas","1,947","± 1,070"
"Mission city, Texas","805","± 584"
"Missouri City city, Texas","436","± 392"
"New Braunfels city, Texas","2,072","± 841"
"North Richland Hills city, Texas","1,292","± 758"
"Odessa city, Texas","2,242","± 1,415"
"Pasadena city, Texas","1,732","± 781"
"Pearland city, Texas","777","± 643"
"Pflugerville city, Texas","861","± 691"
"Pharr city, Texas","285","± 259"
"Plano city, Texas","3,210","± 1,242"
"Richardson city, Texas","1,498","± 783"
"Round Rock city, Texas","587","± 409"
"Rowlett city, Texas","1,093","± 1,242"
"San Angelo city, Texas","810","± 626"
"San Antonio city, Texas","20,742","± 3,474"
"San Marcos city, Texas","1,590","± 795"
"Spring CDP, Texas","174","± 305"
"Sugar Land city, Texas","873","± 562"
"Temple city, Texas","1,182","± 757"
"The Woodlands CDP, Texas","154","± 200"
"Tyler city, Texas","1,411","± 703"
"Victoria city, Texas","609","± 525"
"Waco city, Texas","2,154","± 1,027"
"Wichita Falls city, Texas","902","± 574"
"Layton city, Utah","606","± 404"
"Lehi city, Utah","336","± 398"
"Ogden city, Utah","1,582","± 946"
"Orem city, Utah","1,012","± 529"
"Provo city, Utah","1,609","± 741"
"St. George city, Utah","968","± 610"
"Salt Lake City city, Utah","3,609","± 1,166"
"Sandy city, Utah","196","± 190"
"South Jordan city, Utah","117","± 142"
"West Jordan city, Utah","208","± 238"
"West Valley City city, Utah","595","± 591"
"Alexandria city, Virginia","3,520","± 920"
"Arlington CDP, Virginia","4,696","± 1,127"
"Centreville CDP, Virginia","325","± 294"
"Chesapeake city, Virginia","1,431","± 835"
"Hampton city, Virginia","1,189","± 548"
"Lynchburg city, Virginia","811","± 521"
"Newport News city, Virginia","2,166","± 1,094"
"Norfolk city, Virginia","3,870","± 1,588"
"Portsmouth city, Virginia","831","± 603"
"Reston CDP, Virginia","699","± 564"
"Richmond city, Virginia","5,166","± 1,638"
"Roanoke city, Virginia","889","± 608"
"Suffolk city, Virginia","818","± 438"
"Virginia Beach city, Virginia","4,488","± 1,324"
"Auburn city, Washington","756","± 507"
"Bellevue city, Washington","874","± 441"
"Bellingham city, Washington","2,126","± 902"
"Everett city, Washington","817","± 794"
"Federal Way city, Washington","1,330","± 831"
"Kennewick city, Washington","393","± 433"
"Kent city, Washington","1,456","± 985"
"Kirkland city, Washington","1,262","± 730"
"Marysville city, Washington","829","± 695"
"Pasco city, Washington","602","± 501"
"Redmond city, Washington","1,678","± 1,030"
"Renton city, Washington","1,317","± 811"
"Sammamish city, Washington","155","± 156"
"Seattle city, Washington","13,976","± 2,699"
"Shoreline city, Washington","1,138","± 708"
"South Hill CDP, Washington","84","± 148"
"Spokane city, Washington","2,987","± 905"
"Spokane Valley city, Washington","973","± 484"
"Tacoma city, Washington","3,276","± 1,241"
"Vancouver city, Washington","3,922","± 1,237"
"Yakima city, Washington","1,653","± 810"
"Appleton city, Wisconsin","515","± 331"
"Eau Claire city, Wisconsin","862","± 527"
"Green Bay city, Wisconsin","943","± 572"
"Janesville city, Wisconsin","1,001","± 864"
"Kenosha city, Wisconsin","522","± 337"
"Madison city, Wisconsin","5,048","± 1,417"
"Milwaukee city, Wisconsin","8,499","± 1,739"
"Oshkosh city, Wisconsin","745","± 378"
"Racine city, Wisconsin","613","± 463"
"Waukesha city, Wisconsin","581","± 285"
"Cheyenne city, Wyoming","573","± 406"
"Bayamón zona urbana, Puerto Rico","675","± 438"
"Caguas zona urbana, Puerto Rico","264","± 251"
"Carolina zona urbana, Puerto Rico","906","± 567"
"Guaynabo zona urbana, Puerto Rico","258","± 230"
"Ponce zona urbana, Puerto Rico","673","± 431"
"San Juan zona urbana, Puerto Rico","3,306","± 1,177"
