"Geographic Area Name","30.0 to 34.9 percent (2024)","MoE"
"Riverside city, California","5,851","± 1,528"
"Rocklin city, California","1,021","± 497"
"Roseville city, California","1,468","± 713"
"Sacramento city, California","8,922","± 1,649"
"Salinas city, California","2,277","± 983"
"San Bernardino city, California","2,355","± 827"
"San Buenaventura (Ventura) city, California","1,560","± 718"
"San Diego city, California","29,842","± 3,533"
"San Francisco city, California","17,373","± 2,413"
"San Jose city, California","12,388","± 1,986"
"San Leandro city, California","932","± 497"
"San Marcos city, California","978","± 616"
"San Mateo city, California","1,458","± 741"
"San Ramon city, California","892","± 498"
"Santa Ana city, California","3,501","± 889"
"Santa Barbara city, California","2,484","± 1,257"
"Santa Clara city, California","1,300","± 569"
"Santa Clarita city, California","1,671","± 756"
"Santa Maria city, California","1,546","± 657"
"Santa Monica city, California","1,938","± 926"
"Santa Rosa city, California","2,882","± 1,099"
"Simi Valley city, California","1,798","± 845"
"South Gate city, California","1,370","± 731"
"Stockton city, California","3,152","± 1,065"
"Sunnyvale city, California","3,047","± 1,230"
"Temecula city, California","2,301","± 1,205"
"Thousand Oaks city, California","1,621","± 823"
"Torrance city, California","2,753","± 1,007"
"Tracy city, California","1,284","± 733"
"Tulare city, California","1,131","± 829"
"Turlock city, California","1,054","± 422"
"Tustin city, California","1,857","± 974"
"Union City city, California","954","± 496"
"Upland city, California","1,053","± 724"
"Vacaville city, California","3,166","± 1,170"
"Vallejo city, California","2,423","± 991"
"Victorville city, California","524","± 366"
"Visalia city, California","1,811","± 884"
"Vista city, California","1,916","± 783"
"Walnut Creek city, California","1,022","± 587"
"West Covina city, California","1,759","± 882"
"Westminster city, California","1,848","± 910"
"Whittier city, California","1,344","± 632"
"Yorba Linda city, California","222","± 225"
"Yuba City city, California","397","± 287"
"Arvada city, Colorado","1,231","± 590"
"Aurora city, Colorado","4,390","± 1,445"
"Boulder city, Colorado","2,271","± 1,068"
"Broomfield city, Colorado","982","± 467"
"Castle Rock town, Colorado","746","± 544"
"Centennial city, Colorado","743","± 496"
"Colorado Springs city, Colorado","9,209","± 1,975"
"Denver city, Colorado","18,058","± 3,249"
"Fort Collins city, Colorado","5,469","± 1,517"
"Grand Junction city, Colorado","573","± 463"
"Greeley city, Colorado","1,066","± 664"
"Highlands Ranch CDP, Colorado","1,327","± 776"
"Lakewood city, Colorado","3,268","± 1,155"
"Longmont city, Colorado","3,014","± 1,230"
"Loveland city, Colorado","1,668","± 938"
"Parker town, Colorado","620","± 539"
"Pueblo city, Colorado","1,110","± 595"
"Thornton city, Colorado","2,751","± 1,281"
"Westminster city, Colorado","1,839","± 787"
"Bridgeport city, Connecticut","4,114","± 1,286"
"Danbury city, Connecticut","783","± 630"
"Hartford city, Connecticut","2,293","± 748"
"New Britain city, Connecticut","1,685","± 752"
"New Haven city, Connecticut","4,619","± 1,572"
"Norwalk city, Connecticut","1,837","± 961"
"Stamford city, Connecticut","2,152","± 850"
"Waterbury city, Connecticut","2,532","± 1,289"
"Wilmington city, Delaware","1,623","± 976"
"Washington city, District of Columbia","16,392","± 2,704"
"Alafaya CDP, Florida","1,584","± 962"
"Boca Raton city, Florida","1,023","± 593"
"Boynton Beach city, Florida","1,151","± 686"
"Brandon CDP, Florida","3,422","± 1,477"
"Cape Coral city, Florida","1,791","± 909"
"Clearwater city, Florida","1,481","± 661"
"Coral Springs city, Florida","1,366","± 586"
"Davie town, Florida","729","± 478"
"Daytona Beach city, Florida","1,765","± 999"
"Deerfield Beach city, Florida","1,772","± 1,042"
"Delray Beach city, Florida","1,638","± 958"
"Deltona city, Florida","211","± 291"
"Doral city, Florida","1,296","± 760"
"Fort Lauderdale city, Florida","3,872","± 1,409"
"Fort Myers city, Florida","3,063","± 1,280"
"Four Corners CDP, Florida","1,007","± 630"
"Gainesville city, Florida","2,441","± 1,025"
"Hialeah city, Florida","4,321","± 1,367"
"Hollywood city, Florida","2,994","± 1,303"
"Homestead city, Florida","812","± 593"
"Horizon West CDP, Florida","361","± 486"
"Jacksonville city, Florida","20,679","± 3,411"
"Kendall CDP, Florida","2,927","± 1,519"
"Kissimmee city, Florida","1,207","± 1,070"
"Lakeland city, Florida","1,109","± 494"
"Largo city, Florida","1,111","± 600"
"Lauderhill city, Florida","825","± 661"
"Lehigh Acres CDP, Florida","235","± 327"
"Melbourne city, Florida","1,619","± 798"
"Miami city, Florida","12,356","± 2,189"
"Miami Beach city, Florida","2,909","± 1,294"
"Miami Gardens city, Florida","1,352","± 608"
"Miramar city, Florida","1,316","± 1,093"
"North Port city, Florida","403","± 347"
"Ocala city, Florida","882","± 799"
"Orlando city, Florida","8,347","± 2,200"
"Palm Bay city, Florida","637","± 388"
"Palm Coast city, Florida","347","± 304"
"Pembroke Pines city, Florida","1,607","± 991"
"Pine Hills CDP, Florida","770","± 669"
"Plantation city, Florida","2,259","± 1,150"
"Poinciana CDP, Florida","585","± 537"
"Pompano Beach city, Florida","954","± 604"
"Port Orange city, Florida","865","± 578"
"Port St. Lucie city, Florida","2,203","± 939"
"Riverview CDP, Florida","981","± 850"
"St. Petersburg city, Florida","4,680","± 1,245"
"Sanford city, Florida","2,047","± 1,051"
"Spring Hill CDP, Florida","1,314","± 800"
"Sunrise city, Florida","1,079","± 560"
"Tallahassee city, Florida","4,017","± 1,323"
"Tamarac city, Florida","1,126","± 844"
"Tampa city, Florida","8,746","± 2,137"
"Town 'n' Country CDP, Florida","2,029","± 857"
"Wesley Chapel CDP, Florida","646","± 512"
"Weston city, Florida","857","± 600"
"West Palm Beach city, Florida","2,249","± 1,116"
"Albany city, Georgia","1,673","± 812"
"Alpharetta city, Georgia","641","± 455"
"Athens-Clarke County unified government (balance), Georgia","3,342","± 1,341"
"Atlanta city, Georgia","12,792","± 2,364"
"Augusta-Richmond County consolidated government (balance), Georgia","3,866","± 1,424"
"Columbus city, Georgia","3,472","± 1,286"
"Johns Creek city, Georgia","593","± 373"
"Mableton city, Georgia","1,071","± 797"
"Macon-Bibb County, Georgia","2,222","± 906"
"Roswell city, Georgia","1,897","± 892"
"Sandy Springs city, Georgia","3,545","± 1,468"
"Savannah city, Georgia","1,904","± 787"
"South Fulton city, Georgia","712","± 666"
"Warner Robins city, Georgia","775","± 363"
"Urban Honolulu CDP, Hawaii","5,670","± 973"
"Boise City city, Idaho","3,860","± 1,078"
"Caldwell city, Idaho","206","± 172"
"Idaho Falls city, Idaho","521","± 358"
"Meridian city, Idaho","1,531","± 610"
"Nampa city, Idaho","1,613","± 744"
"Arlington Heights village, Illinois","889","± 591"
"Aurora city, Illinois","1,360","± 641"
"Bloomington city, Illinois","1,152","± 670"
"Bolingbrook village, Illinois","464","± 408"
"Champaign city, Illinois","1,784","± 830"
"Chicago city, Illinois","59,168","± 6,143"
"Cicero town, Illinois","844","± 761"
"Decatur city, Illinois","761","± 430"
"Elgin city, Illinois","1,309","± 755"
"Evanston city, Illinois","1,311","± 1,023"
"Joliet city, Illinois","725","± 336"
"Naperville city, Illinois","1,554","± 837"
"Palatine village, Illinois","1,695","± 939"
"Peoria city, Illinois","934","± 696"
"Rockford city, Illinois","2,536","± 876"
"Schaumburg village, Illinois","499","± 563"
"Skokie village, Illinois","474","± 460"
"Springfield city, Illinois","1,400","± 668"
"Waukegan city, Illinois","2,291","± 1,222"
"Bloomington city, Indiana","1,651","± 835"
"Carmel city, Indiana","581","± 639"
"Evansville city, Indiana","947","± 493"
"Fishers city, Indiana","716","± 391"
"Fort Wayne city, Indiana","3,152","± 1,040"
"Gary city, Indiana","965","± 464"
"Greenwood city, Indiana","366","± 320"
"Hammond city, Indiana","1,375","± 759"
"Indianapolis city (balance), Indiana","12,477","± 2,558"
"Lafayette city, Indiana","3,446","± 1,152"
"Muncie city, Indiana","458","± 356"
"Noblesville city, Indiana","347","± 272"
"South Bend city, Indiana","1,656","± 716"
"Ames city, Iowa","1,121","± 613"
"Ankeny city, Iowa","684","± 462"
"Cedar Rapids city, Iowa","2,340","± 973"
"Davenport city, Iowa","1,184","± 688"
"Des Moines city, Iowa","3,785","± 1,449"
"Iowa City city, Iowa","1,731","± 845"
"Sioux City city, Iowa","369","± 305"
"Waterloo city, Iowa","510","± 302"
"West Des Moines city, Iowa","1,964","± 1,083"
"Kansas City city, Kansas","2,133","± 763"
"Lawrence city, Kansas","2,705","± 1,117"
"Olathe city, Kansas","2,283","± 988"
"Overland Park city, Kansas","3,215","± 1,164"
"Shawnee city, Kansas","104","± 124"
"Topeka city, Kansas","2,209","± 969"
"Wichita city, Kansas","6,886","± 1,662"
"Bowling Green city, Kentucky","1,837","± 805"
"Lexington-Fayette urban county, Kentucky","6,552","± 1,614"
"Louisville/Jefferson County metro government (balance), Kentucky","7,578","± 2,048"
"Baton Rouge city, Louisiana","2,496","± 1,174"
"Kenner city, Louisiana","359","± 295"
"Lafayette city, Louisiana","1,309","± 622"
"Lake Charles city, Louisiana","1,075","± 668"
"Metairie CDP, Louisiana","2,528","± 1,371"
"New Orleans city, Louisiana","6,412","± 1,518"
"Shreveport city, Louisiana","1,920","± 958"
"Portland city, Maine","1,960","± 961"
"Baltimore city, Maryland","14,394","± 3,017"
"Bethesda CDP, Maryland","518","± 346"
"Columbia CDP, Maryland","1,029","± 547"
"Ellicott City CDP, Maryland","801","± 648"
"Frederick city, Maryland","1,619","± 825"
"Gaithersburg city, Maryland","934","± 593"
"Germantown CDP, Maryland","1,068","± 693"
"Glen Burnie CDP, Maryland","1,461","± 840"
"Rockville city, Maryland","1,175","± 583"
"Silver Spring CDP, Maryland","1,027","± 686"
"Boston city, Massachusetts","23,461","± 3,324"
"Brockton city, Massachusetts","2,172","± 954"
"Cambridge city, Massachusetts","3,375","± 1,068"
"Fall River city, Massachusetts","1,953","± 972"
"Framingham city, Massachusetts","1,224","± 674"
"Haverhill city, Massachusetts","1,241","± 686"
"Lawrence city, Massachusetts","3,239","± 1,230"
"Lowell city, Massachusetts","2,160","± 890"
"Lynn city, Massachusetts","2,132","± 857"
"Malden city, Massachusetts","1,607","± 923"
"New Bedford city, Massachusetts","1,894","± 819"
"Newton city, Massachusetts","1,036","± 492"
"Quincy city, Massachusetts","2,855","± 1,302"
"Somerville city, Massachusetts","3,027","± 1,031"
"Springfield city, Massachusetts","1,452","± 758"
"Waltham city, Massachusetts","919","± 793"
"Worcester city, Massachusetts","6,509","± 2,112"
"Ann Arbor city, Michigan","1,169","± 543"
"Dearborn city, Michigan","851","± 485"
"Detroit city, Michigan","8,438","± 1,750"
"Farmington Hills city, Michigan","645","± 606"
"Flint city, Michigan","831","± 521"
"Grand Rapids city, Michigan","2,570","± 981"
"Kalamazoo city, Michigan","1,623","± 928"
"Lansing city, Michigan","1,507","± 801"
"Livonia city, Michigan","487","± 295"
"Novi city, Michigan","1,083","± 543"
"Rochester Hills city, Michigan","602","± 436"
"Southfield city, Michigan","1,550","± 852"
"Sterling Heights city, Michigan","739","± 426"
"Troy city, Michigan","211","± 209"
"Warren city, Michigan","2,537","± 987"
"Westland city, Michigan","1,109","± 590"
"Wyoming city, Michigan","2,257","± 1,133"
"Blaine city, Minnesota","59","± 97"
"Bloomington city, Minnesota","1,552","± 683"
"Brooklyn Park city, Minnesota","305","± 293"
"Duluth city, Minnesota","2,259","± 788"
"Eagan city, Minnesota","881","± 600"
"Maple Grove city, Minnesota","387","± 296"
"Minneapolis city, Minnesota","8,651","± 1,928"
"Plymouth city, Minnesota","738","± 549"
"Rochester city, Minnesota","1,841","± 1,111"
"St. Cloud city, Minnesota","741","± 645"
"St. Paul city, Minnesota","6,823","± 1,462"
"Woodbury city, Minnesota","1,204","± 842"
"Gulfport city, Mississippi","768","± 459"
"Jackson city, Mississippi","3,504","± 1,642"
"Columbia city, Missouri","2,196","± 1,019"
"Independence city, Missouri","1,292","± 506"
"Kansas City city, Missouri","10,132","± 1,872"
"Lee's Summit city, Missouri","1,068","± 810"
"O'Fallon city, Missouri","316","± 381"
"St. Charles city, Missouri","478","± 319"
"St. Joseph city, Missouri","1,741","± 797"
"St. Louis city, Missouri","6,639","± 1,630"
"Springfield city, Missouri","4,493","± 1,114"
"Billings city, Montana","2,278","± 1,327"
"Missoula city, Montana","1,538","± 748"
"Lincoln city, Nebraska","4,937","± 1,299"
"Omaha city, Nebraska","10,240","± 2,103"
"Enterprise CDP, Nevada","2,651","± 1,221"
"Henderson city, Nevada","4,950","± 1,570"
"Las Vegas city, Nevada","9,330","± 1,959"
"North Las Vegas city, Nevada","2,834","± 1,195"
"Paradise CDP, Nevada","4,680","± 1,369"
"Reno city, Nevada","5,226","± 1,372"
"Sparks city, Nevada","2,166","± 951"
"Spring Valley CDP, Nevada","4,066","± 1,405"
"Sunrise Manor CDP, Nevada","2,962","± 993"
"Manchester city, New Hampshire","1,772","± 773"
"Nashua city, New Hampshire","1,688","± 739"
"Bayonne city, New Jersey","2,777","± 1,119"
"Camden city, New Jersey","1,088","± 488"
"Clifton city, New Jersey","1,233","± 922"
"East Orange city, New Jersey","1,927","± 1,011"
"Elizabeth city, New Jersey","2,790","± 1,170"
"Jersey City city, New Jersey","9,309","± 1,992"
"Lakewood CDP, New Jersey","614","± 419"
"Newark city, New Jersey","7,897","± 1,656"
"Passaic city, New Jersey","1,051","± 567"
"Paterson city, New Jersey","2,377","± 1,091"
"Toms River CDP, New Jersey","827","± 825"
"Trenton city, New Jersey","2,785","± 1,265"
"Union City city, New Jersey","2,016","± 840"
"Albuquerque city, New Mexico","7,107","± 1,623"
"Las Cruces city, New Mexico","1,284","± 674"
"Rio Rancho city, New Mexico","495","± 398"
"Santa Fe city, New Mexico","1,193","± 644"
"Albany city, New York","2,829","± 1,400"
"Buffalo city, New York","4,748","± 1,344"
"Cheektowaga CDP, New York","752","± 620"
"Mount Vernon city, New York","1,271","± 653"
"New Rochelle city, New York","991","± 724"
"New York city, New York","189,126","± 10,369"
"Rochester city, New York","4,159","± 1,213"
"Schenectady city, New York","1,021","± 623"
"Syracuse city, New York","3,674","± 1,258"
"Yonkers city, New York","3,469","± 1,350"
"Apex town, North Carolina","635","± 517"
"Asheville city, North Carolina","2,592","± 964"
"Cary town, North Carolina","2,264","± 1,024"
"Charlotte city, North Carolina","15,697","± 2,440"
"Concord city, North Carolina","1,334","± 807"
"Durham city, North Carolina","6,903","± 2,121"
"Fayetteville city, North Carolina","4,981","± 1,106"
"Gastonia city, North Carolina","2,383","± 1,004"
"Greensboro city, North Carolina","5,940","± 1,774"
"Greenville city, North Carolina","1,328","± 778"
"High Point city, North Carolina","2,206","± 1,065"
"Huntersville town, North Carolina","693","± 508"
"Jacksonville city, North Carolina","1,380","± 875"
"Raleigh city, North Carolina","13,285","± 2,679"
"Wilmington city, North Carolina","2,552","± 1,208"
"Winston-Salem city, North Carolina","4,705","± 1,540"
"Bismarck city, North Dakota","630","± 412"
"Fargo city, North Dakota","2,125","± 904"
"Akron city, Ohio","4,026","± 1,360"
"Canton city, Ohio","711","± 540"
"Cincinnati city, Ohio","5,488","± 1,692"
"Cleveland city, Ohio","10,351","± 2,049"
"Columbus city, Ohio","18,077","± 2,900"
"Dayton city, Ohio","2,130","± 1,152"
"Lorain city, Ohio","762","± 649"
"Parma city, Ohio","766","± 389"
"Toledo city, Ohio","5,180","± 1,647"
"Broken Arrow city, Oklahoma","1,195","± 414"
"Edmond city, Oklahoma","1,185","± 623"
"Lawton city, Oklahoma","1,313","± 376"
"Norman city, Oklahoma","2,140","± 912"
"Oklahoma City city, Oklahoma","10,109","± 2,114"
"Tulsa city, Oklahoma","8,504","± 1,394"
"Beaverton city, Oregon","2,527","± 971"
"Bend city, Oregon","1,206","± 541"
"Eugene city, Oregon","1,975","± 781"
"Gresham city, Oregon","2,109","± 970"
"Hillsboro city, Oregon","2,325","± 923"
"Medford city, Oregon","1,841","± 811"
"Portland city, Oregon","13,074","± 2,377"
"Salem city, Oregon","3,381","± 1,189"
"Allentown city, Pennsylvania","3,190","± 1,166"
"Bethlehem city, Pennsylvania","1,888","± 795"
"Erie city, Pennsylvania","1,696","± 720"
"Philadelphia city, Pennsylvania","21,839","± 3,525"
"Pittsburgh city, Pennsylvania","6,061","± 1,499"
"Reading city, Pennsylvania","1,496","± 722"
"Scranton city, Pennsylvania","1,375","± 573"
"Cranston city, Rhode Island","1,550","± 861"
"Pawtucket city, Rhode Island","2,352","± 1,032"
"Providence city, Rhode Island","3,771","± 1,396"
"Warwick city, Rhode Island","663","± 600"
"Charleston city, South Carolina","1,931","± 830"
"Columbia city, South Carolina","2,975","± 1,121"
"Greenville city, South Carolina","1,625","± 806"
"Mount Pleasant town, South Carolina","1,091","± 605"
"North Charleston city, South Carolina","4,184","± 2,000"
"Rock Hill city, South Carolina","1,809","± 951"
"Rapid City city, South Dakota","2,183","± 963"
"Sioux Falls city, South Dakota","4,633","± 1,455"
"Chattanooga city, Tennessee","3,754","± 1,364"
"Clarksville city, Tennessee","3,534","± 1,259"
"Franklin city, Tennessee","1,132","± 739"
"Jackson city, Tennessee","1,567","± 780"
"Johnson City city, Tennessee","1,836","± 907"
"Knoxville city, Tennessee","4,068","± 1,243"
"Memphis city, Tennessee","9,266","± 2,413"
"Murfreesboro city, Tennessee","4,948","± 1,944"
"Nashville-Davidson metropolitan government (balance), Tennessee","21,773","± 3,990"
"Abilene city, Texas","2,792","± 1,084"
"Allen city, Texas","1,225","± 854"
"Amarillo city, Texas","4,780","± 1,567"
"Arlington city, Texas","6,757","± 2,060"
"Austin city, Texas","25,208","± 4,200"
"Baytown city, Texas","1,275","± 1,040"
"Beaumont city, Texas","894","± 660"
"Brownsville city, Texas","2,047","± 995"
"Bryan city, Texas","1,619","± 817"
"Carrollton city, Texas","2,797","± 1,110"
"Cedar Park city, Texas","982","± 547"
"College Station city, Texas","2,972","± 1,127"
"Conroe city, Texas","1,568","± 1,030"
"Corpus Christi city, Texas","6,289","± 2,128"
"Dallas city, Texas","27,995","± 4,212"
"Denton city, Texas","2,872","± 1,207"
"Edinburg city, Texas","882","± 587"
"El Paso city, Texas","8,579","± 2,118"
"Flower Mound town, Texas","560","± 393"
"Fort Worth city, Texas","10,786","± 2,287"
"Frisco city, Texas","2,528","± 1,364"
"Garland city, Texas","4,560","± 1,719"
"Georgetown city, Texas","1,387","± 836"
"Grand Prairie city, Texas","4,139","± 1,722"
"Harlingen city, Texas","739","± 550"
"Houston city, Texas","50,841","± 5,249"
"Irving city, Texas","3,508","± 1,207"
"Killeen city, Texas","3,195","± 1,255"
"Laredo city, Texas","3,376","± 1,402"
"League City city, Texas","1,240","± 681"
"Leander city, Texas","1,423","± 1,013"
"Lewisville city, Texas","2,406","± 1,194"
"Longview city, Texas","1,451","± 851"
"Lubbock city, Texas","4,558","± 1,156"
"McAllen city, Texas","1,519","± 634"
"McKinney city, Texas","3,108","± 1,165"
"Mansfield city, Texas","262","± 281"
"Mesquite city, Texas","2,407","± 1,202"
"Midland city, Texas","2,526","± 1,715"
"Mission city, Texas","1,397","± 1,055"
"Missouri City city, Texas","306","± 249"
"New Braunfels city, Texas","1,578","± 1,095"
"North Richland Hills city, Texas","1,457","± 818"
"Odessa city, Texas","1,892","± 1,145"
"Pasadena city, Texas","1,601","± 831"
"Pearland city, Texas","687","± 688"
"Pflugerville city, Texas","1,094","± 1,049"
"Pharr city, Texas","967","± 747"
"Plano city, Texas","4,901","± 1,927"
"Richardson city, Texas","2,600","± 1,241"
"Round Rock city, Texas","2,702","± 1,516"
"Rowlett city, Texas","242","± 286"
"San Angelo city, Texas","2,353","± 884"
"San Antonio city, Texas","23,102","± 3,684"
"San Marcos city, Texas","1,326","± 731"
"Spring CDP, Texas","575","± 480"
"Sugar Land city, Texas","432","± 536"
"Temple city, Texas","1,285","± 590"
"The Woodlands CDP, Texas","1,891","± 1,109"
"Tyler city, Texas","1,240","± 676"
"Victoria city, Texas","1,554","± 915"
"Waco city, Texas","2,562","± 981"
"Wichita Falls city, Texas","1,365","± 550"
"Layton city, Utah","220","± 236"
"Lehi city, Utah","636","± 461"
"Ogden city, Utah","1,416","± 841"
"Orem city, Utah","1,499","± 687"
"Provo city, Utah","1,294","± 556"
"St. George city, Utah","1,515","± 837"
"Salt Lake City city, Utah","6,081","± 1,697"
"Sandy city, Utah","1,053","± 996"
"South Jordan city, Utah","485","± 449"
"West Jordan city, Utah","1,037","± 616"
"West Valley City city, Utah","951","± 655"
"Alexandria city, Virginia","4,851","± 1,134"
"Arlington CDP, Virginia","6,519","± 1,327"
"Centreville CDP, Virginia","814","± 413"
"Chesapeake city, Virginia","2,724","± 1,083"
"Hampton city, Virginia","3,438","± 1,347"
"Lynchburg city, Virginia","1,346","± 688"
"Newport News city, Virginia","3,723","± 1,094"
"Norfolk city, Virginia","5,735","± 1,640"
"Portsmouth city, Virginia","1,960","± 941"
"Reston CDP, Virginia","1,065","± 656"
"Richmond city, Virginia","5,254","± 1,494"
"Roanoke city, Virginia","1,320","± 704"
"Suffolk city, Virginia","984","± 558"
"Virginia Beach city, Virginia","7,818","± 2,387"
"Auburn city, Washington","1,650","± 915"
"Bellevue city, Washington","3,366","± 1,356"
"Bellingham city, Washington","2,965","± 999"
"Everett city, Washington","3,875","± 1,600"
"Federal Way city, Washington","2,057","± 904"
"Kennewick city, Washington","1,161","± 816"
"Kent city, Washington","1,312","± 672"
"Kirkland city, Washington","1,096","± 698"
"Marysville city, Washington","537","± 364"
"Pasco city, Washington","532","± 436"
"Redmond city, Washington","2,129","± 1,037"
"Renton city, Washington","1,747","± 796"
"Sammamish city, Washington","300","± 255"
"Seattle city, Washington","22,671","± 2,796"
"Shoreline city, Washington","1,264","± 945"
"South Hill CDP, Washington","1,052","± 906"
"Spokane city, Washington","2,404","± 915"
"Spokane Valley city, Washington","1,557","± 783"
"Tacoma city, Washington","3,904","± 1,115"
"Vancouver city, Washington","4,369","± 1,194"
"Yakima city, Washington","473","± 306"
"Appleton city, Wisconsin","866","± 540"
"Eau Claire city, Wisconsin","1,987","± 830"
"Green Bay city, Wisconsin","1,737","± 768"
"Janesville city, Wisconsin","54","± 48"
"Kenosha city, Wisconsin","2,229","± 971"
"Madison city, Wisconsin","7,165","± 1,600"
"Milwaukee city, Wisconsin","11,046","± 2,082"
"Oshkosh city, Wisconsin","1,177","± 692"
"Racine city, Wisconsin","1,402","± 818"
"Waukesha city, Wisconsin","1,354","± 567"
"Cheyenne city, Wyoming","1,081","± 577"
"Bayamón zona urbana, Puerto Rico","476","± 353"
"Caguas zona urbana, Puerto Rico","903","± 776"
"Carolina zona urbana, Puerto Rico","1,908","± 959"
"Guaynabo zona urbana, Puerto Rico","141","± 150"
