"Geographic Area Name","30.0 to 34.9 percent (2021)","MoE"
"Tallahassee city, Florida","3,868","± 1,343"
"Tamarac city, Florida","338","± 268"
"Tampa city, Florida","8,427","± 1,725"
"Town 'n' Country CDP, Florida","1,879","± 1,055"
"Wesley Chapel CDP, Florida","422","± 364"
"Weston city, Florida","1,189","± 869"
"West Palm Beach city, Florida","2,618","± 817"
"Albany city, Georgia","1,449","± 804"
"Alpharetta city, Georgia","597","± 408"
"Athens-Clarke County unified government (balance), Georgia","3,754","± 1,285"
"Atlanta city, Georgia","9,155","± 2,359"
"Augusta-Richmond County consolidated government (balance), Georgia","3,116","± 1,140"
"Columbus city, Georgia","3,141","± 1,306"
"Macon-Bibb County, Georgia","2,240","± 1,055"
"Roswell city, Georgia","821","± 849"
"Sandy Springs city, Georgia","1,966","± 999"
"Savannah city, Georgia","1,601","± 636"
"Warner Robins city, Georgia","402","± 372"
"Urban Honolulu CDP, Hawaii","7,179","± 1,471"
"Boise City city, Idaho","3,232","± 1,198"
"Idaho Falls city, Idaho","334","± 299"
"Meridian city, Idaho","1,537","± 1,328"
"Nampa city, Idaho","1,764","± 907"
"Arlington Heights village, Illinois","388","± 264"
"Aurora city, Illinois","1,624","± 687"
"Bloomington city, Illinois","127","± 117"
"Bolingbrook village, Illinois","279","± 296"
"Champaign city, Illinois","1,745","± 963"
"Chicago city, Illinois","49,354","± 4,952"
"Cicero town, Illinois","629","± 403"
"Decatur city, Illinois","1,251","± 564"
"Elgin city, Illinois","924","± 479"
"Evanston city, Illinois","1,416","± 887"
"Joliet city, Illinois","1,210","± 587"
"Naperville city, Illinois","781","± 467"
"Palatine village, Illinois","629","± 427"
"Peoria city, Illinois","1,292","± 801"
"Rockford city, Illinois","2,721","± 967"
"Schaumburg village, Illinois","689","± 369"
"Skokie village, Illinois","618","± 423"
"Springfield city, Illinois","1,403","± 724"
"Waukegan city, Illinois","1,189","± 728"
"Bloomington city, Indiana","1,271","± 536"
"Carmel city, Indiana","1,424","± 794"
"Evansville city, Indiana","1,819","± 694"
"Fishers city, Indiana","1,111","± 798"
"Fort Wayne city, Indiana","5,341","± 1,275"
"Hammond city, Indiana","391","± 287"
"Indianapolis city (balance), Indiana","14,010","± 2,754"
"Lafayette city, Indiana","2,254","± 889"
"Noblesville city, Indiana","1,315","± 988"
"South Bend city, Indiana","1,296","± 517"
"Ames city, Iowa","1,261","± 582"
"Ankeny city, Iowa","439","± 358"
"Cedar Rapids city, Iowa","1,947","± 985"
"Davenport city, Iowa","1,060","± 595"
"Des Moines city, Iowa","3,957","± 1,032"
"Iowa City city, Iowa","876","± 592"
"Sioux City city, Iowa","882","± 452"
"Waterloo city, Iowa","791","± 349"
"West Des Moines city, Iowa","2,070","± 1,198"
"Kansas City city, Kansas","2,305","± 822"
"Lawrence city, Kansas","1,782","± 743"
"Olathe city, Kansas","1,902","± 812"
"Overland Park city, Kansas","2,590","± 792"
"Shawnee city, Kansas","619","± 769"
"Topeka city, Kansas","1,056","± 456"
"Wichita city, Kansas","4,262","± 1,064"
"Bowling Green city, Kentucky","932","± 529"
"Lexington-Fayette urban county, Kentucky","5,352","± 1,377"
"Louisville/Jefferson County metro government (balance), Kentucky","9,319","± 2,025"
"Baton Rouge city, Louisiana","3,856","± 1,261"
"Kenner city, Louisiana","574","± 401"
"Lafayette city, Louisiana","1,223","± 634"
"Lake Charles city, Louisiana","369","± 347"
"Metairie CDP, Louisiana","1,484","± 698"
"New Orleans city, Louisiana","4,794","± 964"
"Shreveport city, Louisiana","2,800","± 1,054"
"Portland city, Maine","1,759","± 727"
"Baltimore city, Maryland","12,620","± 1,998"
"Bethesda CDP, Maryland","702","± 317"
"Columbia CDP, Maryland","1,466","± 896"
"Ellicott City CDP, Maryland","260","± 215"
"Frederick city, Maryland","1,354","± 580"
"Gaithersburg city, Maryland","842","± 412"
"Germantown CDP, Maryland","733","± 592"
"Glen Burnie CDP, Maryland","595","± 438"
"Rockville city, Maryland","521","± 281"
"Silver Spring CDP, Maryland","2,406","± 1,037"
"Waldorf CDP, Maryland","33","± 61"
"Boston city, Massachusetts","17,544","± 2,202"
"Brockton city, Massachusetts","1,541","± 669"
"Cambridge city, Massachusetts","3,879","± 1,091"
"Fall River city, Massachusetts","2,373","± 843"
"Framingham city, Massachusetts","1,436","± 740"
"Haverhill city, Massachusetts","756","± 505"
"Lawrence city, Massachusetts","3,054","± 1,135"
"Lowell city, Massachusetts","2,046","± 854"
"Lynn city, Massachusetts","1,892","± 1,007"
"Malden city, Massachusetts","1,408","± 828"
"New Bedford city, Massachusetts","1,828","± 691"
"Newton city, Massachusetts","775","± 473"
"Quincy city, Massachusetts","2,052","± 946"
"Somerville city, Massachusetts","1,393","± 549"
"Springfield city, Massachusetts","2,353","± 905"
"Worcester city, Massachusetts","4,199","± 1,385"
"Ann Arbor city, Michigan","1,984","± 732"
"Dearborn city, Michigan","856","± 585"
"Detroit city, Michigan","11,029","± 1,989"
"Farmington Hills city, Michigan","755","± 550"
"Flint city, Michigan","1,794","± 781"
"Grand Rapids city, Michigan","3,408","± 1,294"
"Kalamazoo city, Michigan","546","± 390"
"Lansing city, Michigan","3,170","± 1,147"
"Livonia city, Michigan","364","± 279"
"Novi city, Michigan","323","± 273"
"Rochester Hills city, Michigan","366","± 219"
"Southfield city, Michigan","1,688","± 818"
"Sterling Heights city, Michigan","703","± 350"
"Troy city, Michigan","422","± 352"
"Warren city, Michigan","1,015","± 638"
"Westland city, Michigan","1,677","± 736"
"Wyoming city, Michigan","979","± 657"
"Blaine city, Minnesota","75","± 124"
"Bloomington city, Minnesota","937","± 472"
"Brooklyn Park city, Minnesota","949","± 769"
"Duluth city, Minnesota","1,786","± 553"
"Eagan city, Minnesota","698","± 454"
"Maple Grove city, Minnesota","212","± 293"
"Minneapolis city, Minnesota","9,883","± 1,783"
"Plymouth city, Minnesota","913","± 633"
"Rochester city, Minnesota","1,733","± 726"
"St. Cloud city, Minnesota","599","± 586"
"St. Paul city, Minnesota","5,559","± 1,141"
"Gulfport city, Mississippi","1,291","± 704"
"Jackson city, Mississippi","2,975","± 1,105"
"Columbia city, Missouri","1,105","± 772"
"Independence city, Missouri","1,689","± 889"
"Kansas City city, Missouri","9,959","± 1,649"
"Lee's Summit city, Missouri","684","± 570"
"O'Fallon city, Missouri","574","± 491"
"St. Charles city, Missouri","748","± 423"
"St. Joseph city, Missouri","790","± 417"
"St. Louis city, Missouri","4,878","± 1,267"
"Springfield city, Missouri","5,038","± 1,715"
"Billings city, Montana","1,510","± 841"
"Missoula city, Montana","1,259","± 637"
"Lincoln city, Nebraska","3,508","± 860"
"Omaha city, Nebraska","7,196","± 1,356"
"Enterprise CDP, Nevada","2,098","± 1,001"
"Henderson city, Nevada","3,342","± 1,242"
"Las Vegas city, Nevada","9,319","± 1,712"
"North Las Vegas city, Nevada","4,284","± 1,460"
"Paradise CDP, Nevada","4,069","± 1,209"
"Reno city, Nevada","5,623","± 1,308"
"Sparks city, Nevada","1,518","± 649"
"Spring Valley CDP, Nevada","4,125","± 1,339"
"Sunrise Manor CDP, Nevada","2,261","± 723"
"Manchester city, New Hampshire","2,860","± 1,002"
"Nashua city, New Hampshire","517","± 322"
"Bayonne city, New Jersey","1,758","± 847"
"Camden city, New Jersey","1,006","± 688"
"Clifton city, New Jersey","1,152","± 682"
"East Orange city, New Jersey","1,810","± 869"
"Elizabeth city, New Jersey","3,238","± 1,042"
"Jersey City city, New Jersey","5,901","± 1,659"
"Newark city, New Jersey","9,481","± 1,811"
"Passaic city, New Jersey","1,210","± 515"
"Paterson city, New Jersey","2,263","± 987"
"Toms River CDP, New Jersey","555","± 427"
"Trenton city, New Jersey","1,971","± 1,021"
"Union City city, New Jersey","1,116","± 652"
"Albuquerque city, New Mexico","8,474","± 2,035"
"Las Cruces city, New Mexico","565","± 291"
"Rio Rancho city, New Mexico","838","± 756"
"Santa Fe city, New Mexico","1,297","± 774"
"Albany city, New York","1,765","± 1,113"
"Buffalo city, New York","5,462","± 1,515"
"Cheektowaga CDP, New York","565","± 511"
"Mount Vernon city, New York","394","± 338"
"New Rochelle city, New York","2,316","± 1,143"
"New York city, New York","191,875","± 10,175"
"Rochester city, New York","5,996","± 1,614"
"Schenectady city, New York","992","± 569"
"Syracuse city, New York","1,765","± 859"
"Yonkers city, New York","2,402","± 946"
"Asheville city, North Carolina","1,241","± 646"
"Cary town, North Carolina","643","± 327"
"Charlotte city, North Carolina","16,696","± 2,595"
"Concord city, North Carolina","1,513","± 929"
"Durham city, North Carolina","7,006","± 2,195"
"Fayetteville city, North Carolina","4,007","± 857"
"Gastonia city, North Carolina","1,533","± 696"
"Greensboro city, North Carolina","6,611","± 1,597"
"Greenville city, North Carolina","2,806","± 1,154"
"High Point city, North Carolina","1,512","± 717"
"Jacksonville city, North Carolina","823","± 575"
"Raleigh city, North Carolina","9,029","± 2,195"
"Wilmington city, North Carolina","1,961","± 968"
"Winston-Salem city, North Carolina","3,145","± 1,056"
"Bismarck city, North Dakota","1,290","± 611"
"Fargo city, North Dakota","2,962","± 1,221"
"Akron city, Ohio","4,165","± 1,241"
"Canton city, Ohio","1,277","± 590"
"Cincinnati city, Ohio","6,728","± 1,537"
"Cleveland city, Ohio","9,087","± 1,529"
"Columbus city, Ohio","16,202","± 2,651"
"Dayton city, Ohio","2,299","± 717"
"Lorain city, Ohio","1,487","± 863"
"Parma city, Ohio","974","± 670"
"Toledo city, Ohio","3,903","± 1,301"
"Broken Arrow city, Oklahoma","1,255","± 472"
"Edmond city, Oklahoma","401","± 242"
"Lawton city, Oklahoma","1,674","± 723"
"Norman city, Oklahoma","2,087","± 884"
"Oklahoma City city, Oklahoma","11,471","± 1,995"
"Tulsa city, Oklahoma","7,621","± 1,094"
"Beaverton city, Oregon","1,893","± 669"
"Bend city, Oregon","625","± 544"
"Eugene city, Oregon","3,790","± 1,390"
"Gresham city, Oregon","1,170","± 686"
"Hillsboro city, Oregon","2,000","± 799"
"Medford city, Oregon","1,294","± 615"
"Portland city, Oregon","9,989","± 1,815"
"Salem city, Oregon","2,410","± 931"
"Allentown city, Pennsylvania","2,681","± 1,044"
"Bethlehem city, Pennsylvania","1,672","± 815"
"Erie city, Pennsylvania","1,256","± 642"
"Philadelphia city, Pennsylvania","25,801","± 3,372"
"Pittsburgh city, Pennsylvania","6,919","± 1,586"
"Reading city, Pennsylvania","1,995","± 767"
"Scranton city, Pennsylvania","847","± 491"
"Cranston city, Rhode Island","965","± 670"
"Pawtucket city, Rhode Island","834","± 448"
"Providence city, Rhode Island","3,265","± 967"
"Warwick city, Rhode Island","1,414","± 855"
"Charleston city, South Carolina","2,976","± 982"
"Columbia city, South Carolina","1,823","± 729"
"Greenville city, South Carolina","2,137","± 835"
"Mount Pleasant town, South Carolina","374","± 407"
"North Charleston city, South Carolina","1,596","± 936"
"Rock Hill city, South Carolina","931","± 545"
"Rapid City city, South Dakota","1,774","± 666"
"Sioux Falls city, South Dakota","3,393","± 1,288"
"Chattanooga city, Tennessee","2,410","± 843"
"Clarksville city, Tennessee","2,722","± 1,071"
"Franklin city, Tennessee","1,409","± 642"
"Jackson city, Tennessee","643","± 365"
"Johnson City city, Tennessee","1,274","± 852"
"Knoxville city, Tennessee","4,545","± 1,321"
"Memphis city, Tennessee","10,074","± 2,116"
"Murfreesboro city, Tennessee","3,415","± 1,533"
"Nashville-Davidson metropolitan government (balance), Tennessee","13,715","± 3,057"
"Abilene city, Texas","2,002","± 736"
"Allen city, Texas","880","± 563"
"Amarillo city, Texas","3,280","± 1,261"
"Arlington city, Texas","6,626","± 1,737"
"Austin city, Texas","22,396","± 3,793"
"Baytown city, Texas","2,000","± 877"
"Beaumont city, Texas","1,499","± 789"
"Brownsville city, Texas","1,377","± 705"
"Bryan city, Texas","1,044","± 552"
"Carrollton city, Texas","2,044","± 1,075"
"Cedar Park city, Texas","484","± 398"
"College Station city, Texas","2,077","± 910"
"Conroe city, Texas","1,115","± 895"
"Corpus Christi city, Texas","4,253","± 1,176"
"Dallas city, Texas","27,936","± 4,343"
"Denton city, Texas","2,692","± 1,159"
"Edinburg city, Texas","891","± 720"
"El Paso city, Texas","8,248","± 1,991"
"Fort Worth city, Texas","13,935","± 3,333"
"Frisco city, Texas","2,535","± 1,101"
"Garland city, Texas","2,659","± 1,252"
"Georgetown city, Texas","872","± 493"
"Grand Prairie city, Texas","2,225","± 1,151"
"Harlingen city, Texas","413","± 466"
"Houston city, Texas","44,910","± 5,101"
"Irving city, Texas","4,602","± 1,310"
"Killeen city, Texas","2,354","± 983"
"Laredo city, Texas","3,070","± 1,095"
"League City city, Texas","425","± 358"
"Lewisville city, Texas","2,308","± 996"
"Longview city, Texas","943","± 641"
"Lubbock city, Texas","3,464","± 1,133"
"McAllen city, Texas","1,927","± 966"
"McKinney city, Texas","2,791","± 1,230"
"Mansfield city, Texas","1,447","± 724"
"Mesquite city, Texas","946","± 737"
"Midland city, Texas","2,125","± 1,335"
"Mission city, Texas","392","± 351"
"New Braunfels city, Texas","1,098","± 779"
"North Richland Hills city, Texas","634","± 394"
"Odessa city, Texas","1,257","± 912"
"Pasadena city, Texas","1,047","± 700"
"Pearland city, Texas","1,173","± 950"
"Pharr city, Texas","805","± 666"
"Plano city, Texas","4,739","± 1,297"
"Richardson city, Texas","1,837","± 896"
"Round Rock city, Texas","2,049","± 1,093"
"San Angelo city, Texas","326","± 309"
"San Antonio city, Texas","22,899","± 3,842"
"San Marcos city, Texas","1,427","± 702"
"Sugar Land city, Texas","283","± 300"
"Temple city, Texas","1,763","± 885"
"The Woodlands CDP, Texas","1,276","± 916"
"Tyler city, Texas","1,572","± 1,029"
"Victoria city, Texas","1,339","± 646"
"Waco city, Texas","2,419","± 1,026"
"Wichita Falls city, Texas","1,231","± 508"
"Layton city, Utah","103","± 168"
"Lehi city, Utah","213","± 236"
"Ogden city, Utah","1,352","± 583"
"Orem city, Utah","1,194","± 586"
"Provo city, Utah","1,901","± 708"
"St. George city, Utah","1,220","± 1,073"
"Salt Lake City city, Utah","5,505","± 1,315"
"Sandy city, Utah","1,244","± 754"
"South Jordan city, Utah","167","± 193"
"West Jordan city, Utah","721","± 507"
"West Valley City city, Utah","1,358","± 713"
"Alexandria city, Virginia","4,307","± 932"
"Arlington CDP, Virginia","3,755","± 859"
"Centreville CDP, Virginia","682","± 506"
"Chesapeake city, Virginia","1,907","± 869"
"Dale City CDP, Virginia","326","± 295"
"Hampton city, Virginia","2,679","± 1,302"
"Lynchburg city, Virginia","845","± 522"
"Newport News city, Virginia","4,537","± 1,120"
"Norfolk city, Virginia","5,586","± 1,507"
"Portsmouth city, Virginia","1,594","± 921"
"Richmond city, Virginia","4,795","± 1,413"
"Roanoke city, Virginia","1,045","± 542"
"Suffolk city, Virginia","1,209","± 568"
"Virginia Beach city, Virginia","5,681","± 1,451"
"Auburn city, Washington","1,203","± 728"
"Bellevue city, Washington","1,039","± 546"
"Bellingham city, Washington","2,209","± 846"
"Everett city, Washington","2,447","± 874"
"Federal Way city, Washington","2,490","± 1,109"
"Kennewick city, Washington","2,064","± 792"
"Kent city, Washington","2,276","± 792"
"Kirkland city, Washington","881","± 489"
"Marysville city, Washington","775","± 445"
"Pasco city, Washington","793","± 522"
"Redmond city, Washington","1,153","± 668"
"Renton city, Washington","2,759","± 1,074"
"Sammamish city, Washington","319","± 368"
"Seattle city, Washington","13,962","± 2,428"
"South Hill CDP, Washington","279","± 217"
"Spokane city, Washington","3,780","± 1,163"
"Spokane Valley city, Washington","1,740","± 884"
"Tacoma city, Washington","3,767","± 1,255"
"Vancouver city, Washington","3,220","± 1,019"
"Yakima city, Washington","1,033","± 478"
"Appleton city, Wisconsin","821","± 348"
"Eau Claire city, Wisconsin","762","± 444"
"Green Bay city, Wisconsin","2,097","± 807"
"Janesville city, Wisconsin","939","± 576"
"Kenosha city, Wisconsin","1,663","± 633"
"Madison city, Wisconsin","5,971","± 1,418"
"Milwaukee city, Wisconsin","11,497","± 1,964"
"Oshkosh city, Wisconsin","864","± 429"
"Racine city, Wisconsin","1,387","± 773"
"Waukesha city, Wisconsin","1,144","± 649"
"Cheyenne city, Wyoming","1,503","± 782"
"Bayamón zona urbana, Puerto Rico","1,473","± 645"
"Caguas zona urbana, Puerto Rico","822","± 487"
"Carolina zona urbana, Puerto Rico","327","± 321"
"Guaynabo zona urbana, Puerto Rico","747","± 586"
"Ponce zona urbana, Puerto Rico","1,268","± 503"
"San Juan zona urbana, Puerto Rico","3,144","± 942"
