"Geographic Area Name","Total Cost Burden","MoE"
"Johnson City city, Tennessee","15,765","± 1,859"
"Knoxville city, Tennessee","44,616","± 2,857"
"Memphis city, Tennessee","137,346","± 5,685"
"Murfreesboro city, Tennessee","23,017","± 3,193"
"Nashville-Davidson metropolitan government (balance), Tennessee","142,821","± 4,730"
"Abilene city, Texas","21,250","± 1,872"
"Allen city, Texas","11,209","± 2,337"
"Amarillo city, Texas","33,229","± 2,466"
"Arlington city, Texas","68,005","± 4,414"
"Austin city, Texas","252,941","± 7,324"
"Baytown city, Texas","13,911","± 1,858"
"Beaumont city, Texas","21,701","± 2,258"
"Brownsville city, Texas","22,082","± 2,402"
"Bryan city, Texas","18,704","± 1,963"
"Carrollton city, Texas","21,953","± 2,060"
"Cedar Park city, Texas","10,447","± 1,751"
"College Station city, Texas","24,719","± 2,579"
"Conroe city, Texas","15,602","± 2,695"
"Corpus Christi city, Texas","49,492","± 3,133"
"Dallas city, Texas","306,490","± 8,193"
"Denton city, Texas","30,669","± 3,358"
"Edinburg city, Texas","19,123","± 3,019"
"El Paso city, Texas","94,741","± 5,104"
"Fort Worth city, Texas","149,089","± 7,352"
"Frisco city, Texas","25,361","± 2,516"
"Garland city, Texas","30,834","± 2,716"
"Georgetown city, Texas","9,045","± 1,526"
"Grand Prairie city, Texas","27,502","± 2,708"
"Harlingen city, Texas","10,998","± 1,938"
"Houston city, Texas","534,755","± 10,246"
"Irving city, Texas","60,765","± 3,684"
"Killeen city, Texas","30,515","± 2,886"
"Laredo city, Texas","27,950","± 2,528"
"League City city, Texas","11,256","± 2,374"
"Lewisville city, Texas","25,789","± 2,176"
"Longview city, Texas","14,730","± 2,111"
"Lubbock city, Texas","50,704","± 3,052"
"McAllen city, Texas","19,806","± 2,684"
"McKinney city, Texas","26,293","± 3,029"
"Mansfield city, Texas","7,510","± 1,566"
"Mesquite city, Texas","18,348","± 2,694"
"Midland city, Texas","17,689","± 2,743"
"Mission city, Texas","9,676","± 1,618"
"New Braunfels city, Texas","14,626","± 2,432"
"North Richland Hills city, Texas","10,442","± 1,483"
"Odessa city, Texas","19,150","± 2,929"
"Pasadena city, Texas","21,644","± 2,511"
"Pearland city, Texas","11,185","± 2,384"
"Pharr city, Texas","10,400","± 2,075"
"Plano city, Texas","47,589","± 2,682"
"Richardson city, Texas","19,700","± 2,103"
"Round Rock city, Texas","23,133","± 3,530"
"San Angelo city, Texas","14,000","± 1,749"
"San Antonio city, Texas","259,122","± 8,435"
