"Geographic Area Name","40.0 to 49.9 percent (2021)","MoE"
"Germantown CDP, Maryland","925","± 941"
"Glen Burnie CDP, Maryland","1,052","± 631"
"Rockville city, Maryland","1,135","± 490"
"Silver Spring CDP, Maryland","2,038","± 879"
"Waldorf CDP, Maryland","808","± 720"
"Boston city, Massachusetts","13,981","± 2,264"
"Brockton city, Massachusetts","2,024","± 905"
"Cambridge city, Massachusetts","2,847","± 890"
"Fall River city, Massachusetts","1,716","± 834"
"Framingham city, Massachusetts","997","± 561"
"Haverhill city, Massachusetts","902","± 586"
"Lawrence city, Massachusetts","2,569","± 955"
"Lowell city, Massachusetts","2,157","± 758"
"Lynn city, Massachusetts","1,785","± 964"
"Malden city, Massachusetts","1,055","± 695"
"New Bedford city, Massachusetts","1,398","± 545"
"Newton city, Massachusetts","685","± 402"
"Quincy city, Massachusetts","2,610","± 869"
"Somerville city, Massachusetts","1,234","± 605"
"Springfield city, Massachusetts","1,518","± 675"
"Worcester city, Massachusetts","3,713","± 1,146"
"Ann Arbor city, Michigan","2,743","± 1,146"
"Dearborn city, Michigan","727","± 482"
"Detroit city, Michigan","9,234","± 1,615"
"Farmington Hills city, Michigan","1,059","± 694"
"Flint city, Michigan","1,451","± 753"
"Grand Rapids city, Michigan","1,626","± 698"
"Kalamazoo city, Michigan","1,252","± 924"
"Lansing city, Michigan","1,961","± 783"
"Livonia city, Michigan","244","± 225"
"Novi city, Michigan","869","± 478"
"Rochester Hills city, Michigan","129","± 128"
"Southfield city, Michigan","1,650","± 862"
"Sterling Heights city, Michigan","823","± 444"
"Troy city, Michigan","467","± 360"
"Warren city, Michigan","1,856","± 968"
"Westland city, Michigan","806","± 445"
"Wyoming city, Michigan","1,012","± 670"
"Blaine city, Minnesota","970","± 693"
"Bloomington city, Minnesota","684","± 495"
"Brooklyn Park city, Minnesota","1,137","± 918"
"Duluth city, Minnesota","1,403","± 502"
"Eagan city, Minnesota","985","± 474"
"Maple Grove city, Minnesota","396","± 338"
"Minneapolis city, Minnesota","8,592","± 1,647"
"Plymouth city, Minnesota","836","± 440"
"Rochester city, Minnesota","1,393","± 702"
"St. Cloud city, Minnesota","649","± 433"
"St. Paul city, Minnesota","4,399","± 1,102"
"Gulfport city, Mississippi","961","± 560"
"Jackson city, Mississippi","2,807","± 872"
"Columbia city, Missouri","2,366","± 952"
"Independence city, Missouri","2,601","± 987"
"Kansas City city, Missouri","8,565","± 1,796"
"Lee's Summit city, Missouri","796","± 505"
"O'Fallon city, Missouri","264","± 189"
"St. Charles city, Missouri","802","± 498"
"St. Joseph city, Missouri","796","± 357"
"St. Louis city, Missouri","5,041","± 1,276"
"Springfield city, Missouri","3,617","± 1,362"
"Billings city, Montana","1,931","± 716"
"Missoula city, Montana","1,339","± 752"
"Lincoln city, Nebraska","4,926","± 1,583"
"Omaha city, Nebraska","6,766","± 1,278"
"Enterprise CDP, Nevada","2,710","± 849"
"Henderson city, Nevada","5,382","± 1,250"
"Las Vegas city, Nevada","10,571","± 1,991"
"North Las Vegas city, Nevada","3,684","± 1,161"
"Paradise CDP, Nevada","5,275","± 1,263"
"Reno city, Nevada","5,389","± 1,310"
"Sparks city, Nevada","1,706","± 1,007"
"Spring Valley CDP, Nevada","4,131","± 1,096"
"Sunrise Manor CDP, Nevada","3,450","± 1,096"
"Manchester city, New Hampshire","1,749","± 708"
"Nashua city, New Hampshire","1,193","± 640"
"Bayonne city, New Jersey","1,566","± 746"
"Camden city, New Jersey","1,443","± 765"
"Clifton city, New Jersey","1,264","± 711"
"East Orange city, New Jersey","2,102","± 940"
"Elizabeth city, New Jersey","3,722","± 1,104"
"Jersey City city, New Jersey","6,637","± 1,669"
"Newark city, New Jersey","8,297","± 1,717"
"Passaic city, New Jersey","1,343","± 456"
"Paterson city, New Jersey","2,929","± 983"
"Toms River CDP, New Jersey","231","± 207"
"Trenton city, New Jersey","3,434","± 1,236"
"Union City city, New Jersey","2,161","± 858"
"Albuquerque city, New Mexico","7,659","± 1,741"
"Las Cruces city, New Mexico","2,974","± 1,394"
"Rio Rancho city, New Mexico","276","± 240"
"Santa Fe city, New Mexico","666","± 515"
"Albany city, New York","622","± 450"
"Buffalo city, New York","6,080","± 1,526"
"Cheektowaga CDP, New York","628","± 336"
"Mount Vernon city, New York","1,188","± 717"
"New Rochelle city, New York","1,014","± 616"
"New York city, New York","171,024","± 8,659"
"Rochester city, New York","4,334","± 1,273"
"Schenectady city, New York","804","± 554"
"Syracuse city, New York","2,892","± 965"
"Yonkers city, New York","2,905","± 1,154"
"Asheville city, North Carolina","1,687","± 664"
"Cary town, North Carolina","1,726","± 761"
"Charlotte city, North Carolina","17,490","± 2,723"
"Concord city, North Carolina","762","± 685"
"Durham city, North Carolina","4,186","± 1,093"
"Fayetteville city, North Carolina","4,845","± 966"
"Gastonia city, North Carolina","1,709","± 775"
"Greensboro city, North Carolina","4,072","± 1,405"
"Greenville city, North Carolina","1,464","± 756"
"High Point city, North Carolina","765","± 479"
"Jacksonville city, North Carolina","1,848","± 920"
"Raleigh city, North Carolina","7,779","± 1,995"
"Wilmington city, North Carolina","3,643","± 1,211"
"Winston-Salem city, North Carolina","4,963","± 1,683"
"Bismarck city, North Dakota","698","± 512"
"Fargo city, North Dakota","2,439","± 1,201"
"Akron city, Ohio","4,383","± 1,201"
"Canton city, Ohio","728","± 534"
"Cincinnati city, Ohio","6,924","± 1,733"
"Cleveland city, Ohio","9,215","± 1,948"
"Columbus city, Ohio","17,730","± 2,940"
"Dayton city, Ohio","1,533","± 533"
"Lorain city, Ohio","580","± 500"
"Parma city, Ohio","1,404","± 677"
"Toledo city, Ohio","4,376","± 1,196"
"Broken Arrow city, Oklahoma","584","± 329"
"Edmond city, Oklahoma","822","± 362"
"Lawton city, Oklahoma","867","± 529"
"Norman city, Oklahoma","2,245","± 958"
"Oklahoma City city, Oklahoma","7,712","± 1,648"
"Tulsa city, Oklahoma","6,845","± 1,001"
"Beaverton city, Oregon","2,031","± 767"
"Bend city, Oregon","1,459","± 756"
"Eugene city, Oregon","2,513","± 904"
"Gresham city, Oregon","1,807","± 756"
"Hillsboro city, Oregon","2,404","± 913"
"Medford city, Oregon","1,194","± 494"
"Portland city, Oregon","11,608","± 2,519"
"Salem city, Oregon","1,892","± 757"
"Allentown city, Pennsylvania","2,491","± 995"
"Bethlehem city, Pennsylvania","1,293","± 724"
"Erie city, Pennsylvania","1,657","± 720"
"Philadelphia city, Pennsylvania","24,175","± 3,365"
"Pittsburgh city, Pennsylvania","6,265","± 1,420"
"Reading city, Pennsylvania","2,274","± 941"
"Scranton city, Pennsylvania","1,494","± 607"
"Cranston city, Rhode Island","528","± 485"
"Pawtucket city, Rhode Island","1,135","± 494"
"Providence city, Rhode Island","3,160","± 1,205"
"Warwick city, Rhode Island","1,623","± 1,084"
"Charleston city, South Carolina","2,536","± 1,035"
"Columbia city, South Carolina","2,737","± 1,275"
"Greenville city, South Carolina","2,271","± 855"
"Mount Pleasant town, South Carolina","943","± 1,019"
"North Charleston city, South Carolina","2,027","± 1,222"
"Rock Hill city, South Carolina","1,485","± 608"
"Rapid City city, South Dakota","613","± 369"
"Sioux Falls city, South Dakota","2,598","± 1,095"
"Chattanooga city, Tennessee","2,447","± 1,038"
"Clarksville city, Tennessee","3,062","± 1,361"
"Franklin city, Tennessee","1,954","± 1,062"
"Jackson city, Tennessee","1,441","± 680"
"Johnson City city, Tennessee","1,431","± 860"
"Knoxville city, Tennessee","5,618","± 1,186"
"Memphis city, Tennessee","12,128","± 2,654"
"Murfreesboro city, Tennessee","1,444","± 773"
"Nashville-Davidson metropolitan government (balance), Tennessee","12,518","± 2,048"
"Abilene city, Texas","1,576","± 847"
"Allen city, Texas","1,327","± 1,316"
"Amarillo city, Texas","3,005","± 958"
"Arlington city, Texas","8,715","± 1,872"
"Austin city, Texas","21,595","± 3,991"
"Baytown city, Texas","1,084","± 511"
"Beaumont city, Texas","2,753","± 1,102"
"Brownsville city, Texas","1,545","± 704"
"Bryan city, Texas","1,867","± 950"
"Carrollton city, Texas","1,372","± 727"
"Cedar Park city, Texas","777","± 506"
"College Station city, Texas","2,887","± 1,240"
"Conroe city, Texas","2,544","± 1,718"
"Corpus Christi city, Texas","4,905","± 1,502"
"Dallas city, Texas","24,361","± 3,940"
"Denton city, Texas","3,823","± 1,164"
"Edinburg city, Texas","909","± 835"
"El Paso city, Texas","8,686","± 1,911"
"Fort Worth city, Texas","19,620","± 3,569"
"Frisco city, Texas","1,207","± 790"
"Garland city, Texas","3,207","± 1,252"
"Georgetown city, Texas","740","± 495"
"Grand Prairie city, Texas","3,755","± 1,263"
"Harlingen city, Texas","1,091","± 617"
"Houston city, Texas","46,611","± 5,469"
"Irving city, Texas","5,480","± 1,486"
"Killeen city, Texas","2,785","± 1,298"
"Laredo city, Texas","2,586","± 872"
"League City city, Texas","65","± 113"
"Lewisville city, Texas","3,611","± 1,332"
"Longview city, Texas","1,061","± 715"
"Lubbock city, Texas","2,545","± 959"
"McAllen city, Texas","1,304","± 783"
"McKinney city, Texas","2,533","± 1,144"
"Mansfield city, Texas","381","± 422"
"Mesquite city, Texas","1,944","± 1,097"
"Midland city, Texas","1,266","± 913"
"Mission city, Texas","89","± 143"
"New Braunfels city, Texas","1,085","± 831"
"North Richland Hills city, Texas","861","± 513"
"Odessa city, Texas","1,938","± 1,270"
"Pasadena city, Texas","2,279","± 1,090"
"Pearland city, Texas","545","± 514"
"Pharr city, Texas","373","± 454"
"Plano city, Texas","2,453","± 878"
"Richardson city, Texas","1,108","± 556"
"Round Rock city, Texas","3,634","± 1,713"
"San Angelo city, Texas","839","± 529"
"San Antonio city, Texas","23,083","± 3,712"
"San Marcos city, Texas","2,091","± 1,262"
"Sugar Land city, Texas","838","± 710"
"Temple city, Texas","1,490","± 791"
"The Woodlands CDP, Texas","914","± 641"
"Tyler city, Texas","1,565","± 805"
"Victoria city, Texas","996","± 587"
"Waco city, Texas","2,663","± 1,122"
"Wichita Falls city, Texas","1,751","± 789"
"Layton city, Utah","862","± 469"
"Lehi city, Utah","572","± 589"
"Ogden city, Utah","1,078","± 491"
"Orem city, Utah","1,258","± 643"
"Provo city, Utah","1,667","± 574"
"St. George city, Utah","927","± 660"
"Salt Lake City city, Utah","4,972","± 1,363"
"Sandy city, Utah","468","± 493"
"South Jordan city, Utah","154","± 205"
"West Jordan city, Utah","1,324","± 977"
"West Valley City city, Utah","918","± 458"
"Alexandria city, Virginia","3,678","± 965"
"Arlington CDP, Virginia","4,108","± 1,330"
"Centreville CDP, Virginia","421","± 219"
"Chesapeake city, Virginia","3,185","± 1,466"
"Dale City CDP, Virginia","178","± 223"
"Hampton city, Virginia","2,759","± 1,180"
"Lynchburg city, Virginia","1,165","± 636"
"Newport News city, Virginia","3,921","± 1,283"
"Norfolk city, Virginia","4,335","± 1,456"
"Portsmouth city, Virginia","1,368","± 588"
"Richmond city, Virginia","4,965","± 1,385"
"Roanoke city, Virginia","1,890","± 899"
"Suffolk city, Virginia","1,200","± 486"
"Virginia Beach city, Virginia","6,997","± 1,697"
"Auburn city, Washington","1,393","± 666"
"Bellevue city, Washington","1,103","± 518"
"Bellingham city, Washington","4,186","± 1,094"
"Everett city, Washington","1,708","± 815"
"Federal Way city, Washington","1,125","± 589"
"Kennewick city, Washington","1,478","± 771"
"Kent city, Washington","2,469","± 1,071"
"Kirkland city, Washington","464","± 310"
"Marysville city, Washington","561","± 342"
"Pasco city, Washington","59","± 99"
"Redmond city, Washington","466","± 354"
"Renton city, Washington","2,212","± 930"
"Sammamish city, Washington","228","± 196"
"Seattle city, Washington","15,712","± 2,330"
"South Hill CDP, Washington","321","± 361"
"Spokane city, Washington","2,973","± 916"
"Spokane Valley city, Washington","2,195","± 1,175"
"Tacoma city, Washington","3,018","± 1,250"
"Vancouver city, Washington","4,779","± 1,479"
"Yakima city, Washington","1,077","± 530"
"Appleton city, Wisconsin","664","± 482"
"Eau Claire city, Wisconsin","721","± 373"
"Green Bay city, Wisconsin","1,035","± 780"
"Janesville city, Wisconsin","620","± 413"
"Kenosha city, Wisconsin","1,080","± 607"
"Madison city, Wisconsin","3,227","± 928"
"Milwaukee city, Wisconsin","10,327","± 1,573"
"Oshkosh city, Wisconsin","371","± 252"
"Racine city, Wisconsin","927","± 550"
"Waukesha city, Wisconsin","1,147","± 669"
"Cheyenne city, Wyoming","1,194","± 669"
"Bayamón zona urbana, Puerto Rico","1,122","± 446"
"Caguas zona urbana, Puerto Rico","1,253","± 744"
"Carolina zona urbana, Puerto Rico","746","± 516"
"Guaynabo zona urbana, Puerto Rico","64","± 106"
"Ponce zona urbana, Puerto Rico","476","± 344"
"San Juan zona urbana, Puerto Rico","3,318","± 1,076"
