"Source Table: ACSDT1Y2024.B25070"

"UNIVERSE CONSTANTS"
"Total:"

"Geographic Area Name","50.0 percent or more","MoE"
"Kalamazoo city, Michigan","4,073","± 1,290"
"Lansing city, Michigan","6,215","± 1,769"
"Livonia city, Michigan","1,321","± 655"
"Novi city, Michigan","1,639","± 727"
"Rochester Hills city, Michigan","1,538","± 649"
"Southfield city, Michigan","3,419","± 1,280"
"Sterling Heights city, Michigan","3,382","± 1,033"
"Troy city, Michigan","1,363","± 682"
"Warren city, Michigan","5,694","± 1,723"
"Westland city, Michigan","2,503","± 1,078"
"Wyoming city, Michigan","2,129","± 1,027"
"Blaine city, Minnesota","1,183","± 656"
"Bloomington city, Minnesota","2,565","± 899"
"Brooklyn Park city, Minnesota","2,398","± 1,058"
"Duluth city, Minnesota","3,555","± 886"
"Eagan city, Minnesota","1,269","± 569"
"Maple Grove city, Minnesota","857","± 613"
"Minneapolis city, Minnesota","22,751","± 3,032"
"Plymouth city, Minnesota","1,861","± 670"
"Rochester city, Minnesota","3,716","± 1,419"
"St. Cloud city, Minnesota","3,470","± 1,196"
"St. Paul city, Minnesota","14,699","± 2,358"
"Woodbury city, Minnesota","2,569","± 1,143"
"Gulfport city, Mississippi","4,362","± 1,335"
"Jackson city, Mississippi","9,287","± 2,165"
"Columbia city, Missouri","5,889","± 1,491"
"Independence city, Missouri","5,816","± 1,651"
"Kansas City city, Missouri","25,009","± 3,603"
"Lee's Summit city, Missouri","2,552","± 767"
"O'Fallon city, Missouri","1,353","± 569"
"St. Charles city, Missouri","2,704","± 1,041"
"St. Joseph city, Missouri","2,128","± 831"
"St. Louis city, Missouri","20,675","± 2,729"
"Springfield city, Missouri","6,744","± 1,340"
"Billings city, Montana","4,579","± 1,266"
"Missoula city, Montana","4,975","± 1,110"
"Lincoln city, Nebraska","11,711","± 1,904"
"Omaha city, Nebraska","18,873","± 2,648"
"Enterprise CDP, Nevada","7,750","± 1,859"
"Henderson city, Nevada","13,255","± 2,704"
"Las Vegas city, Nevada","32,384","± 3,979"
"North Las Vegas city, Nevada","10,268","± 2,048"
"Paradise CDP, Nevada","13,834","± 2,212"
"Reno city, Nevada","12,509","± 2,220"
"Sparks city, Nevada","5,421","± 1,437"
"Spring Valley CDP, Nevada","14,036","± 3,037"
"Sunrise Manor CDP, Nevada","9,853","± 1,900"
"Manchester city, New Hampshire","6,230","± 1,621"
"Nashua city, New Hampshire","4,063","± 1,245"
"Bayonne city, New Jersey","3,923","± 1,352"
"Camden city, New Jersey","5,306","± 1,438"
"Clifton city, New Jersey","3,754","± 1,236"
"East Orange city, New Jersey","4,225","± 1,878"
"Elizabeth city, New Jersey","8,208","± 1,534"
"Jersey City city, New Jersey","18,130","± 2,644"
"Lakewood CDP, New Jersey","3,830","± 1,256"
"Newark city, New Jersey","20,488","± 3,019"
"Passaic city, New Jersey","5,610","± 1,319"
"Paterson city, New Jersey","11,322","± 2,146"
"Toms River CDP, New Jersey","1,208","± 745"
"Trenton city, New Jersey","4,784","± 1,824"
"Union City city, New Jersey","6,422","± 1,502"
"Albuquerque city, New Mexico","23,373","± 2,830"
"Las Cruces city, New Mexico","5,648","± 1,962"
"Rio Rancho city, New Mexico","1,486","± 681"
"Santa Fe city, New Mexico","4,108","± 1,054"
"Albany city, New York","8,306","± 1,843"
"Buffalo city, New York","18,925","± 2,750"
"Cheektowaga CDP, New York","2,268","± 764"
"Mount Vernon city, New York","3,097","± 1,116"
"New Rochelle city, New York","4,294","± 1,228"
"New York city, New York","622,867","± 15,278"
"Rochester city, New York","17,136","± 2,304"
"Schenectady city, New York","5,567","± 1,431"
"Syracuse city, New York","9,823","± 2,078"
"Yonkers city, New York","13,478","± 2,540"
"Apex town, North Carolina","1,060","± 843"
"Asheville city, North Carolina","3,865","± 1,296"
"Cary town, North Carolina","5,100","± 1,475"
"Charlotte city, North Carolina","46,459","± 4,771"
"Concord city, North Carolina","2,579","± 1,089"
"Durham city, North Carolina","14,803","± 2,918"
"Fayetteville city, North Carolina","10,562","± 1,466"
"Gastonia city, North Carolina","4,473","± 1,329"
"Greensboro city, North Carolina","16,142","± 2,938"
"Greenville city, North Carolina","7,700","± 1,979"
"High Point city, North Carolina","4,395","± 1,343"
"Huntersville town, North Carolina","1,175","± 655"
"Jacksonville city, North Carolina","3,926","± 1,411"
"Raleigh city, North Carolina","27,090","± 3,992"
"Wilmington city, North Carolina","10,837","± 1,935"
"Winston-Salem city, North Carolina","14,483","± 2,163"
"Bismarck city, North Dakota","1,214","± 660"
"Fargo city, North Dakota","7,029","± 2,024"
"Akron city, Ohio","12,233","± 2,475"
"Canton city, Ohio","3,542","± 1,121"
"Cincinnati city, Ohio","26,765","± 3,545"
"Cleveland city, Ohio","24,993","± 3,538"
"Columbus city, Ohio","55,456","± 4,493"
"Dayton city, Ohio","7,841","± 1,819"
"Lorain city, Ohio","3,433","± 1,195"
"Parma city, Ohio","1,978","± 922"
"Toledo city, Ohio","11,709","± 1,836"
"Broken Arrow city, Oklahoma","2,299","± 537"
"Edmond city, Oklahoma","2,820","± 1,138"
"Lawton city, Oklahoma","3,730","± 601"
"Norman city, Oklahoma","5,871","± 1,446"
"Oklahoma City city, Oklahoma","26,300","± 3,197"
"Tulsa city, Oklahoma","19,181","± 1,959"
"Beaverton city, Oregon","5,830","± 1,484"
"Bend city, Oregon","4,003","± 1,125"
"Eugene city, Oregon","12,989","± 2,122"
"Gresham city, Oregon","4,882","± 1,240"
"Hillsboro city, Oregon","4,847","± 1,435"
"Medford city, Oregon","3,950","± 1,290"
"Portland city, Oregon","40,158","± 3,600"
"Salem city, Oregon","8,138","± 1,816"
"Allentown city, Pennsylvania","8,061","± 1,955"
"Bethlehem city, Pennsylvania","3,260","± 1,058"
"Erie city, Pennsylvania","4,430","± 1,087"
"Philadelphia city, Pennsylvania","105,205","± 8,596"
"Pittsburgh city, Pennsylvania","17,785","± 2,215"
"Reading city, Pennsylvania","6,385","± 1,390"
"Scranton city, Pennsylvania","4,620","± 1,130"
"Cranston city, Rhode Island","1,577","± 946"
"Pawtucket city, Rhode Island","2,730","± 911"
"Providence city, Rhode Island","12,470","± 2,644"
"Warwick city, Rhode Island","2,281","± 850"
"Charleston city, South Carolina","9,578","± 2,169"
"Columbia city, South Carolina","9,170","± 2,132"
"Greenville city, South Carolina","3,312","± 1,144"
"Mount Pleasant town, South Carolina","1,531","± 837"
"North Charleston city, South Carolina","5,879","± 1,788"
"Rock Hill city, South Carolina","3,605","± 1,334"
"Rapid City city, South Dakota","2,627","± 1,053"
"Sioux Falls city, South Dakota","5,630","± 1,305"
"Chattanooga city, Tennessee","11,961","± 1,905"
"Clarksville city, Tennessee","5,995","± 1,652"
"Franklin city, Tennessee","3,541","± 1,230"
"Jackson city, Tennessee","3,832","± 1,311"
"Johnson City city, Tennessee","3,280","± 1,182"
"Knoxville city, Tennessee","12,291","± 1,720"
"Memphis city, Tennessee","39,287","± 3,502"
"Murfreesboro city, Tennessee","7,910","± 1,846"
"Nashville-Davidson metropolitan government (balance), Tennessee","35,963","± 4,133"
"Abilene city, Texas","5,382","± 1,287"
"Allen city, Texas","4,111","± 1,725"
"Amarillo city, Texas","7,249","± 1,973"
"Arlington city, Texas","19,471","± 3,410"
"Austin city, Texas","61,219","± 6,432"
"Baytown city, Texas","3,976","± 1,406"
"Beaumont city, Texas","5,043","± 1,700"
"Brownsville city, Texas","4,095","± 1,140"
"Bryan city, Texas","4,226","± 1,293"
"Carrollton city, Texas","4,530","± 1,437"
"Cedar Park city, Texas","1,463","± 649"
"College Station city, Texas","12,614","± 2,044"
"Conroe city, Texas","4,227","± 1,352"
"Corpus Christi city, Texas","11,014","± 2,209"
"Dallas city, Texas","67,927","± 6,901"
"Denton city, Texas","9,294","± 1,953"
"Edinburg city, Texas","3,179","± 998"
"El Paso city, Texas","24,705","± 2,977"
"Flower Mound town, Texas","961","± 610"
"Fort Worth city, Texas","42,998","± 4,346"
"Frisco city, Texas","4,749","± 1,839"
"Garland city, Texas","10,283","± 1,973"
"Georgetown city, Texas","2,942","± 947"
"Grand Prairie city, Texas","6,342","± 1,885"
"Harlingen city, Texas","2,812","± 978"
"Houston city, Texas","156,500","± 8,183"
"Irving city, Texas","11,616","± 1,933"
"Killeen city, Texas","7,449","± 1,821"
"Laredo city, Texas","8,179","± 1,841"
"League City city, Texas","2,731","± 912"
"Leander city, Texas","1,450","± 670"
"Lewisville city, Texas","7,133","± 2,081"
"Longview city, Texas","3,880","± 1,212"
"Lubbock city, Texas","16,430","± 2,241"
"McAllen city, Texas","5,241","± 1,413"
"McKinney city, Texas","5,601","± 1,931"
"Mansfield city, Texas","2,792","± 1,278"
"Mesquite city, Texas","7,484","± 2,264"
"Midland city, Texas","5,834","± 1,822"
"Mission city, Texas","2,946","± 1,019"
"Missouri City city, Texas","923","± 659"
"New Braunfels city, Texas","4,767","± 1,503"
"North Richland Hills city, Texas","2,332","± 1,102"
"Odessa city, Texas","4,674","± 1,595"
"Pasadena city, Texas","5,978","± 1,337"
"Pearland city, Texas","1,973","± 820"
"Pflugerville city, Texas","1,956","± 846"
"Pharr city, Texas","2,271","± 918"
"Plano city, Texas","9,811","± 2,011"
"Richardson city, Texas","4,732","± 1,506"
"Round Rock city, Texas","4,503","± 1,332"
"Rowlett city, Texas","1,813","± 1,228"
"San Angelo city, Texas","3,121","± 1,287"
"San Antonio city, Texas","71,442","± 5,392"
"San Marcos city, Texas","6,303","± 1,579"
"Spring CDP, Texas","1,734","± 1,036"
"Sugar Land city, Texas","2,404","± 1,020"
"Temple city, Texas","3,599","± 1,221"
"The Woodlands CDP, Texas","3,091","± 1,213"
"Tyler city, Texas","5,587","± 1,404"
"Victoria city, Texas","2,772","± 1,230"
"Waco city, Texas","7,216","± 1,484"
"Wichita Falls city, Texas","3,072","± 835"
"Layton city, Utah","1,241","± 714"
"Lehi city, Utah","1,071","± 659"
"Ogden city, Utah","2,556","± 789"
"Orem city, Utah","2,297","± 880"
"Provo city, Utah","5,639","± 1,279"
"St. George city, Utah","2,715","± 998"
"Salt Lake City city, Utah","13,846","± 2,524"
"Sandy city, Utah","2,444","± 920"
