"Geographic Area Name","50.0 percent or more (2021)","MoE"
"Rock Hill city, South Carolina","2,857","± 946"
"Rapid City city, South Dakota","1,425","± 649"
"Sioux Falls city, South Dakota","4,932","± 1,042"
"Chattanooga city, Tennessee","8,714","± 1,955"
"Clarksville city, Tennessee","4,529","± 1,831"
"Franklin city, Tennessee","1,638","± 703"
"Jackson city, Tennessee","3,095","± 988"
"Johnson City city, Tennessee","2,989","± 1,023"
"Knoxville city, Tennessee","10,708","± 1,766"
"Memphis city, Tennessee","39,377","± 3,407"
"Murfreesboro city, Tennessee","5,032","± 2,055"
"Nashville-Davidson metropolitan government (balance), Tennessee","34,907","± 3,898"
"Abilene city, Texas","5,315","± 1,456"
"Allen city, Texas","2,376","± 1,278"
"Amarillo city, Texas","6,148","± 1,278"
"Arlington city, Texas","18,550","± 2,857"
"Austin city, Texas","57,526","± 5,033"
"Baytown city, Texas","3,828","± 1,319"
"Beaumont city, Texas","5,366","± 1,488"
"Brownsville city, Texas","4,269","± 911"
"Bryan city, Texas","5,507","± 1,317"
"Carrollton city, Texas","4,021","± 1,153"
"Cedar Park city, Texas","2,169","± 1,129"
"College Station city, Texas","7,376","± 1,528"
"Conroe city, Texas","2,717","± 1,252"
"Corpus Christi city, Texas","12,622","± 2,016"
"Dallas city, Texas","77,490","± 5,669"
"Denton city, Texas","9,533","± 1,864"
"Edinburg city, Texas","5,581","± 2,093"
"El Paso city, Texas","22,714","± 2,740"
"Fort Worth city, Texas","36,574","± 3,634"
"Frisco city, Texas","3,644","± 1,303"
"Garland city, Texas","9,883","± 2,589"
"Georgetown city, Texas","2,685","± 788"
"Grand Prairie city, Texas","5,701","± 1,417"
"Harlingen city, Texas","3,162","± 1,134"
"Houston city, Texas","138,566","± 7,529"
"Irving city, Texas","11,443","± 2,163"
"Killeen city, Texas","8,553","± 2,166"
"Laredo city, Texas","6,490","± 1,301"
"League City city, Texas","2,282","± 1,105"
"Lewisville city, Texas","4,319","± 1,256"
"Longview city, Texas","3,613","± 1,132"
"Lubbock city, Texas","15,389","± 2,792"
"McAllen city, Texas","4,737","± 1,347"
"McKinney city, Texas","6,462","± 1,820"
"Mansfield city, Texas","1,538","± 764"
"Mesquite city, Texas","7,065","± 1,886"
"Midland city, Texas","3,684","± 2,057"
"Mission city, Texas","2,476","± 1,097"
"New Braunfels city, Texas","2,359","± 1,096"
"North Richland Hills city, Texas","2,297","± 850"
"Odessa city, Texas","4,085","± 1,770"
"Pasadena city, Texas","4,978","± 1,804"
"Pearland city, Texas","2,298","± 1,416"
"Pharr city, Texas","2,815","± 1,204"
"Plano city, Texas","9,558","± 2,024"
"Richardson city, Texas","4,233","± 1,262"
"Round Rock city, Texas","6,654","± 2,705"
"San Angelo city, Texas","3,413","± 1,139"
"San Antonio city, Texas","64,806","± 4,724"
"San Marcos city, Texas","8,326","± 2,035"
"Sugar Land city, Texas","1,037","± 572"
"Temple city, Texas","3,349","± 1,027"
"The Woodlands CDP, Texas","1,610","± 827"
"Tyler city, Texas","2,934","± 843"
"Victoria city, Texas","2,357","± 940"
"Waco city, Texas","8,526","± 1,657"
"Wichita Falls city, Texas","2,151","± 690"
"Layton city, Utah","1,927","± 786"
"Lehi city, Utah","384","± 313"
"Ogden city, Utah","2,296","± 822"
"Orem city, Utah","2,370","± 863"
"Provo city, Utah","4,931","± 1,062"
"St. George city, Utah","3,326","± 1,163"
"Salt Lake City city, Utah","10,732","± 1,987"
"Sandy city, Utah","1,558","± 797"
"South Jordan city, Utah","359","± 273"
"West Jordan city, Utah","1,512","± 743"
"West Valley City city, Utah","1,890","± 813"
"Alexandria city, Virginia","9,772","± 1,823"
"Arlington CDP, Virginia","12,288","± 1,910"
"Centreville CDP, Virginia","1,860","± 647"
"Chesapeake city, Virginia","7,597","± 1,893"
"Dale City CDP, Virginia","1,121","± 566"
"Hampton city, Virginia","7,116","± 1,485"
"Lynchburg city, Virginia","3,540","± 1,061"
"Newport News city, Virginia","8,176","± 1,407"
"Norfolk city, Virginia","13,091","± 1,867"
"Portsmouth city, Virginia","4,960","± 1,338"
"Richmond city, Virginia","15,740","± 2,337"
"Roanoke city, Virginia","4,849","± 1,017"
"Suffolk city, Virginia","3,059","± 932"
"Virginia Beach city, Virginia","16,167","± 2,461"
"Auburn city, Washington","3,929","± 1,197"
"Bellevue city, Washington","5,444","± 1,429"
"Bellingham city, Washington","6,959","± 1,708"
"Everett city, Washington","6,157","± 1,554"
"Federal Way city, Washington","4,227","± 1,331"
"Kennewick city, Washington","3,474","± 1,181"
"Kent city, Washington","4,459","± 1,103"
"Kirkland city, Washington","2,539","± 946"
"Marysville city, Washington","1,393","± 532"
"Pasco city, Washington","843","± 644"
"Redmond city, Washington","3,796","± 1,129"
"Renton city, Washington","6,132","± 1,793"
"Sammamish city, Washington","758","± 421"
"Seattle city, Washington","45,338","± 4,942"
"South Hill CDP, Washington","1,670","± 810"
